Dataset,#TrainingReleases,%TrainingData,%DefectiveTraining,%DefectiveTesting,Classifier,FeatureSelection,Balancing,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa,F1score,NPofB20,Cost
Apache Storm,3,4.141154,0.58365756,23.768116,NaiveBayes,None,None,None,22,11,515,142,0.6666667,0.13414635,0.45950222,0.15615559,0.22335026,0.25,1431
Apache Storm,3,4.141154,0.58365756,23.768116,NaiveBayes,None,None,Learning,40,37,489,124,0.5194805,0.24390244,0.45950222,0.2123176,0.33195022,0.24390243902439024,1277
Apache Storm,3,4.141154,0.58365756,23.768116,NaiveBayes,BestFirstBackward,None,None,0,0,526,164,NaN,0.0,0.6761685,0.0,NaN,0.31097560975609756,1640
Apache Storm,3,4.141154,0.58365756,23.768116,NaiveBayes,BestFirstBackward,None,Learning,0,0,526,164,NaN,0.0,0.6761685,0.0,NaN,0.31097560975609756,1640
Apache Storm,3,4.141154,0.58365756,23.768116,NaiveBayes,BestFirstBackward,Undersampling,None,87,57,469,77,0.6041667,0.5304878,0.7807602,0.44061276,0.5649351,0.25,827
Apache Storm,3,4.141154,0.58365756,23.768116,NaiveBayes,BestFirstBackward,SMOTE,None,162,526,0,2,0.23546511,0.9878049,0.7113106,-0.0058086887,0.3802817,0.31097560975609756,546
Apache Storm,3,4.141154,0.58365756,23.768116,NaiveBayes,None,Undersampling,None,158,170,356,6,0.4817073,0.9634146,0.82647455,0.47631696,0.6422764,0.5609756097560976,230
Apache Storm,3,4.141154,0.58365756,23.768116,NaiveBayes,None,SMOTE,None,85,410,116,79,0.17171717,0.51829267,0.4544016,-0.15413032,0.2579666,0.2073170731707317,1200
Apache Storm,3,4.141154,0.58365756,23.768116,RandomForest,None,None,None,0,0,526,164,NaN,0.0,0.5357681,0.0,NaN,0.17073170731707318,1640
Apache Storm,3,4.141154,0.58365756,23.768116,RandomForest,None,None,Learning,0,2,524,164,0.0,0.0,0.5677571,-0.0057602474,0.0,0.1951219512195122,1642
Apache Storm,3,4.141154,0.58365756,23.768116,RandomForest,BestFirstBackward,None,None,1,0,526,163,1.0,0.0060975607,0.52620447,0.009266926,0.012121212,0.27439024390243905,1630
Apache Storm,3,4.141154,0.58365756,23.768116,RandomForest,BestFirstBackward,None,Learning,2,3,523,162,0.4,0.0121951215,0.5256306,0.009741671,0.02366864,0.2621951219512195,1623
Apache Storm,3,4.141154,0.58365756,23.768116,RandomForest,BestFirstBackward,Undersampling,None,113,145,381,51,0.4379845,0.6890244,0.74429077,0.3452623,0.53554505,0.2682926829268293,655
