Version,Relative path,LOC,LOC added,Avg LOC added,Max LOC added,Churn,Avg churn,Max churn,Avg chg set,Max chg set,Num. of authors,Num. of revs.,Buggy
0.9.0.1,storm-core/src/jvm/backtype/storm/Config.java,958,1107,35,171,278,9,170,3,17,10,32,yes
0.9.0.1,storm-core/src/jvm/backtype/storm/ConfigValidation.java,89,108,22,82,96,19,82,2,2,3,5,yes
0.9.0.1,storm-core/src/jvm/backtype/storm/Constants.java,18,0,0,0,0,0,0,0,0,0,0,yes
0.9.0.1,storm-core/src/jvm/backtype/storm/ILocalCluster.java,30,0,0,0,0,0,0,0,0,0,0,yes
0.9.0.1,storm-core/src/jvm/backtype/storm/ILocalDRPC.java,10,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/StormSubmitter.java,152,0,0,0,0,0,0,0,0,0,0,yes
0.9.0.1,storm-core/src/jvm/backtype/storm/clojure/ClojureBolt.java,102,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/clojure/ClojureSpout.java,136,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/clojure/RichShellBolt.java,34,2,1,1,0,0,0,10,14,1,2,no
0.9.0.1,storm-core/src/jvm/backtype/storm/clojure/RichShellSpout.java,34,2,1,1,0,0,0,10,14,1,2,no
0.9.0.1,storm-core/src/jvm/backtype/storm/coordination/BatchBoltExecutor.java,91,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/coordination/BatchOutputCollector.java,29,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/coordination/BatchOutputCollectorImpl.java,36,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/coordination/BatchSubtopologyBuilder.java,419,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/coordination/CoordinatedBolt.java,365,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/coordination/IBatchBolt.java,13,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/daemon/Shutdownable.java,5,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/drpc/DRPCInvocationsClient.java,74,0,0,0,0,0,0,0,0,0,0,yes
0.9.0.1,storm-core/src/jvm/backtype/storm/drpc/DRPCSpout.java,152,0,0,0,0,0,0,0,0,0,0,yes
0.9.0.1,storm-core/src/jvm/backtype/storm/drpc/JoinResult.java,58,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/drpc/KeyedFairBolt.java,76,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/drpc/LinearDRPCInputDeclarer.java,32,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/drpc/LinearDRPCTopologyBuilder.java,366,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/drpc/PrepareRequest.java,42,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/drpc/ReturnResults.java,78,0,0,0,0,0,0,0,0,0,0,yes
0.9.0.1,storm-core/src/jvm/backtype/storm/generated/AlreadyAliveException.java,327,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/generated/Bolt.java,426,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/generated/BoltStats.java,1110,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/generated/ClusterSummary.java,597,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/generated/ComponentCommon.java,706,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/generated/ComponentObject.java,385,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/generated/DRPCExecutionException.java,327,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/generated/DRPCRequest.java,424,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/generated/DistributedRPC.java,964,0,0,0,0,0,0,0,0,0,0,yes
0.9.0.1,storm-core/src/jvm/backtype/storm/generated/DistributedRPCInvocations.java,2015,0,0,0,0,0,0,0,0,0,0,yes
0.9.0.1,storm-core/src/jvm/backtype/storm/generated/ErrorInfo.java,424,0,0,0,0,0,0,0,0,0,0,yes
0.9.0.1,storm-core/src/jvm/backtype/storm/generated/ExecutorInfo.java,419,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/generated/ExecutorSpecificStats.java,318,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/generated/ExecutorStats.java,678,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/generated/ExecutorSummary.java,807,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/generated/GlobalStreamId.java,424,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/generated/Grouping.java,662,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/generated/InvalidTopologyException.java,327,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/generated/JavaObject.java,462,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/generated/JavaObjectArg.java,532,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/generated/KillOptions.java,319,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/generated/Nimbus.java,13491,0,0,0,0,0,0,0,0,0,0,yes
0.9.0.1,storm-core/src/jvm/backtype/storm/generated/NotAliveException.java,327,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/generated/NullStruct.java,224,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/generated/RebalanceOptions.java,548,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/generated/ShellComponent.java,416,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/generated/SpoutSpec.java,426,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/generated/SpoutStats.java,755,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/generated/StateSpoutSpec.java,426,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/generated/StormTopology.java,659,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/generated/StreamInfo.java,461,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/generated/SubmitOptions.java,339,0,0,0,0,0,0,0,0,0,0,yes
0.9.0.1,storm-core/src/jvm/backtype/storm/generated/SupervisorSummary.java,705,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/generated/TopologyInfo.java,917,0,0,0,0,0,0,0,0,0,0,yes
0.9.0.1,storm-core/src/jvm/backtype/storm/generated/TopologyInitialStatus.java,44,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/generated/TopologySummary.java,894,0,0,0,0,0,0,0,0,0,0,yes
0.9.0.1,storm-core/src/jvm/backtype/storm/grouping/CustomStreamGrouping.java,26,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/hooks/BaseTaskHook.java,44,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/hooks/ITaskHook.java,21,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/hooks/info/BoltAckInfo.java,15,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/hooks/info/BoltExecuteInfo.java,15,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/hooks/info/BoltFailInfo.java,15,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/hooks/info/EmitInfo.java,18,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/hooks/info/SpoutAckInfo.java,13,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/hooks/info/SpoutFailInfo.java,13,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/messaging/IConnection.java,21,21,21,21,21,21,21,435,435,1,1,yes
0.9.0.1,storm-core/src/jvm/backtype/storm/messaging/IContext.java,42,42,42,42,42,42,42,435,435,1,1,no
0.9.0.1,storm-core/src/jvm/backtype/storm/messaging/TaskMessage.java,36,94,19,36,36,7,36,92,435,2,5,no
0.9.0.1,storm-core/src/jvm/backtype/storm/messaging/TransportFactory.java,40,40,40,40,40,40,40,435,435,1,1,no
0.9.0.1,storm-core/src/jvm/backtype/storm/metric/LoggingMetricsConsumer.java,55,110,55,55,110,55,55,1,1,2,2,no
0.9.0.1,storm-core/src/jvm/backtype/storm/metric/MetricsConsumerBolt.java,47,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/metric/SystemBolt.java,138,181,23,139,136,17,139,58,435,5,8,yes
0.9.0.1,storm-core/src/jvm/backtype/storm/metric/api/AssignableMetric.java,17,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/metric/api/CombinedMetric.java,21,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/metric/api/CountMetric.java,24,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/metric/api/ICombiner.java,6,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/metric/api/IMetric.java,5,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/metric/api/IMetricsConsumer.java,43,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/metric/api/IReducer.java,7,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/metric/api/IStatefulObject.java,5,10,5,5,10,5,5,3,3,2,2,no
0.9.0.1,storm-core/src/jvm/backtype/storm/metric/api/MeanReducer.java,38,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/metric/api/MultiCountMetric.java,28,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/metric/api/MultiReducedMetric.java,33,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/metric/api/ReducedMetric.java,21,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/metric/api/StateMetric.java,14,28,14,14,28,14,14,3,3,2,2,no
0.9.0.1,storm-core/src/jvm/backtype/storm/nimbus/DefaultTopologyValidator.java,14,9,2,4,6,2,3,1,2,2,4,no
0.9.0.1,storm-core/src/jvm/backtype/storm/nimbus/ITopologyValidator.java,11,5,1,1,2,0,1,1,2,2,5,no
0.9.0.1,storm-core/src/jvm/backtype/storm/planner/CompoundSpout.java,8,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/planner/CompoundTask.java,8,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/planner/TaskBundle.java,16,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/scheduler/Cluster.java,418,0,0,0,0,0,0,0,0,0,0,yes
0.9.0.1,storm-core/src/jvm/backtype/storm/scheduler/ExecutorDetails.java,37,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/scheduler/INimbus.java,22,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/scheduler/IScheduler.java,23,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/scheduler/ISupervisor.java,28,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/scheduler/SchedulerAssignment.java,41,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/scheduler/SchedulerAssignmentImpl.java,93,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/scheduler/SupervisorDetails.java,72,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/scheduler/Topologies.java,40,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/scheduler/TopologyDetails.java,72,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/scheduler/WorkerSlot.java,35,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/security/auth/AuthUtils.java,80,0,0,0,0,0,0,0,0,0,0,yes
0.9.0.1,storm-core/src/jvm/backtype/storm/security/auth/IAuthorizer.java,30,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/security/auth/ITransportPlugin.java,38,0,0,0,0,0,0,0,0,0,0,yes
0.9.0.1,storm-core/src/jvm/backtype/storm/security/auth/ReqContext.java,91,0,0,0,0,0,0,0,0,0,0,yes
0.9.0.1,storm-core/src/jvm/backtype/storm/security/auth/SaslTransportPlugin.java,143,0,0,0,0,0,0,0,0,0,0,yes
0.9.0.1,storm-core/src/jvm/backtype/storm/security/auth/SimpleTransportPlugin.java,107,0,0,0,0,0,0,0,0,0,0,yes
0.9.0.1,storm-core/src/jvm/backtype/storm/security/auth/ThriftClient.java,62,0,0,0,0,0,0,0,0,0,0,yes
0.9.0.1,storm-core/src/jvm/backtype/storm/security/auth/ThriftServer.java,62,0,0,0,0,0,0,0,0,0,0,yes
0.9.0.1,storm-core/src/jvm/backtype/storm/security/auth/authorizer/DenyAuthorizer.java,40,0,0,0,0,0,0,0,0,0,0,yes
0.9.0.1,storm-core/src/jvm/backtype/storm/security/auth/authorizer/NoopAuthorizer.java,40,0,0,0,0,0,0,0,0,0,0,yes
0.9.0.1,storm-core/src/jvm/backtype/storm/security/auth/digest/ClientCallbackHandler.java,93,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/security/auth/digest/DigestSaslTransportPlugin.java,52,0,0,0,0,0,0,0,0,0,0,yes
0.9.0.1,storm-core/src/jvm/backtype/storm/security/auth/digest/ServerCallbackHandler.java,97,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/security/serialization/BlowfishTupleSerializer.java,72,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/serialization/DefaultKryoFactory.java,47,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/serialization/IKryoDecorator.java,6,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/serialization/IKryoFactory.java,23,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/serialization/ITupleDeserializer.java,8,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/serialization/ITupleSerializer.java,9,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/serialization/KryoTupleDeserializer.java,42,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/serialization/KryoTupleSerializer.java,43,0,0,0,0,0,0,0,0,0,0,no
0.9.0.1,storm-core/src/jvm/backtype/storm/serialization/KryoValuesDeserializer.java,34,0,0,0,0,0,0,0,0,0,0,no
