Dataset,#TrainingReleases,%TrainingData,%DefectiveTraining,%DefectiveTesting,Classifier,FeatureSelection,Balancing,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa,NPofB20
Bookkeeper,1,8.453681,51.666668,33.554817,NaiveBayes,None,None,None,40,11,189,61,0.78431374,0.3960396,0.6898267,0.38866007,22.772278
Bookkeeper,1,8.453681,51.666668,33.554817,NaiveBayes,None,None,Threshold,38,8,192,63,0.82608694,0.37623763,0.66811883,0.38861394,21.782177
Bookkeeper,1,8.453681,51.666668,33.554817,NaiveBayes,None,None,Learning,38,8,192,63,0.82608694,0.37623763,0.6898267,0.38861394,22.772278
Bookkeeper,1,8.453681,51.666668,33.554817,NaiveBayes,None,Oversampling,None,47,21,179,54,0.6911765,0.46534654,0.6567327,0.3920502,20.79208
Bookkeeper,1,8.453681,51.666668,33.554817,NaiveBayes,None,Oversampling,Threshold,41,14,186,60,0.74545455,0.4059406,0.6679703,0.37861964,21.782177
Bookkeeper,1,8.453681,51.666668,33.554817,NaiveBayes,None,Oversampling,Learning,48,73,127,53,0.3966942,0.47524753,0.6089109,0.10509674,24.752476
Bookkeeper,1,8.453681,51.666668,33.554817,NaiveBayes,None,Undersampling,None,40,10,190,61,0.8,0.3960396,0.69403464,0.39546263,22.772278
Bookkeeper,1,8.453681,51.666668,33.554817,NaiveBayes,None,Undersampling,Threshold,38,8,192,63,0.82608694,0.37623763,0.66811883,0.38861394,22.772278
Bookkeeper,1,8.453681,51.666668,33.554817,NaiveBayes,None,Undersampling,Learning,101,200,0,0,0.33554816,1.0,0.7450743,0.0,28.712872
Bookkeeper,1,8.453681,51.666668,33.554817,NaiveBayes,None,SMOTE,None,42,14,186,59,0.75,0.41584158,0.6853218,0.38870496,22.772278
Bookkeeper,1,8.453681,51.666668,33.554817,NaiveBayes,None,SMOTE,Threshold,41,12,188,60,0.7735849,0.4059406,0.6729703,0.39205566,22.772278
Bookkeeper,1,8.453681,51.666668,33.554817,NaiveBayes,None,SMOTE,Learning,49,21,179,52,0.7,0.48514852,0.7523267,0.4114007,23.762377
Bookkeeper,1,8.453681,51.666668,33.554817,NaiveBayes,BestFirstForward,None,None,47,21,179,54,0.6911765,0.46534654,0.6856683,0.3920502,20.79208
Bookkeeper,1,8.453681,51.666668,33.554817,NaiveBayes,BestFirstForward,None,Threshold,42,15,185,59,0.7368421,0.41584158,0.67042077,0.38203308,20.79208
Bookkeeper,1,8.453681,51.666668,33.554817,NaiveBayes,BestFirstForward,None,Learning,42,15,185,59,0.7368421,0.41584158,0.6856188,0.38203308,19.801981
Bookkeeper,1,8.453681,51.666668,33.554817,NaiveBayes,BestFirstForward,Oversampling,None,47,19,181,54,0.7121212,0.46534654,0.6544307,0.40509003,21.782177
Bookkeeper,1,8.453681,51.666668,33.554817,NaiveBayes,BestFirstForward,Oversampling,Threshold,39,12,188,62,0.7647059,0.38613862,0.6630693,0.3716784,20.79208
Bookkeeper,1,8.453681,51.666668,33.554817,NaiveBayes,BestFirstForward,Oversampling,Learning,100,200,0,1,0.33333334,0.990099,0.6392079,-0.0066554635,28.712872
Bookkeeper,1,8.453681,51.666668,33.554817,NaiveBayes,BestFirstForward,Undersampling,None,47,19,181,54,0.7121212,0.46534654,0.68601483,0.40509003,20.79208
