ID,Size,Predicted,Actual
98,22,0.9997044,NO
755,32,0.9997044,NO
354,40,0.9997044,NO
650,40,0.9997044,YES
85,48,0.9997044,NO
1013,48,0.9997044,NO
342,53,0.9997044,NO
608,54,0.9997044,NO
88,55,0.9997044,NO
414,56,0.9997044,YES
547,59,0.9997044,YES
585,59,0.9997044,YES
335,60,0.9997044,NO
268,61,0.9997044,NO
96,62,0.9997044,NO
91,65,0.9997044,NO
92,69,0.9997044,NO
86,72,0.9997044,NO
479,74,0.9997044,NO
79,75,0.9997044,NO
99,75,0.9997044,NO
78,81,0.9997044,NO
100,81,0.9997044,NO
83,82,0.9997044,NO
751,83,0.9997044,NO
1008,83,0.9997044,NO
1007,86,0.9997044,NO
81,88,0.9997044,NO
90,91,0.9997044,NO
582,50,0.5,NO
210,71,0.6666338,NO
1014,110,0.9997044,NO
87,113,0.9997044,NO
296,113,0.9997044,NO
792,117,0.9997044,NO
93,120,0.9997044,NO
632,120,0.9997044,NO
95,125,0.9997044,NO
826,125,0.9997044,NO
94,137,0.9997044,NO
188,143,0.9997044,NO
233,157,0.9997044,YES
1015,159,0.9997044,YES
283,40,0.25003695,NO
258,160,0.9997044,NO
610,167,0.9997044,NO
696,84,0.5,NO
840,175,0.9997044,NO
118,179,0.9997044,NO
627,182,0.9997044,NO
976,185,0.9997044,NO
299,187,0.9997044,NO
811,189,0.9997044,NO
695,199,0.9997044,NO
933,201,0.9997044,NO
221,203,0.9997044,YES
935,204,0.9997044,NO
145,105,0.5,NO
820,210,0.9997044,NO
569,211,0.9997044,NO
21,142,0.6666338,NO
1004,142,0.6666338,NO
271,213,0.9997044,NO
839,213,0.9997044,NO
793,214,0.9997044,NO
423,114,0.5,NO
0,78,0.3333662,NO
845,121,0.5,NO
165,242,0.9997044,NO
430,124,0.5,NO
318,84,0.33334976,NO
837,84,0.33334976,NO
916,84,0.33334976,NO
224,258,0.9997044,NO
570,259,0.9997044,NO
478,65,0.25003695,NO
655,65,0.25003695,NO
803,65,0.25003695,NO
185,263,0.9997044,NO
138,39,0.14288732,NO
279,275,0.9997044,YES
643,70,0.25003695,NO
314,287,0.9997044,YES
477,299,0.9997044,NO
286,316,0.9997044,YES
17,110,0.3333662,NO
780,94,0.2727395,NO
355,350,0.9997044,NO
168,89,0.2500123,NO
179,57,0.15790538,NO
214,57,0.15790538,NO
293,57,0.15790538,NO
316,57,0.15790538,NO
519,57,0.15790538,NO
542,57,0.15790538,NO
714,57,0.15790538,NO
725,57,0.15790538,NO
359,381,0.9997044,NO
768,382,0.9997044,YES
656,64,0.16669953,NO
657,64,0.16669953,NO
428,393,0.9997044,NO
990,66,0.16669953,NO
701,403,0.9997044,NO
431,405,0.9997044,NO
433,405,0.9997044,NO
446,405,0.9997044,NO
460,405,0.9997044,NO
466,405,0.9997044,NO
476,405,0.9997044,NO
463,406,0.9997044,NO
457,421,0.9997044,NO
805,424,0.9997044,NO
991,425,0.9997044,NO
135,26,0.05883888,NO
754,26,0.05883888,NO
600,444,0.9997044,NO
419,447,0.9997044,NO
445,457,0.9997044,NO
464,457,0.9997044,NO
465,470,0.9997044,NO
469,470,0.9997044,NO
470,474,0.9997044,NO
110,53,0.11113667,NO
409,478,0.9997044,NO
177,81,0.16669953,NO
196,81,0.16669953,NO
448,505,0.9997044,NO
520,517,0.9997044,NO
791,173,0.3333662,NO
152,52,0.10002366,NO
427,52,0.10002366,NO
527,52,0.10002366,NO
670,52,0.10002366,NO
784,521,0.9997044,NO
475,555,0.9997044,NO
35,48,0.08335387,NO
156,48,0.08335387,NO
300,48,0.08335387,NO
710,48,0.08335387,NO
880,48,0.08335387,NO
892,48,0.08335387,NO
624,61,0.10002366,NO
170,49,0.076942325,NO
311,49,0.076942325,NO
406,49,0.076942325,NO
732,49,0.076942325,NO
889,49,0.076942325,NO
936,49,0.076942325,NO
481,663,0.9997044,NO
468,675,0.9997044,NO
995,171,0.25003695,NO
197,35,0.050013307,NO
510,35,0.050013307,NO
801,35,0.050013307,NO
828,35,0.050013307,NO
1003,35,0.050013307,NO
999,359,0.5,NO
992,734,0.9997044,NO
467,754,0.9997044,NO
829,763,0.9997044,NO
438,767,0.9997044,NO
437,769,0.9997044,YES
158,43,0.055570163,NO
277,43,0.055570163,NO
503,43,0.055570163,NO
526,43,0.055570163,NO
617,43,0.055570163,NO
813,43,0.055570163,NO
814,43,0.055570163,NO
306,112,0.14288732,NO
885,113,0.14288732,NO
575,80,0.10002366,NO
634,80,0.10002366,NO
918,80,0.10002366,NO
960,80,0.10002366,NO
471,835,0.9997044,NO
783,217,0.25003695,NO
455,914,0.9997044,NO
486,916,0.9997044,NO
297,36,0.038472038,NO
404,36,0.038472038,NO
756,36,0.038472038,NO
766,36,0.038472038,NO
872,36,0.038472038,NO
943,36,0.038472038,NO
983,36,0.038472038,NO
590,33,0.033342537,NO
757,33,0.033342537,NO
769,33,0.033342537,NO
861,33,0.033342537,NO
911,33,0.033342537,NO
957,33,0.033342537,NO
987,33,0.033342537,NO
499,1093,0.9997044,NO
561,50,0.045466766,NO
622,50,0.045466766,NO
728,50,0.045466766,NO
775,50,0.045466766,NO
947,50,0.045466766,NO
1002,50,0.045466766,NO
432,1158,0.9997044,NO
418,53,0.04349,NO
518,53,0.04349,NO
765,53,0.04349,NO
836,53,0.04349,NO
886,53,0.04349,NO
890,53,0.04349,NO
898,53,0.04349,NO
905,53,0.04349,NO
449,1328,0.9997044,NO
488,1381,0.9997044,NO
436,1389,0.9997044,NO
492,1445,0.9997044,NO
505,61,0.040010884,NO
667,61,0.040010884,NO
720,61,0.040010884,NO
722,61,0.040010884,NO
781,61,0.040010884,NO
888,61,0.040010884,NO
904,61,0.040010884,NO
501,1900,0.9997044,NO
403,1941,0.9997044,NO
496,2143,0.9997044,NO
443,2193,0.9997044,NO
498,2596,0.9997044,NO
450,2935,0.9997044,NO
473,29093,0.9997044,NO
49,24,2.9559562E-4,NO
56,24,2.9559562E-4,NO
348,24,2.9559562E-4,NO
381,24,2.9559562E-4,NO
282,25,2.9559562E-4,NO
833,26,2.9559562E-4,NO
388,27,2.9559562E-4,NO
513,27,2.9559562E-4,NO
571,27,2.9559562E-4,NO
746,27,2.9559562E-4,NO
758,27,2.9559562E-4,NO
804,27,2.9559562E-4,NO
275,29,2.9559562E-4,NO
347,29,2.9559562E-4,NO
376,30,2.9559562E-4,NO
399,30,2.9559562E-4,NO
678,31,2.9559562E-4,NO
101,32,2.9559562E-4,NO
380,32,2.9559562E-4,NO
391,33,2.9559562E-4,NO
927,33,2.9559562E-4,NO
89,35,2.9559562E-4,NO
583,35,2.9559562E-4,YES
76,36,2.9559562E-4,NO
343,37,2.9559562E-4,NO
612,37,2.9559562E-4,NO
815,38,2.9559562E-4,NO
46,39,2.9559562E-4,NO
47,39,2.9559562E-4,NO
48,39,2.9559562E-4,NO
63,39,2.9559562E-4,NO
369,39,2.9559562E-4,NO
82,42,2.9559562E-4,NO
292,42,2.9559562E-4,NO
377,42,2.9559562E-4,NO
77,43,2.9559562E-4,NO
249,43,2.9559562E-4,NO
253,43,2.9559562E-4,NO
390,44,2.9559562E-4,NO
217,45,2.9559562E-4,NO
397,45,2.9559562E-4,NO
398,45,2.9559562E-4,NO
539,46,2.9559562E-4,NO
287,47,2.9559562E-4,NO
395,48,2.9559562E-4,NO
707,48,2.9559562E-4,YES
515,49,2.9559562E-4,NO
382,50,2.9559562E-4,NO
383,50,2.9559562E-4,NO
67,52,2.9559562E-4,NO
109,52,2.9559562E-4,NO
514,52,2.9559562E-4,NO
637,52,2.9559562E-4,NO
639,52,2.9559562E-4,NO
276,53,2.9559562E-4,NO
540,53,2.9559562E-4,NO
53,54,2.9559562E-4,NO
68,55,2.9559562E-4,NO
75,55,2.9559562E-4,NO
84,55,2.9559562E-4,NO
353,56,2.9559562E-4,NO
394,56,2.9559562E-4,NO
312,58,2.9559562E-4,NO
524,58,2.9559562E-4,NO
543,58,2.9559562E-4,YES
834,58,2.9559562E-4,NO
375,59,2.9559562E-4,NO
310,60,2.9559562E-4,NO
444,62,2.9559562E-4,NO
929,62,2.9559562E-4,NO
384,63,2.9559562E-4,NO
635,63,2.9559562E-4,NO
137,64,2.9559562E-4,NO
215,64,2.9559562E-4,NO
245,64,2.9559562E-4,YES
549,64,2.9559562E-4,NO
641,64,2.9559562E-4,NO
341,65,2.9559562E-4,NO
472,65,2.9559562E-4,NO
747,65,2.9559562E-4,NO
141,66,2.9559562E-4,NO
146,66,2.9559562E-4,NO
255,66,2.9559562E-4,YES
164,67,2.9559562E-4,NO
389,67,2.9559562E-4,NO
361,69,2.9559562E-4,NO
387,69,2.9559562E-4,NO
795,69,2.9559562E-4,NO
345,70,2.9559562E-4,NO
