Id,Size,Prob,NormProb,Actual
208,51,0.9984985,0.019578403,false
227,51,0.9984985,0.019578403,false
611,51,0.9984985,0.019578403,false
702,51,0.9984985,0.019578403,false
758,51,0.9984985,0.019578403,false
858,51,0.9984985,0.019578403,false
1174,51,0.9984985,0.019578403,false
1439,51,0.9984985,0.019578403,false
1516,51,0.9984985,0.019578403,false
1555,51,0.9984985,0.019578403,false
1646,51,0.9984985,0.019578403,false
1648,51,0.9984985,0.019578403,false
1666,51,0.9984985,0.019578403,false
1851,51,0.9984985,0.019578403,false
1866,51,0.9984985,0.019578403,false
1956,51,0.9984985,0.019578403,false
1957,51,0.9984985,0.019578403,false
169,63,0.9984985,0.015849182,false
173,63,0.9984985,0.015849182,false
238,63,0.9984985,0.015849182,false
270,63,0.9984985,0.015849182,false
273,63,0.9984985,0.015849182,false
542,63,0.9984985,0.015849182,false
623,63,0.9984985,0.015849182,false
786,63,0.9984985,0.015849182,false
1172,63,0.9984985,0.015849182,false
1317,63,0.9984985,0.015849182,false
1391,63,0.9984985,0.015849182,false
1523,63,0.9984985,0.015849182,false
1882,63,0.9984985,0.015849182,false
1986,63,0.9984985,0.015849182,false
2083,63,0.9984985,0.015849182,false
143,32,0.5,0.015625,false
179,32,0.5,0.015625,false
287,32,0.5,0.015625,false
367,32,0.5,0.015625,false
392,32,0.5,0.015625,false
405,32,0.5,0.015625,false
429,32,0.5,0.015625,false
464,32,0.5,0.015625,false
483,32,0.5,0.015625,false
543,32,0.5,0.015625,false
606,32,0.5,0.015625,false
730,32,0.5,0.015625,false
764,32,0.5,0.015625,false
782,32,0.5,0.015625,false
914,32,0.5,0.015625,false
924,32,0.5,0.015625,false
929,32,0.5,0.015625,false
964,32,0.5,0.015625,false
973,32,0.5,0.015625,false
1255,32,0.5,0.015625,false
1358,32,0.5,0.015625,false
1359,32,0.5,0.015625,false
1360,32,0.5,0.015625,false
1361,32,0.5,0.015625,false
1424,32,0.5,0.015625,false
1557,32,0.5,0.015625,false
1604,32,0.5,0.015625,false
1605,32,0.5,0.015625,false
1760,32,0.5,0.015625,false
1764,32,0.5,0.015625,false
1801,32,0.5,0.015625,false
1967,32,0.5,0.015625,false
1982,32,0.5,0.015625,false
2011,32,0.5,0.015625,false
2040,32,0.5,0.015625,false
89,66,0.9996238,0.015145815,false
325,66,0.9996238,0.015145815,false
337,66,0.9996238,0.015145815,false
403,66,0.9996238,0.015145815,false
478,66,0.9996238,0.015145815,false
848,66,0.9996238,0.015145815,false
1017,66,0.9996238,0.015145815,false
1449,66,0.9996238,0.015145815,false
1766,66,0.9996238,0.015145815,false
1898,66,0.9996238,0.015145815,false
2171,66,0.9996238,0.015145815,false
111,67,0.9996238,0.014919758,false
134,67,0.9996238,0.014919758,false
232,67,0.9996238,0.014919758,false
284,67,0.9996238,0.014919758,false
378,67,0.9996238,0.014919758,false
528,67,0.9996238,0.014919758,false
684,67,0.9996238,0.014919758,false
791,67,0.9996238,0.014919758,false
801,67,0.9996238,0.014919758,false
886,67,0.9996238,0.014919758,false
925,67,0.9996238,0.014919758,false
945,67,0.9996238,0.014919758,false
195,35,0.5,0.014285714,false
235,35,0.5,0.014285714,false
277,35,0.5,0.014285714,false
318,35,0.5,0.014285714,false
506,35,0.5,0.014285714,false
546,35,0.5,0.014285714,false
677,35,0.5,0.014285714,false
692,35,0.5,0.014285714,false
761,35,0.5,0.014285714,false
774,35,0.5,0.014285714,false
855,35,0.5,0.014285714,false
876,35,0.5,0.014285714,false
879,35,0.5,0.014285714,false
982,35,0.5,0.014285714,false
1354,35,0.5,0.014285714,false
1356,35,0.5,0.014285714,false
1434,35,0.5,0.014285714,false
1451,35,0.5,0.014285714,false
1452,35,0.5,0.014285714,false
1621,35,0.5,0.014285714,false
1642,35,0.5,0.014285714,false
1779,35,0.5,0.014285714,false
1871,35,0.5,0.014285714,false
1990,35,0.5,0.014285714,false
140,73,0.9984985,0.013678062,false
148,73,0.9984985,0.013678062,false
205,73,0.9984985,0.013678062,false
340,73,0.9984985,0.013678062,false
473,73,0.9984985,0.013678062,false
563,73,0.9984985,0.013678062,false
648,73,0.9984985,0.013678062,false
1697,73,0.9984985,0.013678062,false
5,74,0.9984985,0.013493223,false
31,74,0.9984985,0.013493223,false
36,74,0.9984985,0.013493223,false
99,74,0.9984985,0.013493223,false
175,74,0.9984985,0.013493223,false
212,74,0.9984985,0.013493223,false
293,74,0.9984985,0.013493223,false
315,74,0.9984985,0.013493223,false
560,74,0.9984985,0.013493223,true
728,74,0.9984985,0.013493223,false
825,74,0.9984985,0.013493223,false
946,74,0.9984985,0.013493223,false
1136,74,0.9984985,0.013493223,false
1380,74,0.9984985,0.013493223,false
1811,74,0.9984985,0.013493223,false
1897,74,0.9984985,0.013493223,false
2149,74,0.9984985,0.013493223,false
2167,74,0.9984985,0.013493223,false
1200,75,0.9984985,0.013313313,false
1724,75,0.9984985,0.013313313,false
1878,75,0.9984985,0.013313313,false
1994,75,0.9984985,0.013313313,false
2198,75,0.9984985,0.013313313,false
1232,67,0.83316606,0.012435314,false
1435,67,0.83316606,0.012435314,false
1539,67,0.83316606,0.012435314,false
1743,67,0.83316606,0.012435314,false
1822,67,0.83316606,0.012435314,false
1847,67,0.83316606,0.012435314,false
2031,67,0.83316606,0.012435314,false
2181,67,0.83316606,0.012435314,true
87,81,0.9984985,0.012327142,false
171,81,0.9984985,0.012327142,false
331,81,0.9984985,0.012327142,false
457,81,0.9984985,0.012327142,false
570,81,0.9984985,0.012327142,false
