ID,Size,Predicted,Actual
638,24,0.9997946,NO
296,28,0.9997946,NO
151,35,0.9997946,NO
637,35,0.9997946,NO
1405,35,0.9997946,NO
300,36,0.9997946,NO
1245,36,0.9997946,NO
1241,37,0.9997946,NO
157,40,0.9997946,NO
1283,41,0.9997946,NO
150,42,0.9997946,NO
1275,43,0.9997946,NO
1458,43,0.9997946,NO
1498,43,0.9997946,NO
297,44,0.9997946,NO
338,44,0.9997946,NO
521,44,0.9997946,NO
1459,44,0.9997946,NO
154,48,0.9997946,NO
536,49,0.9997946,NO
333,60,0.9997946,NO
153,65,0.9997946,NO
299,67,0.9997946,NO
360,68,0.9997946,NO
341,70,0.9997946,NO
687,71,0.9997946,NO
675,74,0.9997946,NO
679,75,0.9997946,NO
683,75,0.9997946,NO
359,76,0.9997946,NO
999,76,0.9997946,NO
1404,78,0.9997946,NO
295,80,0.9997946,NO
674,81,0.9997946,NO
681,81,0.9997946,NO
298,83,0.9997946,NO
534,85,0.9997946,NO
1306,87,0.9997946,NO
526,88,0.9997946,NO
155,89,0.9997946,NO
138,92,0.9997946,NO
1000,94,0.9997946,NO
523,107,0.9997946,NO
714,108,0.9997946,NO
49,113,0.9997946,NO
1497,121,0.9997946,YES
373,124,0.9997946,NO
152,125,0.9997946,NO
680,130,0.9997946,NO
1504,130,0.9997946,NO
109,132,0.9997946,YES
700,134,0.9997946,YES
686,135,0.9997946,NO
1449,135,0.9997946,YES
1461,142,0.9997946,NO
47,145,0.9997946,YES
48,145,0.9997946,NO
112,158,0.9997946,NO
135,189,0.9997946,YES
1396,200,0.9997946,NO
1060,240,0.9997946,NO
705,243,0.9997946,NO
1165,246,0.9997946,YES
709,247,0.9997946,YES
531,262,0.9997946,NO
673,270,0.9997946,NO
284,273,0.9997946,NO
954,274,0.9997946,NO
422,281,0.9997946,YES
739,286,0.9997946,NO
479,289,0.9997946,YES
305,315,0.9997946,YES
451,341,0.9997946,YES
378,349,0.9997946,YES
621,351,0.9997946,NO
1423,356,0.9997946,NO
1387,361,0.9997946,NO
979,363,0.9997946,NO
55,368,0.9997946,NO
736,401,0.9997946,YES
730,427,0.9997946,YES
1186,532,0.9997946,YES
708,541,0.9997946,YES
1433,569,0.9997946,YES
59,610,0.9997946,YES
731,633,0.9997946,YES
372,720,0.9997946,YES
610,2521,0.9997946,YES
639,25,2.0542317E-4,NO
106,27,2.0542317E-4,NO
1439,27,2.0542317E-4,NO
726,28,2.0542317E-4,NO
1182,28,2.0542317E-4,NO
127,29,2.0542317E-4,NO
660,30,2.0542317E-4,NO
131,31,2.0542317E-4,NO
326,31,2.0542317E-4,NO
720,31,2.0542317E-4,NO
1159,31,2.0542317E-4,NO
1160,31,2.0542317E-4,NO
1244,32,2.0542317E-4,NO
528,34,2.0542317E-4,NO
1237,35,2.0542317E-4,NO
133,36,2.0542317E-4,NO
327,36,2.0542317E-4,NO
337,36,2.0542317E-4,NO
519,36,2.0542317E-4,NO
657,36,2.0542317E-4,NO
682,36,2.0542317E-4,NO
1261,36,2.0542317E-4,NO
522,37,2.0542317E-4,NO
529,37,2.0542317E-4,NO
721,37,2.0542317E-4,NO
1259,37,2.0542317E-4,NO
1273,38,2.0542317E-4,NO
430,40,2.0542317E-4,YES
658,40,2.0542317E-4,NO
661,40,2.0542317E-4,NO
103,42,2.0542317E-4,NO
431,42,2.0542317E-4,YES
104,44,2.0542317E-4,NO
130,45,2.0542317E-4,NO
724,45,2.0542317E-4,NO
746,24,1.0273269E-4,NO
116,48,2.0542317E-4,NO
368,48,2.0542317E-4,NO
1406,48,2.0542317E-4,NO
128,49,2.0542317E-4,NO
1544,50,2.0542317E-4,NO
664,51,2.0542317E-4,YES
1260,51,2.0542317E-4,NO
1262,51,2.0542317E-4,NO
666,52,2.0542317E-4,NO
733,52,2.0542317E-4,NO
82,55,2.0542317E-4,NO
91,55,2.0542317E-4,YES
192,55,2.0542317E-4,NO
196,55,2.0542317E-4,NO
223,55,2.0542317E-4,NO
285,55,2.0542317E-4,NO
1005,55,2.0542317E-4,NO
1091,55,2.0542317E-4,NO
1118,55,2.0542317E-4,NO
1291,55,2.0542317E-4,NO
118,56,2.0542317E-4,NO
426,58,2.0542317E-4,YES
1394,59,2.0542317E-4,NO
1413,59,2.0542317E-4,NO
108,60,2.0542317E-4,NO
1414,60,2.0542317E-4,NO
1415,60,2.0542317E-4,NO
1416,60,2.0542317E-4,NO
670,61,2.0542317E-4,NO
1039,31,1.0273269E-4,NO
181,63,2.0542317E-4,NO
221,63,2.0542317E-4,NO
332,63,2.0542317E-4,YES
400,63,2.0542317E-4,NO
481,63,2.0542317E-4,NO
591,63,2.0542317E-4,NO
865,63,2.0542317E-4,NO
911,63,2.0542317E-4,YES
1022,63,2.0542317E-4,NO
1142,63,2.0542317E-4,NO
1316,63,2.0542317E-4,NO
719,32,1.0273269E-4,NO
1412,32,1.0273269E-4,NO
693,65,2.0542317E-4,NO
723,22,6.849315E-5,NO
176,66,2.0542317E-4,NO
249,66,2.0542317E-4,NO
254,66,2.0542317E-4,NO
405,66,2.0542317E-4,NO
690,66,2.0542317E-4,NO
1238,66,2.0542317E-4,YES
1293,66,2.0542317E-4,YES
1378,66,2.0542317E-4,NO
1435,66,2.0542317E-4,NO
1460,66,2.0542317E-4,YES
1513,66,2.0542317E-4,NO
525,67,2.0542317E-4,NO
513,34,1.0273269E-4,NO
737,35,1.0273269E-4,NO
424,70,2.0542317E-4,YES
718,70,2.0542317E-4,NO
411,71,2.0542317E-4,NO
1040,71,2.0542317E-4,NO
1426,24,6.849315E-5,NO
616,72,2.0542317E-4,NO
1395,72,2.0542317E-4,NO
160,73,2.0542317E-4,NO
1309,73,2.0542317E-4,NO
506,38,1.0273269E-4,NO
508,38,1.0273269E-4,NO
1546,38,1.0273269E-4,NO
504,76,2.0542317E-4,NO
716,76,2.0542317E-4,NO
23,77,2.0542317E-4,NO
65,77,2.0542317E-4,NO
66,77,2.0542317E-4,NO
261,77,2.0542317E-4,YES
840,77,2.0542317E-4,NO
1020,77,2.0542317E-4,NO
1317,77,2.0542317E-4,NO
1492,77,2.0542317E-4,NO
507,39,1.0273269E-4,NO
0,78,2.0542317E-4,NO
129,78,2.0542317E-4,NO
1021,78,2.0542317E-4,NO
1349,78,2.0542317E-4,NO
677,79,2.0542317E-4,NO
717,79,2.0542317E-4,NO
1098,79,2.0542317E-4,YES
509,40,1.0273269E-4,NO
1402,40,1.0273269E-4,NO
712,81,2.0542317E-4,NO
1512,81,2.0542317E-4,NO
510,41,1.0273269E-4,NO
1499,41,1.0273269E-4,NO
618,82,2.0542317E-4,NO
722,83,2.0542317E-4,NO
512,42,1.0273269E-4,NO
1399,42,1.0273269E-4,NO
1410,42,1.0273269E-4,NO
45,85,2.0542317E-4,YES
137,85,2.0542317E-4,NO
239,85,2.0542317E-4,NO
907,85,2.0542317E-4,NO
1031,85,2.0542317E-4,NO
1150,85,2.0542317E-4,NO
1354,85,2.0542317E-4,NO
1514,85,2.0542317E-4,NO
1539,85,2.0542317E-4,NO
1407,43,1.0273269E-4,NO
1409,43,1.0273269E-4,NO
168,86,2.0542317E-4,NO
309,86,2.0542317E-4,NO
432,86,2.0542317E-4,NO
1154,86,2.0542317E-4,NO
1517,86,2.0542317E-4,NO
2,87,2.0542317E-4,NO
449,87,2.0542317E-4,YES
505,87,2.0542317E-4,NO
734,87,2.0542317E-4,NO
974,87,2.0542317E-4,NO
1117,87,2.0542317E-4,NO
702,22,5.1371622E-5,NO
1408,44,1.0273269E-4,NO
1417,45,1.0273269E-4,NO
1252,91,2.0542317E-4,NO
319,46,1.0273269E-4,NO
320,46,1.0273269E-4,NO
334,46,1.0273269E-4,NO
345,46,1.0273269E-4,NO
357,46,1.0273269E-4,NO
358,46,1.0273269E-4,NO
452,46,1.0273269E-4,YES
695,46,1.0273269E-4,NO
1194,46,1.0273269E-4,NO
1247,46,1.0273269E-4,NO
1266,46,1.0273269E-4,NO
1397,46,1.0273269E-4,NO
1558,46,1.0273269E-4,NO
1157,31,6.849315E-5,NO
38,93,2.0542317E-4,NO
111,93,2.0542317E-4,YES
107,47,1.0273269E-4,NO
1158,32,6.849315E-5,NO
251,97,2.0542317E-4,NO
374,97,2.0542317E-4,NO
511,97,2.0542317E-4,NO
532,97,2.0542317E-4,NO
1366,97,2.0542317E-4,NO
1556,97,2.0542317E-4,NO
44,98,2.0542317E-4,NO
140,98,2.0542317E-4,NO
356,98,2.0542317E-4,NO
436,98,2.0542317E-4,YES
566,98,2.0542317E-4,NO
577,98,2.0542317E-4,NO
980,98,2.0542317E-4,NO
159,99,2.0542317E-4,NO
406,99,2.0542317E-4,NO
960,99,2.0542317E-4,NO
428,50,1.0273269E-4,NO
324,100,2.0542317E-4,NO
1120,100,2.0542317E-4,NO
1123,100,2.0542317E-4,NO
1540,100,2.0542317E-4,NO
167,101,2.0542317E-4,NO
212,101,2.0542317E-4,NO
237,101,2.0542317E-4,NO
421,101,2.0542317E-4,YES
495,101,2.0542317E-4,NO
579,101,2.0542317E-4,NO
859,101,2.0542317E-4,NO
480,102,2.0542317E-4,NO
537,102,2.0542317E-4,NO
685,26,5.1371622E-5,NO
1401,52,1.0273269E-4,NO
183,104,2.0542317E-4,NO
294,104,2.0542317E-4,NO
1035,104,2.0542317E-4,NO
1228,104,2.0542317E-4,YES
197,35,6.849315E-5,NO
242,35,6.849315E-5,NO
533,35,6.849315E-5,NO
890,35,6.849315E-5,NO
1059,35,6.849315E-5,NO
1256,35,6.849315E-5,NO
1391,35,6.849315E-5,NO
1432,35,6.849315E-5,NO
6,105,2.0542317E-4,NO
253,105,2.0542317E-4,NO
396,105,2.0542317E-4,NO
735,105,2.0542317E-4,NO
1070,105,2.0542317E-4,NO
1096,105,2.0542317E-4,YES
1535,105,2.0542317E-4,NO
9,106,2.0542317E-4,NO
18,106,2.0542317E-4,YES
56,106,2.0542317E-4,NO
169,106,2.0542317E-4,NO
172,106,2.0542317E-4,NO
578,106,2.0542317E-4,NO
844,106,2.0542317E-4,NO
1108,106,2.0542317E-4,NO
1308,107,2.0542317E-4,NO
1310,107,2.0542317E-4,NO
14,108,2.0542317E-4,YES
694,108,2.0542317E-4,NO
665,55,1.0273269E-4,NO
1041,55,1.0273269E-4,NO
965,111,2.0542317E-4,NO
654,28,5.1371622E-5,NO
502,56,1.0273269E-4,NO
989,56,1.0273269E-4,NO
110,112,2.0542317E-4,YES
471,112,2.0542317E-4,YES
560,112,2.0542317E-4,NO
