ID,Size,Predicted,Actual
308,34,0.999693,NO
63,38,0.999693,NO
58,39,0.999693,NO
61,42,0.999693,NO
261,50,0.999693,NO
247,51,0.999693,NO
237,52,0.999693,YES
354,52,0.999693,NO
65,54,0.999693,NO
64,63,0.999693,NO
538,64,0.999693,NO
291,67,0.999693,NO
320,67,0.999693,NO
306,69,0.999693,NO
297,38,0.5,NO
15,77,0.999693,NO
122,77,0.999693,NO
301,40,0.5,NO
323,40,0.5,NO
79,81,0.999693,NO
80,83,0.999693,NO
123,83,0.999693,NO
578,84,0.999693,YES
99,85,0.999693,NO
110,93,0.999693,NO
119,93,0.999693,NO
100,95,0.999693,NO
112,96,0.999693,NO
111,97,0.999693,NO
325,98,0.999693,NO
97,101,0.999693,NO
113,105,0.999693,NO
343,108,0.999693,NO
12,110,0.999693,NO
292,112,0.999693,NO
253,113,0.999693,YES
350,114,0.999693,YES
255,116,0.999693,NO
118,117,0.999693,NO
515,120,0.999693,YES
256,121,0.999693,YES
719,121,0.999693,YES
357,124,0.999693,YES
154,131,0.999693,NO
98,139,0.999693,NO
16,142,0.999693,NO
289,147,0.999693,NO
155,149,0.999693,NO
46,77,0.5,NO
47,77,0.5,NO
521,154,0.999693,NO
439,157,0.999693,YES
76,158,0.999693,NO
221,160,0.999693,NO
512,163,0.999693,YES
318,166,0.999693,NO
108,167,0.999693,NO
714,84,0.5,NO
790,84,0.5,NO
141,171,0.999693,NO
511,94,0.545452,NO
660,94,0.545452,NO
806,94,0.545452,YES
813,94,0.545452,NO
232,178,0.999693,YES
280,186,0.999693,YES
281,194,0.999693,YES
290,215,0.999693,YES
214,235,0.999693,NO
240,240,0.999693,YES
284,241,0.999693,YES
139,249,0.999693,YES
351,259,0.999693,YES
39,263,0.999693,NO
568,266,0.999693,YES
430,136,0.5,YES
673,136,0.5,NO
271,281,0.999693,YES
245,284,0.999693,YES
331,304,0.999693,NO
199,306,0.999693,NO
495,343,0.999693,NO
493,346,0.999693,NO
136,89,0.2500192,NO
487,89,0.2500192,NO
489,89,0.2500192,NO
534,89,0.2500192,YES
873,359,0.999693,NO
584,360,0.999693,YES
358,405,0.999693,NO
360,405,0.999693,NO
368,405,0.999693,NO
380,405,0.999693,NO
392,405,0.999693,NO
383,406,0.999693,NO
377,421,0.999693,NO
865,426,0.999693,NO
480,448,0.999693,YES
367,457,0.999693,NO
373,498,0.999693,NO
369,506,0.999693,NO
378,506,0.999693,NO
361,513,0.999693,NO
397,513,0.999693,NO
399,513,0.999693,NO
396,515,0.999693,NO
403,532,0.999693,YES
129,135,0.2500384,NO
402,553,0.999693,NO
381,560,0.999693,NO
31,113,0.20003687,NO
759,113,0.20003687,NO
577,198,0.33336747,NO
427,627,0.999693,YES
708,628,0.999693,YES
395,663,0.999693,NO
363,713,0.999693,NO
372,713,0.999693,NO
479,33,0.04546724,NO
637,33,0.04546724,NO
649,33,0.04546724,NO
735,33,0.04546724,NO
785,33,0.04546724,NO
801,33,0.04546724,NO
831,33,0.04546724,NO
861,33,0.04546724,NO
364,768,0.999693,YES
401,802,0.999693,NO
365,851,0.999693,NO
375,914,0.999693,NO
398,916,0.999693,NO
376,921,0.999693,NO
414,61,0.058839474,NO
549,61,0.058839474,NO
601,61,0.058839474,NO
603,61,0.058839474,NO
627,61,0.058839474,NO
661,61,0.058839474,NO
762,61,0.058839474,NO
778,61,0.058839474,NO
411,1207,0.999693,YES
408,1279,0.999693,YES
370,1328,0.999693,YES
362,1389,0.999693,NO
332,1560,0.999693,YES
371,2935,0.999693,YES
390,21405,0.999693,YES
201,14,3.07031E-4,NO
303,21,3.07031E-4,NO
302,22,3.07031E-4,NO
324,22,3.07031E-4,NO
88,25,3.07031E-4,NO
252,25,3.07031E-4,NO
265,25,3.07031E-4,NO
298,25,3.07031E-4,NO
103,26,3.07031E-4,NO
