ID,Size,Predicted,Actual
83,12,0.9895833,NO
87,14,0.9895833,NO
106,25,0.9895833,NO
138,25,0.9895833,NO
652,25,0.9895833,NO
137,26,0.9895833,NO
114,28,0.9895833,NO
117,28,0.9895833,NO
48,29,0.9895833,NO
109,29,0.9895833,NO
47,30,0.9895833,NO
278,30,0.9895833,NO
52,31,0.9895833,NO
135,31,0.9895833,NO
250,31,0.9895833,NO
252,31,0.9895833,NO
279,31,0.9895833,NO
281,31,0.9895833,NO
20,32,0.9895833,NO
57,32,0.9895833,NO
167,32,0.9895833,NO
282,32,0.9895833,NO
424,32,0.9895833,NO
28,33,0.9895833,YES
512,34,0.9895833,NO
680,34,0.9895833,NO
362,35,0.9895833,NO
426,37,0.9895833,NO
54,40,0.9895833,NO
56,40,0.9895833,NO
65,40,0.9895833,NO
317,41,0.9895833,NO
320,41,0.9895833,NO
43,43,0.9895833,NO
314,43,0.9895833,NO
344,44,0.9895833,NO
322,45,0.9895833,NO
332,46,0.9895833,NO
481,47,0.9895833,NO
676,47,0.9895833,NO
41,48,0.9895833,NO
319,50,0.9895833,NO
50,52,0.9895833,YES
71,52,0.9895833,NO
521,53,0.9895833,YES
89,54,0.9895833,NO
97,54,0.9895833,NO
79,55,0.9895833,NO
316,55,0.9895833,NO
146,57,0.9895833,NO
505,59,0.9895833,YES
486,60,0.9895833,NO
494,65,0.9895833,YES
260,66,0.9895833,YES
38,69,0.9895833,YES
49,69,0.9895833,NO
116,69,0.9895833,NO
60,70,0.9895833,NO
62,70,0.9895833,NO
337,70,0.9895833,NO
104,71,0.9895833,YES
243,71,0.9895833,YES
103,73,0.9895833,YES
0,78,0.9895833,YES
102,80,0.9895833,NO
283,80,0.9895833,NO
77,81,0.9895833,NO
95,81,0.9895833,NO
284,82,0.9895833,NO
88,83,0.9895833,NO
90,83,0.9895833,NO
26,85,0.9895833,NO
70,86,0.9895833,NO
105,86,0.9895833,NO
1,87,0.9895833,NO
72,88,0.9895833,NO
155,92,0.9895833,NO
108,94,0.9895833,NO
325,94,0.9895833,NO
136,98,0.9895833,NO
145,99,0.9895833,NO
158,99,0.9895833,NO
248,99,0.9895833,NO
160,100,0.9895833,NO
370,105,0.9895833,NO
427,105,0.9895833,NO
36,106,0.9895833,NO
9,107,0.9895833,NO
182,108,0.9895833,YES
11,110,0.9895833,YES
242,112,0.9895833,NO
30,113,0.9895833,NO
126,113,0.9895833,NO
516,113,0.9895833,YES
15,114,0.9895833,NO
329,114,0.9895833,YES
500,114,0.9895833,YES
128,116,0.9895833,NO
129,116,0.9895833,YES
323,116,0.9895833,YES
24,118,0.9895833,NO
23,119,0.9895833,NO
10,121,0.9895833,NO
527,121,0.9895833,YES
189,124,0.9895833,YES
33,125,0.9895833,NO
306,125,0.9895833,NO
68,131,0.9895833,YES
336,131,0.9895833,NO
46,135,0.9895833,NO
244,136,0.9895833,NO
484,136,0.9895833,NO
67,139,0.9895833,NO
430,139,0.9895833,NO
14,142,0.9895833,YES
245,145,0.9895833,YES
29,146,0.9895833,NO
31,147,0.9895833,NO
161,147,0.9895833,NO
21,148,0.9895833,NO
69,149,0.9895833,YES
107,152,0.9895833,YES
255,155,0.9895833,NO
22,156,0.9895833,NO
25,156,0.9895833,NO
333,157,0.9895833,NO
253,158,0.9895833,YES
326,159,0.9895833,YES
18,164,0.9895833,NO
55,164,0.9895833,YES
251,165,0.9895833,NO
249,166,0.9895833,NO
677,171,0.9895833,YES
324,172,0.9895833,YES
7,173,0.9895833,NO
153,173,0.9895833,YES
482,173,0.9895833,YES
664,176,0.9895833,NO
37,181,0.9895833,NO
509,182,0.9895833,YES
287,185,0.9895833,NO
162,188,0.9895833,YES
112,195,0.9895833,NO
4,196,0.9895833,NO
45,202,0.9895833,NO
346,206,0.9895833,NO
495,217,0.9895833,YES
305,219,0.9895833,NO
53,233,0.9895833,YES
156,241,0.9895833,YES
113,243,0.9895833,YES
8,246,0.9895833,NO
501,249,0.9895833,NO
34,252,0.9895833,NO
379,260,0.9895833,YES
341,261,0.9895833,YES
118,273,0.9895833,YES
342,281,0.9895833,NO
312,284,0.9895833,YES
671,289,0.9895833,NO
310,296,0.9895833,NO
257,301,0.9895833,YES
395,314,0.9895833,YES
85,317,0.9895833,NO
204,335,0.9895833,YES
212,336,0.9895833,YES
309,343,0.9895833,NO
190,344,0.9895833,YES
191,344,0.9895833,YES
198,344,0.9895833,YES
209,344,0.9895833,YES
214,344,0.9895833,YES
165,345,0.9895833,YES
307,346,0.9895833,NO
487,351,0.9895833,NO
459,359,0.9895833,YES
681,359,0.9895833,NO
35,368,0.9895833,NO
394,383,0.9895833,YES
241,384,0.9895833,YES
197,389,0.9895833,YES
170,423,0.9895833,YES
294,448,0.9895833,YES
223,452,0.9895833,YES
125,5,0.010416667,YES
510,498,0.9895833,NO
517,536,0.9895833,YES
202,625,0.9895833,YES
221,676,0.9895833,YES
208,679,0.9895833,YES
205,695,0.9895833,YES
224,722,0.9895833,YES
674,722,0.9895833,NO
195,723,0.9895833,YES
219,772,0.9895833,YES
200,1079,0.9895833,YES
227,1101,0.9895833,YES
225,1124,0.9895833,YES
164,1424,0.9895833,YES
489,20,0.010416667,NO
181,22,0.010416667,NO
269,22,0.010416667,NO
272,22,0.010416667,NO
383,22,0.010416667,NO
390,22,0.010416667,NO
445,22,0.010416667,NO
458,22,0.010416667,NO
546,22,0.010416667,NO
268,23,0.010416667,NO
353,23,0.010416667,NO
368,23,0.010416667,NO
540,23,0.010416667,NO
541,23,0.010416667,NO
542,23,0.010416667,NO
641,23,0.010416667,NO
661,23,0.010416667,NO
201,2346,0.9895833,YES
133,26,0.010416667,NO
152,26,0.010416667,NO
82,27,0.010416667,NO
150,28,0.010416667,NO
86,29,0.010416667,NO
371,29,0.010416667,NO
382,29,0.010416667,NO
446,29,0.010416667,NO
451,29,0.010416667,NO
452,29,0.010416667,NO
545,29,0.010416667,NO
573,29,0.010416667,NO
578,29,0.010416667,NO
592,29,0.010416667,NO
180,30,0.010416667,NO
235,30,0.010416667,NO
236,30,0.010416667,NO
387,30,0.010416667,NO
523,30,0.010416667,NO
637,30,0.010416667,NO
667,30,0.010416667,NO
147,31,0.010416667,NO
277,31,0.010416667,NO
289,31,0.010416667,NO
374,31,0.010416667,NO
391,31,0.010416667,NO
434,31,0.010416667,NO
470,31,0.010416667,NO
533,31,0.010416667,NO
549,31,0.010416667,NO
550,31,0.010416667,NO
559,31,0.010416667,NO
590,31,0.010416667,NO
610,31,0.010416667,NO
632,31,0.010416667,NO
74,32,0.010416667,NO
92,32,0.010416667,NO
131,32,0.010416667,NO
231,32,0.010416667,NO
232,32,0.010416667,NO
233,32,0.010416667,NO
364,32,0.010416667,NO
365,32,0.010416667,NO
366,32,0.010416667,NO
367,32,0.010416667,NO
376,32,0.010416667,NO
392,32,0.010416667,NO
455,32,0.010416667,NO
529,32,0.010416667,NO
530,32,0.010416667,NO
544,32,0.010416667,NO
666,32,0.010416667,NO
670,32,0.010416667,NO
132,34,0.010416667,NO
151,34,0.010416667,NO
265,34,0.010416667,NO
372,34,0.010416667,NO
440,34,0.010416667,NO
535,34,0.010416667,NO
78,35,0.010416667,NO
96,35,0.010416667,NO
234,35,0.010416667,NO
425,35,0.010416667,NO
492,35,0.010416667,NO
685,35,0.010416667,NO
119,36,0.010416667,NO
127,36,0.010416667,NO
141,36,0.010416667,NO
166,36,0.010416667,YES
447,36,0.010416667,NO
457,36,0.010416667,NO
554,36,0.010416667,NO
625,36,0.010416667,NO
665,36,0.010416667,NO
13,37,0.010416667,NO
115,37,0.010416667,NO
123,37,0.010416667,NO
143,37,0.010416667,NO
437,37,0.010416667,NO
488,37,0.010416667,NO
668,37,0.010416667,NO
121,38,0.010416667,NO
230,38,0.010416667,NO
266,38,0.010416667,NO
276,38,0.010416667,NO
280,38,0.010416667,NO
375,38,0.010416667,NO
416,38,0.010416667,NO
504,38,0.010416667,NO
558,38,0.010416667,NO
561,38,0.010416667,NO
588,38,0.010416667,NO
619,38,0.010416667,NO
