ID,Size,Predicted,Actual
0,78,2.288020658180969E-4,NO
1,302,6.857785672427752E-4,NO
2,87,0.8695541834603134,NO
3,198,0.7692023281935038,NO
4,175,0.7999835196147478,NO
5,65,0.7692023281935036,NO
6,105,0.666651407609526,NO
7,58,0.8108050422655003,NO
8,196,3.43124591111866E-4,NO
9,106,0.933325398042412,NO
10,130,0.7692023281935036,NO
11,64,0.7894684530551452,NO
12,132,0.7692023281935036,NO
13,62,0.8333269749319977,NO
14,108,0.9090653714951491,YES
15,432,0.9999313373860474,NO
16,174,0.7692023281935036,NO
17,246,0.8332951865636075,NO
18,106,0.933325398042412,YES
19,121,0.8332951865636075,NO
20,110,0.7692165479609823,NO
21,58,0.8108050422655003,NO
22,37,0.8396910950714582,NO
23,77,0.9677315741666425,NO
24,142,0.8571288429898588,NO
25,114,0.7692023281935036,NO
26,80,0.8823452186977006,NO
27,59,0.7499957080709115,NO
28,69,0.8333206167732332,NO
29,95,0.8510535712483334,NO
30,64,0.7894684530551452,NO
31,164,0.7692023281935036,YES
32,70,0.8333142588570258,NO
33,32,0.79584634488766,NO
34,148,0.8332951865636075,NO
35,156,0.8107992739343105,NO
36,119,0.7999835196147478,NO
37,116,6.857785672427752E-4,NO
38,93,0.7142752037740728,NO
39,229,0.9999771103664664,YES
40,123,0.9999828325783717,NO
41,201,1.7162118300417743E-4,NO
42,180,0.5882281661076042,NO
43,156,0.8107992739343105,NO
44,98,0.909078139894469,NO
45,85,0.7316995554721216,YES
46,48,0.8641913556135982,NO
47,145,0.9999313373860474,YES
48,145,0.9999313373860474,NO
49,113,0.7692165479609823,NO
50,146,3.43124591111866E-4,NO
51,113,0.7692165479609823,NO
52,147,0.666651407609526,NO
53,125,0.8695541834603134,NO
54,252,0.8332951865636075,NO
55,368,0.8332951865636075,NO
56,106,0.933325398042412,NO
57,181,0.5882281661076042,NO
58,260,0.8332951865636075,NO
59,610,0.9999313373860474,YES
60,39,0.7352893653524311,NO
61,39,0.7352893653524311,NO
62,39,0.7352893653524311,NO
63,24,0.7352917414757489,NO
64,62,0.8333269749319977,NO
65,77,0.9677315741666425,NO
66,77,0.9677315741666425,NO
67,54,0.6896461907643971,NO
68,92,0.6666590367888221,NO
69,58,0.8108050422655003,NO
70,24,0.7352917414757489,NO
71,64,0.7894684530551452,NO
72,216,0.8695431501881726,NO
73,36,0.7619013361333006,NO
74,36,0.7619013361333006,NO
75,208,0.9999313373860474,NO
76,39,0.7352893653524311,NO
77,47,0.862064678668677,NO
78,74,0.8332951865636075,NO
79,71,0.9677212133084472,NO
80,56,0.8571358499288776,YES
81,44,0.7499971386975671,NO
82,55,0.833323795822295,YES
83,53,0.8035677059616126,NO
84,221,0.9999313373860474,YES
85,44,0.7499971386975671,NO
86,171,0.8695431501881726,NO
87,511,0.9999313373860474,YES
