ID,Size,Predicted,Actual
0,0,0.02200263,YES
1,0,0.02200263,YES
2,0,0.02200263,YES
3,0,0.02200263,YES
4,0,0.02200263,YES
5,0,0.02200263,YES
6,0,0.02200263,YES
7,0,0.02200263,YES
8,0,0.02200263,YES
9,0,0.02200263,YES
10,0,0.02200263,YES
11,0,0.02200263,YES
12,0,0.02200263,YES
13,0,0.02200263,YES
15,0,0.02200263,YES
16,0,0.02200263,YES
17,0,0.02200263,YES
18,0,0.02200263,NO
19,0,0.02200263,YES
20,0,0.02200263,YES
21,0,0.02200263,YES
22,0,0.02200263,YES
23,0,0.02200263,YES
24,0,0.02200263,YES
25,0,0.02200263,YES
26,0,0.02200263,YES
27,0,0.02200263,YES
28,0,0.02200263,YES
29,0,0.02200263,YES
30,0,0.02200263,YES
32,0,0.02200263,YES
33,0,0.02200263,YES
34,0,0.02200263,YES
35,0,0.02200263,YES
36,0,0.02200263,YES
37,0,0.02200263,YES
38,0,0.02200263,YES
40,0,0.02200263,YES
41,0,0.02200263,YES
42,0,0.02200263,YES
43,0,0.02200263,YES
44,0,0.02200263,YES
46,0,0.02200263,YES
48,0,0.02200263,YES
49,0,0.02200263,YES
50,0,0.02200263,YES
51,0,0.02200263,YES
52,0,0.02200263,YES
53,0,0.02200263,YES
54,0,0.02200263,YES
55,0,0.02200263,YES
56,0,0.02200263,YES
57,0,0.02200263,YES
58,0,0.02200263,YES
60,0,0.02200263,YES
61,0,0.02200263,YES
62,0,0.02200263,YES
63,0,0.02200263,YES
64,0,0.02200263,YES
65,0,0.02200263,YES
66,0,0.02200263,YES
67,0,0.02200263,YES
68,0,0.02200263,YES
69,0,0.02200263,YES
70,0,0.02200263,YES
71,0,0.02200263,YES
72,0,0.02200263,YES
73,0,0.02200263,YES
74,0,0.02200263,YES
75,0,0.02200263,YES
76,0,0.02200263,YES
77,0,0.02200263,YES
78,0,0.02200263,YES
79,0,0.02200263,YES
80,0,0.02200263,YES
81,0,0.02200263,YES
82,0,0.02200263,YES
83,0,0.02200263,YES
84,0,0.02200263,YES
86,0,0.02200263,YES
87,0,0.02200263,YES
88,0,0.02200263,YES
89,0,0.02200263,YES
91,0,0.02200263,YES
93,0,0.02200263,YES
95,0,0.02200263,YES
96,0,0.02200263,YES
102,0,0.02200263,NO
103,0,0.02200263,NO
104,0,0.02200263,YES
105,0,0.02200263,YES
106,0,0.02200263,YES
107,0,0.02200263,YES
108,0,0.02200263,YES
109,0,0.02200263,YES
110,0,0.02200263,YES
111,0,0.02200263,YES
113,0,0.02200263,NO
114,0,0.02200263,NO
115,0,0.02200263,YES
116,0,0.02200263,YES
117,0,0.02200263,NO
118,0,0.02200263,NO
119,0,0.02200263,YES
120,0,0.02200263,YES
121,0,0.02200263,YES
122,0,0.02200263,YES
123,0,0.02200263,YES
124,0,0.02200263,YES
126,0,0.02200263,YES
130,0,0.02200263,YES
131,0,0.02200263,YES
132,0,0.02200263,YES
133,0,0.02200263,YES
134,0,0.02200263,YES
135,0,0.02200263,YES
136,0,0.02200263,YES
137,0,0.02200263,YES
139,0,0.02200263,YES
140,0,0.02200263,YES
141,0,0.02200263,YES
142,0,0.02200263,YES
143,0,0.02200263,YES
144,0,0.02200263,YES
145,0,0.02200263,YES
146,0,0.02200263,YES
147,0,0.02200263,YES
148,0,0.02200263,YES
149,0,0.02200263,YES
150,0,0.02200263,YES
151,0,0.02200263,YES
152,0,0.02200263,YES
153,0,0.02200263,YES
154,0,0.02200263,YES
155,0,0.02200263,YES
156,0,0.02200263,YES
157,0,0.02200263,YES
158,0,0.02200263,YES
159,0,0.02200263,YES
160,0,0.02200263,YES
161,0,0.02200263,YES
162,0,0.02200263,YES
163,0,0.02200263,YES
164,0,0.02200263,YES
165,0,0.02200263,YES
166,0,0.02200263,YES
167,0,0.02200263,YES
168,0,0.02200263,YES
169,0,0.02200263,YES
170,0,0.02200263,YES
171,0,0.02200263,YES
172,0,0.02200263,YES
173,0,0.02200263,YES
174,0,0.02200263,YES
175,0,0.02200263,YES
176,0,0.02200263,YES
177,0,0.02200263,YES
178,0,0.02200263,YES
179,0,0.02200263,YES
180,0,0.02200263,YES
181,0,0.02200263,YES
182,0,0.02200263,YES
183,0,0.02200263,YES
184,0,0.02200263,YES
185,0,0.02200263,YES
186,0,0.02200263,YES
200,0,0.02200263,YES
201,0,0.02200263,YES
202,0,0.02200263,YES
203,0,0.02200263,YES
204,0,0.02200263,YES
205,0,0.02200263,YES
206,0,0.02200263,YES
207,0,0.02200263,YES
208,0,0.02200263,YES
209,0,0.02200263,YES
210,0,0.02200263,YES
211,0,0.02200263,YES
212,0,0.02200263,YES
213,0,0.02200263,YES
214,0,0.02200263,YES
215,0,0.02200263,YES
216,0,0.02200263,YES
218,0,0.02200263,YES
219,0,0.02200263,YES
220,0,0.02200263,YES
221,0,0.02200263,YES
222,0,0.02200263,YES
223,0,0.02200263,YES
224,0,0.02200263,YES
225,0,0.02200263,YES
227,0,0.02200263,YES
228,0,0.02200263,YES
229,0,0.02200263,YES
230,0,0.02200263,YES
231,0,0.02200263,YES
232,0,0.02200263,YES
233,0,0.02200263,YES
234,0,0.02200263,YES
235,0,0.02200263,YES
236,0,0.02200263,YES
237,0,0.02200263,YES
238,0,0.02200263,YES
239,0,0.02200263,YES
240,0,0.02200263,YES
241,0,0.02200263,YES
242,0,0.02200263,YES
243,0,0.02200263,YES
244,0,0.02200263,YES
245,0,0.02200263,YES
246,0,0.02200263,YES
247,0,0.02200263,YES
248,0,0.02200263,YES
249,0,0.02200263,YES
250,0,0.02200263,YES
251,0,0.02200263,YES
252,0,0.02200263,YES
253,0,0.02200263,YES
254,0,0.02200263,YES
255,0,0.02200263,YES
256,0,0.02200263,YES
257,0,0.02200263,YES
258,0,0.02200263,YES
259,0,0.02200263,YES
260,0,0.02200263,YES
261,0,0.02200263,YES
262,0,0.02200263,YES
263,0,0.02200263,YES
264,0,0.02200263,YES
265,0,0.02200263,YES
266,0,0.02200263,YES
267,0,0.02200263,YES
268,0,0.02200263,YES
269,0,0.02200263,YES
270,0,0.02200263,YES
271,0,0.02200263,YES
272,0,0.02200263,YES
273,0,0.02200263,YES
274,0,0.02200263,YES
275,0,0.02200263,YES
276,0,0.02200263,YES
279,0,0.02200263,YES
280,0,0.02200263,YES
281,0,0.02200263,YES
282,0,0.02200263,YES
283,0,0.02200263,YES
284,0,0.02200263,YES
286,0,0.02200263,YES
287,0,0.02200263,YES
288,0,0.02200263,YES
289,0,0.02200263,YES
290,0,0.02200263,YES
291,0,0.02200263,YES
292,0,0.02200263,YES
293,0,0.02200263,YES
294,0,0.02200263,YES
295,0,0.02200263,YES
296,0,0.02200263,YES
297,0,0.02200263,YES
298,0,0.02200263,YES
299,0,0.02200263,YES
300,0,0.02200263,YES
301,0,0.02200263,YES
311,0,0.02200263,YES
312,0,0.02200263,YES
313,0,0.02200263,YES
314,0,0.02200263,YES
315,0,0.02200263,YES
316,0,0.02200263,YES
317,0,0.02200263,NO
318,0,0.02200263,YES
319,0,0.02200263,YES
320,0,0.02200263,YES
321,0,0.02200263,NO
322,0,0.02200263,YES
323,0,0.02200263,YES
324,0,0.02200263,YES
325,0,0.02200263,YES
326,0,0.02200263,YES
327,0,0.02200263,YES
328,0,0.02200263,YES
329,0,0.02200263,YES
