ID,Size,Predicted,Actual
327,31,0.9999992,NO
328,36,0.9999992,NO
459,48,0.99999917,YES
666,55,0.9999989,NO
316,56,0.9999989,NO
329,59,0.9999989,NO
958,69,0.99999917,YES
1099,75,0.999999,YES
324,66,0.8249997,NO
152,35,0.43434346,NO
198,35,0.43434346,NO
243,35,0.43434346,NO
534,35,0.43434346,NO
638,35,0.43434346,NO
663,35,0.43434346,NO
738,35,0.43434346,NO
891,35,0.43434346,NO
1060,35,0.43434346,NO
1239,35,0.43434346,NO
1258,35,0.43434346,NO
1393,35,0.43434346,NO
1435,35,0.43434346,NO
235,33,0.3815261,NO
405,33,0.3815261,NO
599,33,0.3815261,NO
712,33,0.3815261,NO
964,33,0.3815261,NO
1105,33,0.3815261,NO
1170,33,0.3815261,NO
1190,33,0.3815261,NO
1236,33,0.3815261,NO
1299,33,0.3815261,YES
1316,33,0.3815261,NO
1347,33,0.3815261,NO
1377,33,0.3815261,NO
1437,33,0.3815261,NO
84,71,0.80645144,NO
88,71,0.80645144,NO
206,71,0.80645144,NO
349,71,0.80645144,NO
412,71,0.80645144,NO
531,71,0.80645144,NO
562,71,0.80645144,NO
688,71,0.80645144,NO
1041,71,0.80645144,NO
1485,71,0.80645144,YES
1528,71,0.80645144,NO
1560,71,0.80645144,NO
23,77,0.8367346,NO
65,77,0.8367346,NO
66,77,0.8367346,NO
262,77,0.8367346,YES
841,77,0.8367346,NO
1021,77,0.8367346,NO
1319,77,0.8367346,NO
1495,77,0.8367346,NO
87,74,0.77777714,NO
167,74,0.77777714,NO
676,74,0.77777714,NO
813,74,0.77777714,NO
904,74,0.77777714,NO
1484,74,0.77777714,YES
1518,74,0.77777714,NO
322,68,0.6666663,NO
1167,103,0.9999986,NO
79,89,0.8592964,NO
156,89,0.8592964,NO
277,89,0.8592964,NO
609,89,0.8592964,NO
1097,105,0.999999,YES
150,73,0.67499983,NO
161,73,0.67499983,NO
1311,73,0.67499983,NO
99,115,0.999999,YES
417,115,0.9999986,NO
565,115,0.9999986,NO
1512,115,0.9999986,NO
1529,115,0.9999986,NO
13,62,0.5384615,NO
64,62,0.5384615,NO
115,62,0.5384615,YES
418,62,0.5384615,NO
494,62,0.5384615,NO
569,62,0.5384615,NO
