ID,Size,Predicted,Actual
38,25,0.99910235,YES
65,25,0.99910235,YES
64,26,0.99910235,YES
49,28,0.99910235,YES
84,35,0.99910235,YES
78,37,0.99910235,YES
187,40,0.99910235,YES
189,51,0.99910235,YES
370,109,0.99910235,YES
382,112,0.99910235,YES
211,124,0.99910235,YES
505,124,0.99910235,YES
246,130,0.99910235,YES
532,135,0.99910235,YES
159,136,0.99910235,YES
344,139,0.99910235,YES
541,142,0.99910235,YES
368,144,0.99910235,YES
210,160,0.99910235,YES
475,178,0.99910235,YES
355,217,0.99910235,YES
261,230,0.99910235,YES
130,241,0.99910235,YES
119,335,0.99910235,YES
127,336,0.99910235,YES
107,344,0.9997753,YES
113,344,0.9997753,YES
124,344,0.9997753,YES
129,344,0.9997753,YES
379,377,0.99910235,YES
112,402,0.99910235,YES
132,433,0.99910235,YES
118,436,0.99910235,YES
114,441,0.99910235,YES
122,441,0.99910235,YES
108,443,0.99910235,YES
133,443,0.99910235,YES
135,443,0.99910235,YES
373,452,0.99910235,YES
126,549,0.99910235,YES
131,565,0.99910235,YES
110,614,0.99910235,YES
136,676,0.99910235,YES
123,679,0.99910235,YES
120,695,0.99910235,YES
139,722,0.99910235,YES
530,722,0.99910235,NO
111,723,0.99910235,YES
134,772,0.99910235,YES
381,813,0.99910235,YES
121,824,0.99910235,YES
115,981,0.99910235,YES
82,1022,0.99910235,YES
109,1127,0.99910235,YES
116,2032,0.99910235,YES
128,13508,0.99910235,YES
51,36,8.976661E-4,YES
68,36,8.976661E-4,YES
12,37,8.976661E-4,YES
55,37,8.976661E-4,YES
70,37,8.976661E-4,YES
53,38,8.976661E-4,YES
161,39,8.976661E-4,YES
31,40,8.976661E-4,YES
66,40,8.976661E-4,YES
43,43,8.976661E-4,YES
56,46,8.976661E-4,YES
26,47,8.976661E-4,YES
377,48,8.976661E-4,YES
52,51,8.976661E-4,YES
42,52,8.976661E-4,YES
364,54,8.976661E-4,YES
77,55,8.976661E-4,YES
74,56,8.976661E-4,YES
3,58,8.976661E-4,YES
141,61,8.976661E-4,YES
6,64,8.976661E-4,YES
16,64,8.976661E-4,YES
2,68,8.976661E-4,YES
18,70,8.976661E-4,YES
81,72,8.976661E-4,NO
507,25,2.995806E-4,YES
294,76,8.976661E-4,YES
212,79,8.976661E-4,YES
184,80,8.976661E-4,YES
37,81,8.976661E-4,YES
185,82,8.976661E-4,YES
98,22,2.247191E-4,NO
175,22,2.247191E-4,NO
178,22,2.247191E-4,NO
250,22,2.247191E-4,NO
257,22,2.247191E-4,NO
308,22,2.247191E-4,NO
321,22,2.247191E-4,NO
401,22,2.247191E-4,NO
360,90,8.976661E-4,YES
99,91,8.976661E-4,YES
174,23,2.247191E-4,NO
221,23,2.247191E-4,NO
235,23,2.247191E-4,NO
395,23,2.247191E-4,NO
396,23,2.247191E-4,NO
397,23,2.247191E-4,NO
496,23,2.247191E-4,NO
516,23,2.247191E-4,NO
75,92,8.976661E-4,YES
106,95,8.976661E-4,YES
177,24,2.247191E-4,NO
236,24,2.247191E-4,NO
252,24,2.247191E-4,NO
279,24,2.247191E-4,NO
330,24,2.247191E-4,NO
353,24,2.247191E-4,NO
389,24,2.247191E-4,NO
403,24,2.247191E-4,NO
463,24,2.247191E-4,NO
510,24,2.247191E-4,NO
192,25,2.247191E-4,NO
193,25,2.247191E-4,NO
223,25,2.247191E-4,NO
251,25,2.247191E-4,NO
264,25,2.247191E-4,NO
316,25,2.247191E-4,NO
324,25,2.247191E-4,NO
326,25,2.247191E-4,NO
327,25,2.247191E-4,NO
331,25,2.247191E-4,NO
394,25,2.247191E-4,NO
402,25,2.247191E-4,NO
468,25,2.247191E-4,NO
478,25,2.247191E-4,NO
479,25,2.247191E-4,NO
493,25,2.247191E-4,NO
224,26,2.247191E-4,NO
312,26,2.247191E-4,NO
328,26,2.247191E-4,NO
332,26,2.247191E-4,NO
386,26,2.247191E-4,NO
393,26,2.247191E-4,NO
406,26,2.247191E-4,NO
407,26,2.247191E-4,NO
408,26,2.247191E-4,NO
481,26,2.247191E-4,NO
489,26,2.247191E-4,NO
491,26,2.247191E-4,NO
499,26,2.247191E-4,NO
502,26,2.247191E-4,NO
506,26,2.247191E-4,NO
86,27,2.247191E-4,NO
437,27,2.247191E-4,NO
452,27,2.247191E-4,NO
511,27,2.247191E-4,NO
