ID,Size,Predicted,Actual
0,79,0.9999552091731613,NO
1,87,1.4931167318660973E-5,NO
2,68,1.1198459092028936E-5,NO
3,58,4.977154859196288E-6,NO
4,196,4.479082683866344E-5,NO
5,132,2.2396416573348266E-5,NO
6,64,4.479443832253787E-6,NO
7,134,0.9999552091731613,NO
8,173,4.479082683866344E-5,NO
9,246,4.479082683866344E-5,NO
10,107,8.958807403558438E-6,NO
11,121,4.479082683866344E-5,NO
12,110,0.9999552091731613,NO
13,58,4.977154859196288E-6,NO
14,37,3.1996109273112386E-6,NO
15,77,0.9999552091731613,NO
16,142,0.9999552091731613,NO
17,114,2.2396416573348266E-5,NO
18,59,3.1996109273112386E-6,NO
19,64,4.479443832253787E-6,NO
20,164,2.2396416573348266E-5,NO
21,70,1.4931167318660973E-5,NO
22,32,1.1788087901413863E-6,NO
23,148,4.479082683866344E-5,NO
24,156,1.1198459092028936E-5,NO
25,119,1.4931167318660973E-5,NO
26,118,0.5,NO
27,156,1.1198459092028936E-5,NO
28,85,8.958807403558438E-6,NO
29,48,6.39918090484418E-6,YES
30,146,4.479082683866344E-5,NO
31,113,8.958807403558438E-6,NO
32,147,1.1198459092028936E-5,NO
33,40,2.488589815695038E-6,NO
34,125,1.1198459092028936E-5,NO
35,252,4.479082683866344E-5,NO
36,368,4.479082683866344E-5,NO
37,106,7.465695130873636E-6,NO
38,181,8.958807403558438E-6,NO
39,263,4.479082683866344E-5,NO
40,590,4.479082683866344E-5,YES
41,39,4.479082683866344E-5,NO
42,39,4.479082683866344E-5,NO
43,39,4.479082683866344E-5,NO
44,24,4.479082683866344E-5,NO
45,62,4.479082683866344E-5,NO
46,77,4.479082683866344E-5,NO
47,77,4.479082683866344E-5,NO
48,54,4.479082683866344E-5,NO
49,90,4.479082683866344E-5,NO
50,58,4.479082683866344E-5,NO
51,24,4.479082683866344E-5,NO
52,64,4.479082683866344E-5,NO
53,216,4.479082683866344E-5,NO
54,36,4.479082683866344E-5,NO
55,36,4.479082683866344E-5,NO
56,202,4.479082683866344E-5,NO
57,31,4.479082683866344E-5,NO
58,39,4.479082683866344E-5,NO
59,234,4.479082683866344E-5,YES
60,89,4.479082683866344E-5,NO
61,42,4.479082683866344E-5,NO
62,35,4.479082683866344E-5,NO
63,38,4.479082683866344E-5,NO
64,63,4.479082683866344E-5,NO
65,54,4.479082683866344E-5,NO
66,74,4.479082683866344E-5,NO
67,71,4.479082683866344E-5,NO
68,56,4.479082683866344E-5,NO
69,44,4.479082683866344E-5,NO
70,55,4.479082683866344E-5,NO
71,47,4.479082683866344E-5,NO
72,101,0.9999552091731613,YES
73,109,4.479082683866344E-5,NO
74,28,4.479082683866344E-5,NO
75,54,0.9999552091731613,YES
76,158,0.9999552091731613,YES
77,52,0.9999552091731613,YES
78,53,0.9999552091731613,YES
79,81,0.9999552091731613,YES
80,83,0.9999552091731613,YES
81,63,0.9999552091731613,YES
82,48,0.9999552091731613,YES
83,55,0.9999552091731613,YES
84,149,0.9999552091731613,YES
85,263,0.9999552091731613,YES
86,179,0.9999552091731613,YES
87,37,0.9999552091731613,YES
88,25,0.9999552091731613,YES
89,30,0.9999552091731613,YES
90,36,0.9999552091731613,YES
91,30,0.9999552091731613,YES
92,27,0.9999552091731613,YES
93,37,0.9999552091731613,YES
94,33,0.9999552091731613,YES
95,31,0.9999552091731613,YES
96,56,0.9999552091731613,YES
97,101,0.9999552091731613,YES
98,139,0.9999552091731613,YES
99,85,0.9999552091731613,YES
100,95,0.9999552091731613,YES
101,60,0.9999552091731613,YES
102,35,0.9999552091731613,YES
103,26,0.9999552091731613,YES
104,69,0.9999552091731613,YES
105,64,0.9999552091731613,YES
106,39,0.9999552091731613,YES
107,41,0.9999552091731613,YES
108,167,0.9999552091731613,YES
109,66,0.9999552091731613,YES
110,93,0.9999552091731613,YES
111,97,0.9999552091731613,YES
112,96,0.9999552091731613,YES
113,105,0.9999552091731613,YES
114,61,0.9999552091731613,YES
115,54,0.9999552091731613,YES
116,47,0.9999552091731613,YES
117,72,0.9999552091731613,YES
118,117,0.9999552091731613,YES
119,93,0.9999552091731613,YES
120,52,0.9999552091731613,YES
121,76,0.9999552091731613,NO
122,77,0.9999552091731613,NO
123,83,0.9999552091731613,NO
124,48,6.39918090484418E-6,NO
125,85,8.958807403558438E-6,NO
126,43,4.072224982285821E-6,NO
127,90,4.479082683866344E-5,NO
128,202,0.9999552091731613,NO
129,135,0.9999552091731613,NO
130,30,2.239731948880358E-6,NO
131,29,2.1330785015550143E-6,NO
132,69,1.1198459092028936E-5,YES
133,242,0.9999552091731613,NO
134,64,0.9999552091731613,YES
135,50,0.9999552091731613,YES
136,89,5.599292249459668E-6,NO
137,40,0.9999552091731613,YES
138,49,6.39918090484418E-6,NO
139,249,0.9999552091731613,YES
140,40,2.488589815695038E-6,NO
141,171,0.9999552091731613,NO
142,40,2.488589815695038E-6,NO
143,32,1.1788087901413863E-6,NO
144,79,8.958807403558438E-6,NO
145,81,1.4931167318660973E-5,NO
