ID,Size,Predicted,Actual
1220,25,0.9998008,NO
702,26,0.9999004,YES
802,27,0.9999336,YES
790,28,0.9998008,YES
953,28,0.9998008,NO
557,29,0.9998008,NO
800,29,0.9998008,YES
980,31,0.9998008,NO
578,32,0.9998008,NO
797,32,0.9998008,YES
947,32,0.9998008,NO
957,32,0.9998008,NO
962,32,0.9998008,NO
2163,32,0.9998008,NO
2155,33,0.9999336,NO
950,34,0.9999004,NO
419,35,0.9998008,NO
2164,35,0.9998008,NO
243,36,0.9998008,YES
2153,37,0.9998008,NO
788,38,0.9998008,YES
1068,38,0.9998008,YES
1596,38,0.9998008,NO
1598,38,0.9998008,NO
566,39,0.9999004,YES
803,40,0.9999004,YES
1663,40,0.9999004,YES
41,42,0.9998008,NO
37,43,0.9999004,NO
204,47,0.9999004,NO
698,47,0.9999004,YES
699,47,0.9999004,YES
701,47,0.9999004,YES
970,47,0.9999004,NO
2234,47,0.9999004,YES
575,47,0.9998008,NO
2159,50,0.9998008,NO
2162,51,0.9998008,NO
2017,52,0.9998008,YES
544,53,0.9998008,NO
589,54,0.9998008,YES
956,54,0.9998008,NO
1334,54,0.9998008,NO
1963,54,0.9998008,YES
2215,54,0.9998008,NO
704,55,0.9998008,YES
976,55,0.9998008,NO
1291,55,0.9998008,YES
983,56,0.9998008,NO
2187,56,0.9998008,YES
2113,57,0.9999004,NO
565,57,0.9998008,YES
1595,58,0.9999004,NO
553,58,0.9998008,NO
966,59,0.9999004,NO
974,59,0.9999004,NO
1837,59,0.9999004,NO
972,60,0.9998008,NO
973,60,0.9998008,NO
975,60,0.9998008,NO
1838,60,0.9998008,NO
1839,60,0.9998008,NO
1840,60,0.9998008,NO
1879,60,0.9998008,NO
1921,60,0.9998008,NO
208,61,0.9998008,YES
787,61,0.9998008,NO
269,63,0.9998008,YES
599,66,0.9998008,YES
2160,68,0.9998008,NO
705,46,0.6666445,YES
798,46,0.6666445,YES
1339,46,0.6666445,NO
1588,46,0.6666445,NO
2136,46,0.6666445,NO
571,69,0.9998008,YES
2154,71,0.9998008,NO
2221,71,0.9998008,YES
971,72,0.9998008,NO
1321,72,0.9998008,NO
2161,72,0.9998008,NO
2240,72,0.9998008,NO
2241,72,0.9998008,NO
598,73,0.9999336,YES
40,73,0.9998008,NO
954,49,0.6666445,NO
1901,49,0.6666445,NO
979,74,0.9999004,NO
2213,74,0.9999004,NO
1413,75,0.9999336,NO
2038,75,0.9999336,NO
2244,75,0.9999336,YES
31,75,0.9998008,NO
570,76,0.9998008,YES
709,41,0.5,YES
981,41,0.5,NO
42,82,0.9998008,NO
552,83,0.9998008,NO
951,42,0.5,NO
959,42,0.5,NO
477,84,0.9998008,YES
965,89,0.9998008,NO
1317,90,0.9998008,NO
692,62,0.6666445,YES
245,93,0.9998008,YES
550,94,0.9998008,YES
960,48,0.5,NO
2157,48,0.5,YES
1898,96,0.9998008,NO
789,98,0.9998008,NO
212,99,0.9998008,YES
2064,99,0.9998008,YES
1319,100,0.9998008,NO
964,101,0.9998008,NO
1917,101,0.9998008,NO
804,53,0.5,YES
948,53,0.5,NO
2235,53,0.5,NO
1739,107,0.9999004,YES
1969,109,0.9998008,YES
952,110,0.9998008,NO
1906,110,0.9998008,NO
2152,110,0.9998008,NO
2100,111,0.9998008,NO
2129,112,0.9998008,NO
2204,115,0.9998008,YES
274,116,0.9998008,NO
569,116,0.9998008,YES
592,117,0.9998008,YES
171,32,0.27083525,NO
207,32,0.27083525,NO
318,32,0.27083525,NO
398,32,0.27083525,YES
424,32,0.27083525,NO
437,32,0.27083525,NO
461,32,0.27083525,NO
496,32,0.27083525,NO
515,32,0.27083525,NO
639,32,0.27083525,NO
763,32,0.27083525,NO
815,32,0.27083525,YES
995,32,0.27083525,NO
