ID,Size,Predicted,Actual
252,25,0.9999855,YES
298,25,0.9999855,NO
88,25,0.99998116,YES
236,26,0.9999855,YES
634,26,0.9999855,NO
103,26,0.99998116,YES
304,27,0.9999855,NO
92,27,0.99998116,YES
89,30,0.99998283,YES
91,30,0.99998283,YES
95,31,0.99998283,YES
223,32,0.9999855,NO
217,33,0.9999855,NO
94,33,0.99998283,YES
550,35,0.9999855,NO
102,35,0.99981153,YES
90,36,0.99997306,YES
93,37,0.99998283,YES
87,37,0.99981153,YES
297,38,0.9999791,NO
106,39,0.99981153,YES
220,40,0.9999791,NO
222,40,0.9999791,NO
322,40,0.9999791,NO
107,41,0.99999213,YES
246,44,0.9999855,NO
116,47,0.99999213,YES
296,47,0.9999791,NO
82,48,0.99999213,YES
257,48,0.99997646,NO
120,52,0.9999791,YES
552,52,0.9999791,NO
354,52,0.99997646,NO
77,52,0.99997306,YES
78,53,0.9999791,YES
445,53,0.99997646,YES
75,54,0.9999791,YES
115,54,0.9999791,YES
83,55,0.9999791,YES
96,56,0.9999791,YES
161,56,0.99997646,NO
540,57,0.9999874,YES
536,58,0.99997646,NO
299,60,0.9999889,YES
101,60,0.9999791,YES
882,60,0.9999791,NO
229,61,0.99998116,YES
114,61,0.9999791,YES
507,61,0.99997646,YES
208,62,0.99998116,YES
228,62,0.99998116,YES
409,62,0.99997646,YES
81,63,0.9999906,YES
105,64,0.99998283,YES
134,64,0.99997646,YES
539,64,0.99997646,NO
538,64,0.99997306,YES
537,65,0.99997646,NO
683,65,0.99997646,YES
394,65,0.99997306,YES
109,66,0.99998283,YES
879,66,0.99997306,NO
685,67,0.99998116,YES
410,68,0.99997306,YES
104,69,0.99998283,YES
225,69,0.99997306,NO
526,70,0.99997646,YES
881,71,0.99998283,YES
117,72,0.99998116,YES
479,33,0.45454597,NO
637,33,0.45454597,NO
649,33,0.45454597,NO
735,33,0.45454597,NO
785,33,0.45454597,NO
801,33,0.45454597,YES
831,33,0.45454597,NO
861,33,0.45454597,NO
215,75,0.99997306,NO
121,76,0.99997646,NO
197,76,0.99997306,YES
210,77,0.99998116,YES
514,77,0.99997646,YES
122,77,0.99997306,NO
0,79,0.99997646,NO
79,81,0.999991,YES
194,81,0.99997306,NO
880,82,0.99997646,NO
294,82,0.99997306,NO
413,82,0.99997306,NO
80,83,0.999991,YES
123,83,0.99997306,NO
99,85,0.9999874,YES
191,88,0.99997306,NO
321,88,0.99997306,NO
136,89,0.9999953,NO
487,89,0.9999953,YES
489,89,0.9999953,YES
534,89,0.9999953,YES
330,89,0.99997306,NO
190,90,0.99997306,NO
226,90,0.99997306,NO
119,93,0.99997306,YES
110,93,0.99995285,YES
219,94,0.9999791,YES
224,94,0.9999791,YES
533,94,0.99997306,YES
100,95,0.99997306,YES
209,96,0.9999791,YES
112,96,0.99997306,YES
499,96,0.99997306,YES
111,97,0.99998426,YES
295,97,0.99997306,NO
293,100,0.9999874,NO
97,101,0.9999889,YES
72,101,0.99997306,YES
127,90,0.8888856,NO
516,77,0.74999213,YES
804,77,0.74999213,YES
113,105,0.9999889,YES
343,108,0.99997306,NO
211,111,0.9999791,YES
292,112,0.99995285,NO
350,114,0.99997306,YES
249,52,0.45454597,NO
433,52,0.45454597,YES
490,52,0.45454597,NO
587,52,0.45454597,NO
588,52,0.45454597,NO
612,52,0.45454597,NO
614,52,0.45454597,NO
783,52,0.45454597,NO
820,52,0.45454597,NO
227,115,0.9999791,YES
319,116,0.99997306,NO
118,117,0.999993,YES
515,120,0.99997306,YES
11,121,0.9999855,NO
256,121,0.99997306,YES
719,121,0.99997306,YES
728,123,0.9999855,YES
697,124,0.9999855,NO
842,124,0.9999855,NO
357,124,0.99997306,YES
34,125,0.9999855,NO
492,125,0.9999855,YES
752,125,0.9999855,NO
428,125,0.99997306,YES
10,107,0.8333124,NO
795,107,0.8333124,NO
529,108,0.8333124,YES
632,67,0.51612884,NO
841,67,0.51612884,NO
154,131,0.99997306,YES
527,131,0.99997306,NO
709,131,0.99997306,NO
195,132,0.99997306,NO
7,134,0.99997306,NO
98,139,0.99997646,YES
509,142,0.99997306,YES
193,143,0.99997306,NO
196,146,0.99997306,YES
155,149,0.99997306,YES
203,150,0.99997306,YES
204,153,0.99997306,NO
618,62,0.40000126,NO
633,62,0.40000126,NO
791,62,0.40000126,NO
803,62,0.40000126,YES
439,157,0.99997306,YES
176,71,0.45000094,NO
184,71,0.45000094,YES
429,71,0.45000094,YES
76,158,0.99997646,YES
165,72,0.45000094,YES
329,72,0.45000094,NO
448,72,0.45000094,NO
589,72,0.45000094,NO
221,160,0.9999791,YES
511,94,0.5789458,YES
660,94,0.5789458,NO
806,94,0.5789458,YES
813,94,0.5789458,NO
37,106,0.6428552,NO
585,106,0.6428552,NO
797,106,0.6428552,YES
168,44,0.26666862,NO
530,44,0.26666862,YES
639,44,0.26666862,NO
680,44,0.26666862,NO
755,44,0.26666862,NO
819,44,0.26666862,NO
832,44,0.26666862,NO
871,44,0.26666862,NO
108,167,0.99997646,YES
234,167,0.99997306,YES
141,171,0.99997306,NO
510,176,0.9999865,YES
714,84,0.4705889,YES
790,84,0.4705889,NO
