ID,Size,Predicted,Actual
842,22,0.9999969,YES
199,29,0.9999969,YES
838,31,0.9999969,YES
824,33,0.9999781,YES
201,38,0.99998546,YES
552,38,0.99998546,YES
543,39,0.9999927,YES
1681,40,0.9999781,YES
204,42,0.99998546,YES
202,44,0.9999781,YES
844,47,0.9999945,YES
205,48,0.9999563,YES
545,48,0.9999563,YES
555,48,0.9999563,YES
556,57,0.9999977,YES
557,58,0.9999977,YES
692,58,0.9999977,YES
822,61,0.9999781,YES
140,62,0.9999781,YES
261,33,0.5252525,NO
435,33,0.5252525,NO
672,33,0.5252525,NO
795,33,0.5252525,NO
1072,33,0.5252525,NO
1213,33,0.5252525,NO
1278,33,0.5252525,NO
1298,33,0.5252525,NO
1344,33,0.5252525,NO
1424,33,0.5252525,NO
1455,33,0.5252525,NO
1485,33,0.5252525,NO
1546,33,0.5252525,NO
141,64,0.9999781,YES
117,65,0.9999781,YES
210,68,0.99998546,YES
146,68,0.9999781,YES
147,68,0.9999781,YES
1572,70,0.9999563,YES
102,71,0.9999781,YES
1628,72,0.9999563,YES
549,73,0.9999563,YES
487,38,0.5151515,NO
495,38,0.5151515,NO
497,38,0.5151515,NO
564,38,0.5151515,NO
566,38,0.5151515,NO
949,38,0.5151515,NO
1019,38,0.5151515,NO
1031,38,0.5151515,NO
1202,38,0.5151515,NO
1234,38,0.5151515,NO
1239,38,0.5151515,NO
1336,38,0.5151515,NO
1365,38,0.5151515,NO
1368,38,0.5151515,NO
1383,38,0.5151515,NO
1402,38,0.5151515,NO
1407,38,0.5151515,YES
1435,38,0.5151515,NO
1560,38,0.5151515,NO
1603,38,0.5151515,NO
1652,38,0.5151515,YES
1682,38,0.5151515,NO
843,76,0.9999563,YES
1207,76,0.9999563,YES
1583,80,0.9999563,YES
682,81,0.9999563,YES
190,66,0.79999965,NO
276,66,0.79999965,NO
281,66,0.79999965,NO
351,66,0.79999965,NO
436,66,0.79999965,NO
774,66,0.79999965,NO
1488,66,0.79999965,NO
1547,66,0.79999965,NO
1630,66,0.79999965,NO
23,77,0.91666603,NO
65,77,0.91666603,NO
66,77,0.91666603,NO
941,77,0.91666603,NO
1129,77,0.91666603,NO
1427,77,0.91666603,NO
1607,77,0.91666603,NO
551,84,0.9999563,YES
165,35,0.4090911,NO
224,35,0.4090911,NO
269,35,0.4090911,NO
456,35,0.4090911,YES
591,35,0.4090911,NO
718,35,0.4090911,NO
744,35,0.4090911,NO
821,35,0.4090911,NO
992,35,0.4090911,NO
1168,35,0.4090911,NO
1347,35,0.4090911,NO
1366,35,0.4090911,NO
1501,35,0.4090911,NO
1544,35,0.4090911,NO
837,87,0.99998546,YES
839,90,0.9999563,YES
208,91,0.9999781,YES
114,93,0.9999781,YES
207,95,0.9999781,YES
209,95,0.9999781,YES
553,95,0.9999563,YES
203,96,0.9999781,YES
111,60,0.6172838,NO
150,60,0.6172838,NO
268,60,0.6172838,NO
361,60,0.6172838,NO
518,60,0.6172838,YES
559,60,0.6172838,NO
966,60,0.6172838,NO
1137,60,0.6172838,NO
1164,60,0.6172838,NO
1242,60,0.6172838,NO
1255,60,0.6172838,NO
1495,60,0.6172838,NO
1498,60,0.6172838,NO
1525,60,0.6172838,NO
1526,60,0.6172838,NO
1527,60,0.6172838,NO
1659,60,0.6172838,NO
107,94,0.9263154,NO
225,94,0.9263154,NO
383,94,0.9263154,NO
444,94,0.9263154,YES
605,94,0.9263154,YES
654,94,0.9263154,NO
1068,94,0.9263154,NO
1109,94,0.9263154,NO
1124,94,0.9263154,NO
1312,94,0.9263154,NO
1437,94,0.9263154,NO
1532,94,0.9263154,NO
1638,94,0.9263154,NO
686,102,0.9999563,YES
13,62,0.6075948,NO
64,62,0.6075948,NO
448,62,0.6075948,NO
465,62,0.6075948,YES
536,62,0.6075948,NO
641,62,0.6075948,NO
848,62,0.6075948,NO
863,62,0.6075948,NO
933,62,0.6075948,NO
1252,62,0.6075948,NO
1413,62,0.6075948,NO
1563,62,0.6075948,NO
1275,103,0.9999891,NO
200,104,0.9999563,YES
290,90,0.8571384,NO
294,90,0.8571384,NO
446,90,0.8571384,NO
1205,106,0.9999563,YES
1675,106,0.9999563,YES
213,81,0.7610617,NO
215,81,0.7610617,NO
235,81,0.7610617,NO
246,81,0.7610617,NO
539,81,0.7610617,YES
572,81,0.7610617,NO
758,81,0.7610617,NO
765,81,0.7610617,NO
796,81,0.7610617,NO
1025,81,0.7610617,YES
1085,81,0.7610617,NO
1514,81,0.7610617,NO
