ID,Size,Predicted,Actual
24,8,0.9995238,NO
10,9,0.9995238,NO
23,9,0.9995238,NO
4,12,0.9995238,NO
14,21,0.9995238,NO
6,30,0.9995238,NO
5,32,0.9995238,NO
20,37,0.9995238,NO
0,63,0.9995238,NO
3,77,0.9995238,NO
22,85,0.9995238,NO
17,98,0.9995238,NO
19,99,0.9995238,NO
2,128,0.9995238,NO
32,153,0.9995238,NO
8,168,0.9995238,NO
7,173,0.9995238,NO
31,45,0.25005957,NO
15,35,0.16671962,NO
11,232,0.9995238,NO
30,257,0.9995238,NO
25,23,4.7619047E-4,NO
33,39,4.7619047E-4,NO
34,52,4.7619047E-4,NO
29,20,1.58831E-4,NO
1,11,6.808279E-5,NO
12,19,9.5310716E-5,NO
27,19,9.5310716E-5,NO
18,22,9.5310716E-5,NO
35,110,4.7619047E-4,NO
16,23,9.5310716E-5,NO
28,41,1.58831E-4,NO
21,14,4.3327556E-5,NO
26,42,1.1913272E-4,NO
9,47,1.1913272E-4,NO
13,34,6.808279E-5,NO
