ID,Size,Predicted,Actual
1221,30,0.99901766,NO
624,37,0.99901766,YES
1237,39,0.99901766,NO
1238,39,0.99901766,NO
299,40,0.9996721,NO
2020,47,0.9996721,NO
2021,49,0.9996721,NO
2028,50,0.9996721,NO
625,51,0.99901766,YES
1236,52,0.99901766,NO
2019,58,0.9996721,NO
2022,58,0.9996721,NO
596,58,0.99901766,YES
631,58,0.99901766,YES
399,68,0.99901766,NO
83,69,0.99901766,NO
1235,70,0.99901766,NO
2023,70,0.99901766,NO
152,36,0.5,NO
153,36,0.5,NO
197,36,0.5,NO
200,36,0.5,NO
305,36,0.5,NO
322,36,0.5,NO
339,36,0.5,NO
384,36,0.5,NO
446,36,0.5,NO
474,36,0.5,NO
484,36,0.5,NO
667,36,0.5,NO
742,36,0.5,NO
767,36,0.5,NO
865,36,0.5,NO
911,36,0.5,NO
913,36,0.5,NO
925,36,0.5,NO
942,36,0.5,NO
1309,36,0.5,NO
1451,36,0.5,NO
1468,36,0.5,NO
1482,36,0.5,NO
1568,36,0.5,NO
1582,36,0.5,NO
1649,36,0.5,NO
1656,36,0.5,NO
1667,36,0.5,NO
1779,36,0.5,NO
623,72,0.99901766,YES
935,72,0.99901766,NO
2013,74,0.99901766,NO
191,60,0.79988194,NO
278,60,0.79988194,NO
396,60,0.79988194,NO
480,60,0.79988194,NO
722,60,0.79988194,NO
862,60,0.79988194,NO
999,60,0.79988194,NO
1002,60,0.79988194,NO
1163,60,0.79988194,NO
1343,60,0.79988194,NO
1370,60,0.79988194,NO
1545,60,0.79988194,NO
1793,60,0.79988194,NO
1796,60,0.79988194,NO
1823,60,0.79988194,NO
1824,60,0.79988194,NO
1825,60,0.79988194,NO
1972,60,0.79988194,NO
2,75,0.9995084,NO
361,75,0.9995084,NO
543,75,0.9995084,NO
644,75,0.9995084,NO
785,75,0.9995084,NO
939,75,0.9995084,NO
1019,75,0.9995084,NO
1172,75,0.9995084,NO
1744,75,0.9995084,NO
1915,75,0.9995084,NO
605,75,0.99901766,YES
609,75,0.99901766,YES
59,39,0.5,NO
138,39,0.5,NO
139,39,0.5,NO
141,39,0.5,NO
156,39,0.5,NO
165,39,0.5,NO
212,39,0.5,NO
269,39,0.5,NO
401,39,0.5,NO
706,39,0.5,NO
760,39,0.5,NO
838,39,0.5,NO
1150,39,0.5,NO
1151,39,0.5,NO
1217,39,0.5,NO
1435,39,0.5,NO
1510,39,0.5,NO
1513,39,0.5,NO
1688,39,0.5,NO
1706,39,0.5,NO
1749,39,0.5,NO
1934,39,0.5,NO
1998,39,0.5,NO
2005,39,0.5,NO
1866,79,0.9995084,NO
36,80,0.99901766,NO
98,80,0.99901766,NO
441,80,0.99901766,NO
465,80,0.99901766,NO
469,80,0.99901766,NO
921,80,0.99901766,NO
1266,80,0.99901766,NO
1308,80,0.99901766,NO
1712,80,0.99901766,NO
1756,80,0.99901766,NO
1880,80,0.99901766,NO
1333,82,0.9995084,NO
77,86,0.9995084,NO
1724,87,0.99901766,NO
113,32,0.36366075,NO
195,32,0.36366075,NO
196,32,0.36366075,NO
363,32,0.36366075,NO
438,32,0.36366075,NO
459,32,0.36366075,NO
472,32,0.36366075,NO
498,32,0.36366075,NO
532,32,0.36366075,NO
551,32,0.36366075,NO
577,32,0.36366075,YES
671,32,0.36366075,NO
787,32,0.36366075,NO
818,32,0.36366075,NO
863,32,0.36366075,NO
876,32,0.36366075,NO
983,32,0.36366075,NO
1234,32,0.36366075,NO
1377,32,0.36366075,NO
1378,32,0.36366075,NO
1379,32,0.36366075,NO
1380,32,0.36366075,NO
1439,32,0.36366075,NO
1580,32,0.36366075,NO
1624,32,0.36366075,NO
1625,32,0.36366075,NO
1648,32,0.36366075,NO
1780,32,0.36366075,NO
1784,32,0.36366075,NO
1821,32,0.36366075,NO
42,92,0.99901766,NO
119,92,0.99901766,NO
280,92,0.99901766,NO
1358,92,0.99901766,NO
1646,92,0.99901766,NO
1720,92,0.99901766,NO
1792,92,0.99901766,NO
1838,92,0.99901766,NO
2025,93,0.99901766,NO
998,94,0.99901766,NO
2014,96,0.99901766,NO
1992,100,0.9995084,NO
340,43,0.42859152,NO
383,43,0.42859152,NO
421,43,0.42859152,NO
544,43,0.42859152,NO
647,43,0.42859152,NO
662,43,0.42859152,NO
788,43,0.42859152,NO
1134,43,0.42859152,NO
1187,43,0.42859152,NO
1218,43,0.42859152,NO
1260,43,0.42859152,NO
1403,43,0.42859152,NO
1431,43,0.42859152,NO
1480,43,0.42859152,NO
1546,43,0.42859152,NO
1816,43,0.42859152,NO
1818,43,0.42859152,NO
1855,43,0.42859152,NO
1856,43,0.42859152,NO
1867,43,0.42859152,NO
1908,43,0.42859152,NO
1911,43,0.42859152,NO
2011,101,0.99901766,NO
2015,101,0.99901766,NO
45,102,0.9995084,NO
461,102,0.9995084,NO
632,102,0.9995084,NO
835,102,0.9995084,NO
1470,102,0.9995084,NO
1920,102,0.9995084,NO
2012,106,0.99901766,NO
92,110,0.99901766,NO
204,110,0.99901766,NO
793,110,0.99901766,YES
845,110,0.99901766,NO
1240,110,0.99901766,NO
1271,110,0.99901766,NO
1979,110,0.99901766,NO
1988,110,0.99901766,NO
127,112,0.9996721,NO
452,112,0.9996721,NO
801,112,0.9996721,NO
1245,112,0.9996721,NO
1348,112,0.9996721,NO
1484,112,0.9996721,NO
620,114,0.9995084,NO
105,114,0.99901766,NO
608,114,0.99901766,YES
1028,114,0.99901766,NO
1190,114,0.99901766,NO
1239,114,0.99901766,NO
2017,114,0.99901766,NO
1009,87,0.74987704,NO
1288,87,0.74987704,NO
1714,87,0.74987704,NO
1808,87,0.74987704,NO
1962,87,0.74987704,NO
630,116,0.99901766,YES
413,117,0.9996721,NO
417,117,0.9996721,NO
1800,117,0.9996721,NO
97,118,0.99901766,NO
587,120,0.99901766,YES
232,122,0.9995084,NO
334,122,0.9995084,NO
1206,122,0.9995084,NO
270,123,0.99901766,NO
666,123,0.99901766,NO
520,124,0.99901766,NO
636,124,0.99901766,NO
1334,124,0.99901766,NO
1764,124,0.99901766,NO
1910,124,0.99901766,NO
30,65,0.5,NO
206,65,0.5,NO
246,65,0.5,NO
295,65,0.5,NO
354,65,0.5,NO
358,65,0.5,NO
927,65,0.5,NO
953,65,0.5,NO
1098,65,0.5,NO
1104,65,0.5,NO
1361,65,0.5,NO
1508,65,0.5,NO
1552,65,0.5,NO
1657,65,0.5,NO
940,130,0.99901766,NO
1017,130,0.99901766,NO
1156,130,0.99901766,NO
1663,130,0.99901766,NO
51,131,0.99901766,NO
162,131,0.99901766,NO
283,131,0.99901766,NO
571,131,0.99901766,NO
780,131,0.99901766,NO
882,131,0.99901766,NO
1876,131,0.99901766,NO
1982,131,0.99901766,NO
2027,131,0.99901766,NO
10,88,0.6665574,NO
33,88,0.6665574,NO
40,88,0.6665574,NO
56,88,0.6665574,NO
108,88,0.6665574,NO
125,88,0.6665574,NO
317,88,0.6665574,NO
457,88,0.6665574,NO
567,88,0.6665574,NO
654,88,0.6665574,NO
749,88,0.6665574,NO
837,88,0.6665574,NO
1029,88,0.6665574,NO
