ID,Size,Predicted,Actual
98,22,0.9978101,NO
49,24,0.9978101,NO
56,24,0.9978101,NO
348,24,0.9978101,NO
381,24,0.9978101,NO
120,25,0.9978101,NO
282,25,0.9978101,NO
135,26,0.9978101,NO
754,26,0.9978101,NO
833,26,0.9978101,NO
124,27,0.9978101,NO
388,27,0.9978101,NO
513,27,0.9978101,NO
746,27,0.9978101,NO
758,27,0.9978101,NO
804,27,0.9978101,NO
106,28,0.9978101,NO
275,29,0.9978101,NO
347,29,0.9978101,NO
121,30,0.9978101,NO
123,30,0.9978101,NO
376,30,0.9978101,NO
399,30,0.9978101,NO
62,31,0.9978101,NO
127,31,0.9978101,NO
238,31,0.9978101,YES
532,31,0.9978101,NO
678,31,0.9978101,NO
101,32,0.9978101,NO
260,32,0.9978101,NO
380,32,0.9978101,NO
755,32,0.9978101,NO
126,33,0.9978101,NO
254,33,0.9978101,NO
391,33,0.9978101,NO
927,33,0.9978101,NO
89,35,0.9978101,NO
668,35,0.9978101,NO
59,36,0.9978101,NO
60,36,0.9978101,NO
76,36,0.9978101,NO
122,36,0.9978101,NO
125,37,0.9978101,NO
343,37,0.9978101,NO
815,38,0.9978101,NO
46,39,0.9978101,NO
47,39,0.9978101,NO
48,39,0.9978101,NO
63,39,0.9978101,NO
369,39,0.9978101,NO
354,40,0.9989027,NO
283,40,0.9978101,NO
650,40,0.9978101,YES
349,41,0.9978101,NO
82,42,0.9978101,NO
292,42,0.9978101,NO
377,42,0.9978101,NO
77,43,0.9978101,NO
249,43,0.9978101,NO
253,43,0.9978101,NO
346,43,0.9978101,NO
74,44,0.9978101,NO
390,44,0.9978101,NO
217,45,0.9978101,NO
397,45,0.9978101,NO
398,45,0.9978101,NO
539,46,0.9978101,NO
103,47,0.9978101,NO
287,47,0.9978101,NO
237,48,0.9978101,YES
395,48,0.9978101,NO
1013,48,0.9978101,NO
515,49,0.9978101,NO
516,49,0.9978101,NO
382,50,0.9978101,NO
383,50,0.9978101,NO
67,52,0.9978101,NO
109,52,0.9978101,NO
514,52,0.9978101,NO
527,52,0.9978101,NO
637,52,0.9978101,NO
639,52,0.9978101,NO
276,53,0.9978101,NO
342,53,0.9978101,NO
540,53,0.9978101,NO
53,54,0.9978101,NO
68,55,0.9978101,NO
75,55,0.9978101,NO
84,55,0.9978101,NO
88,55,0.9978101,NO
73,56,0.9978101,NO
353,56,0.9978101,NO
394,56,0.9978101,NO
414,56,0.9978101,YES
368,57,0.9978101,NO
55,58,0.9978101,NO
312,58,0.9978101,NO
524,58,0.9978101,NO
543,58,0.9978101,YES
834,58,0.9978101,NO
66,59,0.9978101,NO
262,59,0.9978101,YES
375,59,0.9978101,NO
547,59,0.9978101,YES
585,59,0.9978101,YES
310,60,0.9978101,NO
335,60,0.9978101,NO
268,61,0.9978101,NO
50,62,0.9978101,NO
96,62,0.9978101,NO
267,62,0.9978101,NO
444,62,0.9978101,NO
929,62,0.9978101,NO
204,63,0.9989027,YES
250,63,0.9978101,NO
384,63,0.9978101,NO
635,63,0.9978101,NO
57,64,0.9978101,NO
137,64,0.9978101,NO
215,64,0.9978101,NO
245,64,0.9978101,YES
549,64,0.9978101,NO
91,65,0.9978101,NO
341,65,0.9978101,NO
747,65,0.9978101,NO
141,66,0.9978101,NO
146,66,0.9978101,NO
255,66,0.9978101,YES
541,66,0.9978101,NO
164,67,0.9978101,NO
389,67,0.9978101,NO
92,69,0.9978101,NO
361,69,0.9978101,NO
387,69,0.9978101,NO
795,69,0.9978101,NO
345,70,0.9978101,NO
599,70,0.9978101,NO
70,71,0.9978101,NO
72,71,0.9978101,NO
97,71,0.9978101,NO
261,71,0.9978101,YES
357,71,0.9978101,NO
522,71,0.9978101,NO
149,72,0.9978101,NO
71,74,0.9978101,NO
536,74,0.9978101,NO
822,74,0.9978101,NO
79,75,0.9978101,NO
99,75,0.9978101,NO
344,76,0.9978101,NO
392,76,0.9978101,NO
51,77,0.9978101,NO
52,77,0.9978101,NO
601,77,0.9978101,NO
930,77,0.9978101,NO
0,78,0.9978101,NO
334,79,0.9978101,NO
69,80,0.9978101,NO
78,81,0.9978101,NO
80,81,0.9978101,NO
545,81,0.9978101,NO
83,82,0.9978101,NO
247,82,0.9978101,YES
396,82,0.9978101,NO
751,83,0.9978101,NO
131,85,0.9978101,NO
81,88,0.9978101,NO
65,89,0.9978101,NO
652,90,0.9978101,NO
90,91,0.9978101,NO
925,92,0.9978101,NO
142,93,0.9978101,NO
358,93,0.9978101,NO
216,94,0.9978101,NO
263,94,0.9978101,NO
373,94,0.9978101,NO
628,94,0.9978101,NO
939,94,0.9978101,NO
1009,94,0.9978101,NO
351,95,0.9978101,NO
352,96,0.9978101,NO
