ID,Size,Predicted,Actual
118,14,0.9994186,NO
233,16,0.9994186,YES
167,25,0.9994186,YES
131,26,0.9994186,NO
207,27,0.9994186,NO
86,29,0.9994186,NO
91,31,0.9994186,NO
117,31,0.9994186,NO
138,32,0.9994186,NO
320,32,0.9994186,NO
132,33,0.9994186,NO
766,34,0.9994186,NO
446,35,0.9994186,NO
239,36,0.9994186,YES
574,37,0.9994186,NO
221,38,0.9994186,NO
57,40,0.9994186,NO
59,40,0.9994186,NO
68,40,0.9994186,NO
135,40,0.9994186,NO
137,40,0.9994186,NO
228,40,0.9994186,NO
45,43,0.9994186,NO
330,43,0.9994186,YES
85,44,0.9994186,NO
90,46,0.9994186,NO
29,48,0.9994186,YES
43,48,0.9994186,NO
55,49,0.9994186,NO
241,49,0.9994186,YES
509,49,0.9994186,NO
403,50,0.9994186,YES
259,52,0.9994186,NO
448,52,0.9994186,NO
510,52,0.9994186,NO
343,53,0.9994186,YES
607,53,0.9994186,YES
64,57,0.9994186,NO
97,57,0.9994186,NO
125,57,0.9994186,YES
418,57,0.9994186,YES
420,57,0.9994186,YES
3,58,0.9994186,NO
226,58,0.9994186,NO
66,59,0.9994186,NO
768,60,0.9994186,NO
144,61,0.9994186,YES
405,61,0.9994186,YES
436,64,0.9994186,NO
579,65,0.9994186,YES
344,66,0.9994186,YES
773,66,0.9994186,NO
74,69,0.9994186,NO
140,69,0.9994186,NO
424,70,0.9994186,YES
93,71,0.9994186,NO
101,71,0.9994186,NO
327,71,0.9994186,YES
82,72,0.9994186,YES
215,74,0.9994186,NO
590,74,0.9994186,YES
40,76,0.9994186,YES
114,76,0.9994186,NO
127,76,0.9994186,YES
211,76,0.9994186,YES
41,77,0.9994186,YES
412,77,0.9994186,YES
15,78,0.9994186,YES
210,78,0.9994186,YES
0,79,0.9994186,NO
209,80,0.9994186,NO
111,81,0.9994186,NO
311,82,0.9994186,NO
774,82,0.9994186,NO
42,83,0.9994186,YES
213,83,0.9994186,NO
489,87,0.9994186,NO
67,88,0.9994186,NO
108,88,0.9994186,NO
227,88,0.9994186,NO
54,89,0.9994186,NO
235,89,0.9994186,NO
46,90,0.9994186,NO
107,90,0.9994186,NO
141,90,0.9994186,NO
139,93,0.9994186,YES
431,94,0.9994186,YES
126,95,0.9994186,YES
232,95,0.9994186,YES
397,96,0.9994186,YES
106,97,0.9994186,NO
229,97,0.9994186,YES
777,100,0.9994186,NO
231,101,0.9994186,YES
230,103,0.9994186,YES
69,104,0.9994186,NO
385,89,0.79993016,YES
387,89,0.79993016,YES
432,89,0.79993016,YES
128,112,0.9994186,YES
255,114,0.9994186,YES
585,114,0.9994186,YES
171,115,0.9994186,YES
26,118,0.9994186,NO
