ID,Size,Predicted,Actual
1016,26,0.99999994,YES
449,32,0.9999999,YES
609,32,0.9999999,YES
445,35,0.9999999,YES
593,36,0.99999994,YES
451,36,0.9999999,YES
1626,38,0.9999999,YES
1384,38,0.9999999,YES
586,39,0.99999994,YES
610,43,0.9999999,YES
998,43,0.99999994,YES
1647,44,0.99999994,YES
488,47,0.99999994,YES
1572,47,0.9999999,YES
498,48,0.9999999,YES
499,49,0.9999999,YES
1624,49,0.9999999,YES
482,50,0.99999994,YES
592,50,0.9999999,YES
1569,53,0.9999999,YES
471,56,0.9999999,YES
447,61,0.9999999,YES
454,62,0.9999999,YES
999,63,0.99999994,YES
1625,68,0.99999994,YES
1043,69,0.99999994,YES
1380,69,0.99999994,YES
596,70,0.99999994,YES
984,70,0.99999994,YES
397,70,0.9999999,YES
459,71,0.99999994,YES
608,71,0.9999999,YES
1574,71,0.9999999,YES
595,72,0.99999994,YES
1582,74,0.9999999,YES
469,75,0.99999994,YES
1567,75,0.9999999,YES
1573,75,0.9999999,YES
460,76,0.99999994,YES
607,76,0.99999994,YES
1568,76,0.9999999,YES
450,78,0.9999999,YES
387,79,0.9999999,YES
400,81,0.9999999,YES
666,82,0.9999999,YES
1622,82,0.9999999,YES
515,84,0.99999994,YES
1247,85,0.99999994,YES
45,86,0.9999999,YES
277,86,0.9999999,YES
1627,86,0.99999994,YES
990,86,0.9999998,YES
597,87,0.99999994,YES
1623,87,0.99999994,YES
479,88,0.9999999,YES
1609,88,0.99999994,YES
591,89,0.99999994,YES
179,66,0.7303852,NO
265,66,0.7303852,NO
270,66,0.7303852,NO
340,66,0.7303852,NO
425,66,0.7303852,NO
756,66,0.7303852,NO
1465,66,0.7303852,NO
1524,66,0.7303852,NO
1549,66,0.7303852,YES
1605,66,0.7303852,NO
197,91,0.9999999,YES
303,91,0.99999994,YES
1583,91,0.9999999,YES
1517,92,0.99999994,YES
594,94,0.99999994,YES
196,95,0.9999999,YES
198,95,0.9999999,YES
542,95,0.9999999,YES
1610,95,0.9999998,YES
192,96,0.9999999,YES
396,96,0.9999999,YES
370,97,0.9999999,YES
466,98,0.99999994,YES
32,70,0.7083333,NO
358,70,0.7083333,NO
784,70,0.7083333,NO
989,70,0.7083333,NO
395,99,0.9999999,YES
331,102,0.9999999,YES
457,102,0.99999994,YES
1252,103,0.9999999,NO
189,104,0.9999999,YES
88,74,0.6988304,NO
169,74,0.6988304,NO
741,74,0.6988304,NO
890,74,0.6988304,NO
982,74,0.6988304,NO
1607,74,0.6988304,NO
1182,106,0.9999999,YES
14,108,0.9999999,YES
536,108,0.99999994,YES
202,81,0.74561405,NO
204,81,0.74561405,NO
224,81,0.74561405,NO
235,81,0.74561405,NO
528,81,0.74561405,YES
740,81,0.74561405,NO
747,81,0.74561405,NO
778,81,0.74561405,NO
1062,81,0.74561405,NO
1491,81,0.74561405,NO
1604,81,0.74561405,NO
598,109,0.99999994,YES
1614,109,0.99999994,YES
1015,110,0.99999994,YES
187,110,0.9999999,YES
129,111,0.99999994,YES
815,111,0.9999999,YES
537,111,0.9999999,YES
491,113,0.99999994,YES
185,84,0.73987204,NO
1187,84,0.73987204,NO
1389,84,0.73987204,NO
1438,84,0.73987204,NO
1563,84,0.73987204,NO
1183,115,0.9999999,YES
493,116,0.99999994,YES
503,116,0.99999994,YES
278,117,0.99999994,YES
543,118,0.9999999,YES
550,119,0.99999994,YES
585,119,0.99999994,YES
588,120,0.99999994,YES
444,121,0.9999999,YES
92,122,0.9999999,YES
195,122,0.9999999,YES
40,123,0.99999994,NO
250,33,0.267101,NO
424,33,0.267101,NO
661,33,0.267101,NO
777,33,0.267101,NO
1049,33,0.267101,NO
1190,33,0.267101,NO
1255,33,0.267101,NO
1275,33,0.267101,NO
1321,33,0.267101,NO
1401,33,0.267101,NO
1432,33,0.267101,NO
1462,33,0.267101,NO
1523,33,0.267101,NO
207,82,0.66150445,NO
417,82,0.66150445,NO
681,82,0.66150445,NO
1025,82,0.66150445,NO
1104,82,0.66150445,NO
1579,82,0.66150445,NO
1628,82,0.66150445,NO
461,124,0.99999994,YES
1589,124,0.9999999,YES
1507,126,0.99999994,YES
1585,126,0.9999999,YES
1640,126,0.99999994,YES
73,36,0.2819738,NO
74,36,0.2819738,NO
136,36,0.2819738,NO
166,36,0.2819738,NO
183,36,0.2819738,NO
200,36,0.2819738,NO
246,36,0.2819738,NO
316,36,0.2819738,NO
344,36,0.2819738,NO
354,36,0.2819738,NO
492,36,0.2819738,NO
566,36,0.2819738,NO
720,36,0.2819738,NO
748,36,0.2819738,NO
1081,36,0.2819738,NO
1254,36,0.2819738,NO
1268,36,0.2819738,NO
1332,36,0.2819738,NO
1337,36,0.2819738,NO
1348,36,0.2819738,NO
1418,36,0.2819738,NO
1458,36,0.2819738,NO
98,128,0.9999999,YES
186,104,0.80172414,NO
1121,104,0.80172414,NO
100,130,0.99999994,YES
1575,132,0.9999999,YES
1616,132,0.9999999,YES
601,133,0.99999994,YES
535,133,0.9999999,YES
986,122,0.9106145,NO
600,137,0.99999994,YES
84,71,0.5151515,NO
89,71,0.5151515,NO
221,71,0.5151515,NO
365,71,0.5151515,NO
431,71,0.5151515,NO
577,71,0.5151515,NO
623,71,0.5151515,NO
753,71,0.5151515,NO
1126,71,0.5151515,NO
1629,71,0.5151515,NO
1663,71,0.5151515,NO
766,140,0.9999999,YES
285,141,0.9999999,YES
752,135,0.94827586,NO
1538,135,0.94827586,YES
47,143,0.99999994,YES
1167,143,0.9999999,YES
992,146,0.9999999,YES
825,147,0.9999999,YES
162,99,0.671875,NO
426,99,0.671875,NO
1046,99,0.671875,NO
34,148,1.0,NO
530,148,1.0,YES
599,148,0.9999999,YES
1315,150,0.99999994,YES
410,151,0.99999994,YES
411,153,0.99999994,NO
590,153,0.99999994,YES
446,154,0.9999999,YES
634,155,0.99999994,YES
1283,158,0.9999999,YES
274,117,0.7402597,NO
1479,117,0.7402597,NO
48,145,0.91634977,NO
83,88,0.5552486,NO
178,88,0.5552486,NO
205,88,0.5552486,NO
327,88,0.5552486,NO
573,88,0.5552486,NO
993,88,0.5552486,NO
37,116,0.7287157,NO
103,116,0.7287157,YES
118,116,0.7287157,YES
655,116,0.7287157,NO
735,116,0.7287157,NO
1037,116,0.7287157,NO
1074,116,0.7287157,NO
1105,116,0.7287157,YES
352,133,0.82312924,NO
962,133,0.82312924,NO
279,90,0.556701,NO
283,90,0.556701,NO
31,164,0.9999999,YES
533,164,0.9999999,YES
760,108,0.6575875,NO
780,108,0.6575875,NO
173,91,0.55025554,NO
980,91,0.55025554,YES
1339,91,0.55025554,NO
1439,91,0.55025554,NO
632,166,0.99999994,NO
264,167,0.99999994,NO
1113,167,0.99999994,YES
184,63,0.37556562,NO
237,63,0.37556562,NO
420,63,0.37556562,NO
513,63,0.37556562,NO
654,63,0.37556562,NO
944,63,0.37556562,NO
1108,63,0.37556562,NO
1228,63,0.37556562,NO
1403,63,0.37556562,NO
1513,63,0.37556562,NO
60,39,0.23225807,NO
61,39,0.23225807,NO
62,39,0.23225807,NO
77,39,0.23225807,NO
86,39,0.23225807,NO
262,39,0.23225807,NO
554,39,0.23225807,NO
933,39,0.23225807,NO
934,39,0.23225807,NO
997,39,0.23225807,NO
1200,39,0.23225807,NO
1385,39,0.23225807,NO
1428,39,0.23225807,NO
1042,168,0.9999999,YES
1052,168,0.99999994,NO
229,109,0.64684016,NO
1021,109,0.64684016,NO
1447,109,0.64684016,NO
87,47,0.27610874,NO
110,47,0.27610874,NO
227,47,0.27610874,NO
272,47,0.27610874,NO
1083,47,0.27610874,NO
1084,47,0.27610874,NO
1110,47,0.27610874,NO
1112,47,0.27610874,NO
1299,47,0.27610874,NO
1322,47,0.27610874,NO
1450,47,0.27610874,NO
1456,47,0.27610874,NO
1469,47,0.27610874,NO
1542,47,0.27610874,NO
820,171,0.9999999,YES
1409,172,0.9999999,YES
1300,173,0.9999998,NO
377,76,0.43803585,NO
551,76,0.43803585,NO
782,76,0.43803585,NO
920,76,0.43803585,NO
991,76,0.43803585,NO
1085,76,0.43803585,NO
1231,76,0.43803585,NO
1350,76,0.43803585,NO
1398,76,0.43803585,NO
