ID,Size,Predicted,Actual
821,22,0.99883175,NO
1016,26,0.99970746,NO
188,29,0.99883175,NO
669,30,0.99883175,NO
817,31,0.99883175,NO
127,32,0.99883175,YES
449,32,0.99883175,YES
609,32,0.99883175,NO
445,35,0.99883175,YES
451,36,0.99883175,YES
606,37,0.99883175,YES
1384,38,0.99970746,YES
190,38,0.99883175,NO
541,38,0.99883175,NO
532,39,0.99883175,NO
639,39,0.99883175,NO
309,40,0.99883175,NO
637,40,0.99883175,NO
928,41,0.99883175,NO
193,42,0.99883175,NO
998,43,0.99970746,NO
128,43,0.99883175,YES
610,43,0.99883175,YES
191,44,0.99883175,NO
667,45,0.99883175,NO
668,45,0.99883175,NO
823,47,0.99883175,YES
1572,47,0.99883175,NO
194,48,0.99883175,NO
534,48,0.99883175,NO
665,48,0.99883175,NO
499,49,0.99883175,NO
583,49,0.99883175,NO
482,50,0.99970746,YES
1569,53,0.99883175,NO
125,54,0.99883175,YES
471,56,0.99883175,YES
664,56,0.99883175,NO
305,57,0.99883175,NO
638,57,0.99883175,NO
7,58,0.99883175,NO
21,58,0.99883175,NO
69,58,0.99883175,NO
120,58,0.99883175,NO
174,58,0.99883175,NO
448,58,0.99883175,YES
509,58,0.99883175,NO
674,58,0.99883175,YES
965,58,0.99883175,NO
1115,58,0.99883175,NO
1131,58,0.99883175,NO
1143,58,0.99883175,NO
307,59,0.99883175,NO
438,61,0.99883175,NO
447,61,0.99883175,YES
437,62,0.99883175,NO
454,62,0.99883175,YES
999,63,0.99883175,NO
85,64,0.99883175,NO
250,33,0.5,NO
424,33,0.5,NO
661,33,0.5,NO
777,33,0.5,NO
1049,33,0.5,NO
1190,33,0.5,NO
1255,33,0.5,NO
1275,33,0.5,NO
1321,33,0.5,NO
1401,33,0.5,NO
1432,33,0.5,NO
1462,33,0.5,NO
1523,33,0.5,NO
563,67,0.99883175,NO
635,67,0.99883175,NO
199,68,0.99883175,NO
1380,69,0.99970746,YES
1043,69,0.99883175,YES
304,70,0.99883175,NO
306,70,0.99883175,NO
397,70,0.99883175,NO
604,70,0.99883175,YES
984,70,0.99883175,NO
608,71,0.99883175,YES
1574,71,0.99883175,YES
73,36,0.5,NO
74,36,0.5,NO
136,36,0.5,NO
166,36,0.5,NO
183,36,0.5,NO
200,36,0.5,NO
246,36,0.5,NO
316,36,0.5,NO
344,36,0.5,NO
354,36,0.5,NO
492,36,0.5,NO
566,36,0.5,NO
720,36,0.5,NO
748,36,0.5,NO
1081,36,0.5,NO
1254,36,0.5,NO
1268,36,0.5,NO
1332,36,0.5,NO
1337,36,0.5,NO
1348,36,0.5,NO
1418,36,0.5,NO
1458,36,0.5,NO
130,29,0.40004683,NO
287,29,0.40004683,NO
347,29,0.40004683,NO
468,29,0.40004683,NO
611,29,0.40004683,NO
1098,29,0.40004683,NO
1159,29,0.40004683,NO
1163,29,0.40004683,NO
1169,29,0.40004683,NO
1253,29,0.40004683,NO
1256,29,0.40004683,NO
1258,29,0.40004683,NO
1259,29,0.40004683,NO
1323,29,0.40004683,NO
1363,29,0.40004683,NO
1368,29,0.40004683,NO
1383,29,0.40004683,NO
538,73,0.99883175,NO
1582,74,0.99883175,YES
203,75,0.9994152,NO
223,75,0.9994152,NO
422,75,0.9994152,NO
469,75,0.9994152,YES
745,75,0.9994152,NO
749,75,0.9994152,NO
806,75,0.9994152,NO
952,75,0.9994152,NO
1041,75,0.9994152,NO
1423,75,0.9994152,NO
1593,75,0.9994152,NO
1567,75,0.99883175,YES
1573,75,0.99883175,YES
607,76,0.9994152,YES
662,76,0.99883175,NO
822,76,0.99883175,YES
1184,76,0.99883175,YES
1568,76,0.99883175,YES
450,78,0.99883175,YES
302,79,0.99883175,NO
387,79,0.99883175,NO
1023,79,0.99883175,NO
46,48,0.5999532,NO
157,48,0.5999532,NO
209,48,0.5999532,NO
238,48,0.5999532,NO
280,48,0.5999532,NO
386,48,0.5999532,NO
495,48,0.5999532,NO
1094,48,0.5999532,NO
1175,48,0.5999532,NO
1201,48,0.5999532,NO
1220,48,0.5999532,NO
1261,48,0.5999532,NO
1327,48,0.5999532,NO
1341,48,0.5999532,NO
1364,48,0.5999532,NO
1494,48,0.5999532,NO
1506,48,0.5999532,NO
1586,48,0.5999532,NO
1560,80,0.99883175,YES
400,81,0.99883175,YES
561,81,0.99883175,NO
1002,81,0.99883175,YES
666,82,0.9994152,YES
185,84,0.99883175,NO
515,84,0.99883175,YES
540,84,0.99883175,NO
1187,84,0.99883175,NO
1389,84,0.99883175,NO
1438,84,0.99883175,NO
1563,84,0.99883175,NO
565,85,0.99883175,NO
1247,85,0.99883175,YES
990,86,0.99883175,NO
308,88,0.99883175,NO
479,88,0.99883175,YES
564,88,0.99883175,NO
636,88,0.99883175,NO
84,71,0.7998595,NO
89,71,0.7998595,NO
221,71,0.7998595,NO
365,71,0.7998595,NO
431,71,0.7998595,NO
577,71,0.7998595,NO
623,71,0.7998595,NO
753,71,0.7998595,NO
1126,71,0.7998595,NO
1629,71,0.7998595,NO
1663,71,0.7998595,NO
79,89,0.99883175,NO
158,89,0.99883175,NO
292,89,0.99883175,NO
333,89,0.99883175,NO
671,89,0.99883175,NO
133,45,0.5,NO
373,45,0.5,NO
790,45,0.5,NO
1006,45,0.5,NO
1056,45,0.5,NO
1097,45,0.5,NO
1235,45,0.5,NO
1317,45,0.5,NO
1505,45,0.5,NO
279,90,0.9994152,NO
283,90,0.9994152,NO
435,90,0.99883175,NO
173,91,0.99883175,NO
197,91,0.99883175,NO
303,91,0.99883175,YES
529,91,0.99883175,NO
562,91,0.99883175,NO
980,91,0.99883175,YES
1339,91,0.99883175,NO
1439,91,0.99883175,NO
1583,91,0.99883175,YES
377,76,0.83320326,NO
551,76,0.83320326,NO
782,76,0.83320326,NO
920,76,0.83320326,NO
991,76,0.83320326,NO
1085,76,0.83320326,NO
1231,76,0.83320326,NO
1350,76,0.83320326,NO
1398,76,0.83320326,NO
1446,76,0.83320326,NO
1546,76,0.83320326,YES
1638,76,0.83320326,NO
1517,92,0.99883175,NO
32,70,0.74985373,NO
358,70,0.74985373,NO
784,70,0.74985373,NO
989,70,0.74985373,NO
643,94,0.99883175,NO
476,38,0.4000234,NO
484,38,0.4000234,NO
486,38,0.4000234,NO
553,38,0.4000234,NO
555,38,0.4000234,NO
926,38,0.4000234,NO
996,38,0.4000234,NO
1008,38,0.4000234,NO
1179,38,0.4000234,NO
1211,38,0.4000234,NO
1216,38,0.4000234,NO
1313,38,0.4000234,NO
1342,38,0.4000234,NO
1345,38,0.4000234,NO
1360,38,0.4000234,NO
1379,38,0.4000234,NO
1412,38,0.4000234,NO
1537,38,0.4000234,NO
1580,38,0.4000234,NO
1651,38,0.4000234,YES
1652,38,0.4000234,NO
196,95,0.99883175,NO
198,95,0.99883175,NO
1610,95,0.99883175,NO
498,48,0.5,NO
192,96,0.99883175,NO
393,97,0.99883175,NO
44,98,0.99883175,NO
143,98,0.99883175,NO
374,98,0.99883175,NO
466,98,0.99883175,YES
628,98,0.99883175,NO
640,98,0.99883175,NO
1066,98,0.99883175,NO
170,101,0.99883175,NO
228,101,0.99883175,NO
253,101,0.99883175,NO
441,101,0.99883175,YES
527,101,0.99883175,NO
642,101,0.99883175,NO
938,101,0.99883175,NO
512,102,0.99883175,NO
584,102,0.99883175,NO
23,77,0.74985373,NO
65,77,0.74985373,NO
66,77,0.74985373,NO
918,77,0.74985373,NO
1106,77,0.74985373,NO
1404,77,0.74985373,NO
1584,77,0.74985373,NO
1252,103,0.99883175,NO
189,104,0.99883175,NO
310,104,0.99883175,NO
9,106,0.9994152,NO
18,106,0.9994152,YES
56,106,0.9994152,NO
172,106,0.9994152,NO
175,106,0.9994152,NO
922,106,0.9994152,NO
1194,106,0.9994152,NO
641,106,0.99883175,NO
570,107,0.9994152,NO
1395,107,0.9994152,NO
1397,107,0.9994152,NO
137,43,0.40004683,NO
201,43,0.40004683,NO
282,43,0.40004683,NO
423,43,0.40004683,NO
472,43,0.40004683,NO
487,43,0.40004683,NO
917,43,0.40004683,NO
967,43,0.40004683,NO
1035,43,0.40004683,NO
1174,43,0.40004683,NO
1233,43,0.40004683,NO
1362,43,0.40004683,NO
1495,43,0.40004683,NO
1497,43,0.40004683,NO
1535,43,0.40004683,NO
1536,43,0.40004683,NO
