ID,Size,Predicted,Actual
1237,35,0.9998128,NO
1273,38,0.9998128,NO
1546,38,0.9998128,NO
1410,42,0.9998128,NO
1407,43,0.9998128,NO
1409,43,0.9998128,NO
440,44,0.9998128,NO
1408,44,0.9998128,NO
334,46,0.9998128,NO
1160,31,0.5,NO
5,65,0.9998128,NO
28,69,0.9998128,NO
0,78,0.9998128,NO
1021,78,0.9998128,NO
1349,78,0.9998128,NO
483,84,0.9998128,YES
1101,84,0.9998128,NO
1302,84,0.9998128,NO
1351,84,0.9998128,NO
1473,84,0.9998128,NO
480,102,0.9998128,NO
537,102,0.9998128,NO
183,104,0.9998128,NO
294,104,0.9998128,NO
1035,104,0.9998128,NO
9,106,0.9998128,NO
965,111,0.9998128,NO
51,113,0.9998128,NO
195,113,0.9998128,NO
461,113,0.9998128,YES
738,113,0.9998128,NO
787,113,0.9998128,NO
872,113,0.9998128,NO
1268,113,0.9998128,NO
25,114,0.9998128,NO
891,114,0.9998128,NO
1087,114,0.9998128,NO
416,115,0.9998128,NO
564,115,0.9998128,NO
1509,115,0.9998128,NO
608,89,0.76922303,NO
37,116,0.9998128,NO
463,116,0.9998128,YES
571,116,0.9998128,NO
592,116,0.9998128,NO
951,116,0.9998128,NO
988,116,0.9998128,NO
1019,116,0.9998128,YES
258,117,0.9998128,NO
1392,117,0.9998128,NO
1419,117,0.9998128,YES
201,120,0.9998128,NO
304,120,0.9998128,NO
553,120,0.9998128,NO
600,120,0.9998128,NO
19,121,0.9998128,NO
1218,121,0.9998128,NO
1454,121,0.9998128,NO
1489,121,0.9998128,NO
540,122,0.9998128,YES
628,124,0.9998128,YES
1356,124,0.9998128,NO
53,125,0.9998128,NO
152,125,0.9998128,NO
203,125,0.9998128,NO
978,125,0.9998128,NO
1320,125,0.9998128,NO
1462,125,0.9998128,NO
1493,125,0.9998128,YES
992,126,0.9998128,NO
700,134,0.9998128,YES
966,168,0.9998128,NO
42,180,0.9998128,NO
369,188,0.9998128,NO
343,192,0.9998128,YES
41,201,0.9998128,NO
342,213,0.9998128,NO
1543,219,0.9998128,NO
646,244,0.9998128,NO
336,333,0.9998128,NO
15,432,0.9998128,NO
96,493,0.9998128,YES
1437,547,0.9998128,YES
871,612,0.9998128,NO
1474,700,0.9998128,YES
964,711,0.9998128,YES
372,720,0.9998128,YES
339,741,0.9998128,YES
1217,912,0.9998128,YES
289,57,0.03846819,NO
702,22,1.8723085E-4,NO
746,24,1.8723085E-4,NO
639,25,1.8723085E-4,NO
106,27,1.8723085E-4,NO
296,28,1.8723085E-4,NO
654,28,1.8723085E-4,NO
726,28,1.8723085E-4,NO
127,29,1.8723085E-4,NO
124,30,1.8723085E-4,YES
132,30,1.8723085E-4,NO
131,31,1.8723085E-4,NO
720,31,1.8723085E-4,NO
1039,31,1.8723085E-4,NO
1174,31,1.8723085E-4,YES
151,35,1.8723085E-4,NO
662,35,1.8723085E-4,NO
133,36,1.8723085E-4,NO
300,36,1.8723085E-4,NO
657,36,1.8723085E-4,NO
1261,36,1.8723085E-4,NO
721,37,1.8723085E-4,NO
1259,37,1.8723085E-4,NO
125,39,1.8723085E-4,YES
157,40,1.8723085E-4,NO
430,40,1.8723085E-4,YES
658,40,1.8723085E-4,NO
661,40,1.8723085E-4,NO
103,42,1.8723085E-4,NO
150,42,1.8723085E-4,NO
431,42,1.8723085E-4,YES
134,43,1.8723085E-4,NO
1458,43,1.8723085E-4,NO
94,44,1.8723085E-4,NO
104,44,1.8723085E-4,NO
122,44,1.8723085E-4,YES
297,44,1.8723085E-4,NO
130,45,1.8723085E-4,NO
319,46,1.8723085E-4,NO
320,46,1.8723085E-4,NO
345,46,1.8723085E-4,NO
357,46,1.8723085E-4,NO
358,46,1.8723085E-4,NO
452,46,1.8723085E-4,YES
695,46,1.8723085E-4,NO
1194,46,1.8723085E-4,NO
1247,46,1.8723085E-4,NO
1266,46,1.8723085E-4,NO
1558,46,1.8723085E-4,NO
107,47,1.8723085E-4,NO
638,24,9.363296E-5,NO
1426,24,9.363296E-5,NO
116,48,1.8723085E-4,NO
154,48,1.8723085E-4,NO
1254,48,1.8723085E-4,NO
123,49,1.8723085E-4,NO
128,49,1.8723085E-4,NO
536,49,1.8723085E-4,NO
120,50,1.8723085E-4,NO
1544,50,1.8723085E-4,NO
179,51,1.8723085E-4,NO
664,51,1.8723085E-4,YES
1260,51,1.8723085E-4,NO
1262,51,1.8723085E-4,NO
1469,26,9.363296E-5,NO
92,53,1.8723085E-4,NO
82,55,1.8723085E-4,NO
91,55,1.8723085E-4,YES
192,55,1.8723085E-4,NO
196,55,1.8723085E-4,NO
223,55,1.8723085E-4,NO
1005,55,1.8723085E-4,NO
1041,55,1.8723085E-4,NO
1091,55,1.8723085E-4,NO
1118,55,1.8723085E-4,NO
1291,55,1.8723085E-4,NO
118,56,1.8723085E-4,NO
989,56,1.8723085E-4,NO
117,58,1.8723085E-4,NO
328,59,1.8723085E-4,NO
671,59,1.8723085E-4,NO
660,30,9.363296E-5,NO
108,60,1.8723085E-4,NO
670,61,1.8723085E-4,NO
326,31,9.363296E-5,NO
1157,31,9.363296E-5,NO
719,32,9.363296E-5,NO
653,65,1.8723085E-4,NO
693,65,1.8723085E-4,NO
723,22,6.242587E-5,NO
249,66,1.8723085E-4,NO
254,66,1.8723085E-4,NO
323,66,1.8723085E-4,NO
690,66,1.8723085E-4,NO
1238,66,1.8723085E-4,YES
1378,66,1.8723085E-4,NO
1435,66,1.8723085E-4,NO
1460,66,1.8723085E-4,YES
1513,66,1.8723085E-4,NO
513,34,9.363296E-5,NO
145,68,1.8723085E-4,NO
321,68,1.8723085E-4,NO
836,68,1.8723085E-4,NO
899,68,1.8723085E-4,NO
1030,68,1.8723085E-4,NO
1422,68,1.8723085E-4,NO
1442,68,1.8723085E-4,NO
244,69,1.8723085E-4,NO
310,69,1.8723085E-4,NO
565,69,1.8723085E-4,NO
594,69,1.8723085E-4,NO
692,69,1.8723085E-4,NO
1092,69,1.8723085E-4,NO
1208,69,1.8723085E-4,NO
1552,69,1.8723085E-4,NO
1405,35,9.363296E-5,NO
341,70,1.8723085E-4,NO
424,70,1.8723085E-4,YES
687,71,1.8723085E-4,NO
327,36,9.363296E-5,NO
1245,36,9.363296E-5,NO
423,72,1.8723085E-4,YES
616,72,1.8723085E-4,NO
149,73,1.8723085E-4,NO
1241,37,9.363296E-5,NO
506,38,9.363296E-5,NO
508,38,9.363296E-5,NO
504,76,1.8723085E-4,NO
957,76,1.8723085E-4,YES
999,76,1.8723085E-4,NO
261,77,1.8723085E-4,YES
1020,77,1.8723085E-4,NO
685,26,6.242587E-5,NO
507,39,9.363296E-5,NO
1098,79,1.8723085E-4,YES
509,40,9.363296E-5,NO
295,80,1.8723085E-4,NO
712,81,1.8723085E-4,NO
1512,81,1.8723085E-4,NO
510,41,9.363296E-5,NO
1283,41,9.363296E-5,NO
427,82,1.8723085E-4,YES
618,82,1.8723085E-4,NO
298,83,1.8723085E-4,NO
722,83,1.8723085E-4,NO
1182,28,6.242587E-5,NO
512,42,9.363296E-5,NO
383,85,1.8723085E-4,NO
534,85,1.8723085E-4,NO
1275,43,9.363296E-5,NO
2,87,1.8723085E-4,NO
449,87,1.8723085E-4,YES
505,87,1.8723085E-4,NO
734,87,1.8723085E-4,NO
974,87,1.8723085E-4,NO
1117,87,1.8723085E-4,NO
338,44,9.363296E-5,NO
521,44,9.363296E-5,NO
1459,44,9.363296E-5,NO
83,88,1.8723085E-4,NO
79,89,1.8723085E-4,NO
113,89,1.8723085E-4,NO
155,89,1.8723085E-4,NO
276,89,1.8723085E-4,NO
316,89,1.8723085E-4,NO
263,90,1.8723085E-4,NO
267,90,1.8723085E-4,NO
376,90,1.8723085E-4,YES
415,90,1.8723085E-4,NO
1252,91,1.8723085E-4,NO
1397,46,9.363296E-5,NO
138,92,1.8723085E-4,NO
728,92,1.8723085E-4,NO
1043,92,1.8723085E-4,NO
164,31,6.242587E-5,NO
1159,31,6.242587E-5,NO
38,93,1.8723085E-4,NO
111,93,1.8723085E-4,YES
997,47,9.363296E-5,NO
1000,94,1.8723085E-4,NO
1547,95,1.8723085E-4,NO
387,32,6.242587E-5,NO
861,32,6.242587E-5,NO
1158,32,6.242587E-5,NO
1244,32,6.242587E-5,NO
1412,32,6.242587E-5,NO
46,48,9.363296E-5,NO
193,48,9.363296E-5,NO
222,48,9.363296E-5,NO
264,48,9.363296E-5,NO
458,48,9.363296E-5,YES
465,48,9.363296E-5,NO
602,48,9.363296E-5,NO
1008,48,9.363296E-5,NO
1089,48,9.363296E-5,NO
1115,48,9.363296E-5,NO
1240,48,9.363296E-5,NO
1277,48,9.363296E-5,NO
1418,48,9.363296E-5,NO
1494,48,9.363296E-5,NO
511,97,1.8723085E-4,NO
747,97,1.8723085E-4,NO
44,98,1.8723085E-4,NO
140,98,1.8723085E-4,NO
356,98,1.8723085E-4,NO
436,98,1.8723085E-4,YES
566,98,1.8723085E-4,NO
577,98,1.8723085E-4,NO
980,98,1.8723085E-4,NO
711,33,6.242587E-5,NO
1434,33,6.242587E-5,NO
428,50,9.363296E-5,NO
324,100,1.8723085E-4,NO
421,101,1.8723085E-4,YES
467,34,6.242587E-5,NO
486,34,6.242587E-5,NO
528,34,6.242587E-5,NO
914,34,6.242587E-5,NO
1072,34,6.242587E-5,NO
1155,34,6.242587E-5,NO
1386,34,6.242587E-5,NO
637,35,6.242587E-5,NO
737,35,6.242587E-5,NO
6,105,1.8723085E-4,NO
253,105,1.8723085E-4,NO
735,105,1.8723085E-4,NO
1070,105,1.8723085E-4,NO
1096,105,1.8723085E-4,YES
523,107,1.8723085E-4,NO
1308,107,1.8723085E-4,NO
1310,107,1.8723085E-4,NO
1439,27,4.6820864E-5,NO
337,36,6.242587E-5,NO
519,36,6.242587E-5,NO
682,36,6.242587E-5,NO
714,108,1.8723085E-4,NO
213,109,1.8723085E-4,NO
538,109,1.8723085E-4,YES
936,109,1.8723085E-4,NO
1360,109,1.8723085E-4,NO
285,55,9.363296E-5,NO
665,55,9.363296E-5,NO
20,110,1.8723085E-4,NO
958,110,1.8723085E-4,NO
1536,110,1.8723085E-4,NO
22,37,6.242587E-5,NO
227,37,6.242587E-5,NO
233,37,6.242587E-5,NO
478,37,6.242587E-5,NO
522,37,6.242587E-5,NO
529,37,6.242587E-5,NO
545,37,6.242587E-5,YES
929,37,6.242587E-5,NO
1076,37,6.242587E-5,NO
1140,37,6.242587E-5,NO
1151,37,6.242587E-5,NO
1374,37,6.242587E-5,NO
1424,37,6.242587E-5,NO
1427,37,6.242587E-5,NO
1554,37,6.242587E-5,NO
398,111,1.8723085E-4,NO
1141,111,1.8723085E-4,NO
1522,111,1.8723085E-4,NO
502,56,9.363296E-5,NO
110,112,1.8723085E-4,YES
471,112,1.8723085E-4,YES
560,112,1.8723085E-4,NO
935,112,1.8723085E-4,NO
1097,112,1.8723085E-4,YES
1542,112,1.8723085E-4,NO
121,114,1.8723085E-4,NO
7,58,9.363296E-5,NO
21,58,9.363296E-5,NO
69,58,9.363296E-5,NO
171,58,9.363296E-5,NO
477,58,9.363296E-5,NO
886,58,9.363296E-5,NO
1045,58,9.363296E-5,NO
1057,58,9.363296E-5,NO
101,116,1.8723085E-4,YES
669,116,1.8723085E-4,NO
412,59,9.363296E-5,NO
307,119,1.8723085E-4,NO
1402,40,6.242587E-5,NO
1385,60,9.363296E-5,NO
1497,121,1.8723085E-4,YES
644,41,6.242587E-5,NO
1510,41,6.242587E-5,NO
262,123,1.8723085E-4,YES
114,62,9.363296E-5,YES
1399,42,6.242587E-5,NO
503,126,1.8723085E-4,YES
651,126,1.8723085E-4,NO
395,64,9.363296E-5,NO
1452,128,1.8723085E-4,NO
1498,43,6.242587E-5,NO
745,129,1.8723085E-4,NO
199,65,9.363296E-5,NO
543,65,9.363296E-5,YES
805,65,9.363296E-5,NO
811,65,9.363296E-5,NO
845,65,9.363296E-5,NO
1046,65,9.363296E-5,NO
1082,65,9.363296E-5,NO
1112,65,9.363296E-5,NO
1153,65,9.363296E-5,NO
1251,65,9.363296E-5,NO
1490,65,9.363296E-5,YES
10,130,1.8723085E-4,NO
857,130,1.8723085E-4,NO
1257,130,1.8723085E-4,NO
541,131,1.8723085E-4,NO
1466,131,1.8723085E-4,NO
1531,131,1.8723085E-4,NO
649,44,6.242587E-5,NO
405,66,9.363296E-5,NO
1293,66,9.363296E-5,YES
12,132,1.8723085E-4,NO
98,132,1.8723085E-4,YES
381,132,1.8723085E-4,NO
973,132,1.8723085E-4,NO
1463,132,1.8723085E-4,NO
1483,132,1.8723085E-4,YES
335,133,1.8723085E-4,NO
429,133,1.8723085E-4,YES
539,133,1.8723085E-4,YES
883,133,1.8723085E-4,NO
516,67,9.363296E-5,NO
525,67,9.363296E-5,NO
232,27,3.7457394E-5,NO
445,27,3.7457394E-5,NO
447,27,3.7457394E-5,NO
595,27,3.7457394E-5,NO
614,27,3.7457394E-5,NO
648,27,3.7457394E-5,NO
934,27,3.7457394E-5,NO
1152,27,3.7457394E-5,NO
1286,27,3.7457394E-5,NO
1301,27,3.7457394E-5,NO
1362,27,3.7457394E-5,NO
1436,27,3.7457394E-5,NO
1417,45,6.242587E-5,NO
210,135,1.8723085E-4,NO
1502,136,1.8723085E-4,NO
554,137,1.8723085E-4,NO
1507,137,1.8723085E-4,NO
238,139,1.8723085E-4,NO
1081,139,1.8723085E-4,YES
1144,139,1.8723085E-4,NO
718,70,9.363296E-5,NO
858,140,1.8723085E-4,NO
411,71,9.363296E-5,NO
1040,71,9.363296E-5,NO
24,142,1.8723085E-4,NO
1210,142,1.8723085E-4,NO
1461,142,1.8723085E-4,NO
1533,142,1.8723085E-4,YES
173,143,1.8723085E-4,NO
379,143,1.8723085E-4,NO
368,48,6.242587E-5,NO
1134,48,6.242587E-5,NO
1406,48,6.242587E-5,NO
274,72,9.363296E-5,NO
1163,72,9.363296E-5,NO
887,144,1.8723085E-4,NO
308,146,1.8723085E-4,NO
386,49,6.242587E-5,NO
675,74,9.363296E-5,NO
679,75,9.363296E-5,NO
683,75,9.363296E-5,NO
1501,75,9.363296E-5,NO
546,76,9.363296E-5,YES
599,76,9.363296E-5,NO
716,76,9.363296E-5,NO
842,76,9.363296E-5,NO
910,76,9.363296E-5,NO
1145,76,9.363296E-5,NO
1263,76,9.363296E-5,NO
1311,76,9.363296E-5,NO
1359,76,9.363296E-5,NO
1457,76,9.363296E-5,YES
1478,76,9.363296E-5,YES
1534,76,9.363296E-5,NO
878,152,1.8723085E-4,NO
156,153,1.8723085E-4,NO
391,153,1.8723085E-4,NO
641,153,1.8723085E-4,NO
898,153,1.8723085E-4,NO
23,77,9.363296E-5,NO
65,77,9.363296E-5,NO
66,77,9.363296E-5,NO
840,77,9.363296E-5,NO
1317,77,9.363296E-5,NO
1492,77,9.363296E-5,NO
60,39,4.6820864E-5,NO
61,39,4.6820864E-5,NO
62,39,4.6820864E-5,NO
77,39,4.6820864E-5,NO
85,39,4.6820864E-5,NO
246,39,4.6820864E-5,NO
576,39,4.6820864E-5,NO
854,39,4.6820864E-5,NO
855,39,4.6820864E-5,NO
