ID,Size,Predicted,Actual
98,22,0.9998822,NO
49,24,0.9998822,NO
56,24,0.9998822,NO
348,24,0.9998822,NO
381,24,0.9998822,NO
120,25,0.9998822,NO
282,25,0.9998822,NO
135,26,0.9998822,NO
754,26,0.9998822,NO
833,26,0.9998822,NO
124,27,0.9998822,NO
388,27,0.9998822,NO
513,27,0.9998822,NO
746,27,0.9998822,NO
758,27,0.9998822,NO
804,27,0.9998822,NO
106,28,0.9998822,NO
275,29,0.9998822,NO
347,29,0.9998822,NO
121,30,0.9998822,NO
123,30,0.9998822,NO
376,30,0.9998822,NO
399,30,0.9998822,NO
62,31,0.9998822,NO
127,31,0.9998822,NO
238,31,0.9998822,YES
532,31,0.9998822,NO
678,31,0.9998822,NO
101,32,0.9998822,NO
260,32,0.9998822,NO
380,32,0.9998822,NO
755,32,0.9998822,NO
126,33,0.9998822,NO
254,33,0.9998822,NO
391,33,0.9998822,NO
927,33,0.9998822,NO
89,35,0.9998822,NO
134,35,0.9998822,NO
583,35,0.9998822,YES
668,35,0.9998822,NO
59,36,0.9998822,NO
60,36,0.9998822,NO
76,36,0.9998822,NO
122,36,0.9998822,NO
119,37,0.9998822,NO
125,37,0.9998822,NO
343,37,0.9998822,NO
612,37,0.9998822,NO
815,38,0.9998822,NO
46,39,0.9998822,NO
47,39,0.9998822,NO
48,39,0.9998822,NO
63,39,0.9998822,NO
138,39,0.9998822,NO
369,39,0.9998822,NO
169,40,0.9998822,NO
257,40,0.9998822,NO
259,40,0.9998822,NO
283,40,0.9998822,NO
354,40,0.9998822,NO
367,40,0.9998822,NO
650,40,0.9998822,YES
139,41,0.9998822,NO
349,41,0.9998822,NO
82,42,0.9998822,NO
292,42,0.9998822,NO
377,42,0.9998822,NO
77,43,0.9998822,NO
249,43,0.9998822,NO
253,43,0.9998822,NO
346,43,0.9998822,NO
74,44,0.9998822,NO
390,44,0.9998822,NO
217,45,0.9998822,NO
397,45,0.9998822,NO
398,45,0.9998822,NO
539,46,0.9998822,NO
103,47,0.9998822,NO
148,47,0.9998822,NO
287,47,0.9998822,NO
85,48,0.9998822,NO
114,48,0.9998822,NO
237,48,0.9998822,YES
395,48,0.9998822,NO
707,48,0.9998822,YES
1013,48,0.9998822,NO
515,49,0.9998822,NO
516,49,0.9998822,NO
167,50,0.9998822,NO
382,50,0.9998822,NO
383,50,0.9998822,NO
582,50,0.9998822,NO
67,52,0.9998822,NO
109,52,0.9998822,NO
152,52,0.9998822,NO
427,52,0.9998822,NO
514,52,0.9998822,NO
527,52,0.9998822,NO
637,52,0.9998822,NO
639,52,0.9998822,NO
670,52,0.9998822,NO
110,53,0.9998822,NO
276,53,0.9998822,NO
342,53,0.9998822,NO
540,53,0.9998822,NO
53,54,0.9998822,NO
107,54,0.9998822,NO
147,54,0.9998822,NO
608,54,0.9998822,NO
68,55,0.9998822,NO
75,55,0.9998822,NO
84,55,0.9998822,NO
88,55,0.9998822,NO
115,55,0.9998822,NO
73,56,0.9998822,NO
128,56,0.9998822,NO
353,56,0.9998822,NO
394,56,0.9998822,NO
414,56,0.9998822,YES
368,57,0.9998822,NO
658,57,0.9998822,NO
55,58,0.9998822,NO
312,58,0.9998822,NO
524,58,0.9998822,NO
543,58,0.9998822,YES
654,58,0.9998822,NO
834,58,0.9998822,NO
66,59,0.9998822,NO
262,59,0.9998822,YES
375,59,0.9998822,NO
547,59,0.9998822,YES
585,59,0.9998822,YES
133,60,0.9998822,NO
310,60,0.9998822,NO
335,60,0.9998822,NO
1012,60,0.9998822,NO
268,61,0.9998822,NO
624,61,0.9998822,NO
50,62,0.9998822,NO
96,62,0.9998822,NO
