ID,Size,Predicted,Actual
34,52,0.96428573,NO
17,98,0.9814815,NO
19,99,0.9814815,NO
35,110,0.96428573,NO
2,128,0.96428573,NO
24,8,0.035714287,NO
11,232,0.96428573,NO
10,9,0.035714287,NO
23,9,0.035714287,NO
30,257,0.96428573,NO
1,11,0.035714287,NO
4,12,0.035714287,NO
29,20,0.035714287,NO
14,21,0.035714287,NO
18,22,0.035714287,NO
16,23,0.035714287,NO
25,23,0.035714287,NO
21,14,0.018518519,NO
6,30,0.035714287,NO
5,32,0.035714287,NO
13,34,0.035714287,NO
15,35,0.035714287,NO
12,19,0.018518519,NO
27,19,0.018518519,NO
20,37,0.035714287,NO
33,39,0.035714287,NO
28,41,0.035714287,NO
26,42,0.035714287,NO
31,45,0.035714287,NO
9,47,0.035714287,NO
0,63,0.018518519,NO
3,77,0.018518519,NO
32,153,0.035714287,NO
22,85,0.018518519,NO
8,168,0.035714287,NO
7,173,0.035714287,NO
