ID,Size,Predicted,Actual
919,28,0.9997188,NO
1574,28,0.9997188,NO
1557,29,0.9997188,NO
2166,29,0.9997188,NO
946,31,0.9997188,NO
286,32,0.9997188,NO
542,32,0.9997188,NO
913,32,0.9997188,NO
923,32,0.9997188,NO
928,32,0.9997188,NO
1639,32,0.9997188,NO
2023,32,0.9997188,NO
916,34,0.9997188,NO
1977,36,0.9997188,NO
1982,36,0.9997188,NO
2117,36,0.9997188,NO
726,39,0.9997188,NO
2015,39,0.9997188,NO
2017,39,0.9997188,NO
741,41,0.99985933,NO
526,41,0.9997188,NO
947,41,0.9997188,NO
2014,41,0.9997188,NO
2016,41,0.9997188,NO
256,42,0.9997188,NO
268,42,0.9997188,NO
917,42,0.9997188,NO
925,42,0.9997188,NO
1215,42,0.9997188,NO
270,43,0.9997188,NO
2186,43,0.9997188,NO
1174,44,0.9997188,NO
1796,44,0.9997188,NO
167,45,0.9997188,NO
171,45,0.9997188,NO
548,45,0.9997188,NO
915,45,0.9997188,NO
1036,45,0.9997188,NO
1289,45,0.9997188,NO
1320,45,0.9997188,YES
1543,45,0.9997188,NO
722,46,0.9997188,NO
2181,47,0.9997188,NO
32,48,0.9997188,NO
926,48,0.9997188,NO
920,49,0.9997188,NO
1983,52,0.9997188,NO
725,53,0.9997188,NO
914,53,0.9997188,NO
2090,53,0.9997188,NO
2182,53,0.9997188,NO
721,54,0.9997188,NO
922,54,0.9997188,NO
1296,54,0.9997188,NO
1981,54,0.9997188,NO
264,55,0.9997188,NO
942,55,0.9997188,NO
740,57,0.9997188,NO
51,60,0.99985933,NO
717,60,0.9997188,NO
591,62,0.9997188,NO
1405,63,0.9997188,NO
42,65,0.9997188,NO
78,65,0.9997188,NO
105,65,0.9997188,NO
176,65,0.9997188,NO
1984,65,0.9997188,NO
110,67,0.9997188,NO
133,67,0.9997188,NO
283,67,0.9997188,NO
924,67,0.9997188,NO
2174,67,0.9997188,NO
265,69,0.9997188,NO
55,70,0.9997188,NO
720,70,0.9997188,NO
724,70,0.9997188,NO
825,70,0.9997188,NO
1854,70,0.9997188,NO
94,71,0.9997188,NO
1972,71,0.9997188,NO
2168,71,0.9997188,NO
38,72,0.9997188,NO
525,72,0.9997188,NO
810,72,0.9997188,NO
937,72,0.9997188,NO
2187,72,0.9997188,NO
2188,72,0.9997188,NO
139,73,0.9997188,NO
4,74,0.9997188,NO
35,74,0.9997188,NO
98,74,0.9997188,NO
727,74,0.9997188,NO
2160,74,0.9997188,NO
2,75,0.9997188,NO
104,75,0.9997188,NO
2191,75,0.9997188,NO
39,76,0.9997188,NO
52,76,0.9997188,NO
723,76,0.9997188,NO
2041,76,0.9997188,NO
33,77,0.9997188,NO
153,78,0.9997188,NO
278,78,0.9997188,NO
935,79,0.9997188,NO
2129,79,0.9997188,NO
427,40,0.5,NO
1360,40,0.5,NO
1687,40,0.5,NO
1699,40,0.5,NO
1802,40,0.5,NO
1805,40,0.5,NO
271,80,0.9997188,NO
934,80,0.9997188,NO
1978,80,0.9997188,NO
86,81,0.9997188,NO
132,82,0.9997188,NO
137,82,0.9997188,NO
36,83,0.9997188,NO
41,83,0.9997188,NO
376,83,0.9997188,NO
424,83,0.9997188,NO
1392,83,0.9997188,NO
1550,83,0.9997188,NO
1845,83,0.9997188,NO
2158,83,0.9997188,NO
5,84,0.9997188,NO
103,84,0.9997188,NO
148,84,0.9997188,NO
154,84,0.9997188,NO
624,84,0.9997188,NO
649,84,0.9997188,NO
829,84,0.9997188,NO
1496,84,0.9997188,NO
1701,84,0.9997188,NO
1750,84,0.9997188,NO
343,85,0.9997188,NO
692,85,0.9997188,NO
853,85,0.9997188,NO
959,85,0.9997188,NO
1228,89,0.9997188,NO
23,90,0.9997188,NO
1007,90,0.9997188,NO
1226,90,0.9997188,NO
1751,91,0.9997188,NO
2071,91,0.9997188,NO
1352,92,0.9997188,NO
1711,92,0.9997188,NO
67,93,0.9997188,NO
181,93,0.9997188,NO
1051,93,0.9997188,NO
1706,93,0.9997188,NO
1918,93,0.9997188,YES
49,94,0.9997188,NO
955,94,0.9997188,NO
1596,94,0.9997188,NO
1726,94,0.9997188,NO
130,95,0.9997188,NO
253,95,0.9997188,NO
943,95,0.9997188,NO
1676,95,0.9997188,NO
1686,95,0.9997188,NO
1911,95,0.9997188,NO
738,96,0.9997188,NO
1311,96,0.9997188,NO
1347,96,0.9997188,NO
1598,96,0.9997188,NO
1675,96,0.9997188,NO
1764,96,0.9997188,NO
16,97,0.9997188,NO
131,97,0.9997188,NO
430,97,0.9997188,NO
739,97,0.9997188,NO
1330,97,0.9997188,NO
1765,97,0.9997188,NO
108,98,0.9997188,NO
1324,99,0.9997188,NO
1934,99,0.9997188,NO
1284,100,0.9997188,NO
1518,100,0.9997188,NO
57,101,0.99985933,NO
113,101,0.99985933,NO
212,101,0.99985933,NO
393,102,0.9997188,NO
2103,102,0.9997188,NO
2134,102,0.9997188,NO
2157,102,0.9997188,NO
135,103,0.9997188,NO
354,103,0.9997188,NO
467,103,0.9997188,NO
1556,103,0.9997188,NO
2118,103,0.9997188,NO
241,104,0.9997188,NO
2110,104,0.9997188,NO
115,105,0.9997188,NO
681,105,0.9997188,NO
703,105,0.9997188,NO
1380,105,0.9997188,NO
1945,105,0.9997188,NO
1948,108,0.9997188,NO
715,109,0.9997188,NO
716,109,0.9997188,NO
24,110,0.9997188,NO
2133,110,0.9997188,NO
142,32,0.2903264,NO
366,32,0.2903264,NO
391,32,0.2903264,NO
404,32,0.2903264,NO
428,32,0.2903264,NO
463,32,0.2903264,NO
482,32,0.2903264,NO
605,32,0.2903264,NO
729,32,0.2903264,NO
781,32,0.2903264,NO
963,32,0.2903264,NO
972,32,0.2903264,NO
1253,32,0.2903264,NO
1372,32,0.2903264,NO
1373,32,0.2903264,NO
1374,32,0.2903264,NO
1375,32,0.2903264,NO
1438,32,0.2903264,NO
1571,32,0.2903264,NO
1615,32,0.2903264,NO
1616,32,0.2903264,NO
1771,32,0.2903264,NO
