ID,Size,Predicted,Actual
32,153,0.7690961,NO
30,257,0.9996748,NO
4,12,0.0032329126,NO
25,23,0.0032329126,NO
6,30,0.0032329126,NO
33,39,0.0032329126,NO
34,52,0.0032329126,NO
29,20,0.0010823029,NO
0,63,0.0032329126,NO
1,11,5.4173777E-4,NO
22,85,0.0032329126,NO
12,19,6.499445E-4,NO
27,19,6.499445E-4,NO
5,32,0.0010823029,NO
17,98,0.0032329126,NO
19,99,0.0032329126,NO
18,22,6.499445E-4,NO
35,110,0.0032329126,NO
16,23,6.499445E-4,NO
28,41,0.0010823029,NO
24,8,2.0328932E-4,NO
2,128,0.0032329126,NO
10,9,2.1683607E-4,NO
23,9,2.1683607E-4,NO
20,37,8.1216666E-4,NO
21,14,2.9563892E-4,NO
26,42,8.1216666E-4,NO
8,168,0.0032329126,NO
7,173,0.0032329126,NO
31,45,8.1216666E-4,NO
9,47,8.1216666E-4,NO
14,21,3.251836E-4,NO
15,35,5.4173777E-4,NO
3,77,0.0010823029,NO
11,232,0.0032329126,NO
13,34,4.6441852E-4,NO
