ID,Size,Predicted,Actual
177,66,0.7319277,NO
250,66,0.7319277,NO
255,66,0.7319277,NO
324,66,0.7319277,NO
406,66,0.7319277,NO
691,66,0.7319277,NO
1240,66,0.7319277,YES
1295,66,0.7319277,YES
1380,66,0.7319277,NO
1438,66,0.7319277,NO
1463,66,0.7319277,YES
1516,66,0.7319277,NO
1167,103,0.9999999,NO
84,71,0.6226415,NO
88,71,0.6226415,NO
206,71,0.6226415,NO
349,71,0.6226415,NO
412,71,0.6226415,NO
531,71,0.6226415,NO
562,71,0.6226415,NO
688,71,0.6226415,NO
1041,71,0.6226415,NO
1485,71,0.6226415,YES
1528,71,0.6226415,NO
1560,71,0.6226415,NO
105,94,0.80528843,NO
199,94,0.80528843,NO
355,94,0.80528843,NO
414,94,0.80528843,NO
581,94,0.80528843,NO
960,94,0.80528843,NO
1001,94,0.80528843,NO
1016,94,0.80528843,NO
1204,94,0.80528843,NO
1329,94,0.80528843,NO
1424,94,0.80528843,NO
1522,94,0.80528843,NO
1544,94,0.80528843,YES
38,93,0.7865168,NO
112,93,0.7865168,YES
251,93,0.7865168,NO
260,93,0.7865168,NO
563,93,0.7865168,NO
742,93,0.7865168,NO
1309,93,0.7865168,NO
264,90,0.7333333,NO
268,90,0.7333333,NO
377,90,0.7333333,YES
416,90,0.7333333,NO
504,126,0.99999994,YES
652,126,0.99999994,NO
993,126,0.99999994,NO
171,91,0.7121212,NO
498,91,0.7121212,NO
516,91,0.7121212,NO
902,91,0.7121212,YES
1254,91,0.7121212,NO
1354,91,0.7121212,NO
1494,91,0.7121212,YES
26,80,0.60215056,NO
127,80,0.60215056,YES
296,80,0.60215056,NO
319,80,0.60215056,NO
323,80,0.60215056,NO
995,80,0.60215056,NO
1306,80,0.60215056,NO
1350,80,0.60215056,NO
97,122,0.906542,YES
541,122,0.906542,YES
907,122,0.906542,NO
183,84,0.61220044,NO
484,84,0.61220044,YES
1102,84,0.61220044,NO
1304,84,0.61220044,NO
1353,84,0.61220044,NO
1476,84,0.61220044,NO
23,77,0.5436508,NO
65,77,0.5436508,NO
66,77,0.5436508,NO
262,77,0.5436508,YES
841,77,0.5436508,NO
1021,77,0.5436508,NO
1319,77,0.5436508,NO
1495,77,0.5436508,NO
67,54,0.3727034,NO
117,54,0.3727034,NO
216,54,0.3727034,NO
256,54,0.3727034,NO
968,54,0.3727034,NO
984,54,0.3727034,NO
1038,54,0.3727034,NO
1432,54,0.3727034,NO
1514,54,0.3727034,NO
47,145,0.99999994,YES
48,145,0.99999994,NO
82,55,0.3727034,NO
91,55,0.3727034,YES
193,55,0.3727034,NO
197,55,0.3727034,NO
224,55,0.3727034,NO
286,55,0.3727034,NO
666,55,0.3727034,NO
1006,55,0.3727034,NO
