ID,Size,Predicted,Actual
459,48,0.99999964,YES
84,71,0.97115374,NO
88,71,0.97115374,NO
206,71,0.97115374,NO
349,71,0.97115374,NO
412,71,0.97115374,NO
531,71,0.97115374,NO
562,71,0.97115374,NO
688,71,0.97115374,NO
1041,71,0.97115374,NO
1485,71,0.97115374,YES
1528,71,0.97115374,NO
1560,71,0.97115374,NO
1099,75,0.9999997,YES
1167,103,0.9999998,NO
1097,105,0.9999997,YES
183,84,0.7511111,NO
484,84,0.7511111,YES
1102,84,0.7511111,NO
1304,84,0.7511111,NO
1353,84,0.7511111,NO
1476,84,0.7511111,NO
99,115,0.9999998,YES
417,115,0.99999976,NO
565,115,0.99999976,NO
1512,115,0.99999976,NO
1529,115,0.99999976,NO
290,57,0.49166667,NO
353,57,0.49166667,NO
576,57,0.49166667,NO
585,57,0.49166667,NO
716,57,0.49166667,NO
870,57,0.49166667,NO
905,57,0.49166667,NO
1011,57,0.49166667,NO
1120,57,0.49166667,NO
1132,57,0.49166667,NO
1414,57,0.49166667,NO
177,66,0.55,NO
250,66,0.55,NO
255,66,0.55,NO
406,66,0.55,NO
691,66,0.55,NO
1240,66,0.55,YES
1295,66,0.55,YES
1380,66,0.55,NO
1438,66,0.55,NO
1463,66,0.55,YES
1516,66,0.55,NO
97,122,0.9999996,YES
541,122,0.9999996,YES
907,122,0.9999996,NO
152,35,0.27753305,NO
198,35,0.27753305,NO
243,35,0.27753305,NO
534,35,0.27753305,NO
638,35,0.27753305,NO
663,35,0.27753305,NO
738,35,0.27753305,NO
891,35,0.27753305,NO
1060,35,0.27753305,NO
1239,35,0.27753305,NO
1258,35,0.27753305,NO
1393,35,0.27753305,NO
1435,35,0.27753305,NO
199,94,0.7440945,NO
355,94,0.7440945,NO
414,94,0.7440945,NO
581,94,0.7440945,NO
960,94,0.7440945,NO
1001,94,0.7440945,NO
1016,94,0.7440945,NO
1204,94,0.7440945,NO
1329,94,0.7440945,NO
1424,94,0.7440945,NO
1522,94,0.7440945,NO
1544,94,0.7440945,YES
86,47,0.3621868,NO
108,47,0.3621868,NO
212,47,0.3621868,NO
257,47,0.3621868,NO
998,47,0.3621868,NO
999,47,0.3621868,NO
1025,47,0.3621868,NO
1027,47,0.3621868,NO
1214,47,0.3621868,NO
1237,47,0.3621868,NO
1365,47,0.3621868,NO
1371,47,0.3621868,NO
1384,47,0.3621868,NO
1456,47,0.3621868,NO
98,132,0.9999998,YES
47,145,0.99999976,YES
48,145,0.99999976,NO
79,89,0.57843137,NO
156,89,0.57843137,NO
277,89,0.57843137,NO
609,89,0.57843137,NO
135,43,0.27407408,NO
186,43,0.27407408,NO
267,43,0.27407408,NO
404,43,0.27407408,NO
443,43,0.27407408,NO
458,43,0.27407408,NO
549,43,0.27407408,YES
840,43,0.27407408,NO
889,43,0.27407408,NO
950,43,0.27407408,NO
1089,43,0.27407408,NO
1148,43,0.27407408,NO
1277,43,0.27407408,NO
1410,43,0.27407408,NO
1412,43,0.27407408,NO
1449,43,0.27407408,NO
1450,43,0.27407408,NO
1461,43,0.27407408,NO
1501,43,0.27407408,NO
211,135,0.847826,NO
270,135,0.847826,YES
687,135,0.847826,NO
1452,135,0.847826,YES
468,34,0.21282801,NO
487,34,0.21282801,NO
514,34,0.21282801,NO
529,34,0.21282801,NO
915,34,0.21282801,NO
1073,34,0.21282801,NO
1156,34,0.21282801,NO
1388,34,0.21282801,NO
106,136,0.8505746,NO
1505,136,0.8505746,NO
914,165,0.99999964,NO
82,55,0.3167421,NO
91,55,0.3167421,YES
193,55,0.3167421,NO
197,55,0.3167421,NO
224,55,0.3167421,NO
1006,55,0.3167421,NO
1042,55,0.3167421,NO
1092,55,0.3167421,NO
1119,55,0.3167421,NO
1293,55,0.3167421,NO
391,152,0.87323934,YES
536,152,0.87323934,NO
879,152,0.87323934,NO
160,99,0.5384615,NO
407,99,0.5384615,NO
961,99,0.5384615,NO
83,88,0.46583852,NO
176,88,0.46583852,NO
190,88,0.46583852,NO
293,88,0.46583852,NO
312,88,0.46583852,NO
378,88,0.46583852,YES
518,88,0.46583852,NO
527,88,0.46583852,NO
574,88,0.46583852,NO
913,88,0.46583852,NO
124,49,0.25726143,NO
129,49,0.25726143,NO
279,49,0.25726143,NO
387,49,0.25726143,NO
477,49,0.25726143,NO
537,49,0.25726143,NO
614,49,0.25726143,NO
864,49,0.25726143,NO
946,49,0.25726143,NO
969,49,0.25726143,NO
1274,49,0.25726143,NO
1326,49,0.25726143,NO
1482,49,0.25726143,NO
1488,49,0.25726143,NO
87,74,0.38709685,NO
167,74,0.38709685,NO
676,74,0.38709685,NO
813,74,0.38709685,NO
904,74,0.38709685,NO
1484,74,0.38709685,YES
1518,74,0.38709685,NO
1186,193,0.9999997,NO
571,166,0.8593749,NO
249,167,0.8593749,NO
1028,167,0.8593749,YES
14,108,0.5541401,YES
