ID,Size,Predicted,Actual
303,21,0.99989915,NO
302,22,0.99989915,NO
324,22,0.99989915,NO
88,25,0.9999496,YES
252,25,0.9999496,YES
298,25,0.9999496,NO
103,26,0.9999496,YES
236,26,0.9999496,YES
634,26,0.9999496,NO
92,27,0.9999496,YES
304,27,0.9999496,NO
74,28,0.99993277,NO
89,30,0.9999496,YES
91,30,0.9999496,YES
95,31,0.9999496,YES
223,32,0.9999496,NO
94,33,0.9999496,YES
217,33,0.9999496,NO
309,34,0.9999496,NO
308,34,0.99989915,NO
102,35,0.9999496,YES
550,35,0.9999496,NO
87,37,0.9999496,YES
93,37,0.9999496,YES
297,38,0.9999496,NO
106,39,0.9999496,YES
220,40,0.9999496,NO
222,40,0.9999496,NO
322,40,0.9999496,NO
137,40,0.99993277,YES
301,40,0.99989915,NO
323,40,0.99989915,NO
107,41,0.9999496,YES
479,33,0.7999758,NO
637,33,0.7999758,NO
649,33,0.7999758,NO
735,33,0.7999758,NO
785,33,0.7999758,NO
801,33,0.7999758,NO
831,33,0.7999758,NO
861,33,0.7999758,NO
246,44,0.9999496,NO
116,47,0.9999496,YES
296,47,0.9999496,NO
71,47,0.99989915,NO
82,48,0.9999496,YES
257,48,0.9999496,NO
135,50,0.99993277,YES
300,50,0.99989915,NO
120,52,0.9999496,YES
354,52,0.9999496,NO
552,52,0.9999496,NO
77,52,0.99993277,YES
237,52,0.99979836,YES
78,53,0.9999496,YES
445,53,0.9999496,YES
75,54,0.9999496,YES
115,54,0.9999496,YES
83,55,0.9999496,YES
96,56,0.9999496,YES
161,56,0.9999496,NO
540,57,0.99979836,YES
536,58,0.9999496,NO
101,60,0.9999496,YES
882,60,0.9999496,NO
299,60,0.99979836,YES
114,61,0.9999496,YES
507,61,0.9999496,YES
229,61,0.99989915,NO
409,62,0.9999496,NO
208,62,0.99989915,NO
228,62,0.99989915,NO
81,63,0.9999496,YES
171,63,0.99989915,YES
105,64,0.9999496,YES
134,64,0.9999496,YES
539,64,0.9999496,NO
538,64,0.99989915,YES
394,65,0.9999496,NO
537,65,0.9999496,NO
683,65,0.9999496,YES
109,66,0.9999496,YES
879,66,0.9999496,NO
291,67,0.99989915,NO
320,67,0.99989915,NO
685,67,0.99989915,YES
410,68,0.9999496,NO
225,69,0.9999496,NO
526,70,0.9999496,YES
881,71,0.99979836,YES
313,74,0.99989915,NO
215,75,0.9999496,NO
121,76,0.9999496,NO
197,76,0.9999496,YES
514,77,0.9999496,YES
210,77,0.99989915,NO
0,79,0.9999496,NO
317,79,0.99989915,NO
311,80,0.99989915,NO
194,81,0.9999496,NO
294,82,0.9999496,NO
413,82,0.9999496,NO
880,82,0.9999496,NO
315,83,0.99989915,NO
714,84,0.9999712,YES
790,84,0.9999712,NO
578,84,0.99979836,YES
191,88,0.9999496,NO
321,88,0.9999496,NO
150,88,0.99979836,NO
158,88,0.99979836,NO
330,89,0.9999496,NO
190,90,0.9999496,NO
226,90,0.9999496,NO
127,90,0.99979836,NO
533,94,0.9999496,YES
219,94,0.99989915,NO
224,94,0.99989915,NO
499,96,0.9999496,YES
209,96,0.99989915,NO
305,96,0.99989915,NO
295,97,0.9999496,NO
136,89,0.8999839,NO
487,89,0.8999839,NO
489,89,0.8999839,NO
534,89,0.8999839,YES
293,100,0.99989915,NO
152,104,0.99989915,NO
531,104,0.99989915,YES
343,108,0.9999496,NO
211,111,0.99989915,NO
292,112,0.99989915,NO
17,114,0.9999496,NO
350,114,0.9999496,YES
227,115,0.99989915,NO
255,116,0.99993277,NO
26,118,0.99989915,NO
25,119,0.99979836,NO
339,119,0.99979836,NO
515,120,0.9999496,YES
719,121,0.9999496,YES
11,121,0.99989915,NO
256,121,0.99989915,YES
357,124,0.9999496,YES
428,125,0.9999496,YES
527,131,0.9999496,NO
709,131,0.9999496,NO
195,132,0.9999496,NO
5,132,0.99979836,NO
7,134,0.9999496,NO
570,134,0.99979836,NO
129,135,0.99979836,NO
430,136,0.99979836,YES
