ID,Size,Predicted,Actual
4,12,0.9998795,NO
25,23,0.9998795,NO
20,37,0.9998795,NO
0,63,0.9998795,NO
3,77,0.9998795,NO
22,85,0.9998795,NO
17,98,0.9998795,NO
19,99,0.9998795,NO
35,110,0.9998795,NO
2,128,0.9998795,NO
32,153,0.9998795,NO
8,168,0.9998795,NO
7,173,0.9998795,NO
11,232,0.9998795,NO
30,257,0.9998795,NO
6,30,1.2049644E-4,NO
33,39,1.2049644E-4,NO
34,52,1.2049644E-4,NO
29,20,4.0171937E-5,NO
1,11,2.0086774E-5,NO
12,19,2.4103936E-5,NO
27,19,2.4103936E-5,NO
5,32,4.0171937E-5,NO
18,22,2.4103936E-5,NO
16,23,2.4103936E-5,NO
28,41,4.0171937E-5,NO
24,8,7.53273E-6,NO
10,9,8.034904E-6,NO
23,9,8.034904E-6,NO
21,14,1.0956623E-5,NO
26,42,3.0129557E-5,NO
31,45,3.0129557E-5,NO
9,47,3.0129557E-5,NO
14,21,1.2052258E-5,NO
15,35,2.0086774E-5,NO
13,34,1.7217335E-5,NO
