ID,Size,Predicted,Actual
0,111,0.06521822852279335,YES
1,22,0.05405432095218772,YES
2,75,0.1176473908625915,YES
3,131,1.196995541191609E-6,YES
4,74,0.08000049603555393,YES
5,84,0.1506853553637179,YES
6,70,0.15306153807218548,YES
7,57,0.08870997121935224,YES
8,70,0.15306153807218548,YES
9,59,0.04516155024920373,YES
10,88,0.11224524843361906,YES
11,40,0.057750878946779646,YES
12,99,0.04651256206876307,YES
13,187,0.2857156414896175,NO
14,196,0.12500138402429978,NO
15,192,0.3333345635726149,NO
16,97,0.09756141033119449,NO
17,98,0.14062549738488003,NO
18,96,0.022727753133691065,NO
19,173,0.11111302482136882,NO
20,141,0.44444499121611314,NO
21,142,0.13157980615474987,NO
22,188,1.4286714355719186E-6,NO
23,90,0.06818268748779541,NO
24,110,0.0961545340726167,NO
25,62,0.07462714685542116,NO
26,61,0.08800029195249252,NO
27,120,0.10344948708981312,NO
28,116,0.19736877376885628,NO
29,58,0.09027802980766923,NO
30,74,0.08000049603555393,NO
31,75,0.9999557149816217,NO
32,49,0.1103898344859955,NO
33,102,0.1111120679685943,NO
34,62,0.07462714685542116,NO
35,107,0.14285804671079522,NO
36,51,0.0931679256914504,NO
37,43,0.9999557149816217,NO
38,66,0.0937503748409521,NO
39,29,0.05714304393967258,NO
40,73,0.9999557149816217,NO
41,42,0.9999557149816217,NO
42,82,0.9999557149816217,NO
43,83,0.06542092050555577,NO
44,466,4.428501837828263E-5,YES
45,106,4.428501837828263E-5,NO
46,119,4.428501837828263E-5,NO
47,332,0.9999557149816217,NO
48,91,4.428501837828263E-5,NO
49,84,4.428501837828263E-5,NO
50,123,4.428501837828263E-5,NO
51,263,4.428501837828263E-5,NO
52,99,4.428501837828263E-5,NO
53,259,4.428501837828263E-5,NO
54,1066,0.9999557149816217,NO
55,137,4.428501837828263E-5,NO
56,151,4.428501837828263E-5,NO
57,121,4.428501837828263E-5,YES
58,122,4.428501837828263E-5,NO
59,107,4.428501837828263E-5,NO
60,83,4.428501837828263E-5,NO
61,288,4.428501837828263E-5,YES
62,504,0.9999557149816217,YES
63,57,4.428501837828263E-5,YES
64,36,4.428501837828263E-5,YES
65,43,4.428501837828263E-5,YES
66,37,4.428501837828263E-5,YES
67,72,0.043795915398478984,YES
68,76,0.1298703427616957,YES
69,69,0.06766946086408665,YES
70,83,0.06542092050555577,YES
71,65,0.06153876029206152,YES
72,88,0.11224524843361906,YES
73,40,0.057750878946779646,YES
74,86,0.14444479438141203,YES
75,89,0.09333381362172682,YES
76,49,0.1103898344859955,YES
77,102,0.1111120679685943,YES
78,94,0.07500031371310088,YES
79,72,0.043795915398478984,YES
80,60,0.06741594560325488,YES
81,76,0.1298703427616957,YES
82,92,0.07692355737455454,NO
83,96,0.022727753133691065,NO
84,70,0.15306153807218548,NO
85,86,0.14444479438141203,NO
86,101,0.10344888147686594,NO
87,169,1.107199007949689E-5,NO
88,115,0.04651256206876307,NO
89,153,0.06666751963718572,NO
90,58,0.09027802980766923,NO
91,47,0.08474597052159585,NO
92,49,0.1103898344859955,NO
93,58,0.09027802980766923,NO
94,70,0.15306153807218548,NO
95,141,0.44444499121611314,NO
96,93,0.07462742803882878,NO
97,273,5.536056334909264E-6,NO
98,96,0.022727753133691065,NO
99,50,0.08235315878983918,NO
100,241,0.3333382541814907,NO
101,195,0.16667158758746936,YES
102,131,1.196995541191609E-6,YES
103,170,5.536056334909264E-6,YES
104,161,4.0262349469140926E-6,NO
105,102,0.1111120679685943,NO
106,150,0.5714276675840688,NO
107,65,0.06153876029206152,NO
108,88,0.11224524843361906,NO
109,40,0.057750878946779646,NO
110,57,0.08870997121935224,NO
111,39,0.05434804062449302,NO
112,85,0.04237322487805537,NO
113,93,0.07462742803882878,NO
114,87,0.1343288416474142,NO
115,81,0.17241404324888152,NO
116,95,0.9999557149816217,YES
117,66,0.0937503748409521,YES
118,94,0.9999557149816217,YES
119,76,0.1298703427616957,YES
120,116,0.19736877376885628,YES
121,56,0.06250020183752886,YES
122,48,0.06403959909580785,YES
123,71,0.08130111453219929,YES
124,45,0.042857432090860605,YES
125,45,0.042857432090860605,YES
126,30,0.05853677611647511,YES
127,74,0.08000049603555393,NO
128,299,0.16666912714522975,YES
129,82,0.185714683410396,YES
130,197,2.2143489813994684E-5,NO
131,173,0.11111302482136882,NO
132,84,0.1506853553637179,NO
133,75,0.1176473908625915,YES
134,65,0.06153876029206152,NO
135,96,0.022727753133691065,NO
136,176,4.428501837828263E-5,NO
137,193,0.21428752198615664,NO
138,157,4.428501837828263E-5,NO
139,88,0.11224524843361906,NO
140,67,0.04032290900986428,NO
141,92,0.07692355737455454,NO
142,56,0.06250020183752886,NO
143,102,4.428501837828263E-5,YES
144,138,4.428501837828263E-5,NO
145,106,4.428501837828263E-5,NO
146,174,0.027028159320106535,NO
147,244,4.428854875283447E-6,NO
148,101,0.10344888147686594,YES
149,113,0.08955278144097514,NO
150,110,0.0961545340726167,NO
151,58,0.09027802980766923,NO
152,37,0.07692326910379892,NO
153,77,0.07142911374144907,NO
154,142,0.13157980615474987,NO
155,118,0.05263227415588906,NO
156,80,0.10227312761140922,NO
157,59,0.04516155024920373,NO
158,69,0.06766946086408665,NO
159,95,0.09638597290693622,NO
160,97,0.09756141033119449,NO
161,82,0.185714683410396,NO
162,67,0.04032290900986428,NO
163,110,0.0961545340726167,NO
164,103,0.05882582813375191,NO
165,111,0.06521822852279335,NO
166,82,0.185714683410396,NO
167,56,0.06250020183752886,YES
168,73,0.07142947528260503,NO
169,100,0.07142924931945405,NO
170,70,0.15306153807218548,YES
171,32,0.11077854633656298,NO
172,148,0.3750004613414333,NO
173,156,0.06122528297418683,NO
174,119,0.10000059051834224,YES
175,116,0.19736877376885628,NO
176,73,0.07142947528260503,NO
177,84,0.1506853553637179,YES
178,122,0.2857151895664131,NO
179,191,4.428501837828263E-5,NO
180,170,5.536056334909264E-6,NO
181,153,0.06666751963718572,NO
182,78,0.14583398690156985,NO
183,84,0.1506853553637179,NO
184,146,0.11111238692004233,YES
185,113,0.08955278144097514,YES
186,147,0.03703855585719324,YES
187,125,0.12658269717106108,NO
188,252,0.2647064953470681,YES
189,368,0.08333640893153718,NO
190,106,0.08888929350350767,NO
191,181,0.05000199299352056,NO
192,140,0.1666683069897447,NO
193,127,0.9999557149816217,YES
194,30,0.05853677611647511,NO
195,80,0.10227312761140922,NO
196,45,0.9999557149816217,NO
197,63,0.9999557149816217,NO
198,141,0.9999557149816217,NO
199,81,0.17241404324888152,NO
200,45,0.9999557149816217,NO
201,63,0.9999557149816217,NO
202,190,4.428501837828263E-5,NO
203,74,0.08000049603555393,NO
204,47,0.9999557149816217,NO
205,65,0.9999557149816217,NO
