ID,Size,Predicted,Actual
118,14,0.99996597,NO
233,16,0.99996597,YES
222,25,0.99997276,NO
167,25,0.9999455,YES
151,26,0.9999791,YES
131,26,0.99997526,NO
530,26,0.99996597,NO
207,27,0.99996597,NO
86,29,0.99996597,NO
334,31,0.9999876,YES
336,31,0.9999876,YES
117,31,0.99997526,NO
91,31,0.99996597,NO
240,32,0.9999876,YES
138,32,0.99997526,NO
320,32,0.99996597,NO
132,33,0.99997526,NO
597,34,0.9999876,YES
239,36,0.9999876,YES
511,37,0.9999876,YES
574,37,0.99996597,NO
221,38,0.999987,NO
34,40,0.999992,NO
135,40,0.9999697,NO
137,40,0.9999697,NO
228,40,0.99996597,NO
401,41,0.9999876,YES
404,41,0.9999876,YES
402,42,0.9999876,YES
330,43,0.9999876,YES
398,43,0.9999876,YES
428,44,0.9999876,YES
161,44,0.9999791,NO
85,44,0.99996597,NO
406,45,0.9999876,YES
90,46,0.99996597,NO
220,47,0.9999455,NO
29,48,0.9999876,YES
143,48,0.999987,YES
172,48,0.99996597,YES
241,49,0.9999876,YES
55,49,0.99996597,NO
509,49,0.99996597,NO
510,52,0.99996597,NO
607,53,0.9999876,YES
343,53,0.99996597,YES
78,56,0.99998057,YES
345,57,0.9999876,YES
418,57,0.9999876,YES
420,57,0.9999876,YES
97,57,0.99996597,NO
226,58,0.99996597,NO
88,60,0.99998486,YES
571,60,0.9999455,NO
144,61,0.99997526,YES
405,61,0.99996597,YES
307,62,0.99996597,YES
53,64,0.99998486,YES
223,65,0.999987,NO
293,65,0.999987,YES
579,65,0.99996597,YES
344,66,0.9999876,YES
773,66,0.99998486,NO
206,67,0.9999791,NO
140,69,0.9999697,NO
74,69,0.99996597,NO
214,70,0.99996597,YES
424,70,0.99996597,YES
327,71,0.9999876,YES
93,71,0.99996597,NO
101,71,0.99996597,NO
82,72,0.99996597,YES
590,74,0.999987,YES
215,74,0.99996597,NO
217,75,0.99996597,YES
211,76,0.99996597,YES
114,76,0.99995464,NO
412,77,0.99996597,YES
210,78,0.99996597,YES
0,79,0.99995464,NO
415,80,0.9999876,YES
209,80,0.999987,NO
216,80,0.99996597,NO
111,81,0.99997526,NO
218,82,0.999987,NO
311,82,0.99998486,NO
213,83,0.999987,NO
81,35,0.41176754,YES
100,35,0.41176754,NO
317,35,0.41176754,NO
577,35,0.41176754,NO
771,35,0.41176754,NO
489,87,0.99996597,NO
1,87,0.9999092,NO
623,87,0.9999092,NO
108,88,0.999987,NO
227,88,0.99996597,NO
75,88,0.9999092,NO
235,89,0.9999455,NO
107,90,0.999987,NO
141,90,0.99997526,NO
385,89,0.97435236,YES
387,89,0.97435236,YES
432,89,0.97435236,YES
698,77,0.83331823,YES
139,93,0.999987,YES
431,94,0.99996597,YES
126,95,0.99998486,YES
232,95,0.99996597,YES
354,60,0.629627,NO
442,60,0.629627,NO
504,60,0.629627,NO
517,60,0.629627,NO
397,96,0.999987,YES
219,97,0.9999791,NO
106,97,0.99996597,NO
229,97,0.99996597,YES
474,84,0.83331823,YES
684,84,0.83331823,NO
231,101,0.99996597,YES
230,103,0.99996597,YES
148,94,0.8749915,NO
556,94,0.8749915,NO
700,94,0.8749915,YES
707,94,0.8749915,NO
128,112,0.99998486,YES
255,114,0.99996597,YES
585,114,0.99996597,YES
225,117,0.9999791,NO
514,62,0.52631503,NO
529,62,0.52631503,NO
685,62,0.52631503,NO
697,62,0.52631503,YES
413,120,0.99996597,YES
613,121,0.99996597,YES
188,57,0.4666679,NO
324,57,0.4666679,NO
386,57,0.4666679,YES
491,57,0.4666679,NO
502,57,0.4666679,NO
262,124,0.99996597,YES
224,127,0.9999791,NO
71,131,0.999992,YES
455,105,0.7999837,NO
512,105,0.7999837,NO
112,132,0.99997526,NO
38,106,0.7999837,NO
481,106,0.7999837,NO
691,106,0.7999837,YES
10,107,0.7999837,NO
689,107,0.7999837,NO
164,52,0.38095546,NO
331,52,0.38095546,YES
388,52,0.38095546,NO
483,52,0.38095546,NO
484,52,0.38095546,NO
508,52,0.38095546,NO
677,52,0.38095546,NO
714,52,0.38095546,NO
407,142,0.99996597,YES
110,143,0.99997526,NO
329,145,0.9999876,YES
113,146,0.99997526,NO
120,150,0.99997526,NO
147,152,0.9999455,YES
421,152,0.99993193,YES
776,153,0.9999876,YES
121,153,0.99997526,NO
419,154,0.9999773,NO
417,157,0.9999903,YES
337,157,0.99996597,YES
136,161,0.999987,YES
600,161,0.99997276,NO
410,162,0.999987,YES
335,165,0.9999903,YES
333,166,0.9999903,YES
149,167,0.99998057,YES
763,171,0.9999876,YES
408,171,0.999987,YES
58,171,0.99998486,YES
567,173,0.9999876,YES
