ID,Size,Predicted,Actual
199,29,0.9999998,YES
838,31,0.9999998,YES
824,33,0.9999998,YES
201,38,0.9999998,YES
1681,40,0.9999998,YES
204,42,0.99999976,YES
202,44,0.9999999,YES
844,47,0.99999976,YES
205,48,0.9999998,YES
692,58,0.9999998,YES
822,61,0.99999976,YES
210,68,0.9999997,YES
1572,70,0.9999999,YES
1628,72,0.9999997,YES
1207,76,0.9999999,YES
843,76,0.99999976,YES
745,80,0.9999998,YES
1583,80,0.9999997,YES
682,81,0.99999964,YES
1270,84,0.99999976,YES
837,87,0.9999999,YES
747,89,0.9999998,YES
839,90,0.9999999,YES
208,91,0.99999964,YES
207,95,0.99999964,YES
209,95,0.99999964,YES
203,96,0.99999964,YES
686,102,0.99999964,YES
200,104,0.9999998,YES
1205,106,0.9999997,YES
1675,106,0.9999997,YES
261,33,0.3078056,NO
435,33,0.3078056,NO
672,33,0.3078056,NO
795,33,0.3078056,NO
1072,33,0.3078056,NO
1213,33,0.3078056,NO
1278,33,0.3078056,NO
1298,33,0.3078056,NO
1344,33,0.3078056,NO
1424,33,0.3078056,NO
1455,33,0.3078056,NO
1485,33,0.3078056,NO
1546,33,0.3078056,NO
198,110,0.99999976,YES
836,111,0.99999976,YES
1206,115,0.9999997,YES
92,122,0.9999997,YES
206,122,0.99999964,YES
90,123,0.9999997,YES
79,89,0.7235577,NO
169,89,0.7235577,NO
303,89,0.7235577,NO
344,89,0.7235577,NO
602,89,0.7235577,YES
689,89,0.7235577,NO
1530,126,0.9999998,YES
1561,134,0.9999999,YES
165,35,0.2586521,NO
224,35,0.2586521,NO
269,35,0.2586521,NO
456,35,0.2586521,YES
591,35,0.2586521,NO
718,35,0.2586521,NO
744,35,0.2586521,NO
821,35,0.2586521,NO
992,35,0.2586521,NO
1168,35,0.2586521,NO
1347,35,0.2586521,NO
1366,35,0.2586521,NO
1501,35,0.2586521,NO
1544,35,0.2586521,NO
464,136,0.9999999,YES
1009,122,0.8767123,NO
40,123,0.88,NO
184,91,0.6496599,NO
314,91,0.6496599,YES
540,91,0.6496599,NO
573,91,0.6496599,NO
1362,91,0.6496599,NO
1462,91,0.6496599,NO
190,66,0.4595661,NO
276,66,0.4595661,NO
281,66,0.4595661,NO
351,66,0.4595661,NO
436,66,0.4595661,NO
774,66,0.4595661,NO
1488,66,0.4595661,NO
1547,66,0.4595661,NO
1630,66,0.4595661,NO
213,81,0.5588235,NO
215,81,0.5588235,NO
235,81,0.5588235,NO
246,81,0.5588235,NO
539,81,0.5588235,YES
572,81,0.5588235,NO
758,81,0.5588235,NO
765,81,0.5588235,NO
796,81,0.5588235,NO
1025,81,0.5588235,YES
1085,81,0.5588235,NO
1514,81,0.5588235,NO
1627,81,0.5588235,NO
23,77,0.52890176,NO
65,77,0.52890176,NO
66,77,0.52890176,NO
941,77,0.52890176,NO
1129,77,0.52890176,NO
1427,77,0.52890176,NO
1607,77,0.52890176,NO
32,70,0.47633135,NO
315,70,0.47633135,NO
317,70,0.47633135,NO
369,70,0.47633135,NO
408,70,0.47633135,YES
