ID,Size,Predicted,Actual
1681,40,0.9999221,YES
117,65,0.9999221,YES
685,67,0.9999221,NO
1572,70,0.9999221,YES
102,71,0.9999221,YES
1207,76,0.9999221,YES
745,80,0.999974,NO
1583,80,0.9999221,YES
687,83,0.9999221,NO
684,88,0.9999221,NO
1003,91,0.9999221,YES
114,93,0.9999221,YES
681,105,0.9999221,NO
1205,106,0.9999221,YES
1675,106,0.9999221,YES
1206,115,0.9999221,YES
1128,117,0.9999221,YES
1669,126,0.9999221,YES
98,132,0.9999221,YES
1561,134,0.9999221,YES
464,136,0.999961,YES
544,164,0.9999221,NO
371,192,0.999961,YES
710,201,0.999974,YES
1666,227,0.9999221,YES
714,229,0.9999221,YES
94,239,0.9999221,YES
711,248,0.9999221,YES
793,249,0.9999221,YES
453,281,0.999961,YES
625,300,0.9999221,YES
715,311,0.9999221,YES
332,315,0.9999221,YES
416,316,0.9999221,YES
1188,316,0.9999221,YES
813,325,0.9999221,YES
409,337,0.9999221,YES
542,341,0.9999221,YES
328,384,0.9999221,YES
1216,399,0.9999221,YES
1110,401,0.9999221,YES
112,424,0.9999221,YES
820,429,0.9999221,YES
1095,435,0.9999221,YES
261,33,0.07368491,NO
435,33,0.07368491,NO
672,33,0.07368491,NO
795,33,0.07368491,NO
1072,33,0.07368491,NO
1213,33,0.07368491,NO
1278,33,0.07368491,NO
1298,33,0.07368491,NO
1344,33,0.07368491,NO
1424,33,0.07368491,NO
1455,33,0.07368491,NO
1485,33,0.07368491,NO
1546,33,0.07368491,NO
1621,456,0.9999221,YES
864,457,0.9999221,YES
893,457,0.9999221,YES
897,459,0.9999221,YES
101,460,0.9999221,YES
883,460,0.9999221,YES
931,460,0.9999221,YES
885,465,0.9999221,YES
894,470,0.9999221,YES
901,470,0.9999221,YES
902,474,0.9999221,YES
732,126,0.25000975,NO
1101,126,0.25000975,NO
97,523,0.9999221,YES
899,555,0.9999221,YES
907,555,0.9999221,YES
915,566,0.9999221,YES
1549,568,0.9999221,YES
1545,578,0.9999221,YES
1105,580,0.9999221,YES
1296,580,0.9999221,NO
882,640,0.9999221,YES
914,663,0.9999221,YES
900,675,0.9999221,YES
962,695,0.9999221,YES
9,106,0.14634281,NO
18,106,0.14634281,YES
56,106,0.14634281,NO
183,106,0.14634281,NO
186,106,0.14634281,NO
652,106,0.14634281,NO
945,106,0.14634281,NO
1217,106,0.14634281,NO
40,123,0.16667533,NO
898,754,0.9999221,YES
402,759,0.9999221,YES
857,767,0.9999221,YES
388,76,0.09859243,NO
471,76,0.09859243,NO
562,76,0.09859243,NO
618,76,0.09859243,YES
673,76,0.09859243,NO
800,76,0.09859243,NO
943,76,0.09859243,NO
1014,76,0.09859243,NO
1108,76,0.09859243,NO
1254,76,0.09859243,NO
1373,76,0.09859243,NO
1421,76,0.09859243,NO
1469,76,0.09859243,NO
1569,76,0.09859243,YES
1667,76,0.09859243,NO
190,66,0.083334684,NO
276,66,0.083334684,NO
281,66,0.083334684,NO
351,66,0.083334684,NO
436,66,0.083334684,NO
774,66,0.083334684,NO
1488,66,0.083334684,NO
1547,66,0.083334684,NO
1630,66,0.083334684,NO
896,804,0.9999221,YES
107,94,0.1129042,NO
225,94,0.1129042,NO
383,94,0.1129042,NO
444,94,0.1129042,YES
605,94,0.1129042,NO
654,94,0.1129042,NO
1068,94,0.1129042,NO
1109,94,0.1129042,NO
1124,94,0.1129042,NO
1312,94,0.1129042,NO
1437,94,0.1129042,NO
1532,94,0.1129042,NO
1638,94,0.1129042,NO
856,878,0.9999221,YES
874,914,0.9999221,YES
920,916,0.9999221,YES
213,81,0.087720424,NO
215,81,0.087720424,NO
235,81,0.087720424,NO
246,81,0.087720424,NO
539,81,0.087720424,YES
572,81,0.087720424,NO
758,81,0.087720424,NO
765,81,0.087720424,NO
796,81,0.087720424,NO
1025,81,0.087720424,YES
1085,81,0.087720424,NO
1514,81,0.087720424,NO
1627,81,0.087720424,NO
330,312,0.333342,NO
1309,312,0.333342,YES
1327,948,0.9999221,YES
31,164,0.16667533,YES
237,135,0.13333714,NO
770,135,0.13333714,NO
935,1093,0.9999221,YES
850,1158,0.9999221,YES
285,117,0.10000624,NO
289,117,0.10000624,YES
1502,117,0.10000624,NO
7,58,0.04838823,NO
21,58,0.04838823,NO
69,58,0.04838823,NO
120,58,0.04838823,NO
185,58,0.04838823,NO
459,58,0.04838823,YES
520,58,0.04838823,NO
988,58,0.04838823,NO
1138,58,0.04838823,NO
1154,58,0.04838823,NO
