ID,Size,Predicted,Actual
118,14,0.9996386,NO
233,16,0.9996386,YES
167,25,0.9996386,NO
222,25,0.9996386,NO
131,26,0.9996386,NO
207,27,0.9996386,NO
86,29,0.9996386,NO
91,31,0.9996386,NO
117,31,0.9996386,NO
334,31,0.9996386,NO
336,31,0.9996386,YES
138,32,0.9996386,NO
240,32,0.9996386,NO
320,32,0.9996386,NO
132,33,0.9996386,NO
597,34,0.9996386,NO
239,36,0.9996386,YES
511,37,0.9996386,NO
574,37,0.9996386,NO
221,38,0.9996386,NO
34,40,0.9996386,NO
135,40,0.9996386,NO
137,40,0.9996386,NO
228,40,0.9996386,NO
401,41,0.9996386,NO
404,41,0.9996386,NO
402,42,0.9996386,NO
330,43,0.9996386,YES
398,43,0.9996386,NO
85,44,0.9996386,NO
428,44,0.9996386,NO
406,45,0.9996386,NO
90,46,0.9996386,NO
133,46,0.9996386,NO
416,46,0.9996386,NO
220,47,0.9996386,NO
395,47,0.9996386,NO
566,47,0.9996386,NO
762,47,0.9996386,NO
29,48,0.9996386,YES
143,48,0.9996386,YES
55,49,0.9996386,NO
241,49,0.9996386,YES
509,49,0.9996386,NO
403,50,0.9996386,NO
448,52,0.9996386,NO
510,52,0.9996386,NO
343,53,0.9996386,YES
607,53,0.9996386,YES
400,55,0.9996386,NO
78,56,0.9996386,YES
411,56,0.9996386,NO
97,57,0.9996386,NO
125,57,0.9996386,YES
345,57,0.9996386,YES
418,57,0.9996386,YES
420,57,0.9996386,YES
226,58,0.9996386,NO
88,60,0.9996386,YES
571,60,0.9996386,NO
775,60,0.9996386,NO
144,61,0.9996386,YES
405,61,0.9996386,YES
307,62,0.9996386,YES
53,64,0.9996386,YES
223,65,0.9996386,NO
293,65,0.9996386,YES
579,65,0.9996386,YES
344,66,0.9996386,YES
773,66,0.9996386,NO
206,67,0.9996386,NO
308,68,0.9996386,YES
74,69,0.9996386,NO
140,69,0.9996386,NO
214,70,0.9996386,YES
422,70,0.9996386,NO
424,70,0.9996386,YES
93,71,0.9996386,NO
101,71,0.9996386,NO
327,71,0.9996386,YES
82,72,0.9996386,YES
215,74,0.9996386,NO
340,74,0.9996386,YES
590,74,0.9996386,YES
217,75,0.9996386,YES
40,76,0.9996386,YES
114,76,0.9996386,NO
127,76,0.9996386,YES
211,76,0.9996386,YES
412,77,0.9996386,NO
414,77,0.9996386,NO
210,78,0.9996386,YES
0,79,0.9996386,NO
61,79,0.9996386,NO
209,80,0.9996386,NO
216,80,0.9996386,NO
415,80,0.9996386,YES
62,81,0.9996386,NO
111,81,0.9996386,NO
218,82,0.9996386,NO
311,82,0.9996386,NO
368,82,0.9996386,NO
213,83,0.9996386,NO
338,83,0.9996386,NO
608,84,0.9996386,NO
489,87,0.9996386,NO
108,88,0.9996386,NO
227,88,0.9996386,NO
107,90,0.9996386,NO
141,90,0.9996386,NO
134,92,0.9996386,YES
139,93,0.9996386,YES
409,94,0.9996386,NO
431,94,0.9996386,NO
126,95,0.9996386,YES
232,95,0.9996386,YES
495,95,0.9996386,NO
397,96,0.9996386,NO
385,89,0.9230534,YES
387,89,0.9230534,YES
432,89,0.9230534,YES
106,97,0.9996386,NO
219,97,0.9996386,NO
229,97,0.9996386,YES
392,98,0.9996386,NO
332,99,0.9996386,YES
231,101,0.9996386,YES
230,103,0.9996386,YES
429,104,0.9996386,NO
142,106,0.9996386,YES
248,108,0.9996386,NO
427,108,0.9996386,NO
128,112,0.9996386,YES
255,114,0.9996386,YES
585,114,0.9996386,YES
698,77,0.6666466,YES
170,116,0.9996386,NO
225,117,0.9996386,NO
26,118,0.9996386,NO
413,120,0.9996386,YES
613,121,0.9996386,YES
622,123,0.9996386,YES
262,124,0.9996386,YES
390,125,0.9996386,NO
224,127,0.9996386,NO
71,131,0.9996386,YES
425,131,0.9996386,NO
603,131,0.9996386,NO
70,139,0.9996386,YES
407,142,0.9996386,YES
329,145,0.9996386,YES
690,73,0.5,NO
23,148,0.9996386,NO
120,150,0.9996386,NO
147,152,0.9996386,YES
421,152,0.9996386,NO
121,153,0.9996386,NO
776,153,0.9996386,YES
339,155,0.9996386,YES
337,157,0.9996386,YES
417,157,0.9996386,NO
