ID,Size,Predicted,Actual
1200,22,0.99911034,NO
1220,25,0.99911034,NO
2163,32,0.99911034,NO
419,35,0.99911034,NO
2164,35,0.99911034,NO
243,36,0.99911034,NO
1092,36,0.99911034,NO
1068,38,0.99911034,NO
566,39,0.99911034,NO
1855,40,0.99911034,NO
561,41,0.99911034,NO
41,42,0.99911034,NO
37,43,0.99911034,NO
575,47,0.99911034,NO
2159,50,0.99911034,NO
2162,51,0.99911034,NO
2017,52,0.99911034,NO
544,53,0.99911034,NO
589,54,0.99911034,YES
565,57,0.99911034,NO
553,58,0.99911034,NO
269,63,0.99911034,NO
599,66,0.99911034,NO
2160,68,0.99911034,NO
433,69,0.99911034,NO
571,69,0.99911034,NO
2161,72,0.99911034,NO
40,73,0.99911034,NO
31,75,0.99911034,NO
570,76,0.99911034,NO
1483,77,0.99911034,NO
111,39,0.5,NO
353,39,0.5,NO
675,39,0.5,NO
729,39,0.5,NO
760,39,0.5,NO
829,39,0.5,NO
832,39,0.5,NO
847,39,0.5,NO
856,39,0.5,NO
864,39,0.5,NO
924,39,0.5,NO
1214,39,0.5,NO
1215,39,0.5,NO
1273,39,0.5,NO
1292,39,0.5,NO
1453,39,0.5,NO
1529,39,0.5,NO
1532,39,0.5,NO
1703,39,0.5,NO
1721,39,0.5,NO
1764,39,0.5,NO
1935,39,0.5,NO
1992,39,0.5,NO
2047,39,0.5,NO
2049,39,0.5,NO
2176,79,0.99911034,NO
42,82,0.99911034,NO
552,83,0.99911034,NO
477,84,0.99911034,NO
218,52,0.5999822,NO
360,52,0.5999822,NO
374,52,0.5999822,NO
628,52,0.5999822,NO
851,52,0.5999822,NO
986,52,0.5999822,NO
1085,52,0.5999822,NO
1290,52,0.5999822,NO
1311,52,0.5999822,NO
1390,52,0.5999822,NO
1498,52,0.5999822,NO
1525,52,0.5999822,NO
1526,52,0.5999822,NO
1670,52,0.5999822,NO
1757,52,0.5999822,NO
1825,52,0.5999822,NO
91,47,0.5,NO
320,47,0.5,NO
370,47,0.5,NO
534,47,0.5,NO
573,47,0.5,NO
631,47,0.5,NO
857,47,0.5,NO
902,47,0.5,NO
1352,47,0.5,NO
1354,47,0.5,NO
1444,47,0.5,NO
1470,47,0.5,NO
1494,47,0.5,NO
1630,47,0.5,NO
1654,47,0.5,NO
1786,47,0.5,NO
1792,47,0.5,NO
1805,47,0.5,NO
1873,47,0.5,NO
2131,47,0.5,NO
2132,47,0.5,NO
550,94,0.99911034,YES
595,94,0.99911034,YES
1870,95,0.99911034,NO
122,48,0.5,NO
226,48,0.5,NO
281,48,0.5,NO
326,48,0.5,NO
378,48,0.5,NO
521,48,0.5,NO
638,48,0.5,NO
641,48,0.5,NO
677,48,0.5,NO
687,48,0.5,NO
1336,48,0.5,NO
1476,48,0.5,NO
1500,48,0.5,NO
1530,48,0.5,NO
1549,48,0.5,NO
1586,48,0.5,NO
1603,48,0.5,NO
1659,48,0.5,NO
1698,48,0.5,NO
1830,48,0.5,NO
1842,48,0.5,NO
12,99,0.9997031,NO
232,99,0.9997031,NO
289,99,0.9997031,NO
291,99,0.9997031,NO
511,99,0.9997031,NO
671,99,0.9997031,NO
879,99,0.9997031,YES
1343,99,0.9997031,NO
1964,99,0.9997031,NO
2185,100,0.99911034,NO
33,102,0.99911034,NO
77,102,0.99911034,NO
105,102,0.99911034,NO
292,102,0.99911034,NO
426,102,0.99911034,NO
600,102,0.99911034,NO
1489,102,0.99911034,NO
2181,102,0.99911034,NO
2210,102,0.99911034,NO
2231,102,0.99911034,NO
171,32,0.3125209,NO
207,32,0.3125209,NO
318,32,0.3125209,NO
398,32,0.3125209,NO
424,32,0.3125209,NO
437,32,0.3125209,NO
461,32,0.3125209,NO
496,32,0.3125209,NO
515,32,0.3125209,NO
639,32,0.3125209,NO
763,32,0.3125209,NO
815,32,0.3125209,NO
995,32,0.3125209,NO
1004,32,0.3125209,NO
1288,32,0.3125209,NO
1391,32,0.3125209,NO
1392,32,0.3125209,NO
1393,32,0.3125209,NO
1394,32,0.3125209,NO
1457,32,0.3125209,NO
1591,32,0.3125209,NO
1639,32,0.3125209,NO
1640,32,0.3125209,NO
1795,32,0.3125209,NO
1799,32,0.3125209,NO
1836,32,0.3125209,NO
2013,32,0.3125209,NO
2026,32,0.3125209,NO
2075,32,0.3125209,NO
2237,105,0.99911034,NO
251,53,0.5,NO
361,53,0.5,NO
551,53,0.5,NO
626,53,0.5,NO
759,53,0.5,NO
852,53,0.5,NO
1003,53,0.5,NO
1054,53,0.5,NO
1228,53,0.5,NO
1332,53,0.5,NO
1345,53,0.5,NO
1552,53,0.5,NO
1553,53,0.5,NO
1592,53,0.5,NO
1690,53,0.5,NO
1695,53,0.5,NO
1707,53,0.5,NO
1891,53,0.5,NO
2043,53,0.5,NO
1739,107,0.99911034,NO
2233,108,0.99911034,NO
1969,109,0.99911034,NO
2100,111,0.99911034,NO
323,28,0.25011137,NO
332,28,0.25011137,NO
334,28,0.25011137,NO
406,28,0.25011137,NO
556,28,0.25011137,NO
623,28,0.25011137,NO
660,28,0.25011137,NO
1026,28,0.25011137,NO
1235,28,0.25011137,NO
1427,28,0.25011137,NO
1607,28,0.25011137,NO
1760,28,0.25011137,NO
1812,28,0.25011137,NO
2122,28,0.25011137,NO
