ID,Size,Predicted,Actual
35,110,0.35520834,NO
1,11,0.015153171,NO
4,12,0.016407527,NO
12,19,0.015153171,NO
16,23,0.015153171,NO
33,39,0.023716249,NO
34,52,0.029433414,NO
6,30,0.016407527,NO
9,47,0.018845923,NO
22,85,0.029433414,NO
0,63,0.018845923,NO
8,168,0.022242978,NO
30,257,0.030696372,NO
11,232,0.02492406,NO
24,8,2.6173593E-5,NO
10,9,2.6173593E-5,NO
23,9,2.6173593E-5,NO
21,14,2.6173593E-5,NO
27,19,2.6173593E-5,NO
29,20,2.6173593E-5,NO
14,21,2.6173593E-5,NO
18,22,2.6173593E-5,NO
25,23,2.6173593E-5,NO
5,32,2.6173593E-5,NO
28,41,3.267427E-5,NO
26,42,3.267427E-5,NO
13,34,2.6173593E-5,NO
15,35,2.6173593E-5,NO
31,45,3.267427E-5,NO
20,37,2.6173593E-5,NO
3,77,3.267427E-5,NO
17,98,3.267427E-5,NO
19,99,3.267427E-5,NO
2,128,3.8697694E-5,NO
7,173,4.79433E-5,NO
32,153,3.8697694E-5,NO
