ID,Size,Predicted,Actual
313,74,0.5128959,NO
319,116,0.7610275,NO
317,79,0.5128959,NO
695,81,0.43557653,YES
325,98,0.4831508,NO
326,106,0.52142864,NO
316,56,0.2678251,NO
84,149,0.67865247,NO
312,58,0.26415032,NO
256,121,0.54361135,YES
310,238,0.99988973,NO
240,240,0.99811107,YES
139,249,0.9890895,YES
86,179,0.7088066,NO
85,263,0.9948635,NO
214,235,0.88824946,NO
284,241,0.89781046,YES
314,269,0.9999967,YES
108,167,0.6173654,NO
39,263,0.9614343,NO
133,242,0.8665503,NO
327,101,0.3606725,NO
76,158,0.5603449,NO
245,284,0.9904159,YES
271,281,0.978048,YES
170,280,0.9713321,NO
192,289,0.9907965,NO
328,94,0.31673256,NO
331,304,0.99331737,NO
199,306,0.9973456,NO
141,171,0.55368745,NO
122,77,0.2457173,NO
123,83,0.25838068,NO
59,234,0.71471184,NO
98,139,0.4229748,NO
53,216,0.6554575,NO
205,330,0.99950534,NO
202,220,0.6554575,NO
155,149,0.416584,NO
584,360,0.9973819,YES
333,351,0.96016115,YES
281,194,0.52437127,YES
154,131,0.3402868,NO
716,377,0.9749624,NO
583,386,0.99755466,YES
407,387,0.99998796,NO
443,337,0.8610801,YES
90,36,0.09188488,NO
374,387,0.98626596,NO
712,375,0.9506303,NO
648,370,0.9319927,YES
393,299,0.74886376,NO
347,382,0.9506303,NO
355,394,0.9781871,NO
386,405,0.9999997,NO
358,405,0.99862754,NO
360,405,0.99862754,NO
368,405,0.99862754,NO
380,405,0.99862754,NO
392,405,0.99862754,NO
383,406,0.99885404,NO
15,77,0.18793474,NO
676,351,0.8547434,NO
198,420,0.9999997,NO
873,359,0.8547434,NO
377,421,0.9999999,NO
865,426,0.9998726,NO
36,368,0.8547434,NO
290,215,0.49839687,YES
72,101,0.22806305,NO
338,445,0.99967295,YES
346,447,0.99962044,NO
480,448,0.9991164,YES
56,202,0.44831017,NO
384,457,1.0,NO
367,457,0.99991655,NO
366,462,0.9998005,NO
111,97,0.20760426,NO
385,470,1.0,NO
389,470,1.0,NO
99,85,0.17714529,NO
77,52,0.106595516,NO
373,498,0.9999964,NO
700,498,0.9999619,NO
206,193,0.38533,NO
117,72,0.14289033,NO
172,334,0.66214424,YES
369,506,0.9999964,NO
378,506,0.9999964,NO
361,513,0.99999946,NO
397,513,0.99999946,NO
399,513,0.99999946,NO
406,515,1.0,NO
396,515,0.99999946,NO
495,343,0.66214424,NO
664,521,0.999997,NO
493,346,0.66214424,NO
110,93,0.17714529,NO
