ID,Size,Predicted,Actual
1,11,0.11947962,NO
35,110,0.8478434,NO
12,19,0.11947962,NO
33,39,0.2212022,NO
16,23,0.11947962,NO
6,30,0.14170277,NO
0,63,0.1576542,NO
4,12,0.021524198,NO
34,52,0.06027477,NO
8,168,0.18898962,NO
20,37,0.02709584,NO
5,32,0.020640329,NO
15,35,0.020640329,NO
9,47,0.02709584,NO
22,85,0.042250942,NO
3,77,0.02709584,NO
2,128,0.033513874,NO
32,153,0.033513874,NO
7,173,0.035775505,NO
11,232,0.039088365,NO
30,257,0.04170995,NO
24,8,3.0111617E-6,NO
10,9,3.0111617E-6,NO
23,9,3.0111617E-6,NO
21,14,3.0111617E-6,NO
27,19,3.0111617E-6,NO
29,20,3.0111617E-6,NO
14,21,3.0111617E-6,NO
18,22,3.0111617E-6,NO
25,23,3.0111617E-6,NO
28,41,3.979164E-6,NO
26,42,3.979164E-6,NO
13,34,3.0111617E-6,NO
31,45,3.979164E-6,NO
17,98,3.979164E-6,NO
19,99,3.979164E-6,NO
