Id,Size,Prob,NormProb,Actual
487,60,0.94849914,0.01580832,false
255,83,0.8996205,0.010838801,false
326,94,0.999955,0.01063782,false
257,74,0.7671649,0.010367093,false
314,87,0.9006945,0.01035281,false
65,88,0.9006945,0.010235164,false
52,89,0.9006945,0.010120163,false
249,99,0.9998206,0.010099198,false
45,90,0.9006945,0.010007717,false
690,100,0.99430597,0.00994306,false
309,98,0.96555084,0.009852559,false
67,104,0.99430597,0.009560634,false
346,104,0.99430597,0.009560634,false
411,95,0.9006945,0.009480994,false
60,81,0.7671649,0.009471172,false
344,108,0.99837154,0.009244181,false
41,83,0.7671649,0.009242951,true
523,84,0.7671649,0.009132915,false
43,85,0.7671649,0.009025469,false
348,86,0.7671649,0.008920522,false
11,121,1.0,0.008264462,false
307,125,0.999955,0.00799964,false
337,131,0.9999999,0.007633587,false
47,135,0.9999992,0.0074074017,false
485,136,0.9999992,0.0073529356,false
256,155,1.0,0.006451613,false
334,157,1.0,0.006369427,false
254,158,1.0,0.006329114,true
689,153,0.95407486,0.0062357835,true
56,164,1.0,0.0060975607,true
252,165,1.0,0.006060606,false
250,166,1.0,0.006024096,false
6,132,0.76929265,0.005827975,false
40,77,0.43537712,0.0056542484,true
329,77,0.43537712,0.0056542484,false
331,77,0.43537712,0.0056542484,false
59,79,0.43537712,0.0055111027,false
288,185,0.999955,0.0054051625,false
688,82,0.43537712,0.005309477,false
101,198,0.99430597,0.005021747,true
46,202,1.0,0.004950495,false
347,206,1.0,0.004854369,false
102,193,0.9006945,0.004666811,true
306,219,1.0,0.00456621,false
286,202,0.9006945,0.004458884,false
54,233,1.0,0.0042918455,true
114,243,0.99960124,0.004113585,true
502,249,1.0,0.004016064,false
380,260,1.0,0.0038461538,true
342,261,1.0,0.0038314175,true
119,273,0.99999994,0.0036630034,true
343,281,1.0,0.0035587188,false
145,268,0.9523554,0.003553565,true
39,69,0.24360715,0.0035305384,true
50,69,0.24360715,0.0035305384,false
313,284,1.0,0.0035211267,true
61,70,0.24360715,0.0034801022,false
63,70,0.24360715,0.0034801022,false
338,70,0.24360715,0.0034801022,false
311,296,1.0,0.0033783785,false
258,301,0.99911743,0.003319327,true
512,74,0.24360715,0.0032919885,false
157,241,0.76929265,0.0031920858,true
319,42,0.13256182,0.0031562336,false
86,317,1.0,0.0031545742,false
9,246,0.76929265,0.003127206,false
35,252,0.76929265,0.0030527487,false
184,253,0.76929265,0.0030406825,true
310,343,1.0,0.002915452,false
192,344,1.0,0.0029069767,true
166,345,1.0,0.0028985508,true
308,346,1.0,0.0028901733,false
312,47,0.13256182,0.002820464,false
36,368,0.9999796,0.002717336,false
395,383,1.0,0.002610966,true
242,384,0.99999064,0.0026041423,true
198,389,1.0,0.002570694,true
161,100,0.24581589,0.0024581589,false
171,423,1.0,0.0023640662,true
224,452,0.98971915,0.0021896441,true
510,182,0.3978987,0.0021862567,true
352,64,0.13256182,0.0020712784,false
511,498,1.0,0.002008032,false
353,68,0.13256182,0.0019494384,false
518,536,1.0,0.0018656716,true
68,139,0.24581589,0.0017684596,false
70,149,0.24581589,0.001649771,true
203,625,0.99902,0.001598432,true
160,86,0.13256182,0.0015414164,false
146,99,0.13394201,0.0013529497,false
281,38,0.049531158,0.0013034516,false
527,813,0.89724034,0.0011036167,false
207,824,0.89724034,0.001088884,true
69,131,0.13394201,0.0010224581,true
201,1079,0.99999994,9.26784E-4,true
228,1101,1.0,9.0826524E-4,true
226,1124,1.0,8.896797E-4,true
194,1127,0.99998134,8.872949E-4,true
280,31,0.027323822,8.814136E-4,false
282,31,0.027323822,8.814136E-4,false
62,57,0.049531158,8.6896773E-4,false
283,32,0.027323822,8.538694E-4,false
425,32,0.027323822,8.538694E-4,false
64,59,0.049531158,8.3951117E-4,false
351,61,0.049531158,8.119862E-4,false
426,35,0.027323822,7.806806E-4,false
163,188,0.13394201,7.124575E-4,true
165,1424,1.0,7.022472E-4,true
113,195,0.13394201,6.868821E-4,false
5,196,0.13394201,6.833776E-4,false
126,5,0.003039852,6.079704E-4,true
333,46,0.027323822,5.9399614E-4,false
482,47,0.027323822,5.813579E-4,false
677,47,0.027323822,5.813579E-4,false
42,48,0.027323822,5.692463E-4,false
279,30,0.016911732,5.637244E-4,false
320,50,0.027323822,5.4647645E-4,false
51,52,0.027323822,5.254581E-4,true
159,99,0.050096795,5.0602824E-4,false
317,55,0.027323822,4.9679674E-4,false
496,217,0.10709339,4.935179E-4,true
328,56,0.027323822,4.8792537E-4,false
195,614,0.27130046,4.4185744E-4,true
202,2346,1.0,4.2625747E-4,true
222,676,0.27130046,4.0133204E-4,true
209,679,0.27130046,3.9955886E-4,true
44,43,0.016911732,3.9329607E-4,false
206,695,0.27130046,3.903604E-4,true
323,45,0.016911732,3.7581625E-4,false
225,722,0.27130046,3.757624E-4,true
675,722,0.27130046,3.757624E-4,false
196,723,0.27130046,3.752427E-4,true
681,34,0.012518235,3.681834E-4,false
220,772,0.27130046,3.5142546E-4,true
8,173,0.050096795,2.8957686E-4,false
154,173,0.050096795,2.8957686E-4,true
38,181,0.050096795,2.7677786E-4,false
251,31,0.008471082,2.732607E-4,false
253,31,0.008471082,2.732607E-4,false
84,12,0.0031990807,2.6659007E-4,false
130,116,0.027643228,2.3830369E-4,true
427,37,0.008471082,2.2894816E-4,false
88,14,0.003039852,2.1713228E-4,false
490,20,0.004279077,2.1395386E-4,false
55,40,0.008471082,2.1177705E-4,false
57,40,0.008471082,2.1177705E-4,false
66,40,0.008471082,2.1177705E-4,false
318,41,0.008471082,2.0661176E-4,false
321,41,0.008471082,2.0661176E-4,false
49,29,0.0059083733,2.0373701E-4,false
431,139,0.027643228,1.9887215E-4,false
315,43,0.008471082,1.9700191E-4,false
48,30,0.0059083733,1.9694578E-4,false
15,142,0.027643228,1.9467062E-4,true
345,44,0.008471082,1.9252459E-4,false
53,31,0.0059083733,1.9059269E-4,false
30,146,0.027643228,1.8933718E-4,false
32,147,0.027643228,1.8804918E-4,false
162,147,0.027643228,1.8804918E-4,false
396,314,0.05895937,1.8776869E-4,true
22,148,0.027643228,1.8677858E-4,false
58,32,0.0059083733,1.8463666E-4,false
168,32,0.0059083733,1.8463666E-4,false
108,152,0.027643228,1.8186335E-4,true
23,156,0.027643228,1.7720019E-4,false
26,156,0.027643228,1.7720019E-4,false
