Id,Size,Prob,NormProb,Actual
223,25,1.0,0.04,false
222,38,1.0,0.02631579,false
134,46,1.0,0.02173913,false
221,47,1.0,0.021276595,false
144,48,1.0,0.020833334,false
344,53,1.0,0.018867925,true
79,56,1.0,0.017857144,true
126,57,1.0,0.01754386,false
406,61,1.0,0.016393442,true
224,65,1.0,0.015384615,false
294,65,1.0,0.015384615,false
580,65,1.0,0.015384615,true
774,66,1.0,0.015151516,false
207,67,1.0,0.014925373,false
215,70,1.0,0.014285714,false
425,70,1.0,0.014285714,true
591,74,1.0,0.013513514,true
218,75,1.0,0.013333334,false
413,77,1.0,0.012987013,false
210,80,1.0,0.0125,false
217,80,1.0,0.0125,false
219,82,1.0,0.0121951215,false
312,82,1.0,0.0121951215,false
214,83,1.0,0.012048192,false
109,88,1.0,0.011363637,false
108,90,1.0,0.011111111,false
140,93,1.0,0.010752688,false
432,94,1.0,0.010638298,false
127,95,1.0,0.010526316,false
398,96,1.0,0.010416667,false
220,97,1.0,0.010309278,false
129,112,1.0,0.008928572,false
256,114,1.0,0.00877193,true
226,117,1.0,0.008547009,false
414,120,1.0,0.008333334,true
614,121,1.0,0.008264462,true
263,124,1.0,0.008064516,true
225,127,1.0,0.007874016,false
408,142,1.0,0.0070422534,true
422,152,1.0,0.0065789474,false
338,157,1.0,0.006369427,true
137,161,1.0,0.0062111802,false
411,162,1.0,0.0061728396,true
150,167,1.0,0.005988024,true
59,171,1.0,0.0058479533,true
409,171,1.0,0.0058479533,true
540,184,1.0,0.0054347827,false
431,209,1.0,0.004784689,false
120,220,1.0,0.0045454544,false
130,240,1.0,0.004166667,false
200,241,1.0,0.004149378,true
53,242,1.0,0.004132231,false
156,243,1.0,0.004115226,true
57,250,1.0,0.004,true
257,253,1.0,0.0039525693,true
88,280,1.0,0.0035714286,false
187,281,1.0,0.0035587188,true
427,281,1.0,0.0035587188,false
161,284,1.0,0.0035211267,true
110,289,1.0,0.0034602077,false
209,294,1.0,0.0034013605,false
395,296,1.0,0.0033783785,false
237,304,1.0,0.0032894737,false
117,306,1.0,0.003267974,false
213,323,1.0,0.0030959751,true
123,330,1.0,0.003030303,false
90,334,1.0,0.002994012,false
342,337,1.0,0.002967359,true
394,343,1.0,0.002915452,false
392,346,1.0,0.0028901733,false
239,351,1.0,0.0028490028,true
545,370,1.0,0.0027027028,true
306,387,1.0,0.0025839794,false
264,405,1.0,0.002469136,false
266,405,1.0,0.002469136,false
274,405,1.0,0.002469136,false
286,405,1.0,0.002469136,false
292,405,1.0,0.002469136,false
289,406,1.0,0.0024630541,false
116,420,1.0,0.0023809525,false
283,421,1.0,0.002375297,false
244,445,1.0,0.002247191,true
273,457,1.0,0.0021881838,false
279,498,1.0,0.002008032,false
596,498,1.0,0.002008032,false
275,506,1.0,0.0019762847,false
284,506,1.0,0.0019762847,false
267,513,1.0,0.0019493178,false
297,513,1.0,0.0019493178,false
299,513,1.0,0.0019493178,false
296,515,1.0,0.0019417476,false
303,532,1.0,0.0018796993,true
603,542,1.0,0.0018450185,true
302,553,1.0,0.0018083183,false
291,555,1.0,0.0018018018,false
287,560,1.0,0.0017857143,false
326,627,1.0,0.0015948963,true
288,631,1.0,0.0015847861,false
295,663,1.0,0.0015082957,false
270,672,1.0,0.0014880953,true
269,713,1.0,0.0014025245,false
278,713,1.0,0.0014025245,false
761,733,1.0,0.0013642565,false
305,795,1.0,0.0012578616,true
285,800,1.0,0.00125,false
301,802,1.0,0.0012468828,false
613,815,1.0,0.0012269939,false
271,851,1.0,0.0011750881,false
281,914,1.0,0.0010940919,false
298,916,1.0,0.0010917031,false
282,921,1.0,0.0010857764,false
265,982,1.0,0.00101833,false
304,1181,1.0,8.4674003E-4,true
310,1207,1.0,8.2850043E-4,true
300,1210,1.0,8.264463E-4,false
307,1279,1.0,7.8186084E-4,true
276,1328,1.0,7.53012E-4,true
268,1389,1.0,7.199424E-4,false
238,1503,1.0,6.65336E-4,true
277,2935,1.0,3.4071552E-4,true
290,21395,1.0,4.6739893E-5,true
1,79,0.0,0.0,false
2,87,0.0,0.0,false
3,68,0.0,0.0,false
4,58,0.0,0.0,false
5,196,0.0,0.0,false
6,132,0.0,0.0,false
7,64,0.0,0.0,false
8,134,0.0,0.0,false
9,173,0.0,0.0,false
10,246,0.0,0.0,false
11,107,0.0,0.0,false
12,121,0.0,0.0,false
13,110,0.0,0.0,true
14,58,0.0,0.0,false
15,37,0.0,0.0,false
16,78,0.0,0.0,true
17,142,0.0,0.0,true
18,114,0.0,0.0,false
19,59,0.0,0.0,false
20,64,0.0,0.0,false
21,164,0.0,0.0,false
22,70,0.0,0.0,false
23,32,0.0,0.0,false
24,148,0.0,0.0,false
25,156,0.0,0.0,false
26,119,0.0,0.0,false
27,118,0.0,0.0,false
28,156,0.0,0.0,false
29,85,0.0,0.0,false
30,48,0.0,0.0,true
31,33,0.0,0.0,true
32,146,0.0,0.0,false
33,113,0.0,0.0,false
34,147,0.0,0.0,false
35,40,0.0,0.0,false
36,125,0.0,0.0,false
37,252,0.0,0.0,false
38,368,0.0,0.0,false
39,106,0.0,0.0,false
40,181,0.0,0.0,false
41,76,0.0,0.0,true
42,77,0.0,0.0,true
43,83,0.0,0.0,true
44,48,0.0,0.0,false
45,85,0.0,0.0,false
46,43,0.0,0.0,false
47,90,0.0,0.0,false
48,202,0.0,0.0,false
49,135,0.0,0.0,false
50,30,0.0,0.0,false
51,29,0.0,0.0,false
52,69,0.0,0.0,false
54,64,0.0,0.0,true
55,89,0.0,0.0,false
56,49,0.0,0.0,false
58,40,0.0,0.0,false
60,40,0.0,0.0,false
61,32,0.0,0.0,false
62,79,0.0,0.0,false
63,81,0.0,0.0,false
64,70,0.0,0.0,false
65,57,0.0,0.0,false
66,70,0.0,0.0,false
