ID,Size,Predicted,Actual
226,58,0.9924377,NO
220,47,0.77358335,NO
223,65,0.9924557,NO
293,65,0.9717361,YES
206,67,0.9982873,NO
140,69,0.9713686,NO
214,70,0.97143006,YES
773,66,0.9081619,NO
125,57,0.77329403,YES
114,76,0.9982835,NO
211,76,0.9982835,YES
215,74,0.9713686,NO
127,76,0.99244195,YES
130,75,0.97143006,NO
217,75,0.97143006,YES
210,78,0.9982835,YES
15,78,0.99825394,YES
144,61,0.7713484,YES
209,80,0.9997076,NO
216,80,0.9934733,NO
111,81,0.9997074,NO
218,82,0.9999498,NO
311,82,0.9933531,NO
213,83,0.99970645,NO
143,48,0.567642,YES
227,88,0.999999,NO
235,89,0.99341846,NO
141,90,0.9997043,NO
134,92,0.9997081,YES
139,93,0.99970645,YES
232,95,0.99999243,YES
126,95,0.9934614,YES
431,94,0.97517323,YES
219,97,0.9999999,NO
229,97,0.99999243,YES
397,96,0.97542626,YES
412,77,0.77329737,YES
392,98,0.9713395,YES
231,101,0.999999,YES
332,99,0.9713395,YES
221,38,0.37118375,NO
230,103,0.999999,YES
414,77,0.7463974,YES
409,94,0.9093988,YES
495,95,0.9093988,YES
142,106,0.9999925,YES
429,104,0.9713395,YES
338,83,0.77301246,YES
608,84,0.77301246,YES
427,108,0.9924299,YES
135,40,0.36667764,NO
137,40,0.36667764,NO
228,40,0.36428538,NO
128,112,0.999999,YES
233,16,0.14139706,YES
225,117,1.0,NO
133,46,0.37118375,NO
118,14,0.112520605,NO
390,125,0.9982817,YES
222,25,0.1984991,NO
308,68,0.53776807,YES
224,127,1.0,NO
603,131,0.99994755,NO
422,70,0.5335682,YES
112,132,1.0,NO
131,26,0.19648379,NO
7,134,1.0,NO
117,31,0.23130237,NO
340,74,0.5335682,YES
110,143,1.0,NO
132,33,0.22797783,NO
113,146,1.0,NO
120,150,1.0,NO
421,152,0.999996,YES
121,153,1.0,NO
419,154,1.0,NO
339,155,0.99999535,YES
337,157,0.99999946,YES
417,157,0.9999994,YES
136,161,1.0,YES
335,165,0.9999994,YES
411,56,0.33745474,YES
333,166,0.9999994,YES
149,167,0.99999994,YES
775,60,0.3412403,NO
207,27,0.14897923,NO
151,26,0.14214294,YES
539,184,1.0,NO
124,190,1.0,NO
123,193,1.0,NO
196,194,1.0,YES
430,209,1.0,YES
138,32,0.1471434,NO
320,32,0.1471434,NO
389,219,1.0,YES
119,220,1.0,NO
416,46,0.20620967,YES
395,47,0.20620967,YES
566,47,0.20620967,YES
762,47,0.20620967,YES
129,240,1.0,YES
52,242,1.0,YES
403,50,0.20620967,YES
448,52,0.21097247,NO
167,25,0.10002042,YES
56,250,0.991338,YES
256,253,0.9911136,YES
530,26,0.09865254,NO
400,55,0.20620967,YES
86,29,0.10632056,NO
464,260,0.94434035,YES
87,280,1.0,YES
511,37,0.13177615,YES
426,281,1.0,YES
396,284,1.0,YES
109,289,1.0,NO
91,31,0.10632056,NO
208,294,1.0,YES
394,296,1.0,YES
292,299,0.9996318,YES
254,22,0.072927415,NO
353,22,0.072927415,NO
356,22,0.072927415,NO
468,22,0.072927415,NO
475,22,0.072927415,NO
543,22,0.072927415,NO
632,22,0.072927415,NO
236,304,1.0,NO
116,306,1.0,NO
401,41,0.13177615,YES
404,41,0.13177615,YES
352,23,0.072927415,NO
437,23,0.072927415,NO
453,23,0.072927415,NO
626,23,0.072927415,NO
627,23,0.072927415,NO
628,23,0.072927415,NO
727,23,0.072927415,NO
747,23,0.072927415,NO
402,42,0.13177615,YES
212,323,1.0,YES
55,49,0.15093237,NO
398,43,0.13177615,YES
355,24,0.072927415,NO
454,24,0.072927415,NO
470,24,0.072927415,NO
498,24,0.072927415,NO
552,24,0.072927415,NO
578,24,0.072927415,NO
620,24,0.072927415,NO
634,24,0.072927415,NO
694,24,0.072927415,NO
741,24,0.072927415,NO
122,330,1.0,NO
199,241,0.7255428,YES
428,44,0.13177615,YES
480,314,0.9382215,YES
334,31,0.092211515,YES
336,31,0.092211515,YES
341,337,0.9999722,YES
155,243,0.7179263,YES
406,45,0.13177615,YES
146,25,0.072927415,NO
180,25,0.072927415,NO
375,25,0.072927415,NO
376,25,0.072927415,NO
439,25,0.072927415,NO
469,25,0.072927415,NO
482,25,0.072927415,NO
538,25,0.072927415,NO
546,25,0.072927415,NO
548,25,0.072927415,NO
549,25,0.072927415,NO
553,25,0.072927415,NO
625,25,0.072927415,NO
633,25,0.072927415,NO
699,25,0.072927415,NO
709,25,0.072927415,NO
710,25,0.072927415,NO
724,25,0.072927415,NO
738,25,0.072927415,NO
393,343,1.0,YES
89,334,0.9699723,NO
391,346,1.0,YES
240,32,0.092211515,YES
574,37,0.10632056,NO
586,253,0.72197264,NO
238,351,0.9999999,YES
572,351,0.9951957,NO
175,26,0.072927415,NO
179,26,0.072927415,NO
194,26,0.072927415,NO
440,26,0.072927415,NO
534,26,0.072927415,NO
550,26,0.072927415,NO
554,26,0.072927415,NO
