ID,Size,Predicted,Actual
0,111,0.06388640744128349,NO
1,22,0.06391960819300611,NO
2,75,0.06394641245993998,NO
3,131,0.06406975929515885,NO
4,74,0.0652096293202248,NO
5,84,0.0652096293202248,NO
6,70,0.06388640744128349,NO
7,57,0.06320658276689213,NO
8,70,0.06320658276689213,NO
9,59,0.06388640744128349,NO
10,88,0.06388640744128349,NO
11,40,0.06320658276689213,NO
12,99,0.0652096293202248,NO
13,187,0.06406975929515885,NO
14,196,0.06516388428898214,NO
15,192,0.04203187273342935,NO
16,97,0.06388640744128349,NO
17,98,0.0652096293202248,NO
18,96,0.0652096293202248,NO
19,173,0.06406975929515885,NO
20,141,0.06406975929515885,NO
21,142,0.06406975929515885,NO
22,188,0.06406975929515885,NO
23,90,0.06388640744128349,NO
24,110,0.0652096293202248,NO
25,62,0.06320658276689213,NO
26,61,0.06320658276689213,NO
27,120,0.0653965134776975,NO
28,116,0.06406975929515885,NO
29,58,0.06320658276689213,NO
30,74,0.06320658276689213,NO
31,113,0.0652096293202248,NO
32,48,0.06320658276689213,NO
33,77,0.041187897367536,NO
34,65,0.06320658276689213,NO
35,74,0.0652096293202248,NO
36,83,0.0652096293202248,NO
37,128,0.0653965134776975,NO
38,72,0.0652096293202248,NO
39,76,0.0652096293202248,NO
40,69,0.06388640744128349,NO
41,83,0.0652096293202248,NO
42,65,0.041187897367536,NO
43,88,0.06388640744128349,NO
44,40,0.06320658276689213,NO
45,86,0.0652096293202248,NO
46,89,0.0652096293202248,NO
47,49,0.06320658276689213,NO
48,102,0.06320658276689213,NO
49,94,0.06388640744128349,NO
50,72,0.06388640744128349,NO
51,60,0.0652096293202248,NO
52,76,0.0652096293202248,NO
53,92,0.0652096293202248,NO
54,96,0.0652096293202248,NO
55,70,0.0652096293202248,NO
56,86,0.0652096293202248,NO
57,101,0.06388640744128349,NO
58,169,0.04130897994020843,NO
59,115,0.04130897994020843,NO
60,153,0.06406975929515885,NO
61,58,0.06388640744128349,NO
62,47,0.06388640744128349,NO
63,49,0.06388640744128349,NO
64,58,0.06388640744128349,NO
65,70,0.06388640744128349,NO
66,141,0.06406975929515885,NO
67,93,0.06388640744128349,NO
68,273,0.04338684507830501,NO
69,96,0.041187897367536,NO
70,50,0.06388640744128349,NO
71,241,0.06516388428898214,NO
72,195,0.0665116854490234,NO
73,131,0.06406975929515885,NO
74,170,0.06412992472853367,NO
75,161,0.06406975929515885,NO
76,102,0.0652096293202248,NO
77,150,0.06406975929515885,NO
78,65,0.041187897367536,NO
79,88,0.06388640744128349,NO
80,40,0.06320658276689213,NO
81,57,0.06320658276689213,NO
82,39,0.06320658276689213,NO
83,85,0.0652096293202248,NO
84,93,0.0652096293202248,NO
85,87,0.0652096293202248,NO
86,81,0.0652096293202248,NO
87,95,0.06394641245993998,NO
88,66,0.06388640744128349,NO
89,94,0.06394641245993998,NO
90,76,0.06388640744128349,NO
91,116,0.06406975929515885,NO
92,56,0.06320658276689213,NO
93,48,0.06320658276689213,NO
94,71,0.0652096293202248,NO
95,45,0.06320658276689213,NO
96,45,0.06320658276689213,NO
97,30,0.06391960819300611,NO
98,74,0.0652096293202248,NO
99,299,0.04338684507830501,NO
100,82,0.06388640744128349,NO
101,197,0.04203187273342935,NO
102,173,0.04130897994020843,NO
103,84,0.0652096293202248,NO
104,75,0.06320658276689213,NO
105,65,0.0652096293202248,NO
106,96,0.041187897367536,NO
107,193,0.06516388428898214,NO
108,98,0.06388640744128349,NO
109,88,0.0652096293202248,NO
110,67,0.0652096293202248,NO
111,92,0.0652096293202248,NO
112,56,0.0652096293202248,NO
113,101,0.06388640744128349,NO
114,136,0.06406975929515885,NO
115,105,0.06388640744128349,NO
116,377,0.04543129626817366,NO
117,174,0.06406975929515885,NO
118,244,0.06516388428898214,NO
119,101,0.0652096293202248,NO
120,113,0.0652096293202248,NO
121,110,0.06320658276689213,NO
122,58,0.06320658276689213,NO
123,37,0.06391960819300611,NO
124,77,0.06388640744128349,NO
125,142,0.06406975929515885,NO
126,118,0.06406975929515885,NO
127,80,0.06388640744128349,NO
128,59,0.06320658276689213,NO
129,69,0.06388640744128349,NO
130,95,0.06388640744128349,NO
131,97,0.06388640744128349,NO
132,82,0.041187897367536,NO
133,67,0.0652096293202248,NO
