ID,Size,Predicted,Actual
76,158,0.9635429,YES
108,167,0.9860172,YES
98,139,0.7974736,YES
86,179,0.98615754,YES
84,149,0.79950374,YES
111,97,0.4594596,YES
310,238,0.9856003,YES
240,240,0.985035,YES
139,249,0.98539966,YES
85,263,0.99999905,YES
314,269,0.9856003,YES
122,77,0.26739603,NO
690,203,0.6992251,YES
695,81,0.27247983,YES
141,171,0.572131,NO
123,83,0.26739603,NO
271,281,0.8733765,YES
245,284,0.8733765,YES
319,116,0.33003634,NO
584,360,0.9970725,YES
256,121,0.33003634,YES
583,386,0.995311,YES
154,131,0.33385125,YES
386,405,1.0,YES
377,421,0.9994846,YES
198,420,0.9922054,YES
865,426,0.999879,NO
383,406,0.93585587,YES
358,405,0.9325029,YES
360,405,0.9325029,YES
368,405,0.9325029,YES
380,405,0.9325029,YES
392,405,0.9325029,YES
117,72,0.16213156,YES
155,149,0.33385125,YES
480,448,0.9928853,YES
384,457,1.0,YES
367,457,0.99944574,YES
338,445,0.97274995,YES
346,447,0.97274995,NO
873,359,0.77998805,NO
385,470,1.0,YES
389,470,1.0,YES
36,368,0.77998805,NO
366,462,0.97274995,YES
284,241,0.5066628,YES
72,101,0.21202217,YES
712,375,0.77998805,NO
347,382,0.77998805,NO
373,498,0.9999764,YES
700,498,0.9999081,YES
369,506,0.9999764,YES
378,506,0.9999764,YES
407,387,0.7638025,YES
361,513,0.99997765,YES
397,513,0.99997765,YES
399,513,0.99997765,YES
406,515,1.0,YES
396,515,0.99997765,YES
664,521,0.99964076,NO
99,85,0.16213156,YES
403,532,0.99997765,YES
402,553,0.9999999,YES
391,555,1.0,YES
388,560,1.0,YES
381,560,0.9999999,YES
110,93,0.16213156,YES
40,590,1.0,NO
881,71,0.11981114,YES
427,627,1.0,YES
708,628,1.0,YES
382,631,1.0,YES
77,52,0.081258886,YES
395,663,1.0,YES
90,36,0.05420073,YES
112,96,0.14420818,YES
97,101,0.14420818,YES
363,713,1.0,YES
372,713,1.0,YES
113,105,0.14420818,YES
393,299,0.40905562,YES
866,733,1.0,NO
387,754,1.0,YES
364,768,1.0,YES
648,370,0.47557375,YES
716,377,0.47557375,NO
379,800,1.0,YES
401,802,1.0,YES
118,117,0.14420818,YES
374,387,0.47557375,YES
718,815,1.0,YES
355,394,0.47557375,NO
685,67,0.080498636,YES
365,851,1.0,YES
405,908,1.0,YES
375,914,1.0,YES
398,916,1.0,YES
333,351,0.38302952,YES
376,921,1.0,YES
214,235,0.23999771,YES
359,982,1.0,YES
512,163,0.16367315,YES
237,52,0.052080683,YES
39,263,0.26042607,NO
232,178,0.16775149,YES
316,56,0.051545445,YES
280,186,0.16775149,YES
312,58,0.051545445,YES
411,1207,1.0,YES
400,1210,1.0,YES
290,215,0.1750808,YES
408,1279,1.0,YES
303,21,0.016362268,NO
404,1287,1.0,YES
370,1328,1.0,YES
325,98,0.073048875,YES
302,22,0.016362268,NO
327,101,0.073048875,YES
313,74,0.0534017,YES
362,1389,1.0,YES
540,57,0.040812522,YES
15,77,0.054278035,NO
326,106,0.073048875,YES
568,266,0.18187934,YES
351,259,0.17540053,YES
317,79,0.0534017,YES
538,64,0.041068673,YES
332,1560,1.0,YES
88,25,0.015809644,YES
12,110,0.06944067,NO
324,22,0.013676255,YES
578,84,0.051973432,YES
103,26,0.015809644,YES
92,27,0.015809644,YES
328,94,0.054278035,YES
293,100,0.054465316,NO
104,69,0.03694416,YES
89,30,0.015809644,YES
91,30,0.015809644,YES
863,289,0.15083566,NO
95,31,0.015809644,YES
496,296,0.15083566,YES
16,142,0.06944067,NO
292,112,0.054465316,NO
79,81,0.03694416,YES
172,334,0.15083566,YES
80,83,0.03694416,YES
495,343,0.15083566,YES
493,346,0.15083566,YES
676,351,0.15083566,NO
59,234,0.099156424,NO
119,93,0.03694416,YES
318,166,0.06501233,NO
100,95,0.03694416,YES
135,50,0.018626247,YES
116,47,0.017059486,YES
82,48,0.017059486,YES
371,2935,1.0,YES
94,33,0.011233178,YES
120,52,0.017059486,YES
78,53,0.017059486,YES
102,35,0.011233178,YES
75,54,0.017059486,YES
115,54,0.017059486,YES
83,55,0.017059486,YES
137,40,0.012271525,YES
301,40,0.012271525,NO
201,14,0.0042651286,YES
96,56,0.017059486,YES
87,37,0.011233178,YES
93,37,0.011233178,YES
106,39,0.011233178,YES
101,60,0.017059486,YES
114,61,0.017059486,YES
107,41,0.011233178,YES
81,63,0.017059486,YES
309,34,0.009148098,YES
105,64,0.017059486,YES
109,66,0.017059486,YES
323,40,0.010250046,YES
300,50,0.012271525,NO
221,160,0.038248334,YES
192,289,0.068296514,YES
331,304,0.068296514,NO
510,176,0.039314818,YES
199,306,0.068296514,YES
212,26,0.005487608,YES
205,330,0.068296514,YES
299,60,0.01179142,YES
171,63,0.0116277225,YES
320,67,0.012271525,NO
291,67,0.0116277225,NO
228,62,0.010738945,YES
229,61,0.010174718,YES
208,62,0.010174718,YES
216,26,0.0042651286,NO
311,80,0.012271525,NO
209,96,0.014686596,YES
315,83,0.012271525,NO
210,77,0.010738945,YES
200,31,0.0042651286,YES
211,111,0.014686596,YES
443,337,0.043461666,YES
227,115,0.014686596,YES
219,94,0.010738945,YES
224,94,0.010738945,YES
56,202,0.020737574,NO
883,159,0.016185353,YES
53,216,0.020737574,NO
44,24,0.0022867962,NO
51,24,0.0022867962,NO
308,34,0.0032102799,YES
422,32,0.0030202332,NO
281,194,0.017589873,YES
265,25,0.0021327601,NO
213,46,0.0038872913,YES
551,224,0.017177064,NO
582,225,0.017177064,YES
57,31,0.0022867962,NO
74,28,0.002016059,NO
71,47,0.0033050033,NO
9,246,0.017177064,NO
35,252,0.017177064,NO
218,46,0.0030202332,NO
73,109,0.0070967884,NO
528,281,0.017177064,YES
498,284,0.017177064,YES
349,22,0.0012960839,NO
455,22,0.0012960839,NO
458,22,0.0012960839,NO
572,22,0.0012960839,NO
579,22,0.0012960839,NO
647,22,0.0012960839,NO
738,22,0.0012960839,NO
454,23,0.0012960839,NO
541,23,0.0012960839,NO
557,23,0.0012960839,NO
732,23,0.0012960839,NO
733,23,0.0012960839,NO
734,23,0.0012960839,NO
833,23,0.0012960839,NO
853,23,0.0012960839,NO
307,69,0.003835366,YES
457,24,0.0012960839,NO
558,24,0.0012960839,NO
574,24,0.0012960839,NO
602,24,0.0012960839,NO
656,24,0.0012960839,NO
682,24,0.0012960839,NO
726,24,0.0012960839,NO
740,24,0.0012960839,NO
800,24,0.0012960839,NO
847,24,0.0012960839,NO
231,25,0.0012960839,NO
477,25,0.0012960839,NO
478,25,0.0012960839,NO
543,25,0.0012960839,NO
573,25,0.0012960839,NO
586,25,0.0012960839,NO
642,25,0.0012960839,NO
650,25,0.0012960839,NO
652,25,0.0012960839,NO
653,25,0.0012960839,NO
657,25,0.0012960839,NO
731,25,0.0012960839,NO
739,25,0.0012960839,NO
805,25,0.0012960839,NO
815,25,0.0012960839,NO
816,25,0.0012960839,NO
830,25,0.0012960839,NO
844,25,0.0012960839,NO
260,26,0.0012960839,NO
264,26,0.0012960839,NO
279,26,0.0012960839,NO
544,26,0.0012960839,NO
638,26,0.0012960839,NO
654,26,0.0012960839,NO
658,26,0.0012960839,NO
723,26,0.0012960839,NO
730,26,0.0012960839,NO
743,26,0.0012960839,NO
744,26,0.0012960839,NO
745,26,0.0012960839,NO
818,26,0.0012960839,NO
826,26,0.0012960839,NO
828,26,0.0012960839,NO
836,26,0.0012960839,NO
839,26,0.0012960839,NO
843,26,0.0012960839,NO
337,27,0.0012960839,NO
774,27,0.0012960839,NO
789,27,0.0012960839,NO
848,27,0.0012960839,NO
306,69,0.0033050033,YES
62,35,0.001672941,NO
54,36,0.0017089586,NO
55,36,0.0017089586,NO
390,21405,1.0,YES
241,28,0.0012960839,NO
244,28,0.0012960839,NO
277,28,0.0012960839,NO
476,28,0.0012960839,NO
562,28,0.0012960839,NO
566,28,0.0012960839,NO
575,28,0.0012960839,NO
651,28,0.0012960839,NO
823,28,0.0012960839,NO
875,28,0.0012960839,NO
305,96,0.0044027003,YES
131,29,0.0012960839,NO
169,29,0.0012960839,NO
235,29,0.0012960839,NO
560,29,0.0012960839,NO
571,29,0.0012960839,NO
635,29,0.0012960839,NO
640,29,0.0012960839,NO
641,29,0.0012960839,NO
737,29,0.0012960839,NO
765,29,0.0012960839,NO
770,29,0.0012960839,NO
784,29,0.0012960839,NO
63,38,0.001672941,NO
41,39,0.0017089586,NO
42,39,0.0017089586,NO
43,39,0.0017089586,NO
130,30,0.0012960839,NO
348,30,0.0012960839,NO
420,30,0.0012960839,NO
421,30,0.0012960839,NO
464,30,0.0012960839,NO
576,30,0.0012960839,NO
715,30,0.0012960839,NO
829,30,0.0012960839,NO
859,30,0.0012960839,NO
268,36,0.0015093121,NO
58,39,0.001634481,NO
174,31,0.0012960839,NO
262,31,0.0012960839,NO
274,31,0.0012960839,NO
436,31,0.0012960839,YES
438,31,0.0012960839,YES
463,31,0.0012960839,NO
465,31,0.0012960839,NO
467,31,0.0012960839,NO
475,31,0.0012960839,NO
563,31,0.0012960839,NO
580,31,0.0012960839,NO
623,31,0.0012960839,NO
659,31,0.0012960839,NO
725,31,0.0012960839,NO
741,31,0.0012960839,NO
742,31,0.0012960839,NO
751,31,0.0012960839,NO
782,31,0.0012960839,NO
802,31,0.0012960839,NO
824,31,0.0012960839,NO
61,42,0.001672941,NO
69,44,0.0017089586,NO
706,133,0.004523116,YES
518,46,0.0015093121,YES
48,54,0.0017089586,NO
70,55,0.0017089586,NO
65,54,0.001672941,NO
68,56,0.0017089586,NO
261,50,0.0015093121,NO
247,51,0.0015093121,NO
133,242,0.0071607935,NO
50,58,0.0017089586,NO
22,32,9.169881E-4,NO
143,32,9.169881E-4,NO
160,32,9.169881E-4,NO
179,32,9.169881E-4,NO
258,32,9.169881E-4,NO
335,32,9.169881E-4,YES
416,32,9.169881E-4,NO
417,32,9.169881E-4,NO
418,32,9.169881E-4,NO
468,32,9.169881E-4,NO
553,32,9.169881E-4,NO
554,32,9.169881E-4,NO
555,32,9.169881E-4,NO
556,32,9.169881E-4,NO
565,32,9.169881E-4,NO
581,32,9.169881E-4,NO
644,32,9.169881E-4,NO
721,32,9.169881E-4,NO
722,32,9.169881E-4,NO
736,32,9.169881E-4,NO
858,32,9.169881E-4,NO
862,32,9.169881E-4,NO
521,154,0.004373544,NO
289,147,0.0041699777,NO
239,195,0.005507259,NO
479,33,9.169881E-4,NO
637,33,9.169881E-4,NO
649,33,9.169881E-4,NO
735,33,9.169881E-4,NO
785,33,9.169881E-4,NO
801,33,9.169881E-4,YES
831,33,9.169881E-4,NO
861,33,9.169881E-4,NO
45,62,0.0017089586,NO
259,34,9.169881E-4,NO
278,34,9.169881E-4,NO
451,34,9.169881E-4,NO
561,34,9.169881E-4,NO
629,34,9.169881E-4,NO
702,34,9.169881E-4,YES
727,34,9.169881E-4,NO
872,34,9.169881E-4,NO
52,64,0.0017089586,NO
64,63,0.001672941,NO
523,152,0.004014165,YES
164,35,9.169881E-4,YES
183,35,9.169881E-4,YES
419,35,9.169881E-4,NO
681,35,9.169881E-4,NO
707,35,9.169881E-4,NO
877,35,9.169881E-4,NO
267,59,0.0015093121,NO
170,280,0.0071607935,NO
254,36,9.169881E-4,NO
334,36,9.169881E-4,YES
636,36,9.169881E-4,NO
646,36,9.169881E-4,NO
746,36,9.169881E-4,NO
817,36,9.169881E-4,NO
857,36,9.169881E-4,NO
14,37,9.169881E-4,NO
242,37,9.169881E-4,NO
250,37,9.169881E-4,NO
270,37,9.169881E-4,NO
615,37,9.169881E-4,YES
626,37,9.169881E-4,NO
677,37,9.169881E-4,NO
678,37,9.169881E-4,NO
860,37,9.169881E-4,NO
248,38,9.169881E-4,NO
