ID,Size,Predicted,Actual
98,22,0.99996334,NO
381,24,0.99999994,NO
348,24,0.99776775,NO
833,26,0.9999997,NO
388,27,0.99999994,NO
804,27,0.9999997,NO
746,27,0.9998329,NO
758,27,0.9936597,NO
347,29,0.99776775,NO
376,30,0.99999994,NO
399,30,0.99999994,NO
513,27,0.8776793,NO
678,31,0.9999986,NO
755,32,1.0,NO
380,32,0.99999994,NO
101,32,0.9999903,NO
391,33,0.99999994,NO
927,33,0.9999997,NO
275,29,0.86329836,NO
89,35,1.0,NO
583,35,0.99377286,YES
76,36,1.0,NO
343,37,0.9975099,NO
612,37,0.99377286,NO
650,40,1.0,YES
354,40,0.99921405,NO
349,41,0.9975099,NO
377,42,0.99999994,NO
82,42,0.9999895,NO
77,43,0.99999774,NO
346,43,0.99731195,NO
390,44,0.99999994,NO
217,45,1.0,NO
397,45,0.99999994,NO
398,45,0.99999994,NO
539,46,0.99999964,NO
287,47,0.99999994,NO
395,48,0.99999994,NO
1013,48,0.99995583,NO
707,48,0.9932798,YES
382,50,0.99999994,NO
383,50,0.99999994,NO
582,50,0.9932798,NO
85,48,0.9242688,NO
540,53,0.99999964,NO
342,53,0.99731195,NO
608,54,0.9929808,NO
88,55,1.0,NO
84,55,0.99719185,NO
414,56,1.0,YES
394,56,0.99999994,NO
353,56,0.99911344,NO
834,58,0.99999994,NO
312,58,0.99999964,NO
543,58,0.99998903,YES
524,58,0.99985355,NO
585,59,1.0,YES
375,59,0.99999994,NO
547,59,0.99995387,YES
310,60,0.99999994,NO
514,52,0.8562379,NO
637,52,0.8562379,NO
639,52,0.8562379,NO
268,61,1.0,NO
96,62,1.0,NO
929,62,0.99999964,NO
384,63,0.99999994,NO
215,64,1.0,NO
137,64,0.99999964,NO
245,64,0.99719185,YES
641,64,0.9929808,NO
549,64,0.99203247,NO
91,65,1.0,NO
472,65,0.99987113,NO
747,65,0.99978966,NO
341,65,0.99719185,NO
141,66,0.99999964,NO
146,66,0.99985194,NO
255,66,0.9971609,YES
389,67,0.99999994,NO
164,67,0.9999533,NO
49,24,0.35046193,NO
56,24,0.35046193,NO
92,69,1.0,NO
387,69,0.99999994,NO
795,69,0.99999994,NO
361,69,0.99910367,NO
599,70,0.9999997,NO
345,70,0.9971609,NO
97,71,0.9999889,NO
357,71,0.99910367,NO
