ID,Size,Predicted,Actual
1,22,0.66256064,YES
284,22,0.66256064,YES
836,22,0.66256064,YES
978,22,0.66256064,YES
985,22,0.66256064,YES
1027,22,0.66256064,YES
1029,22,0.66256064,YES
1064,22,0.66256064,YES
1244,22,0.66256064,YES
1382,22,0.66256064,YES
1482,22,0.66256064,YES
1563,22,0.66256064,YES
1622,22,0.66256064,YES
2061,22,0.66256064,YES
1186,23,0.6625204,YES
1187,23,0.6625204,YES
1188,23,0.6625204,YES
1240,23,0.6625204,YES
1344,23,0.6625204,YES
1363,23,0.6625204,YES
1614,23,0.6625204,YES
1615,23,0.6625204,YES
1616,23,0.6625204,YES
1734,23,0.6625204,YES
1754,23,0.6625204,YES
732,24,0.6624807,YES
782,24,0.6624807,YES
799,24,0.6624807,YES
806,24,0.6624807,YES
872,24,0.6624807,YES
877,24,0.6624807,YES
982,24,0.6624807,YES
987,24,0.6624807,YES
1167,24,0.6624807,YES
1243,24,0.6624807,YES
1282,24,0.6624807,YES
1346,24,0.6624807,YES
1364,24,0.6624807,YES
1384,24,0.6624807,YES
1507,24,0.6624807,YES
1570,24,0.6624807,YES
1573,24,0.6624807,YES
1579,24,0.6624807,YES
1580,24,0.6624807,YES
1608,24,0.6624807,YES
1631,24,0.6624807,YES
1632,24,0.6624807,YES
1700,24,0.6624807,YES
1748,24,0.6624807,YES
1986,24,0.6624807,YES
2034,24,0.6624807,YES
2065,24,0.6624807,YES
572,25,0.6624416,YES
599,25,0.6624416,YES
707,25,0.6624416,YES
887,25,0.6624416,YES
983,25,0.6624416,YES
1383,25,0.6624416,YES
1446,25,0.6624416,YES
1489,25,0.6624416,YES
1550,25,0.6624416,YES
1572,25,0.6624416,YES
1705,25,0.6624416,YES
1716,25,0.6624416,YES
1717,25,0.6624416,YES
1731,25,0.6624416,YES
1745,25,0.6624416,YES
1860,25,0.6624416,YES
1977,25,0.6624416,YES
1978,25,0.6624416,YES
2087,25,0.6624416,YES
318,26,0.6624223,YES
417,26,0.6624223,YES
508,26,0.6624223,YES
546,26,0.6624223,YES
609,26,0.6624223,YES
613,26,0.6624223,YES
628,26,0.6624223,YES
668,26,0.6624223,YES
977,26,0.6624223,YES
1011,26,0.6624223,YES
1200,26,0.6624223,YES
1202,26,0.6624223,YES
1203,26,0.6624223,YES
1261,26,0.6624223,YES
1347,26,0.6624223,YES
1427,26,0.6624223,YES
1540,26,0.6624223,YES
1553,26,0.6624223,YES
1574,26,0.6624223,YES
1582,26,0.6624223,YES
1605,26,0.6624223,YES
1612,26,0.6624223,YES
1633,26,0.6624223,YES
1706,26,0.6624223,YES
1719,26,0.6624223,YES
1727,26,0.6624223,YES
1729,26,0.6624223,YES
1737,26,0.6624223,YES
1740,26,0.6624223,YES
1744,26,0.6624223,YES
1851,26,0.6624223,YES
1873,26,0.6624223,YES
305,27,0.66238403,YES
493,27,0.66238403,YES
584,27,0.66238403,YES
586,27,0.66238403,YES
768,27,0.66238403,YES
789,27,0.66238403,YES
842,27,0.66238403,YES
867,27,0.66238403,YES
988,27,0.66238403,YES
1264,27,0.66238403,YES
1424,27,0.66238403,YES
1531,27,0.66238403,YES
1673,27,0.66238403,YES
1688,27,0.66238403,YES
1749,27,0.66238403,YES
1819,27,0.66238403,YES
1822,27,0.66238403,YES
1859,27,0.66238403,YES
2043,27,0.66238403,YES
291,28,0.66234636,YES
300,28,0.66234636,YES
302,28,0.66234636,YES
374,28,0.66234636,YES
521,28,0.66234636,YES
589,28,0.66234636,YES
626,28,0.66234636,YES
756,28,0.66234636,YES
919,28,0.66234636,YES
994,28,0.66234636,YES
1201,28,0.66234636,YES
1393,28,0.66234636,YES
1571,28,0.66234636,YES
1724,28,0.66234636,YES
1776,28,0.66234636,YES
2086,28,0.66234636,YES
243,29,0.6623093,YES
353,29,0.6623093,YES
409,29,0.6623093,YES
511,29,0.6623093,YES
522,29,0.6623093,YES
544,29,0.6623093,YES
577,29,0.6623093,YES
731,29,0.6623093,YES
766,29,0.6623093,YES
1306,29,0.6623093,YES
1368,29,0.6623093,YES
1372,29,0.6623093,YES
1381,29,0.6623093,YES
1417,29,0.6623093,YES
1546,29,0.6623093,YES
1548,29,0.6623093,YES
1549,29,0.6623093,YES
1619,29,0.6623093,YES
1661,29,0.6623093,YES
1666,29,0.6623093,YES
1683,29,0.6623093,YES
2048,29,0.6623093,YES
2172,29,0.6623093,YES
