ID,Size,Predicted,Actual
227,88,0.99974555,NO
232,95,0.99974555,YES
219,97,0.99974597,NO
229,97,0.99974555,YES
231,101,0.99974555,YES
210,78,0.7598008,YES
230,103,0.99974597,YES
15,78,0.7533013,YES
226,58,0.55672824,NO
216,80,0.7598008,NO
209,80,0.7577423,NO
142,106,0.99974597,YES
111,81,0.7598008,NO
311,82,0.7615006,NO
218,82,0.7598008,NO
213,83,0.7577423,NO
128,112,0.9997431,YES
293,65,0.56771165,YES
223,65,0.55672824,NO
235,89,0.7615006,NO
225,117,1.0,NO
773,66,0.55903107,NO
141,90,0.7595176,NO
206,67,0.55672824,NO
134,92,0.7598008,YES
431,94,0.7675741,YES
139,93,0.7577423,YES
140,69,0.55634546,NO
397,96,0.7675741,YES
126,95,0.7577423,YES
214,70,0.55672824,YES
409,94,0.7427833,YES
224,127,1.0,NO
495,95,0.7427833,YES
603,131,0.9997389,NO
392,98,0.7427833,YES
112,132,1.0,NO
215,74,0.55672824,NO
332,99,0.7427833,YES
7,134,1.0,NO
130,75,0.55672824,NO
217,75,0.55672824,YES
114,76,0.55672824,NO
211,76,0.55672824,YES
127,76,0.5539511,YES
429,104,0.7427833,YES
110,143,1.0,NO
427,108,0.7427833,YES
113,146,1.0,NO
120,150,1.0,NO
421,152,0.9997543,YES
121,153,1.0,NO
419,154,1.0,NO
339,155,0.99972177,YES
337,157,0.9997464,YES
417,157,0.99972177,YES
136,161,1.0,YES
335,165,0.99972177,YES
333,166,0.99972177,YES
149,167,0.99974835,YES
390,125,0.7427833,YES
539,184,0.99973685,NO
124,190,1.0,NO
123,193,1.0,NO
196,194,0.9997543,YES
430,209,1.0,YES
389,219,1.0,YES
119,220,1.0,NO
129,240,1.0,YES
52,242,1.0,YES
87,280,1.0,YES
426,281,1.0,YES
396,284,0.99999636,YES
109,289,1.0,NO
208,294,1.0,YES
394,296,1.0,YES
292,299,0.995881,YES
56,250,0.8322114,YES
236,304,1.0,NO
256,253,0.8315606,YES
116,306,1.0,NO
464,260,0.81410366,YES
212,323,1.0,YES
122,330,1.0,NO
341,337,0.9960601,YES
393,343,1.0,YES
391,346,1.0,YES
238,351,0.9960601,YES
199,241,0.6324869,YES
305,387,1.0,YES
155,243,0.61822367,YES
260,394,0.9998431,NO
89,334,0.8322114,NO
586,253,0.62688035,NO
265,405,1.0,YES
263,405,0.999999,YES
273,405,0.999999,YES
285,405,0.999999,YES
291,405,0.999999,YES
288,406,0.999999,YES
115,420,1.0,NO
282,421,1.0,YES
759,425,0.9997671,YES
243,445,0.999999,YES
251,447,0.9998431,NO
378,448,0.9998341,YES
160,284,0.6324869,YES
272,457,1.0,YES
271,462,0.9999989,YES
186,281,0.60644114,YES
279,387,0.82521707,YES
479,383,0.81410366,YES
9,246,0.51972854,NO
36,252,0.51972854,NO
595,498,1.0,YES
278,498,0.999999,YES
274,506,0.999999,YES
283,506,0.999999,YES
266,513,0.999999,YES
296,513,0.999999,YES
298,513,0.999999,YES
295,515,0.999999,YES
560,521,0.9998431,NO
302,532,1.0,YES
602,542,0.999999,YES
301,553,1.0,YES
290,555,1.0,YES
757,289,0.51972854,NO
286,560,1.0,YES
480,314,0.51972854,YES
544,370,0.6076367,YES
325,627,1.0,YES
287,631,1.0,YES
767,359,0.5457248,NO
610,377,0.57246035,NO
294,663,1.0,YES
269,672,1.0,YES
572,351,0.51972854,NO
37,368,0.51972854,NO
268,713,1.0,YES
277,713,1.0,YES
606,375,0.51972854,NO
760,733,1.0,NO
252,382,0.51972854,NO
304,795,1.0,YES
284,800,1.0,YES
300,802,1.0,YES
612,815,1.0,YES
270,851,1.0,YES
280,914,1.0,YES
297,916,1.0,YES
281,921,1.0,YES
264,982,1.0,YES
222,25,0.024276324,NO
131,26,0.024239613,NO
207,27,0.024239613,NO
86,29,0.025317837,NO
303,1181,1.0,YES
309,1207,1.0,YES
299,1210,1.0,YES
91,31,0.025317837,NO
117,31,0.024276324,NO
306,1279,1.0,YES
275,1328,1.0,YES
138,32,0.02390255,NO
320,32,0.02390255,NO
132,33,0.02390255,NO
267,1389,1.0,YES
334,31,0.022209393,YES
336,31,0.022209393,YES
489,87,0.061493535,NO
108,88,0.061404083,NO
240,32,0.022209393,YES
574,37,0.025317837,NO
107,90,0.061404083,NO
237,1503,1.0,YES
597,34,0.022209393,YES
338,83,0.054111052,YES
608,84,0.054111052,YES
106,97,0.061404083,NO
221,38,0.024011353,NO
118,14,0.008559147,NO
511,37,0.022209393,YES
135,40,0.02390255,NO
137,40,0.02390255,NO
228,40,0.02390255,NO
85,44,0.025317837,NO
90,46,0.025317837,NO
401,41,0.022209393,YES
404,41,0.022209393,YES
233,16,0.008545995,YES
402,42,0.022209393,YES
133,46,0.024011353,NO
55,49,0.025317837,NO
509,49,0.025317837,NO
220,47,0.024276324,NO
398,43,0.022209393,YES
413,120,0.061404083,YES
428,44,0.022209393,YES
143,48,0.024011353,YES
406,45,0.022209393,YES
