ID,Size,Predicted,Actual
1925,424,0.993246,NO
1593,256,0.587998,NO
1971,299,0.5919546,YES
1200,22,0.04245451,NO
1,22,0.04237352,YES
316,22,0.04237352,NO
870,22,0.04237352,NO
1010,22,0.04237352,NO
1017,22,0.04237352,NO
1059,22,0.04237352,NO
1061,22,0.04237352,NO
1097,22,0.04237352,NO
1278,22,0.04237352,NO
1416,22,0.04237352,NO
1517,22,0.04237352,NO
1599,22,0.04237352,NO
1658,22,0.04237352,NO
2097,22,0.04237352,NO
1219,23,0.04237352,NO
1221,23,0.04237352,NO
1222,23,0.04237352,NO
1274,23,0.04237352,NO
1378,23,0.04237352,NO
1397,23,0.04237352,NO
1650,23,0.04237352,NO
1651,23,0.04237352,NO
1652,23,0.04237352,NO
1770,23,0.04237352,NO
1790,23,0.04237352,NO
62,504,0.91609585,YES
766,24,0.04237352,NO
816,24,0.04237352,YES
833,24,0.04237352,NO
840,24,0.04237352,NO
906,24,0.04237352,NO
911,24,0.04237352,NO
1014,24,0.04237352,NO
1019,24,0.04237352,NO
1277,24,0.04237352,NO
1316,24,0.04237352,NO
1380,24,0.04237352,NO
1398,24,0.04237352,NO
1418,24,0.04237352,NO
1542,24,0.04237352,NO
1606,24,0.04237352,NO
1609,24,0.04237352,NO
1615,24,0.04237352,NO
1616,24,0.04237352,NO
1644,24,0.04237352,NO
1667,24,0.04237352,NO
1668,24,0.04237352,NO
1736,24,0.04237352,NO
1784,24,0.04237352,NO
2031,24,0.04237352,NO
2070,24,0.04237352,NO
2101,24,0.04237352,NO
1220,25,0.04245451,NO
606,25,0.04237352,NO
633,25,0.04237352,NO
741,25,0.04237352,YES
921,25,0.04237352,NO
1015,25,0.04237352,NO
1417,25,0.04237352,NO
1480,25,0.04237352,NO
1524,25,0.04237352,NO
1585,25,0.04237352,NO
1608,25,0.04237352,NO
1741,25,0.04237352,NO
1752,25,0.04237352,NO
1753,25,0.04237352,NO
1767,25,0.04237352,NO
1781,25,0.04237352,NO
1897,25,0.04237352,NO
2022,25,0.04237352,NO
2023,25,0.04237352,NO
2123,25,0.04237352,NO
702,26,0.043590445,YES
350,26,0.04237352,YES
450,26,0.04237352,NO
541,26,0.04237352,NO
582,26,0.04237352,NO
643,26,0.04237352,NO
647,26,0.04237352,NO
662,26,0.04237352,NO
1009,26,0.04237352,NO
1043,26,0.04237352,NO
1234,26,0.04237352,NO
1236,26,0.04237352,NO
1237,26,0.04237352,NO
1295,26,0.04237352,NO
1381,26,0.04237352,NO
1461,26,0.04237352,NO
1575,26,0.04237352,NO
1610,26,0.04237352,NO
1618,26,0.04237352,NO
1641,26,0.04237352,NO
1648,26,0.04237352,NO
1669,26,0.04237352,NO
1742,26,0.04237352,NO
1755,26,0.04237352,NO
1763,26,0.04237352,NO
1765,26,0.04237352,NO
1773,26,0.04237352,NO
1776,26,0.04237352,NO
1780,26,0.04237352,NO
1888,26,0.04237352,NO
1911,26,0.04237352,NO
802,27,0.043590445,YES
337,27,0.04237352,YES
526,27,0.04237352,NO
618,27,0.04237352,NO
620,27,0.04237352,NO
823,27,0.04237352,YES
876,27,0.04237352,NO
901,27,0.04237352,NO
1020,27,0.04237352,NO
1298,27,0.04237352,NO
1458,27,0.04237352,NO
1566,27,0.04237352,NO
1709,27,0.04237352,NO
1724,27,0.04237352,NO
1785,27,0.04237352,NO
1856,27,0.04237352,NO
1859,27,0.04237352,NO
1896,27,0.04237352,NO
2079,27,0.04237352,NO
790,28,0.043590445,YES
953,28,0.043590445,NO
323,28,0.04237352,YES
332,28,0.04237352,YES
334,28,0.04237352,YES
406,28,0.04237352,NO
556,28,0.04237352,NO
623,28,0.04237352,NO
660,28,0.04237352,NO
1026,28,0.04237352,NO
1235,28,0.04237352,NO
1427,28,0.04237352,NO
1607,28,0.04237352,NO
1760,28,0.04237352,NO
1812,28,0.04237352,NO
2122,28,0.04237352,NO
557,29,0.043590445,NO
800,29,0.043590445,YES
2158,391,0.5737159,YES
39,29,0.04237352,NO
275,29,0.04237352,NO
385,29,0.04237352,YES
442,29,0.04237352,NO
545,29,0.04237352,NO
580,29,0.04237352,NO
611,29,0.04237352,NO
765,29,0.04237352,NO
1340,29,0.04237352,NO
1402,29,0.04237352,NO
1406,29,0.04237352,NO
1415,29,0.04237352,NO
1451,29,0.04237352,NO
1581,29,0.04237352,NO
1583,29,0.04237352,NO
1584,29,0.04237352,NO
1655,29,0.04237352,NO
1697,29,0.04237352,NO
1702,29,0.04237352,NO
1719,29,0.04237352,NO
2084,29,0.04237352,NO
2219,29,0.04237352,NO
126,30,0.04237352,YES
194,30,0.04237352,NO
336,30,0.04237352,YES
384,30,0.04237352,YES
648,30,0.04237352,NO
811,30,0.04237352,YES
865,30,0.04237352,NO
1057,30,0.04237352,NO
1072,30,0.04237352,NO
1242,30,0.04237352,NO
1255,30,0.04237352,NO
1275,30,0.04237352,YES
1284,30,0.04237352,NO
1422,30,0.04237352,NO
1428,30,0.04237352,NO
1462,30,0.04237352,NO
1463,30,0.04237352,NO
1466,30,0.04237352,NO
1473,30,0.04237352,NO
1633,30,0.04237352,NO
1766,30,0.04237352,NO
1796,30,0.04237352,NO
980,31,0.043590445,NO
238,31,0.04237352,YES
340,31,0.04237352,YES
438,31,0.04237352,NO
456,31,0.04237352,NO
645,31,0.04237352,NO
657,31,0.04237352,NO
846,31,0.04237352,YES
907,31,0.04237352,NO
908,31,0.04237352,NO
998,31,0.04237352,NO
1226,31,0.04237352,NO
1240,31,0.04237352,NO
1253,31,0.04237352,NO
1283,31,0.04237352,NO
1285,31,0.04237352,NO
1287,31,0.04237352,NO
1367,31,0.04237352,NO
1400,31,0.04237352,NO
1403,31,0.04237352,NO
1460,31,0.04237352,NO
1518,31,0.04237352,NO
1562,31,0.04237352,NO
1619,31,0.04237352,NO
1643,31,0.04237352,NO
1662,31,0.04237352,NO
1665,31,0.04237352,NO
1717,31,0.04237352,NO
1738,31,0.04237352,NO
1761,31,0.04237352,NO
1909,31,0.04237352,NO
2000,31,0.04237352,NO
2027,31,0.04237352,NO
2028,31,0.04237352,NO
2029,31,0.04237352,NO
2037,31,0.04237352,NO
2077,31,0.04237352,NO
2085,31,0.04237352,NO
2119,31,0.04237352,NO
578,32,0.043590445,NO
797,32,0.043590445,YES
947,32,0.043590445,NO
957,32,0.043590445,NO
962,32,0.043590445,NO
2163,32,0.042531107,NO
171,32,0.04237352,NO
207,32,0.04237352,NO
318,32,0.04237352,NO
398,32,0.04237352,YES
424,32,0.04237352,NO
437,32,0.04237352,NO
461,32,0.04237352,NO
496,32,0.04237352,NO
515,32,0.04237352,NO
639,32,0.04237352,NO
763,32,0.04237352,NO
815,32,0.04237352,YES
995,32,0.04237352,NO
1004,32,0.04237352,NO
1288,32,0.04237352,NO
1391,32,0.04237352,YES
1392,32,0.04237352,YES
1393,32,0.04237352,YES
1394,32,0.04237352,YES
1457,32,0.04237352,NO
1591,32,0.04237352,NO
1639,32,0.04237352,NO
1640,32,0.04237352,NO
1795,32,0.04237352,NO
1799,32,0.04237352,NO
1836,32,0.04237352,NO
2013,32,0.04237352,NO
2026,32,0.04237352,NO
2075,32,0.04237352,NO
2155,33,0.043590445,NO
335,33,0.04237352,YES
339,33,0.04237352,YES
509,33,0.04237352,NO
826,33,0.04237352,YES
913,33,0.04237352,NO
1065,33,0.04237352,YES
1080,33,0.04237352,NO
1465,33,0.04237352,NO
1488,33,0.04237352,NO
1491,33,0.04237352,NO
1519,33,0.04237352,NO
1580,33,0.04237352,NO
1605,33,0.04237352,NO
1632,33,0.04237352,NO
1653,33,0.04237352,NO
1737,33,0.04237352,NO
1768,33,0.04237352,NO
1798,33,0.04237352,NO
1997,33,0.04237352,NO
2024,33,0.04237352,NO
950,34,0.043590445,NO
44,466,0.5833297,YES
343,34,0.04237352,YES
537,34,0.04237352,NO
640,34,0.04237352,NO
661,34,0.04237352,NO
720,34,0.04237352,YES
830,34,0.04237352,NO
910,34,0.04237352,NO
1271,34,0.04237352,NO
1401,34,0.04237352,NO
1459,34,0.04237352,NO
1492,34,0.04237352,NO
1495,34,0.04237352,NO
1809,34,0.04237352,NO
710,35,0.043590445,YES
794,35,0.043590445,YES
1939,470,0.58287203,YES
1068,38,0.046643183,YES
2164,35,0.042531107,NO
1597,36,0.043590445,NO
223,35,0.04237352,YES
266,35,0.04237352,YES
308,35,0.04237352,NO
349,35,0.04237352,YES
419,35,0.04237352,NO
538,35,0.04237352,NO
581,35,0.04237352,NO
725,35,0.04237352,YES
807,35,0.04237352,YES
888,35,0.04237352,NO
909,35,0.04237352,NO
912,35,0.04237352,NO
1013,35,0.04237352,NO
1387,35,0.04237352,NO
1389,35,0.04237352,NO
1467,35,0.04237352,NO
1485,35,0.04237352,NO
1486,35,0.04237352,NO
1656,35,0.04237352,NO
1677,35,0.04237352,NO
1814,35,0.04237352,NO
1908,35,0.04237352,NO
2034,35,0.04237352,NO
566,39,0.046643183,YES
64,36,0.04294832,YES
1092,36,0.04287559,NO
243,36,0.04245451,YES
2153,37,0.043590445,NO
235,36,0.04237352,YES
237,36,0.04237352,YES
259,36,0.04237352,YES
410,36,0.04237352,NO
439,36,0.04237352,NO
447,36,0.04237352,NO
587,36,0.04237352,YES
635,36,0.04237352,NO
711,36,0.04237352,YES
736,36,0.04237352,YES
843,36,0.04237352,NO
997,36,0.04237352,NO
1028,36,0.04237352,NO
1030,36,0.04237352,NO
1040,36,0.04237352,NO
1405,36,0.04237352,NO
1469,36,0.04237352,NO
1487,36,0.04237352,NO
1501,36,0.04237352,NO
1579,36,0.04237352,NO
1594,36,0.04237352,NO
1664,36,0.04237352,NO
1671,36,0.04237352,NO
1682,36,0.04237352,NO
1794,36,0.04237352,NO
2011,36,0.04237352,NO
2016,36,0.04237352,YES
66,37,0.04294832,YES
788,38,0.043590445,YES
1596,38,0.043590445,NO
1598,38,0.043590445,NO
152,37,0.04237352,NO
338,37,0.04237352,YES
653,37,0.04237352,NO
714,37,0.04237352,YES
721,37,0.04237352,YES
831,37,0.04237352,NO
904,37,0.04237352,NO
927,37,0.04237352,NO
1025,37,0.04237352,NO
1286,37,0.04237352,YES
1438,37,0.04237352,NO
1455,37,0.04237352,NO
1555,37,0.04237352,NO
1565,37,0.04237352,NO
1660,37,0.04237352,NO
1680,37,0.04237352,NO
1848,37,0.04237352,YES
2032,37,0.04237352,NO
2086,37,0.04237352,NO
1923,203,0.22938289,YES
277,38,0.04237352,NO
529,38,0.04237352,NO
619,38,0.04237352,NO
627,38,0.04237352,NO
629,38,0.04237352,NO
684,38,0.04237352,YES
740,38,0.04237352,YES
873,38,0.04237352,YES
1207,38,0.04237352,NO
1272,38,0.04237352,NO
1282,38,0.04237352,NO
1404,38,0.04237352,NO
1426,38,0.04237352,NO
1447,38,0.04237352,NO
1540,38,0.04237352,NO
1545,38,0.04237352,NO
1645,38,0.04237352,NO
1676,38,0.04237352,NO
1679,38,0.04237352,NO
1694,38,0.04237352,NO
1715,38,0.04237352,NO
1720,38,0.04237352,NO
1748,38,0.04237352,NO
1866,38,0.04237352,NO
1914,38,0.04237352,NO
803,40,0.043474343,YES
1663,40,0.043474343,YES
111,39,0.04237352,NO
353,39,0.04237352,YES
675,39,0.04237352,YES
729,39,0.04237352,YES
760,39,0.04237352,NO
829,39,0.04237352,NO
832,39,0.04237352,NO
847,39,0.04237352,YES
856,39,0.04237352,NO
864,39,0.04237352,NO
924,39,0.04237352,NO
1214,39,0.04237352,NO
1215,39,0.04237352,NO
1273,39,0.04237352,NO
1292,39,0.04237352,YES
1453,39,0.04237352,NO
1529,39,0.04237352,NO
1532,39,0.04237352,NO
1703,39,0.04237352,NO
1721,39,0.04237352,NO
1764,39,0.04237352,NO
1935,39,0.04237352,YES
1992,39,0.04237352,NO
2047,39,0.04237352,NO
2049,39,0.04237352,NO
1331,43,0.04618603,NO
709,41,0.043474343,YES
981,41,0.043474343,NO
1855,40,0.0423413,NO
11,40,0.042260513,YES
73,40,0.042260513,YES
109,40,0.042260513,NO
229,40,0.042260513,YES
392,40,0.042260513,YES
395,40,0.042260513,YES
397,40,0.042260513,YES
429,40,0.042260513,NO
460,40,0.042260513,NO
512,40,0.042260513,NO
514,40,0.042260513,NO
528,40,0.042260513,NO
649,40,0.042260513,NO
670,40,0.042260513,NO
1210,40,0.042260513,NO
1211,40,0.042260513,NO
1212,40,0.042260513,NO
1306,40,0.042260513,NO
1379,40,0.042260513,NO
1464,40,0.042260513,NO
1711,40,0.042260513,NO
1723,40,0.042260513,NO
1826,40,0.042260513,NO
1829,40,0.042260513,NO
1984,40,0.042260513,NO
2004,40,0.042260513,YES
2010,40,0.042260513,YES
2057,40,0.042260513,NO
2212,40,0.042260513,YES
951,42,0.043474343,NO
959,42,0.043474343,NO
1841,45,0.046487566,NO
561,41,0.0423413,YES
327,41,0.042260513,YES
354,41,0.042260513,YES
607,41,0.042260513,NO
621,41,0.042260513,NO
659,41,0.042260513,NO
712,41,0.042260513,YES
767,41,0.042260513,NO
775,41,0.042260513,NO
1016,41,0.042260513,NO
1209,41,0.042260513,NO
1409,41,0.042260513,NO
1433,41,0.042260513,NO
1481,41,0.042260513,NO
1674,41,0.042260513,NO
1762,41,0.042260513,NO
1797,41,0.042260513,YES
1868,41,0.042260513,NO
1928,41,0.042260513,NO
2039,41,0.042260513,YES
2046,41,0.042260513,NO
2048,41,0.042260513,NO
2098,41,0.042260513,NO
2150,41,0.042260513,NO
1337,45,0.04618603,NO
708,43,0.043474343,YES
2239,43,0.043474343,YES
1588,46,0.046487566,NO
41,42,0.042417698,NO
222,42,0.042260513,YES
280,42,0.042260513,NO
288,42,0.042260513,NO
300,42,0.042260513,NO
423,42,0.042260513,NO
504,42,0.042260513,NO
579,42,0.042260513,NO
613,42,0.042260513,NO
897,42,0.042260513,NO
1217,42,0.042260513,NO
1250,42,0.042260513,NO
1335,42,0.042260513,NO
1407,42,0.042260513,NO
1531,42,0.042260513,NO
1539,42,0.042260513,NO
1688,42,0.042260513,NO
1712,42,0.042260513,NO
1822,42,0.042260513,NO
1834,42,0.042260513,NO
1339,46,0.04618603,NO
65,43,0.042833854,YES
697,44,0.043474343,YES
37,43,0.042417698,NO
1972,233,0.22938289,YES
298,43,0.042260513,NO
302,43,0.042260513,NO
380,43,0.042260513,YES
508,43,0.042260513,NO
543,43,0.042260513,NO
615,43,0.042260513,NO
630,43,0.042260513,NO
764,43,0.042260513,NO
806,43,0.042260513,YES
1077,43,0.042260513,NO
1198,43,0.042260513,NO
1248,43,0.042260513,NO
1420,43,0.042260513,NO
1449,43,0.042260513,NO
1499,43,0.042260513,NO
1536,43,0.042260513,NO
1831,43,0.042260513,NO
1833,43,0.042260513,NO
1864,43,0.042260513,NO
