ID,Size,Predicted,Actual
1,22,0.36240414,NO
284,22,0.36240414,NO
836,22,0.36240414,NO
978,22,0.36240414,NO
985,22,0.36240414,NO
1027,22,0.36240414,NO
1029,22,0.36240414,NO
1064,22,0.36240414,NO
1244,22,0.36240414,NO
1382,22,0.36240414,NO
1482,22,0.36240414,NO
1563,22,0.36240414,NO
1622,22,0.36240414,NO
2061,22,0.36240414,NO
1186,23,0.36240414,NO
1187,23,0.36240414,NO
1188,23,0.36240414,NO
1240,23,0.36240414,NO
1344,23,0.36240414,NO
1363,23,0.36240414,NO
1614,23,0.36240414,NO
1615,23,0.36240414,NO
1616,23,0.36240414,NO
1734,23,0.36240414,NO
1754,23,0.36240414,NO
732,24,0.36240414,NO
782,24,0.36240414,NO
799,24,0.36240414,NO
806,24,0.36240414,NO
872,24,0.36240414,NO
877,24,0.36240414,NO
982,24,0.36240414,NO
987,24,0.36240414,NO
1167,24,0.36240414,NO
1243,24,0.36240414,NO
1282,24,0.36240414,NO
1346,24,0.36240414,NO
1364,24,0.36240414,NO
1384,24,0.36240414,NO
1507,24,0.36240414,NO
1570,24,0.36240414,NO
1573,24,0.36240414,NO
1579,24,0.36240414,NO
1580,24,0.36240414,NO
1608,24,0.36240414,NO
1631,24,0.36240414,NO
1632,24,0.36240414,NO
1700,24,0.36240414,NO
1748,24,0.36240414,NO
1986,24,0.36240414,NO
2034,24,0.36240414,NO
2065,24,0.36240414,NO
572,25,0.36240414,NO
599,25,0.36240414,NO
707,25,0.36240414,NO
887,25,0.36240414,NO
983,25,0.36240414,NO
1383,25,0.36240414,NO
1446,25,0.36240414,NO
1489,25,0.36240414,NO
1550,25,0.36240414,NO
1572,25,0.36240414,NO
1705,25,0.36240414,NO
1716,25,0.36240414,NO
1717,25,0.36240414,NO
1731,25,0.36240414,NO
1745,25,0.36240414,NO
1860,25,0.36240414,NO
1977,25,0.36240414,NO
1978,25,0.36240414,NO
2087,25,0.36240414,NO
318,26,0.36240414,NO
417,26,0.36240414,NO
508,26,0.36240414,NO
546,26,0.36240414,NO
609,26,0.36240414,NO
613,26,0.36240414,NO
628,26,0.36240414,NO
668,26,0.36240414,NO
977,26,0.36240414,NO
1011,26,0.36240414,NO
