ID,Size,Predicted,Actual
24,8,0.07714069,NO
10,9,0.07714069,NO
23,9,0.07714069,NO
1,11,0.07714069,NO
21,14,0.07714069,NO
12,19,0.07714069,NO
27,19,0.07714069,NO
29,20,0.07714069,NO
14,21,0.07714069,NO
18,22,0.07714069,NO
16,23,0.07714069,NO
25,23,0.07714069,NO
4,12,0.038616735,NO
5,32,0.07714069,NO
13,34,0.07714069,NO
15,35,0.07714069,NO
20,37,0.07714069,NO
28,41,0.07714069,NO
26,42,0.07714069,NO
31,45,0.07714069,NO
9,47,0.07714069,NO
6,30,0.038616735,NO
11,232,0.2729222,NO
3,77,0.09010964,NO
7,173,0.19118956,NO
30,257,0.2729222,NO
17,98,0.09010964,NO
19,99,0.09010964,NO
0,63,0.045427825,NO
2,128,0.09010964,NO
32,153,0.09010964,NO
22,85,0.045427825,NO
8,168,0.045427825,NO
33,39,1.3939646E-4,NO
34,52,7.635425E-10,NO
35,110,9.046225E-10,NO
