ID,Size,Predicted,Actual
125,5,1.0,YES
489,20,1.0,NO
133,26,0.9492458,NO
152,26,0.9492458,NO
48,29,1.0,NO
47,30,1.0,NO
278,30,1.0,NO
52,31,1.0,NO
250,31,1.0,YES
252,31,1.0,YES
279,31,1.0,NO
281,31,1.0,NO
86,29,0.93235064,NO
147,31,0.9930214,NO
57,32,1.0,NO
167,32,1.0,YES
282,32,1.0,NO
424,32,1.0,NO
87,14,0.4249937,NO
512,34,1.0,YES
680,34,1.0,NO
132,34,0.9930214,NO
151,34,0.9930214,NO
362,35,1.0,NO
425,35,1.0,NO
82,27,0.74689573,NO
166,36,0.9919304,YES
426,37,1.0,YES
78,35,0.9323666,YES
96,35,0.9323666,NO
280,38,1.0,NO
54,40,1.0,NO
56,40,1.0,NO
65,40,1.0,NO
75,40,0.9930788,YES
93,40,0.9930788,NO
317,41,1.0,YES
320,41,1.0,YES
149,41,0.9988142,NO
150,28,0.68144923,NO
318,42,1.0,YES
73,42,0.9988145,NO
91,40,0.9323666,NO
43,43,1.0,NO
314,43,1.0,YES
246,43,0.9999991,YES
344,44,1.0,YES
322,45,1.0,YES
332,46,1.0,YES
80,46,0.9988145,NO
81,46,0.9988145,NO
98,46,0.9988145,NO
99,46,0.9988145,NO
74,32,0.6815042,NO
92,32,0.6815042,NO
131,32,0.68144923,NO
311,47,1.0,YES
481,47,1.0,YES
676,47,1.0,YES
27,48,1.0,YES
41,48,1.0,NO
84,48,0.99992937,YES
130,48,0.99992895,YES
168,49,0.9915585,YES
319,50,1.0,YES
94,50,0.99992955,NO
76,51,0.99992955,YES
50,52,1.0,YES
110,52,1.0,YES
71,52,0.99999744,NO
83,12,0.22980322,NO
119,36,0.67788255,NO
521,53,0.9915585,YES
97,54,1.0,NO
259,54,1.0,YES
89,54,0.99999744,NO
79,55,1.0,YES
316,55,1.0,YES
327,56,1.0,YES
61,57,1.0,NO
146,57,1.0,NO
261,57,0.99999994,YES
334,57,0.9919304,YES
335,57,0.9919304,YES
3,58,0.99998534,NO
63,59,1.0,NO
505,59,0.9999994,YES
321,59,0.9915585,YES
486,60,1.0,NO
682,60,1.0,NO
157,55,0.9066623,NO
350,61,1.0,NO
154,56,0.9066623,NO
351,64,1.0,NO
494,65,0.9999992,YES
260,66,0.9921525,YES
352,68,1.0,NO
38,69,1.0,YES
49,69,1.0,NO
116,69,1.0,NO
2,68,0.9742135,NO
60,70,1.0,NO
62,70,1.0,NO
337,70,1.0,YES
339,70,0.9919304,YES
104,71,1.0,YES
243,71,1.0,YES
19,70,0.9742135,NO
148,70,0.9742135,NO
103,73,1.0,YES
256,74,1.0,YES
511,74,1.0,NO
431,76,0.99843156,NO
39,77,1.0,YES
328,77,1.0,YES
330,77,1.0,YES
0,78,0.99843156,YES
58,79,1.0,NO
102,80,1.0,NO
283,80,0.99999434,NO
331,80,0.9919304,YES
59,81,1.0,NO
77,81,1.0,YES
95,81,1.0,NO
687,82,1.0,NO
284,82,0.999995,NO
40,83,1.0,YES
88,83,1.0,NO
90,83,1.0,NO
254,83,1.0,YES
522,84,1.0,YES
42,85,1.0,NO
26,85,0.9999493,NO
70,86,1.0,NO
105,86,1.0,NO
159,86,1.0,NO
347,86,1.0,YES
