ID,Size,Predicted,Actual
520,375,0.9808723,NO
524,377,0.9803188,NO
179,382,0.9808723,NO
394,383,0.9814715,YES
187,383,0.9808723,NO
241,384,0.9816073,YES
197,389,0.9814789,YES
196,402,0.9808723,YES
673,425,0.9992049,YES
170,423,0.9818326,YES
217,433,0.9992049,YES
178,436,0.9992049,NO
203,436,0.9992049,YES
204,335,0.76543576,YES
212,336,0.76543576,YES
199,441,0.9992049,YES
207,441,0.9992049,YES
309,343,0.77431595,NO
192,443,0.9992049,YES
218,443,0.9992049,YES
220,443,0.9992049,YES
165,345,0.77488023,YES
191,344,0.7712824,YES
294,448,0.99923056,YES
307,346,0.7712824,NO
190,344,0.76543576,YES
198,344,0.76543576,YES
209,344,0.76543576,YES
214,344,0.76543576,YES
223,452,0.99923056,YES
487,351,0.76543576,NO
681,359,0.7725302,NO
459,359,0.76543576,YES
222,478,0.9999792,YES
210,479,0.9999792,YES
35,368,0.7601726,NO
510,498,0.9999803,NO
475,510,0.9999792,NO
517,536,0.99999964,YES
211,549,0.99999964,YES
216,565,0.99999964,YES
194,614,1.0,YES
202,625,1.0,YES
221,676,1.0,YES
208,679,1.0,YES
205,695,1.0,YES
224,722,1.0,YES
674,722,1.0,NO
195,723,1.0,YES
219,772,1.0,YES
526,813,1.0,YES
206,824,1.0,YES
200,1079,1.0,YES
227,1101,1.0,YES
342,281,0.25420952,NO
312,284,0.25420952,YES
225,1124,1.0,YES
193,1127,1.0,YES
671,289,0.25050405,NO
310,296,0.25050405,NO
257,301,0.25420952,YES
395,314,0.25183704,YES
85,317,0.25293925,YES
164,1424,1.0,YES
125,5,0.0033223166,YES
201,2346,1.0,YES
83,12,0.0033362005,NO
87,14,0.0033362005,NO
53,233,0.04933941,YES
393,225,0.04749948,YES
156,241,0.049931534,YES
113,243,0.04933941,YES
501,249,0.04933941,NO
215,241,0.04749948,YES
183,253,0.049008038,YES
341,261,0.04962576,YES
379,260,0.04933941,YES
8,246,0.04620056,NO
34,252,0.04620056,NO
118,273,0.048988875,YES
144,268,0.04620056,YES
489,20,0.0033362005,NO
181,22,0.0031741238,NO
269,22,0.0031741238,NO
272,22,0.0031741238,NO
383,22,0.0031741238,NO
390,22,0.0031741238,NO
445,22,0.0031741238,NO
458,22,0.0031741238,NO
546,22,0.0031741238,NO
268,23,0.0031741238,NO
353,23,0.0031741238,NO
368,23,0.0031741238,NO
540,23,0.0031741238,NO
541,23,0.0031741238,NO
542,23,0.0031741238,NO
641,23,0.0031741238,NO
661,23,0.0031741238,NO
271,24,0.0031741238,NO
369,24,0.0031741238,NO
385,24,0.0031741238,NO
413,24,0.0031741238,NO
467,24,0.0031741238,NO
493,24,0.0031741238,NO
534,24,0.0031741238,NO
548,24,0.0031741238,NO
608,24,0.0031741238,NO
655,24,0.0031741238,NO
652,25,0.0023659011,NO
291,25,0.0022896177,NO
292,25,0.0022896177,NO
355,25,0.0022896177,NO
384,25,0.0022896177,NO
397,25,0.0022896177,NO
453,25,0.0022896177,NO
461,25,0.0022896177,NO
463,25,0.0022896177,NO
464,25,0.0022896177,NO
468,25,0.0022896177,NO
539,25,0.0022896177,NO
547,25,0.0022896177,NO
613,25,0.0022896177,NO
623,25,0.0022896177,NO
624,25,0.0022896177,NO
638,25,0.0022896177,NO
133,26,0.0023649305,NO
152,26,0.0023649305,NO
82,27,0.0024066388,NO
106,25,0.0022241187,NO
138,25,0.0022241187,NO
356,26,0.0022896177,NO
449,26,0.0022896177,NO
465,26,0.0022896177,NO
469,26,0.0022896177,NO
531,26,0.0022896177,NO
538,26,0.0022896177,NO
551,26,0.0022896177,NO
552,26,0.0022896177,NO
553,26,0.0022896177,NO
626,26,0.0022896177,NO
634,26,0.0022896177,NO
636,26,0.0022896177,NO
644,26,0.0022896177,NO
647,26,0.0022896177,NO
651,26,0.0022896177,NO
150,28,0.0024066388,NO
