ID,Size,Predicted,Actual
98,22,0.93791145,NO
381,24,0.9975231,NO
833,26,0.9975231,NO
388,27,0.9975231,NO
804,27,0.9975231,NO
746,27,0.91111517,NO
376,30,0.9970496,NO
399,30,0.9970496,NO
678,31,0.99030346,NO
755,32,0.9999995,NO
380,32,0.9970496,NO
101,32,0.977141,NO
391,33,0.9970496,NO
927,33,0.9969877,NO
89,35,0.99999124,NO
76,36,0.9993795,NO
650,40,0.99974364,YES
377,42,0.9970496,NO
82,42,0.97667104,NO
77,43,0.9779557,NO
390,44,0.9970496,NO
217,45,0.9994767,NO
397,45,0.9970496,NO
398,45,0.9970496,NO
539,46,0.9973115,NO
287,47,0.9971059,NO
395,48,0.9970496,NO
382,50,0.9970496,NO
383,50,0.9970496,NO
348,24,0.4695387,NO
1013,48,0.9132584,NO
540,53,0.9973115,NO
88,55,1.0,NO
414,56,0.999739,YES
394,56,0.9970496,NO
834,58,0.9972436,NO
312,58,0.9971059,NO
585,59,0.999739,YES
354,40,0.67642456,NO
375,59,0.9970496,NO
543,58,0.97756857,YES
310,60,0.9972798,NO
758,27,0.44660324,NO
268,61,0.99995244,NO
96,62,1.0,NO
929,62,0.9969877,NO
384,63,0.9970496,NO
215,64,0.9994767,NO
137,64,0.9969877,NO
547,59,0.91110474,YES
91,65,1.0,NO
141,66,0.9969877,NO
389,67,0.9970496,NO
347,29,0.42619482,NO
92,69,1.0,NO
795,69,0.9972436,NO
387,69,0.9970496,NO
599,70,0.99585897,NO
524,58,0.8100519,NO
747,65,0.89584905,NO
97,71,0.977141,NO
164,67,0.9217101,NO
79,75,0.9999993,NO
99,75,0.99999124,NO
392,76,0.9970496,NO
930,77,0.9969877,NO
146,66,0.81524265,NO
78,81,1.0,NO
80,81,0.99993086,NO
83,82,0.9999992,NO
396,82,0.99696887,NO
353,56,0.67642456,NO
751,83,0.9999995,NO
343,37,0.42619482,NO
472,65,0.7485357,NO
81,88,0.99999994,NO
925,92,0.99690527,NO
90,91,0.9773641,NO
216,94,0.9999196,NO
628,94,0.9972053,NO
349,41,0.42619482,NO
977,96,0.99690527,NO
225,97,0.99690527,NO
978,97,0.99690527,NO
218,98,0.9999196,NO
583,35,0.35601345,YES
346,43,0.42619482,NO
587,101,1.0,YES
205,101,0.99973184,YES
361,69,0.67642456,NO
939,94,0.9088863,NO
612,37,0.35601345,NO
357,71,0.67642456,NO
415,106,0.99973184,YES
1014,110,1.0,NO
652,90,0.79949015,NO
513,27,0.23931406,NO
87,113,0.99999994,NO
544,115,0.99991953,YES
385,116,0.99696887,NO
521,117,0.9973243,YES
504,107,0.89405507,NO
93,120,0.9999992,NO
393,120,0.99696887,NO
816,121,0.9999927,NO
296,113,0.92572796,NO
342,53,0.42619482,NO
932,125,1.0,NO
826,125,0.9999492,NO
95,125,0.99992895,NO
187,126,0.9973306,NO
818,128,0.99973184,NO
707,48,0.35601345,YES
102,135,1.0,NO
374,136,0.99696887,NO
94,137,0.99993706,NO
940,138,0.997314,NO
358,93,0.6704678,NO
582,50,0.35601345,NO
5,105,0.74340284,NO
351,95,0.6704678,NO
352,96,0.6704678,NO
362,98,0.6704678,NO
523,120,0.805849,NO
154,134,0.89352167,NO
608,54,0.35601345,NO
341,65,0.42619482,NO
275,29,0.19010393,NO
245,64,0.41567096,YES
233,157,0.99998593,YES
533,157,0.99755245,NO
549,64,0.40376505,NO
255,66,0.41567096,YES
1015,159,0.99999994,YES
258,160,0.9999567,NO
379,160,0.997314,NO
345,70,0.42619482,NO
84,55,0.3348639,NO
640,167,0.99999344,NO
610,167,0.99992853,NO
822,74,0.4393057,NO
638,172,0.9999556,NO
636,175,0.9999556,NO
792,117,0.6615372,NO
344,76,0.42619482,NO
627,182,0.9999972,NO
938,182,0.99995697,NO
378,182,0.997314,NO
386,182,0.997314,NO
273,184,0.99745333,NO
550,170,0.9204312,NO
976,185,0.9999933,NO
641,64,0.34578815,NO
85,48,0.25870326,NO
934,171,0.9184397,NO
730,186,0.997314,NO
299,187,0.9999996,NO
244,190,0.9972576,YES
0,78,0.40376505,NO
350,137,0.6966769,NO
247,82,0.40910718,YES
933,201,0.9999661,NO
935,204,1.0,NO
226,206,0.99963254,YES
278,207,1.0,NO
820,210,0.9999997,NO
649,210,0.9998218,NO
601,77,0.35222295,NO
651,96,0.43264505,NO
32,230,0.99963254,NO
913,218,0.93648565,NO
153,78,0.3325755,NO
256,99,0.40910718,YES
839,213,0.87575245,NO
8,87,0.34982774,YES
514,52,0.20885502,NO
637,52,0.20885502,NO
639,52,0.20885502,NO
246,105,0.40910718,YES
224,258,0.9999784,NO
336,109,0.41958418,NO
424,261,0.99880624,NO
356,112,0.41958418,NO
581,95,0.34982774,NO
61,208,0.75949806,NO
360,115,0.41958418,NO
686,276,0.99989337,NO
86,72,0.25870326,NO
735,111,0.39726147,NO
793,214,0.742864,NO
338,121,0.41958418,NO
444,62,0.21166657,NO
327,295,1.0,YES
333,296,1.0,NO
339,131,0.41958418,NO
100,81,0.25870326,NO
286,316,1.0,YES
337,133,0.41958418,NO
626,149,0.46260855,NO
827,132,0.40910718,NO
688,139,0.42661706,NO
37,113,0.3460677,NO
298,116,0.3541355,NO
229,337,1.0,YES
825,119,0.3396864,NO
340,163,0.44935954,NO
598,128,0.34982774,NO
477,299,0.81438553,NO
796,356,0.95853645,NO
611,133,0.34982774,NO
768,382,0.999994,YES
332,148,0.38232574,NO
702,385,0.99016744,NO
36,146,0.3739876,NO
428,393,0.99999905,NO
38,147,0.3739876,NO
355,350,0.88944626,NO
7,196,0.49346715,NO
2,198,0.49458882,NO
701,403,1.0,NO
359,381,0.9426559,NO
484,406,0.9998972,NO
13,174,0.42661706,NO
635,63,0.15133433,NO
235,419,0.99889356,YES
805,424,1.0,NO
991,425,1.0,NO
431,405,0.9404466,NO
433,405,0.9404466,NO
446,405,0.9404466,NO
460,405,0.9404466,NO
466,405,0.9404466,NO
476,405,0.9404466,NO
463,406,0.9404466,NO
457,421,0.9739764,NO
600,444,0.99999577,NO
419,447,0.9999996,NO
242,456,1.0,YES
445,457,1.0,NO
464,457,1.0,NO
465,470,1.0,NO
469,470,1.0,NO
420,382,0.81045365,NO
470,474,1.0,NO
409,478,0.9999195,NO
591,480,1.0,NO
613,480,0.9869425,NO
12,432,0.86230546,NO
453,498,0.99037457,NO
188,143,0.28377405,NO
448,505,1.0,NO
447,506,0.99037457,NO
458,506,0.99037457,NO
520,517,1.0,NO
434,513,0.99037457,NO
485,513,0.99037457,NO
487,513,0.99037457,NO
482,515,0.99037457,NO
494,515,0.99037457,NO
784,521,0.99999994,NO
324,235,0.44765398,NO
452,525,0.99999505,NO
491,532,0.9969616,NO
408,83,0.15424722,NO
490,553,0.9969616,NO
475,555,1.0,NO
54,90,0.16062386,NO
461,560,0.9969616,NO
206,562,1.0,NO
483,387,0.67859745,NO
609,575,0.99997526,NO
45,594,0.99996513,NO
276,53,0.08871293,NO
502,604,0.99970424,NO
838,609,0.99992716,NO
1005,642,0.9997146,NO
481,663,1.0,NO
468,675,1.0,NO
480,630,0.92762154,NO
282,25,0.03639967,NO
435,703,0.99999994,NO
451,713,0.99996144,NO
992,734,1.0,NO
440,751,1.0,NO
467,754,1.0,NO
829,763,1.0,NO
438,767,1.0,NO
437,769,1.0,YES
840,175,0.2248355,NO
474,795,1.0,NO
489,802,0.999999,NO
844,822,1.0,NO
471,835,1.0,NO
441,851,0.9999999,NO
459,800,0.91183555,NO
439,901,1.0,NO
455,914,1.0,NO
486,916,1.0,NO
456,921,1.0,NO
335,60,0.06164161,NO
493,1066,1.0,NO
499,1093,1.0,NO
64,245,0.21233386,NO
432,1158,1.0,NO
815,38,0.029824533,NO
334,79,0.06164161,NO
545,81,0.06164161,NO
449,1328,1.0,NO
283,40,0.029824533,NO
49,24,0.017734408,NO
56,24,0.017734408,NO
292,42,0.030723741,NO
488,1381,1.0,NO
436,1389,1.0,NO
492,1445,1.0,NO
185,263,0.17854808,NO
279,275,0.17538553,YES
314,287,0.17538553,YES
537,337,0.19574934,NO
571,27,0.015479546,NO
