ID,Size,Predicted,Actual
755,32,0.9298431,NO
89,35,0.93786925,NO
381,24,0.49126372,NO
833,26,0.49126372,NO
388,27,0.49126372,NO
804,27,0.49126372,NO
88,55,0.99904656,NO
217,45,0.7602387,NO
376,30,0.49126372,NO
399,30,0.49126372,NO
96,62,0.99993473,NO
678,31,0.49126372,NO
91,65,0.99904656,NO
380,32,0.49126372,NO
391,33,0.49126372,NO
927,33,0.49126372,NO
92,69,0.99993473,NO
76,36,0.49414417,NO
79,75,0.99050474,NO
99,75,0.93786925,NO
268,61,0.7602387,NO
78,81,0.99904656,NO
650,40,0.49126372,YES
83,82,0.99050474,NO
215,64,0.7602387,NO
377,42,0.49126372,NO
81,88,0.99050474,NO
751,83,0.9298431,NO
390,44,0.49126372,NO
397,45,0.49126372,NO
398,45,0.49126372,NO
539,46,0.49126372,NO
287,47,0.49126372,NO
98,22,0.22928344,NO
395,48,0.49126372,NO
80,81,0.82302195,NO
382,50,0.49126372,NO
383,50,0.49126372,NO
587,101,0.9843985,YES
540,53,0.49126372,NO
1014,110,0.9843985,NO
87,113,0.99904656,NO
394,56,0.49126372,NO
414,56,0.49126372,YES
312,58,0.49126372,NO
834,58,0.49126372,NO
375,59,0.49126372,NO
585,59,0.49126372,YES
93,120,0.99050474,NO
310,60,0.49126372,NO
216,94,0.7602387,NO
932,125,0.9991212,NO
929,62,0.49126372,NO
384,63,0.49126372,NO
218,98,0.7602387,NO
137,64,0.49126372,NO
141,66,0.49126372,NO
102,135,0.99999404,NO
95,125,0.9238121,NO
389,67,0.49126372,NO
101,32,0.22928344,NO
826,125,0.8920965,NO
387,69,0.49126372,NO
795,69,0.49126372,NO
599,70,0.49126372,NO
94,137,0.9238121,NO
544,115,0.7602387,YES
392,76,0.49126372,NO
930,77,0.49126372,NO
816,121,0.7602387,NO
1015,159,0.9939583,YES
396,82,0.49126372,NO
233,157,0.9132274,YES
187,126,0.7157344,NO
818,128,0.7157344,NO
258,160,0.8920965,NO
82,42,0.22928344,NO
610,167,0.8920965,NO
640,167,0.8920965,NO
627,182,0.97187674,NO
925,92,0.49126372,NO
77,43,0.22928344,NO
374,136,0.7157344,NO
628,94,0.49126372,NO
299,187,0.97187674,NO
638,172,0.8920965,NO
940,138,0.7157344,NO
977,96,0.49126372,NO
636,175,0.8920965,NO
225,97,0.49126372,NO
978,97,0.49126372,NO
938,182,0.8920965,NO
935,204,0.99991244,NO
205,101,0.49126372,YES
278,207,0.9999977,NO
976,185,0.8920965,NO
1013,48,0.22928344,NO
415,106,0.49126372,YES
820,210,0.97187674,NO
533,157,0.7157344,NO
379,160,0.7157344,NO
933,201,0.8920965,NO
226,206,0.8920965,YES
385,116,0.49126372,NO
521,117,0.49126372,YES
393,120,0.49126372,NO
543,58,0.22928344,YES
378,182,0.7157344,NO
386,182,0.7157344,NO
746,27,0.10547987,NO
273,184,0.7157344,NO
547,59,0.22928344,YES
32,230,0.8920965,NO
730,186,0.7157344,NO
244,190,0.7157344,YES
224,258,0.8920965,NO
164,67,0.22928344,NO
649,210,0.7157344,NO
327,295,0.99999404,YES
333,296,0.9999837,NO
97,71,0.22928344,NO
286,316,1.0,YES
229,337,0.9999837,YES
424,261,0.7157344,NO
354,40,0.10547987,NO
768,382,0.99787533,YES
686,276,0.7157344,NO
550,170,0.4368361,NO
934,171,0.4368361,NO
702,385,0.9778098,NO
428,393,0.99787533,NO
90,91,0.22928344,NO
359,381,0.94584656,NO
701,403,0.99999714,NO
