ID,Size,Predicted,Actual
38,25,1.0,NO
65,25,1.0,NO
64,26,1.0,NO
46,28,1.0,NO
49,28,1.0,NO
41,29,1.0,NO
62,31,1.0,NO
19,32,1.0,NO
27,33,1.0,NO
51,36,1.0,NO
58,36,1.0,NO
68,36,1.0,NO
12,37,1.0,NO
47,37,1.0,NO
55,37,1.0,NO
70,37,1.0,NO
78,37,1.0,YES
53,38,1.0,NO
31,40,1.0,NO
66,40,1.0,NO
164,41,1.0,NO
43,43,1.0,NO
56,46,1.0,NO
26,47,1.0,NO
61,50,1.0,NO
52,51,1.0,NO
42,52,1.0,YES
54,52,1.0,NO
162,52,1.0,NO
507,25,0.4669683,NO
189,51,0.943624,NO
77,55,1.0,NO
74,56,1.0,NO
3,58,1.0,YES
11,58,1.0,NO
69,58,1.0,NO
15,59,1.0,NO
67,59,1.0,NO
6,64,1.0,NO
16,64,1.0,NO
48,64,1.0,NO
2,68,1.0,NO
18,70,1.0,NO
72,70,1.0,NO
81,72,1.0,NO
294,76,1.0,NO
0,78,1.0,NO
184,80,1.0,NO
37,81,1.0,NO
185,82,1.0,NO
25,85,1.0,NO
1,87,1.0,NO
60,89,1.0,YES
75,92,1.0,NO
40,94,1.0,NO
206,97,0.999997,YES
63,98,1.0,NO
157,112,1.0,NO
372,113,1.0,YES
160,115,1.0,YES
188,122,1.0,YES
5,132,1.0,NO
159,136,1.0,NO
542,153,1.0,YES
83,155,1.0,YES
519,176,1.0,NO
186,179,1.0,YES
355,217,1.0,YES
163,243,1.0,YES
262,286,0.9999997,YES
87,301,1.0,YES
138,356,0.97899187,NO
187,40,0.08979984,NO
373,452,1.0,YES
100,169,0.31456318,YES
117,625,1.0,NO
142,911,1.0,YES
140,934,1.0,NO
115,981,0.9999946,NO
82,1022,1.0,YES
109,1127,0.9200531,NO
116,2032,1.0,NO
152,49,0.011999311,NO
121,824,0.17177229,NO
381,813,0.14669794,NO
134,772,0.08934834,NO
261,230,0.017658545,YES
139,722,0.04458106,YES
530,722,0.04458106,NO
111,723,0.04458106,NO
120,695,0.031235278,NO
246,130,0.0053469436,YES
136,676,0.026114693,NO
123,679,0.026114693,NO
110,614,0.012707366,NO
34,368,0.0061050877,NO
156,350,0.0051211296,YES
131,565,0.0061722673,NO
126,549,0.0051538125,NO
541,142,0.0013136062,NO
370,109,9.329215E-4,NO
50,265,0.0017917972,YES
71,268,0.0017917972,YES
8,246,0.0015054282,NO
33,252,0.0015054282,NO
338,510,0.0030036042,NO
76,242,0.001265186,YES
45,243,0.001265186,YES
195,435,0.00212671,NO
137,478,0.0020979932,NO
125,479,0.0020979932,NO
44,195,7.523262E-4,NO
4,196,7.523262E-4,NO
36,181,6.3302484E-4,NO
80,188,6.3302484E-4,YES
108,443,0.0014669609,NO
133,443,0.0014669609,NO
135,443,0.0014669609,NO
17,164,5.328074E-4,NO
73,172,5.328074E-4,YES
7,173,5.328074E-4,NO
20,148,4.485966E-4,NO
21,156,4.485966E-4,NO
24,156,4.485966E-4,NO
132,433,0.0012271781,NO
95,436,0.0012271781,NO
118,436,0.0012271781,NO
114,441,0.0012271781,NO
122,441,0.0012271781,NO
379,377,0.0010450814,NO
293,139,3.7781493E-4,NO
13,142,3.7781493E-4,NO
532,135,3.505913E-4,NO
28,146,3.7781493E-4,NO
30,147,3.7781493E-4,NO
39,147,3.7781493E-4,YES
79,147,3.7781493E-4,NO
32,125,3.1830286E-4,NO
35,106,2.6825085E-4,NO
344,139,3.505913E-4,NO
9,107,2.6825085E-4,NO
10,110,2.6825085E-4,NO
368,144,3.505913E-4,YES
165,44,1.0633198E-4,YES
529,425,0.0010268871,NO
211,124,2.9536613E-4,NO
505,124,2.9536613E-4,NO
29,113,2.6825085E-4,NO
57,113,2.6825085E-4,NO
167,45,1.0633198E-4,YES
14,114,2.6825085E-4,NO
59,116,2.6825085E-4,NO
23,118,2.6825085E-4,NO
22,119,2.6825085E-4,NO
212,79,1.7696126E-4,NO
106,95,2.0984502E-4,NO
112,402,8.595412E-4,NO
376,375,6.0276827E-4,NO
96,382,6.0276827E-4,NO
104,383,6.0276827E-4,NO
322,359,5.0500274E-4,YES
527,289,3.632453E-4,NO
348,351,4.23227E-4,NO
119,335,3.5480558E-4,NO
127,336,3.5480558E-4,NO
128,13508,0.014112903,YES
107,344,3.5480558E-4,NO
113,344,3.5480558E-4,NO
124,344,3.5480558E-4,NO
129,344,3.5480558E-4,NO
161,39,3.666943E-5,YES
536,328,2.9754033E-4,NO
99,91,6.102932E-5,NO
475,178,9.036706E-5,NO
130,241,1.041887E-4,NO
450,218,8.757112E-5,NO
210,160,6.4028995E-5,YES
230,224,8.757112E-5,NO
260,225,8.757112E-5,NO
98,22,7.959691E-6,NO
175,22,7.959691E-6,NO
178,22,7.959691E-6,NO
250,22,7.959691E-6,NO
257,22,7.959691E-6,NO
308,22,7.959691E-6,NO
321,22,7.959691E-6,NO
401,22,7.959691E-6,NO
364,54,1.9370918E-5,NO
209,108,3.8282E-5,NO
208,55,1.9370918E-5,NO
85,47,1.635108E-5,NO
174,23,7.959691E-6,NO
221,23,7.959691E-6,NO
235,23,7.959691E-6,NO
395,23,7.959691E-6,NO
396,23,7.959691E-6,NO
397,23,7.959691E-6,NO
496,23,7.959691E-6,NO
516,23,7.959691E-6,NO
382,112,3.8282E-5,NO
377,48,1.635108E-5,NO
337,217,7.362804E-5,NO
177,24,7.959691E-6,NO
236,24,7.959691E-6,NO
252,24,7.959691E-6,NO
279,24,7.959691E-6,NO
330,24,7.959691E-6,NO
353,24,7.959691E-6,NO
389,24,7.959691E-6,NO
403,24,7.959691E-6,NO
463,24,7.959691E-6,NO
510,24,7.959691E-6,NO
192,25,7.959691E-6,NO
193,25,7.959691E-6,NO
223,25,7.959691E-6,NO
251,25,7.959691E-6,NO
264,25,7.959691E-6,NO
316,25,7.959691E-6,NO
324,25,7.959691E-6,NO
326,25,7.959691E-6,NO
327,25,7.959691E-6,NO
331,25,7.959691E-6,NO
394,25,7.959691E-6,NO
402,25,7.959691E-6,NO
468,25,7.959691E-6,NO
478,25,7.959691E-6,NO
479,25,7.959691E-6,NO
493,25,7.959691E-6,NO
255,198,6.192526E-5,NO
472,198,6.192526E-5,NO
470,201,6.192526E-5,NO
224,26,7.959691E-6,NO
312,26,7.959691E-6,NO
328,26,7.959691E-6,NO
332,26,7.959691E-6,NO
386,26,7.959691E-6,NO
393,26,7.959691E-6,NO
406,26,7.959691E-6,NO
407,26,7.959691E-6,NO
408,26,7.959691E-6,NO
481,26,7.959691E-6,NO
489,26,7.959691E-6,NO
491,26,7.959691E-6,NO
499,26,7.959691E-6,NO
502,26,7.959691E-6,NO
506,26,7.959691E-6,NO
