Id,Size,Prob,NormProb,Actual
144,48,0.99681866,0.020767055,false
79,56,0.9925992,0.017724985,true
294,65,0.8171016,0.012570794,false
210,80,0.9988738,0.012485922,false
214,83,0.9999421,0.012047496,false
109,88,0.9986237,0.011347997,false
222,38,0.42448285,0.0111706015,false
108,90,0.9986237,0.011095819,false
140,93,0.9904777,0.010650298,false
129,112,0.95488036,0.008525717,false
774,66,0.52992934,0.008029232,false
312,82,0.6231941,0.007599928,false
422,152,0.99999994,0.006578947,false
137,161,0.99983233,0.0062101386,false
411,162,0.99982977,0.006171789,true
59,171,0.9872719,0.00577352,true
150,167,0.9609822,0.0057543847,true
591,74,0.42448285,0.0057362546,true
338,157,0.8822475,0.005619411,true
540,184,0.9287202,0.0050473926,false
431,209,0.9993066,0.0047813714,false
120,220,0.97766477,0.004443931,false
134,46,0.19183964,0.0041704266,false
130,240,0.9999715,0.004166548,false
53,242,0.998681,0.004126781,false
156,243,0.99999994,0.004115226,true
57,250,0.99999976,0.0039999993,true
217,80,0.31423736,0.003927967,false
225,127,0.49370652,0.003887453,false
390,219,0.83999836,0.0038356092,false
219,82,0.31423736,0.0038321628,false
257,253,0.95946497,0.0037923518,true
200,241,0.90390253,0.003750633,true
125,190,0.7028387,0.003699151,false
224,65,0.23800465,0.0036616102,false
124,193,0.7028387,0.0036416515,false
88,280,0.9999982,0.003571422,false
427,281,0.99991566,0.0035584187,false
161,284,1.0,0.0035211267,true
187,281,0.9830068,0.0034982448,true
110,289,0.9999955,0.0034601921,false
209,294,1.0,0.0034013605,false
395,296,0.99999416,0.0033783587,false
237,304,0.99999726,0.0032894649,false
398,96,0.31423736,0.0032733057,false
117,306,0.9999993,0.0032679716,false
213,323,1.0,0.0030959751,true
123,330,1.0,0.003030303,false
342,337,0.99994934,0.0029672089,true
394,343,1.0,0.002915452,false
392,346,1.0,0.0028901733,false
223,25,0.06739019,0.0026956077,false
239,351,0.94338137,0.0026876961,true
226,117,0.31039676,0.0026529639,false
409,171,0.4498146,0.0026304945,true
306,387,1.0,0.0025839794,false
545,370,0.9524508,0.0025741914,true
127,95,0.23514548,0.0024752156,false
266,405,1.0,0.002469136,false
116,420,1.0,0.0023809525,false
283,421,1.0,0.002375297,false
244,445,0.9917991,0.002228762,true
397,284,0.62828153,0.002212259,true
273,457,1.0,0.0021881838,false
90,334,0.72369856,0.002166762,false
289,406,0.8335313,0.0020530326,false
596,498,1.0,0.002008032,false
220,97,0.19051291,0.0019640506,false
275,506,0.97338146,0.0019236788,false
284,506,0.97338146,0.0019236788,false
296,515,0.9889798,0.0019203491,false
267,513,0.97338146,0.0018974297,false
297,513,0.97338146,0.0018974297,false
299,513,0.97338146,0.0018974297,false
303,532,0.9999916,0.0018796835,true
279,498,0.92674005,0.0018609238,false
603,542,0.9999997,0.0018450179,true
291,555,1.0,0.0018018018,false
302,553,0.99600786,0.0018010992,false
287,560,0.99878967,0.001783553,false
264,405,0.6979962,0.0017234475,false
274,405,0.6979962,0.0017234475,false
286,405,0.6979962,0.0017234475,false
292,405,0.6979962,0.0017234475,false
256,114,0.1893972,0.0016613789,true
218,75,0.12405238,0.0016540318,false
413,77,0.12405238,0.0016110699,false
326,627,1.0,0.0015948963,true
126,57,0.08677208,0.0015223172,false
295,663,0.99999964,0.0015082951,false
270,672,1.0,0.0014880953,true
48,202,0.29210895,0.0014460839,false
221,47,0.06734849,0.0014329465,false
269,713,1.0,0.0014025245,false
278,713,0.9999987,0.0014025227,false
288,631,0.8782418,0.0013918254,false
614,121,0.16398028,0.0013552089,true
263,124,0.16745965,0.0013504811,true
761,733,0.97515607,0.001330363,false
432,94,0.12234234,0.0013015142,false
207,67,0.08677208,0.0012951057,false
231,103,0.1306918,0.0012688524,false
305,795,0.99999976,0.0012578614,true
285,800,0.999888,0.00124986,false
301,802,1.0,0.0012468828,false
215,70,0.08677208,0.001239601,false
143,106,0.1306918,0.0012329414,false
613,815,0.9845233,0.0012080041,false
271,851,1.0,0.0011750881,false
197,194,0.22098543,0.0011391001,true
281,914,1.0,0.0010940919,false
298,916,1.0,0.0010917031,false
282,921,1.0,0.0010857764,false
344,53,0.057155516,0.001078406,true
265,982,1.0,0.00101833,false
406,61,0.057155516,9.369757E-4,true
122,153,0.14042974,9.178414E-4,false
420,154,0.14042974,9.118814E-4,false
425,70,0.06275822,8.96546E-4,true
580,65,0.057155516,8.7931566E-4,true
304,1181,1.0,8.4674003E-4,true
310,1207,1.0,8.2850043E-4,true
300,1210,1.0,8.264463E-4,false
135,92,0.0728798,7.9217175E-4,false
307,1279,1.0,7.8186084E-4,true
276,1328,1.0,7.53012E-4,true
268,1389,1.0,7.199424E-4,false
414,120,0.08552576,7.127147E-4,true
238,1503,1.0,6.65336E-4,true
216,74,0.045165986,6.1035116E-4,false
128,76,0.045165986,5.942893E-4,false
212,76,0.045165986,5.942893E-4,false
211,78,0.045165986,5.790511E-4,false
234,16,0.008557294,5.3483085E-4,false
227,58,0.030760167,5.303477E-4,false
293,299,0.14382058,4.8100526E-4,false
408,142,0.0644659,4.5398524E-4,true
111,143,0.05550364,3.8813733E-4,false
