Id,Size,Prob,NormProb,Actual
540,449,0.98983234,0.0022045264,false
459,403,0.7932971,0.0019684792,true
815,576,0.9899009,0.0017185779,true
775,610,0.7564466,0.0012400764,true
993,146,0.16345878,0.0011195807,true
1618,1395,1.0,7.1684585E-4,true
1003,81,0.055792462,6.887958E-4,true
102,460,0.29725465,6.4620574E-4,true
128,32,0.016971705,5.303658E-4,true
916,1900,0.99204654,5.2212976E-4,false
911,2143,0.9995949,4.6644654E-4,true
842,2193,0.9997782,4.558952E-4,true
723,348,0.14707007,4.2261512E-4,false
446,35,0.014708461,4.2024176E-4,true
1556,2413,1.0,4.1442187E-4,true
906,1445,0.5976354,4.1358848E-4,true
1186,2478,0.9999983,4.0355057E-4,true
129,43,0.016866181,3.9223678E-4,true
674,2567,1.0,3.895598E-4,true
913,2596,0.9999996,3.8520785E-4,true
1017,26,0.008965568,3.4482952E-4,false
849,2935,1.0,3.407155E-4,false
835,1389,0.47092995,3.3904245E-4,true
1621,333,0.10640788,3.1954318E-4,false
902,1381,0.44012198,3.1869803E-4,true
126,54,0.016866181,3.123367E-4,true
450,32,0.008697002,2.7178132E-4,true
848,1328,0.3533316,2.6606294E-4,false
524,97,0.02394565,2.468624E-4,true
1326,68,0.01678606,2.468538E-4,true
1385,38,0.009265857,2.4383834E-4,true
223,22,0.0049833623,2.2651647E-4,false
696,22,0.0049833623,2.2651647E-4,false
709,22,0.0049833623,2.2651647E-4,false
769,22,0.0049833623,2.2651647E-4,false
774,22,0.0049833623,2.2651647E-4,false
790,22,0.0049833623,2.2651647E-4,false
1002,22,0.0049833623,2.2651647E-4,false
1005,22,0.0049833623,2.2651647E-4,false
1171,22,0.0049833623,2.2651647E-4,false
1189,22,0.0049833623,2.2651647E-4,false
1271,22,0.0049833623,2.2651647E-4,false
1327,22,0.0049833623,2.2651647E-4,false
1287,312,0.07026971,2.2522343E-4,true
610,32,0.0070775035,2.2117198E-4,false
822,22,0.0048421645,2.2009839E-4,false
929,41,0.008933545,2.1789134E-4,false
1001,23,0.0049833623,2.1666792E-4,false
1137,23,0.0049833623,2.1666792E-4,false
1155,23,0.0049833623,2.1666792E-4,false
1319,23,0.0049833623,2.1666792E-4,false
1320,23,0.0049833623,2.1666792E-4,false
1321,23,0.0049833623,2.1666792E-4,false
1435,23,0.0049833623,2.1666792E-4,false
1455,23,0.0049833623,2.1666792E-4,false
999,43,0.008933545,2.0775685E-4,false
64,24,0.0049446104,2.0602543E-4,false
71,24,0.0049446104,2.0602543E-4,false
613,24,0.0049446104,2.0602543E-4,false
652,24,0.0049446104,2.0602543E-4,false
702,24,0.0049446104,2.0602543E-4,false
711,24,0.0049446104,2.0602543E-4,false
813,24,0.0049446104,2.0602543E-4,false
920,24,0.0049446104,2.0602543E-4,false
1004,24,0.0049446104,2.0602543E-4,false
1139,24,0.0049446104,2.0602543E-4,false
1156,24,0.0049446104,2.0602543E-4,false
1173,24,0.0049446104,2.0602543E-4,false
1214,24,0.0049446104,2.0602543E-4,false
1277,24,0.0049446104,2.0602543E-4,false
1285,24,0.0049446104,2.0602543E-4,false
1286,24,0.0049446104,2.0602543E-4,false
1313,24,0.0049446104,2.0602543E-4,false
1401,24,0.0049446104,2.0602543E-4,false
1449,24,0.0049446104,2.0602543E-4,false
1515,24,0.0049446104,2.0602543E-4,false
907,1264,0.255703,2.0229668E-4,true
245,25,0.0049446104,1.9778442E-4,false
464,25,0.0049446104,1.9778442E-4,false
491,25,0.0049446104,1.9778442E-4,false
703,25,0.0049446104,1.9778442E-4,false
1039,25,0.0049446104,1.9778442E-4,false
1048,25,0.0049446104,1.9778442E-4,false
1049,25,0.0049446104,1.9778442E-4,false
1172,25,0.0049446104,1.9778442E-4,false
1196,25,0.0049446104,1.9778442E-4,false
1261,25,0.0049446104,1.9778442E-4,false
1279,25,0.0049446104,1.9778442E-4,false
1280,25,0.0049446104,1.9778442E-4,false
1406,25,0.0049446104,1.9778442E-4,false
1417,25,0.0049446104,1.9778442E-4,false
1418,25,0.0049446104,1.9778442E-4,false
1432,25,0.0049446104,1.9778442E-4,false
1446,25,0.0049446104,1.9778442E-4,false
452,36,0.007096742,1.9713173E-4,true
278,86,0.01670073,1.9419454E-4,true
260,26,0.0049446104,1.9017732E-4,false
358,26,0.0049446104,1.9017732E-4,false
501,26,0.0049446104,1.9017732E-4,false
505,26,0.0049446104,1.9017732E-4,false
520,26,0.0049446104,1.9017732E-4,false
695,26,0.0049446104,1.9017732E-4,false
752,26,0.0049446104,1.9017732E-4,false
954,26,0.0049446104,1.9017732E-4,false
956,26,0.0049446104,1.9017732E-4,false
957,26,0.0049446104,1.9017732E-4,false
1140,26,0.0049446104,1.9017732E-4,false
1252,26,0.0049446104,1.9017732E-4,false
1264,26,0.0049446104,1.9017732E-4,false
1281,26,0.0049446104,1.9017732E-4,false
1288,26,0.0049446104,1.9017732E-4,false
1310,26,0.0049446104,1.9017732E-4,false
1317,26,0.0049446104,1.9017732E-4,false
1336,26,0.0049446104,1.9017732E-4,false
1407,26,0.0049446104,1.9017732E-4,false
1420,26,0.0049446104,1.9017732E-4,false
1428,26,0.0049446104,1.9017732E-4,false
1430,26,0.0049446104,1.9017732E-4,false
1438,26,0.0049446104,1.9017732E-4,false
1441,26,0.0049446104,1.9017732E-4,false
1445,26,0.0049446104,1.9017732E-4,false
1560,26,0.0049446104,1.9017732E-4,false
1579,26,0.0049446104,1.9017732E-4,false
1553,185,0.035111878,1.8979392E-4,false
482,364,0.06868996,1.8870868E-4,true
545,48,0.008933545,1.8611552E-4,false
483,50,0.009207795,1.8415591E-4,true
110,27,0.0049446104,1.8313371E-4,false
249,27,0.0049446104,1.8313371E-4,false
476,27,0.0049446104,1.8313371E-4,false
478,27,0.0049446104,1.8313371E-4,false
659,27,0.0049446104,1.8313371E-4,false
678,27,0.0049446104,1.8313371E-4,false
712,27,0.0049446104,1.8313371E-4,false
1020,27,0.0049446104,1.8313371E-4,false
