ID,Size,Predicted,Actual
125,5,0.18053177,YES
83,12,0.15921147,NO
87,14,0.15921147,NO
489,20,0.15938663,NO
181,22,0.15257347,NO
269,22,0.15257347,NO
272,22,0.15257347,NO
383,22,0.15257347,NO
390,22,0.15257347,NO
445,22,0.15257347,NO
458,22,0.15257347,NO
546,22,0.15257347,NO
268,23,0.15257347,NO
353,23,0.15257347,NO
368,23,0.15257347,NO
540,23,0.15257347,NO
541,23,0.15257347,NO
542,23,0.15257347,NO
641,23,0.15257347,NO
661,23,0.15257347,NO
271,24,0.13909744,NO
369,24,0.13909744,NO
385,24,0.13909744,NO
413,24,0.13909744,NO
467,24,0.13909744,NO
493,24,0.13909744,NO
534,24,0.13909744,NO
548,24,0.13909744,NO
608,24,0.13909744,NO
655,24,0.13909744,NO
652,25,0.14238182,NO
291,25,0.13909744,NO
292,25,0.13909744,NO
355,25,0.13909744,NO
384,25,0.13909744,NO
397,25,0.13909744,NO
453,25,0.13909744,NO
461,25,0.13909744,NO
463,25,0.13909744,NO
464,25,0.13909744,NO
468,25,0.13909744,NO
539,25,0.13909744,NO
547,25,0.13909744,NO
613,25,0.13909744,NO
623,25,0.13909744,NO
624,25,0.13909744,NO
638,25,0.13909744,NO
133,26,0.14348626,NO
152,26,0.14348626,NO
106,25,0.1357039,NO
138,25,0.1357039,NO
82,27,0.14524963,NO
356,26,0.13909744,NO
449,26,0.13909744,NO
465,26,0.13909744,NO
469,26,0.13909744,NO
531,26,0.13909744,NO
538,26,0.13909744,NO
551,26,0.13909744,NO
552,26,0.13909744,NO
553,26,0.13909744,NO
626,26,0.13909744,NO
634,26,0.13909744,NO
636,26,0.13909744,NO
644,26,0.13909744,NO
647,26,0.13909744,NO
651,26,0.13909744,NO
137,26,0.1357039,NO
150,28,0.14524963,NO
169,27,0.13909744,NO
582,27,0.13909744,NO
597,27,0.13909744,NO
656,27,0.13909744,NO
86,29,0.14524963,NO
48,29,0.14453593,NO
290,28,0.13909744,NO
373,28,0.13909744,NO
377,28,0.13909744,NO
386,28,0.13909744,NO
462,28,0.13909744,NO
631,28,0.13909744,NO
683,28,0.13909744,NO
278,30,0.14541209,NO
114,28,0.1357039,NO
117,28,0.1357039,NO
47,30,0.14453593,NO
371,29,0.13909744,NO
382,29,0.13909744,NO
446,29,0.13909744,NO
451,29,0.13909744,NO
452,29,0.13909744,NO
545,29,0.13909744,NO
573,29,0.13909744,NO
578,29,0.13909744,NO
592,29,0.13909744,NO
279,31,0.14541209,NO
281,31,0.14541209,NO
109,29,0.1357039,NO
250,31,0.1443984,NO
252,31,0.1443984,YES
52,31,0.14438418,NO
147,31,0.14405276,NO
180,30,0.13909744,NO
235,30,0.13909744,NO
236,30,0.13909744,NO
387,30,0.13909744,NO
523,30,0.13909744,NO
637,30,0.13909744,NO
667,30,0.13909744,NO
74,32,0.14558464,NO
92,32,0.14558464,NO
282,32,0.14541209,NO
131,32,0.14524963,NO
424,32,0.14524963,NO
57,32,0.14453593,NO
277,31,0.13909744,NO
289,31,0.13909744,NO
374,31,0.13909744,NO
391,31,0.13909744,NO
434,31,0.13909744,NO
470,31,0.13909744,NO
533,31,0.13909744,NO
549,31,0.13909744,NO
550,31,0.13909744,NO
559,31,0.13909744,NO
590,31,0.13909744,NO
610,31,0.13909744,NO
632,31,0.13909744,NO
167,32,0.1430828,NO
135,31,0.1357039,NO
28,33,0.1438899,YES
231,32,0.13909744,NO
232,32,0.13909744,NO
233,32,0.13909744,NO
364,32,0.13909744,NO
365,32,0.13909744,NO
366,32,0.13909744,NO
367,32,0.13909744,NO
376,32,0.13909744,NO
392,32,0.13909744,NO
455,32,0.13909744,NO
529,32,0.13909744,NO
530,32,0.13909744,NO
544,32,0.13909744,NO
666,32,0.13909744,NO
670,32,0.13909744,NO
20,32,0.1357039,NO
132,34,0.14405276,NO
151,34,0.14405276,NO
680,34,0.1436843,NO
293,33,0.13909744,NO
448,33,0.13909744,NO
460,33,0.13909744,NO
543,33,0.13909744,NO
593,33,0.13909744,NO
609,33,0.13909744,YES
639,33,0.13909744,NO
669,33,0.13909744,NO
512,34,0.1430828,NO
78,35,0.14558464,YES
96,35,0.14558464,NO
425,35,0.14524963,NO
265,34,0.13909744,NO
372,34,0.13909744,NO
440,34,0.13909744,NO
535,34,0.13909744,NO
362,35,0.14071098,NO
119,36,0.14348626,NO
166,36,0.1430828,YES
234,35,0.13909744,NO
492,35,0.13909744,NO
685,35,0.13909744,NO
426,37,0.1430828,NO
447,36,0.13909744,NO
457,36,0.13909744,NO
554,36,0.13909744,NO
625,36,0.13909744,NO
665,36,0.13909744,NO
280,38,0.14541209,NO
127,36,0.1357039,NO
141,36,0.1357039,NO
437,37,0.13909744,NO
488,37,0.13909744,NO
668,37,0.13909744,NO
13,37,0.1357039,NO
115,37,0.1357039,NO
123,37,0.1357039,NO
143,37,0.1357039,NO
230,38,0.13909744,NO
266,38,0.13909744,NO
276,38,0.13909744,NO
375,38,0.13909744,YES
416,38,0.13909744,NO
504,38,0.13909744,NO
558,38,0.13909744,NO
561,38,0.13909744,NO
588,38,0.13909744,NO
619,38,0.13909744,NO
121,38,0.1357039,NO
296,39,0.13909744,NO
401,39,0.13909744,NO
557,39,0.13909744,NO
594,39,0.13909744,NO
635,39,0.13909744,NO
91,40,0.13821559,NO
75,40,0.1378948,YES
93,40,0.1378948,NO
54,40,0.13721144,NO
56,40,0.13721144,NO
65,40,0.13721144,NO
501,249,0.84721446,NO
342,281,0.9520576,NO
286,40,0.13514924,NO
144,268,0.9047406,YES
317,41,0.13790266,NO
149,41,0.1378948,NO
312,284,0.9520328,YES
183,253,0.8461906,YES
118,273,0.9100435,YES
34,252,0.8380117,NO
320,41,0.13582025,NO
297,40,0.132006,NO
354,40,0.132006,NO
525,40,0.132006,NO
584,40,0.132006,NO
596,40,0.132006,NO
310,296,0.9751759,NO
318,42,0.13828231,NO
73,42,0.13821559,NO
671,289,0.95083207,NO
53,233,0.7605668,YES
379,260,0.84739316,YES
341,261,0.8477343,YES
257,301,0.9756745,YES
267,41,0.132006,NO
378,41,0.132006,NO
380,41,0.132006,NO
433,41,0.132006,NO
556,41,0.132006,NO
633,41,0.132006,NO
32,40,0.12875961,NO
139,40,0.12875961,NO
246,43,0.13707975,YES
43,43,0.13706614,NO
156,241,0.762172,YES
314,43,0.13582025,NO
395,314,0.98825,YES
403,42,0.132006,NO
408,42,0.132006,NO
411,42,0.132006,NO
564,42,0.132006,NO
566,42,0.132006,NO
258,41,0.12875961,NO
113,243,0.7605668,YES
215,241,0.7525626,YES
85,317,0.9882776,YES
344,44,0.13582025,NO
228,43,0.132006,NO
502,43,0.132006,NO
503,43,0.132006,NO
8,246,0.7471922,NO
495,217,0.65789366,YES
322,45,0.13582025,NO
80,46,0.13821559,NO
81,46,0.13821559,NO
98,46,0.13821559,NO
99,46,0.13821559,NO
450,44,0.132006,NO
491,44,0.132006,NO
563,44,0.132006,NO
627,44,0.132006,NO
640,44,0.132006,NO
679,44,0.132006,NO
111,43,0.12875961,NO
305,219,0.6531969,NO
474,217,0.64570946,NO
204,335,0.9944426,YES
595,218,0.64570946,NO
212,336,0.9944426,YES
332,46,0.13582025,NO
311,47,0.13821933,NO
274,45,0.132006,NO
298,45,0.132006,NO
435,45,0.132006,NO
585,45,0.132006,NO
191,344,0.99768513,YES
309,343,0.9947185,NO
