ID,Size,Predicted,Actual
983,25,0.3127501,NO
1,22,0.27404147,NO
284,22,0.27404147,NO
836,22,0.27404147,NO
978,22,0.27404147,NO
985,22,0.27404147,NO
1027,22,0.27404147,NO
1029,22,0.27404147,NO
1064,22,0.27404147,NO
1243,22,0.27404147,NO
1397,22,0.27404147,NO
1497,22,0.27404147,NO
1575,22,0.27404147,NO
1634,22,0.27404147,NO
2074,22,0.27404147,NO
1741,26,0.3127501,NO
1185,23,0.27429587,NO
1186,23,0.27429587,NO
1187,23,0.27429587,NO
1239,23,0.27404147,NO
1359,23,0.27404147,NO
1378,23,0.27404147,NO
1626,23,0.27404147,NO
1627,23,0.27404147,NO
1628,23,0.27404147,NO
1746,23,0.27404147,NO
1766,23,0.27404147,NO
1979,32,0.36746445,NO
732,24,0.27404147,NO
782,24,0.27404147,NO
799,24,0.27404147,NO
806,24,0.27404147,NO
872,24,0.27404147,NO
877,24,0.27404147,NO
982,24,0.27404147,NO
987,24,0.27404147,NO
1166,24,0.27404147,NO
1242,24,0.27404147,NO
1281,24,0.27404147,NO
1361,24,0.27404147,NO
1379,24,0.27404147,NO
1399,24,0.27404147,NO
1522,24,0.27404147,NO
1582,24,0.27404147,NO
1585,24,0.27404147,NO
1591,24,0.27404147,NO
1592,24,0.27404147,NO
1620,24,0.27404147,NO
1643,24,0.27404147,NO
1644,24,0.27404147,NO
1712,24,0.27404147,NO
1760,24,0.27404147,NO
1999,24,0.27404147,NO
2047,24,0.27404147,NO
2078,24,0.27404147,NO
994,28,0.3127501,NO
2099,28,0.3127501,NO
1872,25,0.27628523,NO
2005,31,0.34083822,NO
572,25,0.27404147,NO
599,25,0.27404147,NO
707,25,0.27404147,NO
887,25,0.27404147,NO
1398,25,0.27404147,NO
1461,25,0.27404147,NO
1504,25,0.27404147,NO
1565,25,0.27404147,NO
1584,25,0.27404147,NO
1717,25,0.27404147,NO
1728,25,0.27404147,NO
1729,25,0.27404147,NO
1743,25,0.27404147,NO
1757,25,0.27404147,NO
1990,25,0.27404147,NO
1991,25,0.27404147,NO
2100,25,0.27404147,NO
1396,29,0.3127501,NO
508,26,0.2790135,NO
546,26,0.2790135,NO
1994,32,0.34083822,NO
668,26,0.27628523,NO
318,26,0.27404147,NO
417,26,0.27404147,NO
609,26,0.27404147,NO
613,26,0.27404147,NO
628,26,0.27404147,NO
977,26,0.27404147,NO
1011,26,0.27404147,NO
1199,26,0.27404147,NO
1201,26,0.27404147,NO
1202,26,0.27404147,NO
1260,26,0.27404147,NO
1362,26,0.27404147,NO
1442,26,0.27404147,NO
1555,26,0.27404147,NO
1568,26,0.27404147,NO
1586,26,0.27404147,NO
1594,26,0.27404147,NO
1617,26,0.27404147,NO
1624,26,0.27404147,NO
1645,26,0.27404147,NO
1718,26,0.27404147,NO
1731,26,0.27404147,NO
1739,26,0.27404147,NO
1749,26,0.27404147,NO
1752,26,0.27404147,NO
1756,26,0.27404147,NO
1863,26,0.27404147,NO
1885,26,0.27404147,NO
1025,30,0.3127501,NO
1039,30,0.3127501,NO
768,27,0.27628523,NO
1871,27,0.27628523,NO
1977,36,0.36732042,NO
1982,36,0.36732042,NO
305,27,0.27404147,NO
493,27,0.27404147,NO
584,27,0.27404147,NO
586,27,0.27404147,NO
789,27,0.27404147,NO
842,27,0.27404147,NO
867,27,0.27404147,NO
988,27,0.27404147,NO
1263,27,0.27404147,NO
1439,27,0.27404147,NO
1546,27,0.27404147,NO
1685,27,0.27404147,NO
1700,27,0.27404147,NO
1761,27,0.27404147,NO
1831,27,0.27404147,NO
1834,27,0.27404147,NO
2056,27,0.27404147,NO
966,31,0.3127501,NO
1384,31,0.3127501,NO
1595,31,0.3127501,NO
1638,31,0.3127501,NO
1641,31,0.3127501,NO
1714,31,0.3127501,NO
2096,31,0.3127501,NO
1574,28,0.28208697,NO
521,28,0.2790135,NO
919,28,0.27676263,NO
756,28,0.27628523,NO
300,28,0.27603942,NO
291,28,0.27404147,NO
302,28,0.27404147,NO
374,28,0.27404147,NO
589,28,0.27404147,NO
626,28,0.27404147,NO
1200,28,0.27404147,NO
1408,28,0.27404147,NO
1583,28,0.27404147,NO
1736,28,0.27404147,NO
1788,28,0.27404147,NO
1775,32,0.3127501,NO
2052,32,0.3127501,NO
1557,29,0.28208697,NO
511,29,0.2790135,NO
544,29,0.2790135,NO
522,29,0.27833068,NO
2166,29,0.2765263,NO
766,29,0.27628523,NO
1033,33,0.3127501,NO
1047,33,0.3127501,NO
1560,33,0.3127501,NO
1581,33,0.3127501,NO
1608,33,0.3127501,NO
1629,33,0.3127501,NO
1713,33,0.3127501,NO
243,29,0.27404147,NO
353,29,0.27404147,NO
409,29,0.27404147,NO
577,29,0.27404147,NO
731,29,0.27404147,NO
1321,29,0.27404147,NO
1383,29,0.27404147,NO
1387,29,0.27404147,NO
1432,29,0.27404147,NO
1561,29,0.27404147,NO
1563,29,0.27404147,NO
1564,29,0.27404147,NO
1631,29,0.27404147,NO
1673,29,0.27404147,NO
1678,29,0.27404147,NO
1695,29,0.27404147,NO
2061,29,0.27404147,NO
165,30,0.27603942,NO
1382,34,0.3127501,NO
97,30,0.27404147,NO
304,30,0.27404147,NO
352,30,0.27404147,NO
614,30,0.27404147,NO
777,30,0.27404147,NO
831,30,0.27404147,NO
1207,30,0.27404147,NO
1220,30,0.27404147,NO
1240,30,0.27404147,NO
1249,30,0.27404147,NO
1403,30,0.27404147,NO
1409,30,0.27404147,NO
1443,30,0.27404147,NO
1444,30,0.27404147,NO
1447,30,0.27404147,NO
1454,30,0.27404147,NO
1609,30,0.27404147,NO
1742,30,0.27404147,NO
1772,30,0.27404147,NO
2015,39,0.35345072,NO
2017,39,0.35345072,NO
1368,35,0.3127501,NO
946,31,0.27676263,NO
1966,31,0.27628523,NO
209,31,0.27404147,NO
308,31,0.27404147,NO
405,31,0.27404147,NO
423,31,0.27404147,NO
611,31,0.27404147,NO
623,31,0.27404147,NO
812,31,0.27404147,NO
873,31,0.27404147,NO
874,31,0.27404147,NO
1059,31,0.27404147,YES
1191,31,0.27404147,NO
1205,31,0.27404147,NO
1218,31,0.27404147,NO
1248,31,0.27404147,NO
1250,31,0.27404147,NO
1252,31,0.27404147,NO
1348,31,0.27404147,NO
1381,31,0.27404147,NO
1441,31,0.27404147,NO
1498,31,0.27404147,NO
1542,31,0.27404147,NO
1619,31,0.27404147,NO
1693,31,0.27404147,NO
1737,31,0.27404147,NO
1883,31,0.27404147,NO
1989,31,0.27404147,NO
1995,31,0.27404147,NO
1996,31,0.27404147,NO
1997,31,0.27404147,NO
2054,31,0.27404147,NO
2062,31,0.27404147,NO
1639,32,0.28208697,NO
378,36,0.3127501,NO
414,36,0.3127501,NO
998,36,0.3127501,NO
286,32,0.27676263,NO
913,32,0.27676263,NO
923,32,0.27676263,NO
928,32,0.27676263,NO
2023,32,0.2765263,NO
763,32,0.27628523,NO
178,32,0.27603942,NO
2014,41,0.35345072,NO
2016,41,0.35345072,NO
142,32,0.27404147,NO
366,32,0.27404147,NO
391,32,0.27404147,NO
404,32,0.27404147,NO
428,32,0.27404147,NO
463,32,0.27404147,NO
482,32,0.27404147,NO
542,32,0.27404147,NO
605,32,0.27404147,NO
729,32,0.27404147,NO
781,32,0.27404147,NO
963,32,0.27404147,NO
972,32,0.27404147,NO
1253,32,0.27404147,NO
1372,32,0.27404147,NO
1373,32,0.27404147,NO
1374,32,0.27404147,NO
1375,32,0.27404147,NO
1438,32,0.27404147,NO
1571,32,0.27404147,NO
1615,32,0.27404147,NO
1616,32,0.27404147,NO
1771,32,0.27404147,NO
1812,32,0.27404147,NO
993,37,0.3127501,NO
2063,37,0.3127501,NO
303,33,0.2765263,NO
1963,33,0.27628523,NO
307,33,0.27404147,NO
476,33,0.27404147,NO
792,33,0.27404147,NO
879,33,0.27404147,NO
1446,33,0.27404147,NO
1468,33,0.27404147,NO
1471,33,0.27404147,NO
1499,33,0.27404147,NO
1744,33,0.27404147,NO
1774,33,0.27404147,NO
1992,33,0.27404147,NO
1173,38,0.3127501,NO
1407,38,0.3127501,NO
504,34,0.2790135,NO
916,34,0.27676263,NO
311,34,0.2765263,NO
606,34,0.27404147,NO
627,34,0.27404147,NO
686,34,0.27404147,NO
796,34,0.27404147,NO
876,34,0.27404147,NO
1236,34,0.27404147,NO
1440,34,0.27404147,NO
1472,34,0.27404147,NO
1475,34,0.27404147,NO
1785,34,0.27404147,NO
505,35,0.2790135,NO
545,35,0.2790135,NO
1044,43,0.3406796,NO
317,35,0.2765263,NO
676,35,0.27628523,NO
760,35,0.27628523,NO
1370,35,0.27628523,NO
234,35,0.27454555,NO
2117,36,0.28208697,NO
194,35,0.27404147,NO
276,35,0.27404147,NO
691,35,0.27404147,NO
773,35,0.27404147,NO
854,35,0.27404147,NO
875,35,0.27404147,NO
878,35,0.27404147,NO
981,35,0.27404147,NO
1448,35,0.27404147,NO
1465,35,0.27404147,NO
1466,35,0.27404147,NO
1632,35,0.27404147,NO
1653,35,0.27404147,NO
1790,35,0.27404147,NO
1882,35,0.27404147,NO
2002,35,0.27404147,NO
427,40,0.3127501,NO
1360,40,0.3127501,NO
1687,40,0.3127501,NO
1699,40,0.3127501,NO
1802,40,0.3127501,NO
1805,40,0.3127501,NO
551,36,0.2790135,NO
1318,41,0.3137383,YES
1390,41,0.3127501,NO
206,36,0.27454555,NO
295,41,0.3126137,NO
208,36,0.27404147,NO
227,36,0.27404147,NO
406,36,0.27404147,NO
601,36,0.27404147,NO
677,36,0.27404147,NO
702,36,0.27404147,NO
809,36,0.27404147,NO
965,36,0.27404147,NO
996,36,0.27404147,NO
1008,36,0.27404147,NO
1386,36,0.27404147,NO
1450,36,0.27404147,NO
1467,36,0.27404147,NO
1481,36,0.27404147,NO
1559,36,0.27404147,NO
1573,36,0.27404147,NO
1640,36,0.27404147,NO
1647,36,0.27404147,NO
1658,36,0.27404147,NO
1770,36,0.27404147,NO
306,37,0.2765263,NO
1312,42,0.3137383,YES
248,42,0.3127501,NO
390,42,0.3127501,NO
1316,42,0.3127501,NO
123,37,0.27404147,NO
619,37,0.27404147,NO
680,37,0.27404147,NO
687,37,0.27404147,NO
797,37,0.27404147,NO
870,37,0.27404147,NO
893,37,0.27404147,NO
1251,37,0.27404147,NO
1419,37,0.27404147,NO
1436,37,0.27404147,NO
1535,37,0.27404147,NO
1545,37,0.27404147,NO
1636,37,0.27404147,NO
1656,37,0.27404147,NO
1824,37,0.27404147,NO
2000,37,0.27404147,NO
754,38,0.27628523,NO
1401,43,0.31259835,NO
1430,43,0.31259835,NO
2094,43,0.31259835,NO
2125,43,0.31259835,NO
674,43,0.31246197,NO
1256,39,0.28208697,NO
839,38,0.27454555,YES
245,38,0.27404147,NO
496,38,0.27404147,NO
531,38,0.27404147,NO
585,38,0.27404147,NO
593,38,0.27404147,NO
595,38,0.27404147,NO
650,38,0.27404147,NO
706,38,0.27404147,NO
1237,38,0.27404147,NO
1247,38,0.27404147,NO
1385,38,0.27404147,NO
1428,38,0.27404147,NO
1520,38,0.27404147,NO
1525,38,0.27404147,NO
1621,38,0.27404147,NO
1652,38,0.27404147,NO
1655,38,0.27404147,NO
1670,38,0.27404147,NO
1691,38,0.27404147,NO
1696,38,0.27404147,NO
1724,38,0.27404147,NO
1841,38,0.27404147,NO
1887,38,0.27404147,NO
1174,44,0.31259835,NO
1796,44,0.31259835,NO
726,39,0.2765263,NO
1302,40,0.28208697,NO
1970,40,0.28170243,NO
1976,40,0.28170243,NO
82,39,0.27404147,NO
321,39,0.27404147,NO
641,39,0.27404147,NO
695,39,0.27404147,NO
795,39,0.27404147,NO
798,39,0.27404147,NO
813,39,0.27404147,NO
822,39,0.27404147,NO
830,39,0.27404147,NO
890,39,0.27404147,NO
1180,39,0.27404147,NO
1181,39,0.27404147,NO
1238,39,0.27404147,NO
1257,39,0.27404147,NO
1434,39,0.27404147,NO
1509,39,0.27404147,NO
1512,39,0.27404147,NO
1679,39,0.27404147,NO
1697,39,0.27404147,NO
1740,39,0.27404147,NO
1905,39,0.27404147,NO
1959,39,0.27404147,NO
1289,45,0.31397256,NO
1320,45,0.31358626,YES
1988,49,0.3406796,NO
548,45,0.31283116,NO
1543,45,0.31259835,NO
1036,45,0.3112491,NO
769,40,0.27628523,NO
167,45,0.3103231,NO
171,45,0.30948973,NO
200,40,0.27454555,NO
11,40,0.27404147,NO
44,40,0.27404147,NO
80,40,0.27404147,NO
360,40,0.27404147,NO
363,40,0.27404147,NO
365,40,0.27404147,NO
396,40,0.27404147,NO
479,40,0.27404147,NO
481,40,0.27404147,NO
495,40,0.27404147,NO
615,40,0.27404147,NO
636,40,0.27404147,NO
1176,40,0.27404147,NO
1177,40,0.27404147,NO
1178,40,0.27404147,NO
1271,40,0.27404147,NO
1445,40,0.27404147,NO
1951,40,0.27404147,NO
2024,40,0.27404147,NO
2034,40,0.27404147,NO
2159,40,0.27404147,NO
422,46,0.31259835,NO
1642,46,0.31259835,NO
947,41,0.27676263,NO
741,41,0.2765263,NO
675,41,0.27628523,NO
2115,42,0.28208697,NO
1975,55,0.36906475,NO
322,41,0.27404147,NO
526,41,0.27404147,NO
573,41,0.27404147,NO
587,41,0.27404147,NO
625,41,0.27404147,NO
678,41,0.27404147,NO
733,41,0.27404147,NO
984,41,0.27404147,NO
1175,41,0.27404147,NO
1414,41,0.27404147,NO
1462,41,0.27404147,NO
1650,41,0.27404147,NO
1738,41,0.27404147,NO
1773,41,0.27404147,NO
1843,41,0.27404147,NO
1898,41,0.27404147,NO
2007,41,0.27404147,NO
2020,41,0.27404147,NO
2022,41,0.27404147,NO
2075,41,0.27404147,NO
1288,47,0.31283116,NO
62,47,0.31259835,NO
823,47,0.31259835,NO
1333,47,0.31259835,NO
1335,47,0.31259835,NO
1606,47,0.31259835,NO
1630,47,0.31259835,NO
1781,47,0.31259835,NO
936,47,0.31259024,NO
543,42,0.2790135,NO
175,47,0.3103231,NO
256,42,0.27676263,NO
268,42,0.27676263,NO
917,42,0.27676263,NO
925,42,0.27676263,NO
1183,42,0.27429587,NO
193,42,0.27404147,NO
471,42,0.27404147,NO
579,42,0.27404147,NO
863,42,0.27404147,NO
1215,42,0.27404147,NO
1388,42,0.27404147,NO
1511,42,0.27404147,NO
1519,42,0.27404147,NO
1664,42,0.27404147,NO
1688,42,0.27404147,NO
1798,42,0.27404147,NO
1810,42,0.27404147,NO
197,48,0.31259835,NO
653,48,0.31259835,NO
1317,48,0.31259835,NO
1566,48,0.31259835,NO
510,43,0.2788715,NO
270,43,0.2766213,NO
2186,43,0.27638507,NO
1287,49,0.31397256,NO
563,49,0.31283116,NO
63,49,0.31259835,NO
462,49,0.31259835,NO
1669,49,0.31259835,NO
266,43,0.27390105,NO
348,43,0.27390105,NO
475,43,0.27390105,NO
581,43,0.27390105,NO
596,43,0.27390105,NO
730,43,0.27390105,NO
772,43,0.27390105,NO
1164,43,0.27390105,NO
1213,43,0.27390105,NO
1479,43,0.27390105,NO
1516,43,0.27390105,NO
1807,43,0.27390105,NO
1809,43,0.27390105,NO
1839,43,0.27390105,NO
1840,43,0.27390105,NO
1894,43,0.27390105,NO
1897,43,0.27390105,NO
2098,43,0.27390105,NO
2120,43,0.27390105,NO
539,49,0.31012243,NO
2029,54,0.3406796,NO
301,44,0.27638507,NO
663,44,0.27614406,NO
70,50,0.31259835,NO
1365,50,0.31259835,NO
224,44,0.27390105,NO
246,44,0.27390105,NO
375,44,0.27390105,NO
408,44,0.27390105,NO
415,44,0.27390105,NO
679,44,0.27390105,NO
791,44,0.27390105,NO
827,44,0.27390105,NO
864,44,0.27390105,NO
989,44,0.27390105,NO
1179,44,0.27390105,NO
1343,44,0.27390105,NO
1424,44,0.27390105,NO
1562,44,0.27390105,NO
1661,44,0.27390105,NO
1745,44,0.27390105,NO
1808,44,0.27390105,NO
1827,44,0.27390105,NO
1955,44,0.27390105,NO
2084,44,0.27390105,NO
915,45,0.2766213,NO
666,45,0.27614406,NO
207,51,0.31259835,NO
226,51,0.31259835,NO
610,51,0.31259835,NO
701,51,0.31259835,NO
1172,51,0.31259835,NO
1530,51,0.31259835,NO
1569,51,0.31259835,NO
1677,51,0.31246197,NO
95,45,0.27390105,NO
96,45,0.27390105,NO
433,45,0.27390105,NO
704,45,0.27390105,NO
891,45,0.27390105,NO
892,45,0.27390105,NO
