ID,Size,Predicted,Actual
98,22,0.99824667,NO
381,24,0.99994165,NO
348,24,0.9805749,NO
833,26,0.99986345,NO
388,27,0.99994123,NO
804,27,0.99986273,NO
746,27,0.9958052,NO
758,27,0.9634785,NO
347,29,0.9802817,NO
376,30,0.99994034,NO
399,30,0.99994034,NO
678,31,0.99973345,NO
755,32,1.0,NO
380,32,0.9999399,NO
101,32,0.99906754,NO
391,33,0.9999399,NO
927,33,0.9998566,NO
89,35,0.9999998,NO
513,27,0.7674202,NO
76,36,0.99998456,NO
583,35,0.9545584,YES
343,37,0.9797492,NO
612,37,0.954281,NO
275,29,0.7397319,NO
650,40,0.99999326,YES
354,40,0.9896681,NO
349,41,0.9796279,NO
377,42,0.9999384,NO
82,42,0.99902296,NO
77,43,0.99960595,NO
346,43,0.97951156,NO
390,44,0.9999381,NO
217,45,0.9999926,NO
397,45,0.9999381,NO
398,45,0.9999381,NO
539,46,0.99986726,NO
287,47,0.9999396,NO
395,48,0.9999377,NO
1013,48,0.99773085,NO
382,50,0.9999374,NO
383,50,0.9999374,NO
707,48,0.95328057,YES
582,50,0.95305866,NO
540,53,0.99986535,NO
342,53,0.9790067,NO
88,55,1.0,NO
414,56,0.9999929,YES
394,56,0.9999366,NO
353,56,0.9893061,NO
608,54,0.95264983,NO
84,55,0.968698,NO
834,58,0.99994105,NO
312,58,0.9998544,NO
543,58,0.99901724,YES
524,58,0.99596405,NO
585,59,0.9999929,YES
375,59,0.99993634,NO
547,59,0.9976304,YES
310,60,0.99994165,NO
268,61,0.9999975,NO
96,62,1.0,NO
929,62,0.99984753,NO
384,63,0.9999359,NO
85,48,0.7590209,NO
215,64,0.9999924,NO
137,64,0.999847,NO
91,65,1.0,NO
747,65,0.9954153,NO
472,65,0.9942325,NO
245,64,0.97781605,YES
141,66,0.9998466,NO
146,66,0.99605215,NO
341,65,0.97863704,NO
549,64,0.9603179,NO
389,67,0.99993575,NO
164,67,0.99789494,NO
641,64,0.94996595,NO
255,66,0.9777508,YES
514,52,0.7552393,NO
637,52,0.7552393,NO
639,52,0.7552393,NO
92,69,1.0,NO
795,69,0.9999401,NO
387,69,0.99993557,NO
361,69,0.9891309,NO
599,70,0.9997907,NO
97,71,0.9989864,NO
345,70,0.9785288,NO
357,71,0.9891046,NO
79,75,1.0,NO
99,75,0.9999998,NO
822,74,0.97984505,NO
392,76,0.99993515,NO
930,77,0.9998449,NO
344,76,0.9784437,NO
78,81,1.0,NO
80,81,0.9999952,NO
0,78,0.959521,NO
83,82,1.0,NO
396,82,0.99993485,NO
444,62,0.75520253,NO
751,83,1.0,NO
247,82,0.9774626,YES
81,88,1.0,NO
153,78,0.8859293,NO
276,53,0.5951578,NO
652,90,0.9957061,NO
90,91,0.99958277,NO
8,87,0.95117456,YES
925,92,0.9998443,NO
601,77,0.8282547,NO
216,94,0.9999975,NO
628,94,0.99994004,NO
358,93,0.9890035,NO
939,94,0.997573,NO
635,63,0.6641887,NO
86,72,0.7517724,NO
977,96,0.9998445,NO
351,95,0.9890075,NO
225,97,0.9998445,NO
978,97,0.9998445,NO
352,96,0.9890145,NO
218,98,0.9999975,NO
282,25,0.2524169,NO
362,98,0.9890246,NO
581,95,0.9511866,NO
587,101,1.0,YES
205,101,0.9999927,YES
256,99,0.9774759,YES
651,96,0.92270005,NO
5,105,0.99418586,NO
415,106,0.9999928,YES
504,107,0.99804026,NO
246,105,0.9775741,YES
100,81,0.7508757,NO
1014,110,1.0,NO
336,109,0.97851044,NO
87,113,1.0,NO
296,113,0.9980711,NO
356,112,0.9786143,NO
544,115,0.99999756,YES
735,111,0.9595247,NO
385,116,0.99993587,NO
521,117,0.99994373,YES
360,115,0.97867477,NO
792,117,0.98880297,NO
37,113,0.9508645,NO
93,120,1.0,NO
393,120,0.9999363,NO
335,60,0.49840915,NO
523,120,0.9959583,NO
816,121,0.9999997,NO
298,116,0.952146,NO
408,83,0.67538816,NO
338,121,0.9788128,NO
932,125,1.0,NO
826,125,0.99999744,NO
95,125,0.9999953,NO
187,126,0.9999448,NO
283,40,0.31510204,NO
818,128,0.999993,NO
54,90,0.67792815,NO
339,131,0.9792542,NO
154,134,0.9981098,NO
598,128,0.95277,NO
