ID,Size,Predicted,Actual
0,79,0.9998650361815317,NO
1,87,0.9998118067244177,NO
2,68,0.9998118067244177,NO
3,58,0.9998118067244177,NO
4,196,0.99980807533072,NO
5,132,0.9998112400026972,NO
6,64,0.9998118067244177,NO
7,134,0.998722769070203,NO
8,173,0.99980807533072,NO
9,246,0.9998021816569118,NO
10,107,0.9998112400026972,NO
11,121,0.9998112400026972,NO
12,110,0.9914076055365675,NO
13,58,0.9998118067244177,NO
14,37,0.9998118067244177,NO
15,77,0.9891495682268383,NO
16,142,0.9914076055365675,NO
17,114,0.9998112400026972,NO
18,59,0.9998118067244177,NO
19,64,0.9998118067244177,NO
20,164,0.99980807533072,NO
21,70,0.9998118067244177,NO
22,32,0.9998118067244177,NO
23,148,0.9998112400026972,NO
24,156,0.99980807533072,NO
25,119,0.9998112400026972,NO
26,118,0.9998112400026972,NO
27,156,0.99980807533072,NO
28,85,0.9998118067244177,NO
29,48,0.9998118067244177,YES
30,146,0.9998112400026972,NO
31,113,0.9998112400026972,NO
32,147,0.9998112400026972,NO
33,40,0.9998118067244177,NO
34,125,0.9998112400026972,NO
35,252,0.9998021816569118,NO
36,368,0.9997810815563807,NO
37,106,0.9998112400026972,NO
38,181,0.99980807533072,NO
39,263,0.11000938436044129,NO
40,590,3.052298673377304E-20,YES
41,39,0.9995450357660666,NO
42,39,0.9995450357660666,NO
43,39,0.9995450357660666,NO
44,24,0.9996035629207279,NO
45,62,0.9993983532583921,NO
46,77,0.9992809106743116,NO
47,77,0.9992809106743116,NO
48,54,0.9994406318690701,NO
49,90,0.999034426397044,NO
50,58,0.9994406318690701,NO
51,24,0.9996035629207279,NO
52,64,0.9993983532583921,NO
53,216,0.7915948296140913,NO
54,36,0.9995797285741106,NO
55,36,0.9995797285741106,NO
56,202,0.8740294570461022,NO
57,74,0.9992809106743116,NO
58,71,0.9993343644771459,NO
59,56,0.9994406318690701,NO
60,44,0.9995235325564218,NO
61,55,0.9994406318690701,NO
62,47,0.9991478361931627,NO
63,101,0.9611565273688139,YES
64,109,0.9981880624842481,NO
65,28,0.9996485547404718,NO
66,54,0.9939809623608803,YES
67,158,0.897094698585441,YES
68,52,0.9735966339918691,YES
69,53,0.9939809623608803,YES
70,81,0.9891821478109659,YES
71,83,0.9891821478109659,YES
72,63,0.9933698522752018,YES
73,48,0.9946716842948012,YES
74,55,0.9939809623608803,YES
75,149,0.8947441849665628,YES
76,263,0.11560330821769159,YES
77,179,0.7870753488281051,YES
78,37,0.9952409524558001,YES
79,25,0.9957613236746302,YES
80,30,0.9956585270951301,YES
81,36,0.9863132694180429,YES
82,30,0.9956585270951301,YES
83,27,0.9956124005505398,YES
84,37,0.9955583707993926,YES
85,33,0.9955583707993926,YES
86,31,0.9956585270951301,YES
87,56,0.9939809623608803,YES
88,101,0.983699510177546,YES
89,139,0.9227995091055025,YES
90,85,0.9753205587291055,YES
91,95,0.987689002542526,YES
92,60,0.9939809623608803,YES
93,35,0.9955583707993926,YES
94,26,0.9956782222749913,YES
95,69,0.9926693988125255,YES
96,64,0.9933698522752018,YES
97,39,0.9952409524558001,YES
98,41,0.9952409524558001,YES
99,167,0.8589097830748645,YES
100,66,0.9933698522752018,YES
101,93,0.9746791698085921,YES
102,76,0.9998650361815317,NO
103,77,0.9725030050286467,NO
104,83,0.9725030050286467,NO
105,48,0.9998118067244177,NO
106,85,0.9998118067244177,NO
107,43,0.9998118067244177,NO
108,90,0.9998112400026972,NO
109,202,0.99980807533072,NO
110,135,0.9998112400026972,NO
111,30,0.9998118067244177,NO
112,29,0.9998097988108228,NO
113,69,0.9998118067244177,YES
114,242,0.5514338843963266,NO
115,64,0.999866610046087,YES
116,50,0.9941887732870667,YES
117,89,0.9998118067244177,NO
118,40,0.9951554297455768,YES
119,49,0.9998118067244177,NO
120,249,0.7077082230304713,YES
121,40,0.9998118067244177,NO
122,171,0.9719729880744592,NO
123,40,0.9998118067244177,NO
124,32,0.9998118067244177,NO
125,139,0.9998112400026972,YES
126,131,0.9724224694169913,YES
127,149,0.9719729880744592,YES
128,86,0.9998118067244177,NO
129,69,0.9998118067244177,NO
130,88,0.9998118067244177,NO
131,42,0.9998118067244177,NO
132,32,0.9998118067244177,NO
133,56,0.9998650361815317,NO
134,51,0.9998118067244177,NO
135,81,0.9998118067244177,NO
136,35,0.9998118067244177,NO
137,72,0.9998118067244177,NO
138,46,0.9998118067244177,NO
139,46,0.9998118067244177,NO
140,44,0.9998118067244177,NO
