ID,Size,Predicted,Actual
845,256,0.99178785,YES
1662,266,0.99999976,YES
1629,297,1.0,YES
740,348,1.0,YES
103,392,1.0,YES
550,449,1.0,YES
835,566,1.0,YES
927,623,1.0,YES
1073,855,0.9783276,YES
920,916,0.8560334,YES
935,1093,0.9992719,YES
850,1158,0.99996716,YES
928,1264,0.999945,YES
923,1271,1.0,YES
868,1328,0.99997187,NO
922,1381,0.99999994,YES
855,1389,1.0,YES
1642,1395,0.9999994,YES
926,1445,1.0,YES
874,914,0.51734424,YES
939,1879,1.0,YES
937,1900,1.0,NO
932,2143,1.0,YES
862,2193,1.0,YES
1578,2413,1.0,YES
691,2574,1.0,YES
1208,2610,1.0,YES
1653,163,0.0614693,YES
934,2756,1.0,YES
869,2935,1.0,NO
856,878,0.15087017,YES
1327,948,0.08142751,YES
823,166,0.013396114,YES
700,590,0.013431319,YES
143,154,0.0034827988,YES
905,45416,1.0,YES
896,804,0.011801586,YES
815,612,0.008921678,YES
858,901,0.0065748403,NO
875,921,0.0065748403,NO
1648,90,6.097853E-4,YES
681,105,6.22887E-4,YES
686,102,3.0933582E-4,YES
102,71,1.787735E-4,YES
898,754,0.0014730393,YES
857,767,0.0014730393,YES
1628,72,6.344183E-5,YES
846,147,1.2030154E-4,YES
906,795,6.352538E-4,NO
878,800,6.352538E-4,NO
682,81,6.344183E-5,YES
367,823,6.352538E-4,YES
903,835,6.352538E-4,NO
860,851,6.352538E-4,NO
1325,857,6.352538E-4,NO
840,139,9.913991E-5,YES
841,171,1.2030154E-4,YES
792,610,2.3826113E-4,YES
402,759,2.8243856E-4,YES
1657,61,2.2307244E-5,YES
914,663,2.3426297E-4,YES
900,675,2.3426297E-4,YES
837,87,2.2673083E-5,YES
146,68,1.7277587E-5,YES
147,68,1.7277587E-5,YES
839,90,2.2673083E-5,YES
208,91,2.2673083E-5,YES
207,95,2.2673083E-5,YES
209,95,2.2673083E-5,YES
203,96,2.2673083E-5,YES
200,104,2.2673083E-5,YES
469,406,8.56939E-5,YES
198,110,2.2673083E-5,YES
836,111,2.2307244E-5,YES
206,122,2.2673083E-5,YES
118,203,3.6808895E-5,YES
683,56,9.315219E-6,YES
685,67,9.315219E-6,YES
843,76,9.888875E-6,YES
687,83,9.315219E-6,YES
854,703,7.8514066E-5,NO
870,713,7.8514066E-5,NO
1587,716,7.8514066E-5,YES
736,724,7.8514066E-5,YES
684,88,9.315219E-6,YES
554,118,1.2444857E-5,YES
859,751,7.8514066E-5,NO
1490,751,7.8514066E-5,YES
1680,39,4.031568E-6,YES
1620,764,7.8514066E-5,NO
546,133,1.3540391E-5,YES
915,566,4.7845424E-5,YES
899,555,4.671335E-5,YES
907,555,4.671335E-5,YES
544,164,1.3540391E-5,YES
1545,578,4.671335E-5,YES
148,60,4.624576E-6,YES
822,61,4.62466E-6,YES
140,62,4.624576E-6,YES
549,73,5.427799E-6,YES
141,64,4.624576E-6,YES
547,108,7.755843E-6,YES
548,111,7.755843E-6,YES
551,84,5.427799E-6,YES
553,95,5.427799E-6,YES
1136,173,9.797234E-6,YES
717,423,1.994979E-5,YES
745,80,3.1936345E-6,YES
210,68,2.6930547E-6,YES
149,346,1.2619937E-5,YES
747,89,3.1936345E-6,YES
1003,91,3.1663812E-6,YES
450,613,1.7098077E-5,YES
142,30,8.357834E-7,YES
864,457,1.2558437E-5,YES
893,457,1.2558437E-5,YES
897,459,1.2558437E-5,YES
1128,117,3.1663812E-6,YES
885,465,1.2558437E-5,YES
113,188,5.0280196E-6,YES
894,470,1.2558437E-5,YES
901,470,1.2558437E-5,YES
883,460,1.2261281E-5,YES
931,460,1.2261281E-5,YES
101,460,1.2261059E-5,YES
902,474,1.2558437E-5,YES
1561,134,3.4451239E-6,YES
824,33,8.357986E-7,YES
139,35,8.357834E-7,YES
97,523,1.2261059E-5,YES
59,618,1.247174E-5,YES
847,626,1.247174E-5,NO
912,630,1.247174E-5,NO
889,631,1.247174E-5,NO
881,635,1.247174E-5,NO
882,640,1.247174E-5,YES
1681,40,7.750514E-7,YES
144,53,1.0114861E-6,YES
1633,672,1.247174E-5,NO
962,695,1.247174E-5,YES
145,45,7.078704E-7,YES
138,47,7.078704E-7,YES
963,56,7.0705056E-7,NO
199,29,2.9868883E-7,YES
117,65,6.5642126E-7,YES
820,429,4.236149E-6,YES
1572,70,6.5643314E-7,YES
838,31,2.836924E-7,YES
1685,570,5.2129976E-6,YES
201,38,2.9868883E-7,YES
114,93,6.5642126E-7,YES
842,22,1.5202772E-7,YES
1675,106,6.5643314E-7,YES
204,42,2.5297578E-7,YES
202,44,2.5297578E-7,YES
98,132,7.315167E-7,YES
844,47,2.5297578E-7,YES
205,48,2.5297578E-7,YES
788,357,1.7905403E-6,NO
924,553,2.5467548E-6,NO
888,560,2.5467548E-6,NO
372,562,2.5467548E-6,YES
1549,568,2.5467548E-6,YES
1105,580,2.5467548E-6,YES
1296,580,2.5467548E-6,NO
552,38,1.639434E-7,YES
938,604,2.5467548E-6,NO
543,39,1.639434E-7,YES
852,607,2.5467548E-6,NO
94,239,9.982805E-7,YES
973,612,2.5467548E-6,NO
692,58,2.345891E-7,YES
557,58,2.281192E-7,YES
708,276,1.0765435E-6,YES
1216,399,1.4780519E-6,YES
1095,435,1.4785783E-6,YES
1207,76,2.345891E-7,YES
1583,80,2.345891E-7,YES
545,48,1.3885257E-7,YES
555,48,1.3885257E-7,YES
556,57,1.3885257E-7,YES
1205,106,2.345891E-7,YES
1206,115,2.345891E-7,YES
451,328,6.4060345E-7,YES
233,22,4.2253017E-8,NO
713,22,4.2253017E-8,NO
726,22,4.2253017E-8,NO
786,22,4.2253017E-8,NO
791,22,4.2253017E-8,NO
807,22,4.2253017E-8,NO
1024,22,4.2253017E-8,NO
1027,22,4.2253017E-8,NO
1193,22,4.2253017E-8,NO
1211,22,4.2253017E-8,NO
1293,22,4.2253017E-8,NO
1349,22,4.2253017E-8,NO
464,136,2.5533137E-7,YES
1023,23,4.2253017E-8,NO
1159,23,4.2253017E-8,NO
1177,23,4.2253017E-8,NO
1341,23,4.2253017E-8,NO
1342,23,4.2253017E-8,NO
1343,23,4.2253017E-8,NO
1457,23,4.2253017E-8,NO
1477,23,4.2253017E-8,NO
415,454,8.328396E-7,YES
1615,456,8.328396E-7,YES
63,24,4.2253017E-8,NO
70,24,4.2253017E-8,NO
623,24,4.2253017E-8,NO
662,24,4.2253017E-8,NO
719,24,4.2253017E-8,NO
728,24,4.2253017E-8,NO
833,24,4.2253017E-8,NO
942,24,4.2253017E-8,NO
1026,24,4.2253017E-8,NO
1161,24,4.2253017E-8,NO
1178,24,4.2253017E-8,NO
1195,24,4.2253017E-8,NO
1236,24,4.2253017E-8,NO
1299,24,4.2253017E-8,NO
1307,24,4.2253017E-8,NO
1308,24,4.2253017E-8,NO
1335,24,4.2253017E-8,NO
1423,24,4.2253017E-8,NO
1471,24,4.2253017E-8,NO
1537,24,4.2253017E-8,NO
255,25,4.2253017E-8,NO
474,25,4.2253017E-8,NO
