Id,Size,Prob,NormProb,Actual
447,154,0.8857974,0.005751931,true
100,178,0.9842744,0.0055296314,false
590,178,0.9842744,0.0055296314,false
588,179,0.9842744,0.00549874,false
446,35,0.18827373,0.0053792493,true
1553,185,0.9367509,0.0050635184,false
600,148,0.6813116,0.0046034567,false
635,155,0.67537946,0.0043572867,false
821,171,0.73845446,0.0043184473,false
1622,240,0.9999999,0.0041666664,false
825,255,0.9995623,0.003919852,true
591,153,0.5694648,0.0037219923,false
1621,333,1.0,0.003003003,false
723,348,1.0,0.0028735632,false
459,403,1.0,0.0024813896,true
113,424,0.9999942,0.0023584769,true
540,449,1.0,0.0022271716,false
102,460,1.0,0.002173913,true
1615,109,0.22340785,0.0020496133,false
1617,132,0.2640239,0.002000181,false
815,576,1.0,0.0017361111,true
1083,580,0.9927479,0.0017116343,true
798,529,0.884202,0.0016714594,true
775,610,0.99655896,0.0016337032,true
440,593,0.91795677,0.0015479878,true
1051,718,0.9990099,0.0013913787,true
719,724,0.9816318,0.001355845,true
1565,716,0.9622764,0.0013439615,true
1468,751,0.99221295,0.001321189,true
392,759,0.999064,0.0013162899,true
839,751,0.97529376,0.0012986601,false
878,754,0.97529376,0.0012934931,true
1598,764,0.98575824,0.0012902595,false
837,767,0.98575824,0.0012852128,true
886,795,0.99549043,0.0012521892,false
850,713,0.8873968,0.0012445957,false
858,800,0.99549043,0.001244363,false
876,804,0.99549043,0.0012381722,true
357,823,0.99999785,0.0012150642,true
883,835,0.9992749,0.0011967364,false
940,695,0.82517344,0.0011872998,false
840,851,0.9996156,0.0011746364,false
834,703,0.82517344,0.0011737887,false
1303,857,0.9996156,0.0011664126,false
836,878,0.9998959,0.0011388336,true
60,618,0.6916824,0.0011192271,true
838,901,0.99994683,0.0011098189,false
880,675,0.74104524,0.0010978448,true
854,914,0.9999732,0.0010940626,true
900,916,0.9999732,0.0010916737,true
855,921,0.9999866,0.0010857618,false
534,164,0.17618003,0.0010742686,false
1305,948,0.9999988,0.0010548511,true
903,961,0.9999968,0.0010405794,true
862,640,0.6553284,0.0010239505,true
894,663,0.637204,9.61092E-4,true
1609,672,0.637204,9.4822026E-4,false
914,1093,1.0,9.149131E-4,true
830,1158,1.0,8.6355786E-4,true
907,1264,1.0,7.9113926E-4,true
848,1328,1.0,7.53012E-4,false
902,1381,1.0,7.2411296E-4,true
835,1389,1.0,7.199424E-4,true
1618,1395,1.0,7.1684585E-4,true
906,1445,1.0,6.9204153E-4,true
869,631,0.40700203,6.4501114E-4,false
861,635,0.40700203,6.4094807E-4,false
1287,312,0.19580047,6.275656E-4,true
826,147,0.091538556,6.2271126E-4,false
1016,110,0.065485686,5.953244E-4,false
916,1900,1.0,5.2631577E-4,false
827,626,0.30410284,4.8578728E-4,false
892,630,0.30410284,4.8270292E-4,false
1656,570,0.26790679,4.7001193E-4,true
911,2143,1.0,4.6663557E-4,true
842,2193,1.0,4.5599634E-4,true
1556,2413,1.0,4.1442187E-4,true
1186,2478,1.0,4.0355124E-4,true
674,2567,1.0,3.895598E-4,true
913,2596,1.0,3.8520803E-4,true
462,124,0.04689065,3.781504E-4,false
1527,568,0.20992403,3.6958457E-4,true
993,146,0.05318294,3.642667E-4,true
917,604,0.21975972,3.6384058E-4,false
832,607,0.21975972,3.6204237E-4,false
951,612,0.21975972,3.590845E-4,false
683,518,0.18087639,3.491822E-4,true
849,2935,1.0,3.4071552E-4,false
589,120,0.033004817,2.7504013E-4,false
586,119,0.026017686,2.1863602E-4,false
1024,79,0.015016143,1.9007777E-4,false
1274,580,0.10824117,1.8662271E-4,false
536,133,0.022744684,1.7101267E-4,false
544,118,0.018043628,1.5291211E-4,false
332,102,0.014634485,1.4347535E-4,false
1641,126,0.016938314,1.3443106E-4,true
868,560,0.07506497,1.340446E-4,false
362,562,0.07506497,1.3356758E-4,true
895,566,0.07506497,1.3262364E-4,true
1523,569,0.07506497,1.3192439E-4,true
1611,95,0.012511692,1.3170202E-4,false
1071,517,0.06749547,1.3055217E-4,true
371,97,0.012047867,1.2420482E-4,false
98,511,0.04840192,9.4719995E-5,true
904,553,0.05207092,9.4160794E-5,false
879,555,0.05207092,9.382148E-5,true
887,555,0.05207092,9.382148E-5,true
450,32,0.002661147,8.316084E-5,true
196,122,0.009559807,7.835907E-5,false
538,111,0.008165836,7.356609E-5,false
380,531,0.036272638,6.831005E-5,false
905,532,0.036272638,6.8181645E-5,false
1638,227,0.014577612,6.4218555E-5,true
991,86,0.005471479,6.362185E-5,false
458,102,0.006481016,6.353937E-5,false
896,515,0.02544195,4.9401846E-5,false
908,515,0.02544195,4.9401846E-5,false
1062,516,0.02544195,4.9306105E-5,false
864,521,0.02544195,4.883292E-5,false
1294,521,0.02544195,4.883292E-5,false
851,525,0.02544195,4.8460857E-5,false
128,32,0.0015046449,4.7020152E-5,true
482,364,0.016920252,4.648421E-5,true
1193,412,0.018849688,4.575167E-5,true
1275,361,0.016459428,4.559398E-5,true
1003,81,0.0035740612,4.4124212E-5,true
537,108,0.0046398523,4.2961598E-5,false
460,71,0.0028499768,4.014052E-5,false
524,97,0.003876117,3.995997E-5,true
188,110,0.0040879403,3.7163092E-5,false
816,111,0.0040879403,3.6828293E-5,false
388,79,0.0029088643,3.6821068E-5,false
847,505,0.018000474,3.5644505E-5,false
1546,505,0.018000474,3.5644505E-5,false
797,448,0.015950104,3.560291E-5,true
846,506,0.018000474,3.5574063E-5,false
857,506,0.018000474,3.5574063E-5,false
893,509,0.018000474,3.536439E-5,false
833,513,0.018000474,3.5088644E-5,false
899,513,0.018000474,3.5088644E-5,false
901,513,0.018000474,3.5088644E-5,false
86,64,0.0022266947,3.4792105E-5,false
592,89,0.0029742836,3.3418917E-5,false
129,43,0.0014313089,3.3286255E-5,true
1518,92,0.0029718583,3.2302807E-5,false
820,138,0.0043139323,3.126038E-5,true
595,94,0.0028991536,3.084206E-5,false
451,78,0.0023832032,3.055389E-5,true
405,454,0.013756537,3.0300742E-5,true
139,272,0.008213163,3.0195455E-5,true
985,70,0.0020548098,2.9354425E-5,false
1610,88,0.0025808702,2.932807E-5,false
803,412,0.011669133,2.8323138E-5,true
1593,456,0.012701747,2.7854709E-5,true
852,498,0.012861541,2.5826386E-5,false
1623,82,0.0020340274,2.4805211E-5,false
929,41,9.735397E-4,2.3744871E-5,false
1088,401,0.009514015,2.3725725E-5,true
1628,86,0.0020340274,2.3651479E-5,false
1624,87,0.0020340274,2.3379624E-5,false
598,87,0.0019826007,2.2788514E-5,false
885,44114,1.0,2.266854E-5,true
126,54,0.0012185425,2.2565602E-5,true
1000,63,0.0014211677,2.2558219E-5,false
398,70,0.0015772807,2.2532582E-5,false
190,104,0.0022556107,2.1688564E-5,false
1166,316,0.0064594434,2.0441275E-5,true
882,474,0.009287884,1.9594694E-5,true
1017,26,4.911735E-4,1.8891287E-5,false
543,95,0.0017773235,1.870867E-5,false
455,62,0.0011081664,1.7873652E-5,true
461,76,0.001284056,1.6895474E-5,false
448,61,0.0010208134,1.6734644E-5,true
441,328,0.005472523,1.6684522E-5,true
193,96,0.001560012,1.6250126E-5,false
452,36,5.7240744E-4,1.5900207E-5,true
474,240,0.003768815,1.5703396E-5,true
